Time,User,Message
0.0,fbd48c997c8ad17d8546faa30fa1ce67d0eda413,zgbgg 
4.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,nogro mass ling is skill right 
5.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,bitch 
10.0,7cd8129a949b64684947121ccf801bc123595451,it is not just me it is also serral lambo reynor etc 
19.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,ofc they complain 
25.0,ebfb1f39c23b61044d139aad72ad0f279f6a8e95,just make lings and a-move 
28.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,do you wach the stream tho 
30.0,ebfb1f39c23b61044d139aad72ad0f279f6a8e95,you see guys 
37.0,ebfb1f39c23b61044d139aad72ad0f279f6a8e95,kappa 
40.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,protoss players could bitch about ling amove rush 
45.0,7e630556dddb5c11c5050212ca01719d0ba96a14,grid 
45.0,cc3c699e3deae0ac5a8720a26554bd8bbae804ff,https://liquipedia net/starcraft2/warditv_european_league#playoffs 
47.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,but you dont see anyone bitching 
49.0,002ea47814d1bc914be68eaf6757fea00e0b8d75,lol what is that title 
51.0,cb05be83d05a40948c2a5c633bc5b93d95755861,harstem knows you have to build units to win right 
52.0,05d2a6085e15152ce4d17eeb97f4e51071a1a824,dudde 
55.0,cdf57dea49261b70d1f3aa4b6f535d724d231e98,namshargg 
56.0,1ddc2d1aa8261e386ca3895bdb43c6496d6ba4a5,boring 
59.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,do you see the score 7cd8129a949b64684947121ccf801bc123595451 
60.0,05d2a6085e15152ce4d17eeb97f4e51071a1a824,why doing this harstram 
61.0,05d2a6085e15152ce4d17eeb97f4e51071a1a824,omg 
61.0,a14d7f8b4bc30652226f9cc3e62a514aca7aa1b3,git gud 
61.0,9cd1c144b1bd1e42f2d36956cec736ad75abbe9a,gpvpgg hkgchigg 
63.0,aa52e160f877ddb6e1b5420a7b29e7517ba94936,wow 
65.0,1291aebd9b42a85ca9d34b007242f84a18ab5772,pro players have an argument they can make which we cannot 
66.0,cdf57dea49261b70d1f3aa4b6f535d724d231e98,namsharfighting 
66.0,e1d8a3494304c4fe65bccb7ee2ee3545484878f2,heja sverige swiftrage 
