Time,User,Message
0.0,085d5b4c7996ad0adfd74e046cfcb7aaaf09243a,alerts are lagging the stream so bad lol 
5.0,862de305928b63c89c6bbfc59196865278148fb3,11abff931f0eab402397ae11da36bd3a8e9191cb seems normal to me lul 
9.0,fec128293c82e8148747e421542e5de2f11a2094,ef7f46e58e4de68dfc050144594cefca94efe14a thanks for the sub mate <3 
13.0,862de305928b63c89c6bbfc59196865278148fb3,streams lagging tf out 
13.0,21633c101d0ebce996b7102e00086d11d34ef711,action nikosse59150 welcome to the gang 
14.0,50a5928371d7128d764b3329fe31f475eb2a9e08,right 
16.0,50a5928371d7128d764b3329fe31f475eb2a9e08,lmao 
22.0,11abff931f0eab402397ae11da36bd3a8e9191cb,perfect 
23.0,1276cdbbc9cffd9d886f2ebd042ba8594e532301,rifht 
24.0,ef7f46e58e4de68dfc050144594cefca94efe14a,fec128293c82e8148747e421542e5de2f11a2094 i got u broooo 
26.0,fec128293c82e8148747e421542e5de2f11a2094,sauzegheart sauzegheart sauzegheart 
39.0,e070a4e892903ac684e2876c042dfe3b8d244a86,lulw 
46.0,21633c101d0ebce996b7102e00086d11d34ef711,action nanvul welcome to the gang 
50.0,862de305928b63c89c6bbfc59196865278148fb3,back 
51.0,21633c101d0ebce996b7102e00086d11d34ef711,sauze has offered to get his back blown out 82 times sauzegpride sauzegpride sauzegpride 
51.0,862de305928b63c89c6bbfc59196865278148fb3,monkas 
64.0,ef7f46e58e4de68dfc050144594cefca94efe14a,lolol 857552598e8b24d309aad35e68245afdb83634a8 keep it uppppppp keep slayin 
68.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,f11db540927d89b85886d0a4b0c84327044fdb86 how are you 
71.0,27327267595c8a2aab6356ae98bc6893e95011ce,wtf is this view count 
84.0,085d5b4c7996ad0adfd74e046cfcb7aaaf09243a,sauzegpride sauzegpride sauzegpride sauzegpride sauzegpride sauzegpride 
85.0,862de305928b63c89c6bbfc59196865278148fb3,27327267595c8a2aab6356ae98bc6893e95011ce squishy host 
87.0,27327267595c8a2aab6356ae98bc6893e95011ce,i was just about to say how that cs game was aids 
88.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegwater sauzegwater water sauzegwater sauzegwater 
93.0,f11db540927d89b85886d0a4b0c84327044fdb86,i'm alright hbu 7c15d05fcb8aef426a209821da9eec4b160d7fe5 
98.0,7970575e49b7110be5e51e8958bcb80339d84482,demon slayer is amazing bruh 
98.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,i'm good thanks :) 
110.0,862de305928b63c89c6bbfc59196865278148fb3,61 followers 
112.0,40c9a98b11d112d35d7c8463dbc81ad12900fb73,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
113.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,7c15d05fcb8aef426a209821da9eec4b160d7fe5 my man 
118.0,7970575e49b7110be5e51e8958bcb80339d84482,bruh tanjiro on episode 19 made me nut 
122.0,862de305928b63c89c6bbfc59196865278148fb3,welcome everyone sauzegheart 
127.0,40c9a98b11d112d35d7c8463dbc81ad12900fb73,thanks for the sub 9e3bf4cfa269c08a2b776133798a7013b31d0ace 
127.0,b0a0efe44ce319c64ad591a95e3bf707fc2d1b89,brooo you watch anime i gotta follow 
129.0,7970575e49b7110be5e51e8958bcb80339d84482,nah haven't read the manga yet will tho 
131.0,21633c101d0ebce996b7102e00086d11d34ef711,action n34k welcome to the gang 
133.0,ef7f46e58e4de68dfc050144594cefca94efe14a,lolol 857552598e8b24d309aad35e68245afdb83634a8 im lil old school a lil new school mixin it up with some initial d and some one punch man 
134.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegwater sauzegwater water sauzegwater sauzegwater 
137.0,b0a0efe44ce319c64ad591a95e3bf707fc2d1b89,dont spoil demon slayer or imma have to unfollow tho lmao 
137.0,bced1f379582d8c64befc5bd7252ec44e549961f,more water 
137.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,9e3bf4cfa269c08a2b776133798a7013b31d0ace yeaahhhhh nice to see you here <3 
138.0,c25f5bd9be6c2959051d16ed5003c97b1bf724f5,manga is life 
140.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,40c9a98b11d112d35d7c8463dbc81ad12900fb73 your welcome 
140.0,21633c101d0ebce996b7102e00086d11d34ef711,action kubluhd welcome to the gang 
140.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegwater sauzegwater sauzegwater 
143.0,f83f0f73987e065ddd5ba20bc14abae93652af3b,babyrage 
144.0,21633c101d0ebce996b7102e00086d11d34ef711,action chevre999 is new to the stream can we give them a fat ass welcome to the stream chevre999 welcome brother sauzegheart 
145.0,27327267595c8a2aab6356ae98bc6893e95011ce,i mean 2 years 
150.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,song 
150.0,21633c101d0ebce996b7102e00086d11d34ef711,phaseone & subtronics - demon hunter requested by dad_joke_guy 
160.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,subtronics so good 
170.0,7970575e49b7110be5e51e8958bcb80339d84482,yeah watch anime every episode episode 19 when he pulled that fire shit out was mad bruh 
173.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,c82e7d9f13c587b43c353ee07fda03ec3720fd05 i knoooooooooow trihougasm 
174.0,1efeaf0d674346b1c072a5b38ad0ad5d9048a752,grygamkria 
180.0,1efeaf0d674346b1c072a5b38ad0ad5d9048a752,hi 
183.0,b0a0efe44ce319c64ad591a95e3bf707fc2d1b89,chill 
183.0,862de305928b63c89c6bbfc59196865278148fb3,welcome everyone sauzegheart 
188.0,f522889dae717106d668b1b47a300a953c4a48f4,nice shot 
188.0,21633c101d0ebce996b7102e00086d11d34ef711,action cakewalker95 welcome to the gang 
196.0,bced1f379582d8c64befc5bd7252ec44e549961f,welcome everyone sauzegheart 
199.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,saw him open for boogie t gwn and dirt monkey once 9e3bf4cfa269c08a2b776133798a7013b31d0ace 
200.0,21633c101d0ebce996b7102e00086d11d34ef711,action zavvn welcome to the gang 
205.0,bced1f379582d8c64befc5bd7252ec44e549961f,oml cakewalker gotta love that name 
208.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,it was so tight 
209.0,7970575e49b7110be5e51e8958bcb80339d84482,i have a website to watch every episode of the anime 
210.0,21633c101d0ebce996b7102e00086d11d34ef711,action gamingchef2005 welcome to the gang 
214.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,c82e7d9f13c587b43c353ee07fda03ec3720fd05 i havent seen live yet i want too 
218.0,bced1f379582d8c64befc5bd7252ec44e549961f,we got a cake in here hekiwow 
220.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,this car is awesome 
221.0,21633c101d0ebce996b7102e00086d11d34ef711,action thecannon90 welcome to the gang 
224.0,7970575e49b7110be5e51e8958bcb80339d84482,i like the mist pillar tbh 
226.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,omg dude if you think you like him now 
230.0,21633c101d0ebce996b7102e00086d11d34ef711,action thekarelin welcome to the gang 
237.0,21633c101d0ebce996b7102e00086d11d34ef711,action corneliusuh welcome to the gang 
238.0,b0a0efe44ce319c64ad591a95e3bf707fc2d1b89,ight imma fucc witchu 
245.0,7970575e49b7110be5e51e8958bcb80339d84482,nezuko best girl ngl 
250.0,21633c101d0ebce996b7102e00086d11d34ef711,action henrolos welcome to the gang 
251.0,9e3bf4cfa269c08a2b776133798a7013b31d0ace,7c15d05fcb8aef426a209821da9eec4b160d7fe5 how are you man 
270.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,9e3bf4cfa269c08a2b776133798a7013b31d0ace i'm doing great thanks :) how are you 
283.0,21633c101d0ebce996b7102e00086d11d34ef711,action sinthex123 welcome to the gang 
284.0,50a5928371d7128d764b3329fe31f475eb2a9e08,so like who raided 
285.0,f11db540927d89b85886d0a4b0c84327044fdb86,all the new people join the discord 
287.0,f11db540927d89b85886d0a4b0c84327044fdb86,discord 
287.0,21633c101d0ebce996b7102e00086d11d34ef711,join the discord server and let's hang out when i'm not live: https://discord gg/agxywdn 
289.0,bced1f379582d8c64befc5bd7252ec44e549961f,food car skiwichaos skiwichaos skiwichaos 
294.0,21633c101d0ebce996b7102e00086d11d34ef711,action dad_joke_guy just gave some sauze to the community 
297.0,7970575e49b7110be5e51e8958bcb80339d84482,tanjiro kinda already op tbh just straight off the bat because he always fights a stronger demon each episode and hes just cracked 
298.0,76fc78b4380cc35f27117e2dd704dc16ab9e6b89,yo 
303.0,21633c101d0ebce996b7102e00086d11d34ef711,action dunkinson_ welcome to the gang 
304.0,c82e7d9f13c587b43c353ee07fda03ec3720fd05,subtronics artist that made the song we were listening to a little bit ago 857552598e8b24d309aad35e68245afdb83634a8 
304.0,bced1f379582d8c64befc5bd7252ec44e549961f,hekipog hekipog hekipog hekipog 
305.0,21633c101d0ebce996b7102e00086d11d34ef711,want to start streaming don't know where to start streamlabs obs is the software that sauzegod streams throughstreamlabs obs here each download from this affiliate directly supports sauze : https://streamlabs com/slobs/d/6186841 
306.0,f11db540927d89b85886d0a4b0c84327044fdb86,yo 76fc78b4380cc35f27117e2dd704dc16ab9e6b89 
311.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
311.0,7c15d05fcb8aef426a209821da9eec4b160d7fe5,9e3bf4cfa269c08a2b776133798a7013b31d0ace thanks for the gift sub no way <3 <3 <3 
312.0,862de305928b63c89c6bbfc59196865278148fb3,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
312.0,862de305928b63c89c6bbfc59196865278148fb3,sauzegheart 
313.0,862de305928b63c89c6bbfc59196865278148fb3,sauzegheart 
314.0,862de305928b63c89c6bbfc59196865278148fb3,sauzegheart 
314.0,862de305928b63c89c6bbfc59196865278148fb3,sauzegheart 
314.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
315.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
316.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
318.0,fec128293c82e8148747e421542e5de2f11a2094,sauzegheart sauzegheart sauzegheart sauzegheart 
319.0,bced1f379582d8c64befc5bd7252ec44e549961f,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
320.0,40c9a98b11d112d35d7c8463dbc81ad12900fb73,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
321.0,2993956ddf81cdc6e5f3a61117ad789c805bf691,sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart sauzegheart 
