Time,User,Message
0.0,19dcab96110b176d11e6adf443e6d146daa981fb,that harmonia guy is super mature with his spooky flashlights 
3.0,d46cff81027480f02b4034c4612698e51c0bb58c,hi tofu tfucute 
7.0,c2736f94aa74f6545765db075cb31931f7bc7297,whats the point of being mod if you cant ban people who disagree with you lul 
7.0,1a1126957bfd89536891521fab5d2f5c03e65867,lol ive seen that 
8.0,6351976a93006f0985b405cbb8783b92b05d9ad3,some adults act more like 4 year olds 
14.0,d46cff81027480f02b4034c4612698e51c0bb58c,tfulove tfulove tfulove tfulove 
33.0,0206d62dddfbf11a763bb711a70878e22270859e,one time i got banned here for being too beautiful 
35.0,b6a3d4f9fef8b32f0014dd2160ac59d3ebaa12af,i don't mind banning lul or explaining why someone is being an idiot 
36.0,d46cff81027480f02b4034c4612698e51c0bb58c,tfu3 
53.0,6351976a93006f0985b405cbb8783b92b05d9ad3,o h i can bring the ban hammer lol 
54.0,a50513f3c025b0829e10c0f35eb76b27a459a877,never was banned tfuwink tfuwink 
63.0,29c27b8aa7da8887a4b0f61ea8c10506426a197f,screams in legacy nurse 
66.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,hi tofu hi chat tfulove 
67.0,1a1126957bfd89536891521fab5d2f5c03e65867,pepehands 
72.0,a50513f3c025b0829e10c0f35eb76b27a459a877,anybody knows how long hes is playing dbd :3 
74.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,long time no see 
82.0,29c27b8aa7da8887a4b0f61ea8c10506426a197f,legacy nurse is when the game actually becomes scary 
82.0,a50513f3c025b0829e10c0f35eb76b27a459a877,how 
86.0,3c9304d9aef65a4a5308eb147a6fc65148205e4b,communities are different some like the trash talk noobs just for chat talk 
86.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,a50513f3c025b0829e10c0f35eb76b27a459a877 this is his main game 
88.0,0206d62dddfbf11a763bb711a70878e22270859e,is she a no blink nurse lol 
95.0,a50513f3c025b0829e10c0f35eb76b27a459a877,amazing how long 8b255ceb87ea18ced094aabf96e1f4a188c6ba63 
97.0,f7558a9ca145e81081a1decb0e8ac4d59e5f7fa2,stream sniper maybe 
103.0,1a1126957bfd89536891521fab5d2f5c03e65867,a50513f3c025b0829e10c0f35eb76b27a459a877 how long today or how long in general 
107.0,7010a242518a94a6d827128c8350be8ae6093297,legacy nurse is so beautiful 
108.0,a50513f3c025b0829e10c0f35eb76b27a459a877,genreall 
111.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,a50513f3c025b0829e10c0f35eb76b27a459a877 like his schedule or overall 
113.0,1a1126957bfd89536891521fab5d2f5c03e65867,monkahmm 
116.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,i leave to go overseas in a few days owo 
118.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,hours 
122.0,5e347f74f1dbf899c7454bf35bf27460acfa3706,i'm 16 
126.0,5e347f74f1dbf899c7454bf35bf27460acfa3706,hello 
128.0,5e347f74f1dbf899c7454bf35bf27460acfa3706,it is 2:29 in the morning when do you go to sleep 
130.0,a50513f3c025b0829e10c0f35eb76b27a459a877,wow and since how many years 
145.0,1465473ff1b8a329d97a02f8744800b9d294fabb,i would imagine since you didnt change your name a lot of people know you are doing the head on 
147.0,b6a3d4f9fef8b32f0014dd2160ac59d3ebaa12af,lol 
153.0,7010a242518a94a6d827128c8350be8ae6093297,smh 
158.0,b6a3d4f9fef8b32f0014dd2160ac59d3ebaa12af,i'm 16 hello is it late when you do sleep 
164.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,im visiting my brother in poland lol yeah ill pack you guys in my suitcase 
172.0,1a1126957bfd89536891521fab5d2f5c03e65867,heh heh heh 
177.0,b6a3d4f9fef8b32f0014dd2160ac59d3ebaa12af,evillaugh 
179.0,0206d62dddfbf11a763bb711a70878e22270859e,hi im 324 years old i like dolphins and i eat potatoes 
186.0,1a1126957bfd89536891521fab5d2f5c03e65867,ban 0206d62dddfbf11a763bb711a70878e22270859e 
188.0,d1159ac62939df9318042cbfb479cc4688cdbe7f,hey tofu just saying hi for tonight 
190.0,a50513f3c025b0829e10c0f35eb76b27a459a877,omgm this is so funny i also laugh like that when i do somethign fun ingame xddd 
196.0,d1159ac62939df9318042cbfb479cc4688cdbe7f,i just came into the stream 
203.0,acb9cebba77dcb612f7c85d79dda7d830b2c6efb,who are u playing with 
205.0,29c27b8aa7da8887a4b0f61ea8c10506426a197f,i'm here for the toxic head on stun 
208.0,889eaa570d1ee278f64cc277fd7f11b47dd71a93,86e91654e399d3057e47008419574c2c05b8bc10 i can't win with survivors i leave the basement cause i see all of them not there with bbq but then i see them trying to make a save and get accused of guarding and doing that just because they're a streamer heaven forbid i take advantage of a situation and zone survivors and snowball pressure 
210.0,7010a242518a94a6d827128c8350be8ae6093297,swf 
214.0,7010a242518a94a6d827128c8350be8ae6093297,smh 
216.0,e09a4e05ae7f192b2b458cbe0e2a677d0a0ab1e8,legacy 3 nurse is scary monkas 
216.0,b6a3d4f9fef8b32f0014dd2160ac59d3ebaa12af,tfuhi d1159ac62939df9318042cbfb479cc4688cdbe7f 
218.0,48cbe010fbcaa186df64fe676821a06b310ac393,0206d62dddfbf11a763bb711a70878e22270859e potatoes are life <3 
218.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,acb9cebba77dcb612f7c85d79dda7d830b2c6efb his wife october 
221.0,6351976a93006f0985b405cbb8783b92b05d9ad3,what is poland like f2c832dd0f31efdf4c71db9c9f789ee24873b15e 
228.0,0206d62dddfbf11a763bb711a70878e22270859e,wait am i banned 
235.0,1a1126957bfd89536891521fab5d2f5c03e65867,swf 
241.0,877e948a6ca65e861144ce3a963cdd5edde40d9e,is it true head on is the best perk in game 
242.0,1a1126957bfd89536891521fab5d2f5c03e65867,monkahmm 
247.0,1a1126957bfd89536891521fab5d2f5c03e65867,there is no command 
249.0,d1159ac62939df9318042cbfb479cc4688cdbe7f,hello hello not much whiskey night for me tonight 
251.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,6351976a93006f0985b405cbb8783b92b05d9ad3 ill be able to tell you in a few days when i go there tfu3 
253.0,625039e16c566f730a06b10f142645f9bcc23455,rest in pepperoni 
254.0,1a1126957bfd89536891521fab5d2f5c03e65867,nightbot ded 
263.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,editcom swf tofu is playing with his wife october 
263.0,a50513f3c025b0829e10c0f35eb76b27a459a877,my best friend got banned yesterday till tomorrow because bad words people are funny 
265.0,877e948a6ca65e861144ce3a963cdd5edde40d9e,i trust vegans 
277.0,6af6474bfcc7d2355aad03c32ba5934b005401bf,swf 
277.0,d1159ac62939df9318042cbfb479cc4688cdbe7f,just enjoying the rest of my night watching you guys 
292.0,b2238f6837d0bb13fadf32afd8c8d0edd8550eb9,first time on twitch 
293.0,877e948a6ca65e861144ce3a963cdd5edde40d9e,i also trust based on music taste 
296.0,1a1126957bfd89536891521fab5d2f5c03e65867,well tofu i cant trust someone who eats eyeballs 
299.0,1a1126957bfd89536891521fab5d2f5c03e65867,for fun 
303.0,b1f8cd621740d07cac6866587c0244a5ab63d64e,i only trust people with legacy 3 tbh 
319.0,29c27b8aa7da8887a4b0f61ea8c10506426a197f,toxic 
321.0,243e0f4657cde7c1066847323b8bcc11b99527d6,is it bad that i don't trust ppl who eat ppl 
324.0,e8c0b5d2a711e9862503bb7b6f04c125765a0a48,mavcomfy gnight nerds 
328.0,e8c0b5d2a711e9862503bb7b6f04c125765a0a48,enjoy the rest of stream tfulove 
333.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,goodnight e8c0b5d2a711e9862503bb7b6f04c125765a0a48 
344.0,6351976a93006f0985b405cbb8783b92b05d9ad3,f2c832dd0f31efdf4c71db9c9f789ee24873b15e i expect an amazing story of adventure tfucoffee 
347.0,d8e7633597c11d1cc5945e0b86e936af221512a1,pepesus 
349.0,1a1126957bfd89536891521fab5d2f5c03e65867,goodnight mav 
349.0,0206d62dddfbf11a763bb711a70878e22270859e,probably hasnt played since 2016 
358.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,i was busy over the weekend so i couldnt catch the streams again tfucry i should bring my laptop and watch the streams from poland haha 
358.0,e09a4e05ae7f192b2b458cbe0e2a677d0a0ab1e8,86e91654e399d3057e47008419574c2c05b8bc10 fake legacy or high as fuck 
370.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,e09a4e05ae7f192b2b458cbe0e2a677d0a0ab1e8 whynotboth 
373.0,29c27b8aa7da8887a4b0f61ea8c10506426a197f,some really good nurses like to meme around alot 
380.0,fa94c0fd98ab1cf38b61df98ebe3cfc7eef8854d,i'm trying to make a gif for smth important and nothing i do looks good zubsaaaaaaaaaaaaaaaaaad 
392.0,f2c832dd0f31efdf4c71db9c9f789ee24873b15e,maybe i can catch the end of them in the mornings tfu3 
394.0,0206d62dddfbf11a763bb711a70878e22270859e,beyorn to be wild 
402.0,1a1126957bfd89536891521fab5d2f5c03e65867,ban 0206d62dddfbf11a763bb711a70878e22270859e 
408.0,8b255ceb87ea18ced094aabf96e1f4a188c6ba63,gottem 
411.0,02d5cf9240f76384e8fffd96ed6db1de7ebefc1a,puppsalty puppsalty puppsalty puppsalty 
419.0,02d5cf9240f76384e8fffd96ed6db1de7ebefc1a,tfucall tfucall tfucall tfucall tfucall 
454.0,a50513f3c025b0829e10c0f35eb76b27a459a877,im now trying to get into you lobby hahaha tfu3 tfu3 tfu3 
464.0,ddfefb564f2544ce69c78b6de70f2988bb85f9fa,stream roblox tfuk 
473.0,b2238f6837d0bb13fadf32afd8c8d0edd8550eb9,this game looks so fun where do you get it 
