Time,User,Message
0.0,24ad2447f91218a37207f99e21209c7a5da6ac1f,take 1 lvl of rift 
0.0,ebea6a57acb4997a1635fb0c93dd61921fd91764,a20ac12c09c7fd1c9df714a601d2d6966f6ff170 i'm really bad with names 5head 
3.0,9943538d340861f13260e61261ed01f1f5c1ae01,alliance lost to this 
5.0,1694f2ea1c4703399e4315f159d9875697501366,663b93ab28540888cb55246b35dfa0990bb6748d lul lul lul lul 
5.0,74476b92b687a5348981155d8eaff9c34c80876b,fastfarm rofl 
5.0,a1fa9a9bf87c0f4af48f717d9805fa882fb78129,midas feelsweirdman 
7.0,e4c6ffeb48dc2aa7e5c3dbb301c87a97f106e2bd,crebpls hahaa 
10.0,4c1b111fe5289029b65cb93cef97a9c5af18a260,lulw 
10.0,682fd4998672fc6c71f68a703297dfda80673249,omegalul 
10.0,dc15b2ba6608af18612c83114d0d0313a4db1fe2,monkaspin 
11.0,5f82427e21a13e80c8b94a85baf8dcb0efc1ea4d,if only you got lucky 4head 
11.0,f7bf289457bdb5f7e19cf5b3045cbfd7a636df7b,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 wtff 
11.0,0b86bb74dc6ec2620f0881207e9f90c72ec20661,wtff 
12.0,2e80eebb1b62c8f4f71b8aa7c710eb13a9c27dd6,pepelaugh ck is free win 
12.0,7adc28ee104b02973b228dc7e054f43681c7da61,ck no w lulw gorgc no w lulw 
14.0,defbd8e66eb824475ac06dfe0ef10989e76243f8,cakew 
16.0,2aaa5138b92ea37d299fcf8f9877f92e3f5ac398,kekw 
17.0,cf0e1c0e01da1348a4946cb58d3114e682f68d5d,heyguys 
17.0,e051d2d0102735f23933e96d759c0597831c767c,pidas lulw 
18.0,af5097747222362e8ad9eaf54bbd5fb9d04b528f,no w 
19.0,f7cf7194217c60c67d38aeb8b0787f7ca2c2c748,midas feelsweirdman 
21.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,cakew clap 
22.0,b65d4876c4e95e7c0c68440dddca21ded06ab05a,still no w 4head 
23.0,de3594b55a69701708c77736759ec3bcef144981,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 wtf how come you can use kekew؟ 
24.0,ec306c7704b829438b8b5f99d89afef82630946d,midas = win 
25.0,f7bf289457bdb5f7e19cf5b3045cbfd7a636df7b,flames21w 
25.0,a20ac12c09c7fd1c9df714a601d2d6966f6ff170,ebea6a57acb4997a1635fb0c93dd61921fd91764 no its nw's current singer performing wit hnw but u need to watch it 
25.0,7314a095a288344b06193117d11533494c47810c,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 how can u type kekw wtff 
25.0,7adc28ee104b02973b228dc7e054f43681c7da61,score 
28.0,d46fce650a3a30e84551d20d37964f9574ff8e63,no w permasmug 
28.0,2e80eebb1b62c8f4f71b8aa7c710eb13a9c27dd6,01dbf631c782b793a8485cabfcf7efa57cf03dee wtff inkop still global muted 
29.0,672a7093a3786ebe5abaab02ed6f68f49e345ac2,still doesn't get w lol 
31.0,5166655e40f181df4640266320a268b49a20d69b,life teach us nothing 
32.0,3b91e2ce312d6ee16ef5c9d7d6217547893a36c9,w is for noobs permasmug 
32.0,f19407a7c16f47a0749d85669ac675899acb098f,hswp 
34.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,cus i have kekw on my own channel flames21w 
34.0,69192615f59d585bd8275db653aa357c57213bf4,np 
37.0,586ce15def99805684a4fb7eba828960f6cd1b04,pogchampion 
37.0,682fd4998672fc6c71f68a703297dfda80673249,zai is so done lul 
39.0,351490d3f04c0c930b259d93a169ff6c7e28cea0,song 
40.0,70efc2e80c0e3e4285251333373e4f9dafa4e1c3,87a91bf6a7ff0db4e9b831749903683272872412 why no w scale 
40.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,gotem jebaited 
43.0,b6c8b727569cc19928adb0c948b6af220a7ccce6,lost to synderen lol rest were spectators :) 
45.0,a261e714685499afd70f6186168ba6281b16be4c,pepemeltdown 
45.0,30bf8967ebe7ae399b7cb7d285f3543c0478fe98,lul 
45.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,cakew superior emot 
45.0,f48935e6220ecaf93b38c9b8a576d314673963b7,keepo 
45.0,f7bf289457bdb5f7e19cf5b3045cbfd7a636df7b,jebaited 
46.0,7adc28ee104b02973b228dc7e054f43681c7da61,w is for win kappa 
46.0,86504ca027313f941af9d15b0e2bd117466b27df,go go ck 
47.0,48a5f5e16dc73e5c6c21171e2d548fc87053c65c,kekw 
47.0,ebea6a57acb4997a1635fb0c93dd61921fd91764,a20ac12c09c7fd1c9df714a601d2d6966f6ff170 i know i'm just saying there's also epica to listen to 
49.0,eea51e2d5bb62201d58b0e7fd9c0adb0de03860e,midas 20 min only omega lul 
51.0,a20ac12c09c7fd1c9df714a601d2d6966f6ff170,ebea6a57acb4997a1635fb0c93dd61921fd91764 dont mess with the war bro 
53.0,f7bf289457bdb5f7e19cf5b3045cbfd7a636df7b,kekw is added back jebaited 
54.0,46efc2136417245398886c38dad293e943470b4e,bad skill build and itemization kekw 
54.0,86504ca027313f941af9d15b0e2bd117466b27df,finally i see gorgc play him 
58.0,3de5c54676c0befdf6f2f552183654f42c321be7,5head 
59.0,00e42dc839df8b1dfbe048f9d4be861f2bfd5de9,kekw 
60.0,9d832038fdc78c246c9ec1086aba25de7d561a54,pog 
61.0,1694f2ea1c4703399e4315f159d9875697501366,663b93ab28540888cb55246b35dfa0990bb6748d pog 
62.0,2dc31f04804425657449eeecddf564cfa0ea5fb6,pog gim 
63.0,e051d2d0102735f23933e96d759c0597831c767c,brostroke gachibass 
63.0,4b5f97fe6a19e8942d78f6840313350f010ef755,party insta-disband after game lulw 
63.0,1d92dd2bddbab69193154a72cea8fd8289d64d5e,zai feeding you creeps lulw babyrage 
64.0,97513bb2f375d12319b169689f9fea2fa85bec5e,score 
65.0,f71417d4c0a8f6b1074ed3a94948b8231d888e01,song 
66.0,b82b7a40ed192bc6b0effaeee98eeacce1617100,song 
69.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,cakew is just better 
70.0,46c4472fddd6e9094892032b5e527afd3f46bc07,jungle lane pog 
72.0,781229e6bd57fb9c9ae280264ad4226777cc2980,663b93ab28540888cb55246b35dfa0990bb6748d pog 
74.0,f42ee0be2d8a52c8ecb707cc6cae43503bdf2d74,np 
79.0,34d5f85eb726070f58e600c65eb31b5ba83767f7,this song is so fucking good kreygasm 
80.0,fab87f28ebc4a30f713c524340ec42f21a2641a3,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 threaten to quit your job if gorgc doesnt add kekw back 
80.0,b6c8b727569cc19928adb0c948b6af220a7ccce6,f7bf289457bdb5f7e19cf5b3045cbfd7a636df7b stop the teasing smorc 
82.0,3de947a52993dad91296a3e34d06d02ad8068626,they lost to synd and sing sing not to gorp 
82.0,b580444bef31c54bf3daf1edabd86daf64b79a42,eea51e2d5bb62201d58b0e7fd9c0adb0de03860e “omega lul” pepega 
83.0,60824e43b5e674f79cdeff21dabfab76f104a2cb,15 min midas lul meanwhile gyro 15 min aghs lul 
90.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,fab87f28ebc4a30f713c524340ec42f21a2641a3 j omegalul b 
91.0,1424fd15a4b4d87b18db50b6d23274036be8536c,did he win lich game 
91.0,a20ac12c09c7fd1c9df714a601d2d6966f6ff170,ebea6a57acb4997a1635fb0c93dd61921fd91764 yes epica i think they even better technically i love the lyrics from epica 
98.0,56d9336dd0f5045121449fc6cc8fba119023cddd,w pog 
101.0,4c1b111fe5289029b65cb93cef97a9c5af18a260,no 1424fd15a4b4d87b18db50b6d23274036be8536c 
102.0,f09c4cc5a4feaff3854f280037ea7c156ede9ce1,pepejam 
102.0,97513bb2f375d12319b169689f9fea2fa85bec5e,score 
103.0,ebea6a57acb4997a1635fb0c93dd61921fd91764,a20ac12c09c7fd1c9df714a601d2d6966f6ff170 coming at ya from 1914 the best time for europe feelsgoodman 
104.0,72616c3f7ddfb84d77680ddca08d94334ff20bdb,kunkka higher lvl than gorp 
107.0,01f53ef152cc6c39ab03ff05446d09f139d5311a,np 
110.0,fc26335512e7079aa360d0d81934be76a68f6318,pepegass 
112.0,7adc28ee104b02973b228dc7e054f43681c7da61,notfine 
113.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,widepeeposad its not fine chat 
113.0,5621483d9413b83331f184e6e90a6871416101f8,np 
115.0,f71417d4c0a8f6b1074ed3a94948b8231d888e01,song 
115.0,4b8782445e73cb53c088b3a8d6842040a5696297,this is okay :) cores havent died 
117.0,2c7a26710c88be3840cf20ea6a81e084c951314c,w0-l3 feelsbadman 
118.0,df428ee0ec3f2266635b2c7f9dd373abfd98b7af,pogchampion 
118.0,1726cddad1c91c09f475e5e9d2079090f240ad80,ks fail 
119.0,2e17252abb1adf73881dae16fa7bac1d47a2719e,gm 
125.0,60824e43b5e674f79cdeff21dabfab76f104a2cb,midas same timing as gyro aghs lulw 
126.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,fab87f28ebc4a30f713c524340ec42f21a2641a3 i dont want kekw back tbh it was being spammed way too much 
133.0,672a7093a3786ebe5abaab02ed6f68f49e345ac2,we got w bois we win 
133.0,a20ac12c09c7fd1c9df714a601d2d6966f6ff170,ebea6a57acb4997a1635fb0c93dd61921fd91764 brb nice chat again 
133.0,7adc28ee104b02973b228dc7e054f43681c7da61,score 
134.0,5166655e40f181df4640266320a268b49a20d69b,great 
135.0,2b7869dd275a7ddee8895b9c8c1d6e07459c31c5,87a91bf6a7ff0db4e9b831749903683272872412 16 min pidas kappa 
136.0,ebea6a57acb4997a1635fb0c93dd61921fd91764,a20ac12c09c7fd1c9df714a601d2d6966f6ff170 i have an afternoon to kill so i have ghost love in the background 
137.0,cf0e1c0e01da1348a4946cb58d3114e682f68d5d,who is the gyro 
139.0,b6c8b727569cc19928adb0c948b6af220a7ccce6,duel fab87f28ebc4a30f713c524340ec42f21a2641a3 all e tu 
140.0,f5a5d44b2e5815ac46f0235038caed606a001762,zai probably regrets queuing with gorp lul 
141.0,a20ac12c09c7fd1c9df714a601d2d6966f6ff170,ebea6a57acb4997a1635fb0c93dd61921fd91764 ttyl 
141.0,4857f3a183fb999b6659c4a9accfdb8d94027475,kekw 
147.0,abf3a3598177dd3eb82d703abc548e2489e33c28,kekw 
148.0,db88ad304c60393d17a27810af2672f33529fe8a,np 
148.0,fab87f28ebc4a30f713c524340ec42f21a2641a3,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 bambokekk 
150.0,5f639d80ee3d978de00c99735fc094cf732d4712,np 
150.0,214f5aab219ad266297636ecd20bfcc298ae51ec,86d20d89733dae86360b4cfec49d95b97e1e7d09 u a bot 
152.0,f7cf7194217c60c67d38aeb8b0787f7ca2c2c748,np 
153.0,ebea6a57acb4997a1635fb0c93dd61921fd91764,a20ac12c09c7fd1c9df714a601d2d6966f6ff170 later man 
153.0,304c2d3fb9998b92c358f4ff6883c5d78fe633d5,87a91bf6a7ff0db4e9b831749903683272872412 you suck 
153.0,e0f54096351872231f75af1a2f177878e8899112,why did he pick ck 
156.0,cad390b2601566d89ffa0cb1bada2db622883f68,cakew banning kekw cus its the best emote cakew 
157.0,718861641d7d1cf8db620ba6bfde2d6bec84c22b,did he won with lich 
159.0,5a344b56492911334210603fc683810886153a9d,4house 
160.0,ad5c65993538aed7dd121db6676473e961a5b809,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2 we will behave next time sir :) 
162.0,4b8782445e73cb53c088b3a8d6842040a5696297,spectators :raised_hand: feelsweirdman 
163.0,73950b0e386cdc2a7a039c2ae5f4d6fc60d9cbe2,214f5aab219ad266297636ecd20bfcc298ae51ec no its me 
164.0,fc8a91bb95141635378bffcac1193a2a37a40ce4,np 
164.0,4d56e15964989d7ab0c5086b88c6b0f3a2dfac6c,i love u chat :) 
165.0,2dc31f04804425657449eeecddf564cfa0ea5fb6,stack feelsweirdman 
168.0,9beec0d6ad486081c1e702f53c57dc1cb760ebc0,score 
168.0,bc01905e619d99b7ad7a2be250293a3d292ac730,any admiralc 
168.0,6774033dace6b1e9efc1a77e602e4a6461218389,name of the song chat 
171.0,214f5aab219ad266297636ecd20bfcc298ae51ec,oh :\ 
171.0,af08294cf545ec092b8f4189854aabcddb69298c,use ur ult to farm 87a91bf6a7ff0db4e9b831749903683272872412 
