Time,User,Message
0.0,84de6f89bb2dbcadccec6b50bdd8141b0ec84466,yes 
0.0,89a92adb4dc80eb1caacc9405446b2b59e1bbaf7,haha jeez 
1.0,e49826584e5927bcc4e42781bf3239850a215336,i can feel that bass reverberating in my loins kappa 
2.0,4f4f2110cae4ca87873b896bb8f58eff42ccc5e6,too evil 
3.0,9dafc1248b4b4c726245aea4d4354f7a31f3d9a2,yes daddy 
7.0,4278a2b0f3211a8b5f891d32ca84655d0490af06,it was fine 
7.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,mat1devil mat1devil mat1devil 
8.0,659c7294e5bac9e054df03b6e2bd7e2c5ac38caa,anyone who thinks defense needs a sniper can just look at kaid and pretend 
10.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,you were completely fine 
11.0,7e87a1281c3024c6542b42e108631b7321156b32,relax satan lul 
11.0,b08a84d1a93697ab2f0c948bcb9ee8307647e67d,stop it you're giving me a case of the vapors 
14.0,e49826584e5927bcc4e42781bf3239850a215336,lul 
15.0,b10b8e5fa521a17c1d9ac7149afaae7a59f04e6b,lul what 
16.0,6de102cd00d4e06ba5090ec23c8d77ac8613524e,milk me mother 
17.0,7144a148b3a51e9748c2ca49a44e8ac0baabe839,that's true imagine apex with weekly updates like fortnite :p 
20.0,b10b8e5fa521a17c1d9ac7149afaae7a59f04e6b,monkas 
26.0,39bf64d79ae7cffcd2c53fd07b7538c06cd1fb4a,hell ya 
31.0,69e6514bd072804638d67617eebf7c5e3b2d0b80,you are fine matt 
32.0,e49826584e5927bcc4e42781bf3239850a215336,7144a148b3a51e9748c2ca49a44e8ac0baabe839 yah we'd probably have people taking stress leave kappa 
34.0,35930000ece4ce23793a69c513b717bab1aeb0c7,hello mat 
35.0,8a6a4057e151b6a2cd93162837f52d854b45e0cb,you scared my six month lol 
42.0,703bd273f23943375b8d75304f6a186aa8671ca2,what's your rank 
44.0,9dafc1248b4b4c726245aea4d4354f7a31f3d9a2,everything okay matt lul 
48.0,703bd273f23943375b8d75304f6a186aa8671ca2,rank 
50.0,a474bb1c1cd045b2996341b47739cabaa2a7219c,do you think apex will be like siege where the new characters they introduce will cost more 
50.0,24b9e33a5c911386fb6cfebf35b3d0dbc20a329a,do you play on low graphic settings 
52.0,703bd273f23943375b8d75304f6a186aa8671ca2,tell me 
57.0,280b87bc4c4fd935888a640fe4c23726e760362a,703bd273f23943375b8d75304f6a186aa8671ca2 plat 1 
57.0,a7ffc85fcb059541d983946d5e62025e8df5fd38,jesus 
58.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,lol 
58.0,f84c4e3502b6e4403ac2f56ef30b24cd0dd9a24f,monkas 
58.0,7144a148b3a51e9748c2ca49a44e8ac0baabe839,darth vapor 
59.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,ash mat1scared 
64.0,68d0a6e6c136e0d009068cc9b5c9d6c81219c35a,burn it with fire mat 
64.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,wtf 
67.0,703bd273f23943375b8d75304f6a186aa8671ca2,yummy 
71.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,yikes from me chief 
71.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,spooky ash 
77.0,7ac412bc4858083eb7f9351918ab9e05bae8de30,703bd273f23943375b8d75304f6a186aa8671ca2 should be plat 1 or 2 
80.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,that's exactly what you see regardless if they *are* actually teleporting or not 
81.0,f7c654828e88dc31f0d417b8105e1f6375f9b9f5,hello matt :waving_hand: 
89.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,you see nothing because you can do nothing mat1devil 
114.0,541f8a2141a787f2f6f716fde6b225d7580a7d04,wow that enemy name what a keeper 
138.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,541f8a2141a787f2f6f716fde6b225d7580a7d04 which one 
154.0,541f8a2141a787f2f6f716fde6b225d7580a7d04,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c oh you will know it when you see it 
187.0,89a92adb4dc80eb1caacc9405446b2b59e1bbaf7,are you cereal 
199.0,a7ffc85fcb059541d983946d5e62025e8df5fd38,emote ideas for matt matt icon holding a cross to save against the teleporting demons 
200.0,f84c4e3502b6e4403ac2f56ef30b24cd0dd9a24f,mat1champ mat1champ 
202.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,noice mat1cool 
206.0,68d9add939e3688bb79ef5eec4960333c5a4442b,hey i just wanted to say keep up the work and just keep it up and you'll get there one day you'll be that one one day 
209.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,mat1hey mat1hey mat1hey mat1hey mat1hey mat1hey mat1hey mat1hey mat1hey 
217.0,f313e3914530ff81b7449b6546665bc487665d17,893c72e4baa5ad264d837a60ea68db18f89b146d nice wall trace tho 
219.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e :waving_hand_light_skin_tone: 
220.0,83b4a7c30412ff6335c72fa6f1bb6097cdef50cd,the sweetness has been delivered 
221.0,68d0a6e6c136e0d009068cc9b5c9d6c81219c35a,yes you better of set it on fire 
223.0,659c7294e5bac9e054df03b6e2bd7e2c5ac38caa,siege is now x files 
227.0,71be3f420f0687924d17b03c1f9bef9b8aa6fa3c,so what's your fav anime all time 
231.0,c2323bfe5dece789329fd497dd720ec1548478c0,i saw it she warped across kitchen doorway 
232.0,755e4d07eb182203c3361740b926bddfbe19ed6c,hey mat 
232.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c mat1hey mat1hey 
243.0,ab7783a907f29116d909b43563d9814fcc422ae9,893c72e4baa5ad264d837a60ea68db18f89b146d do you think ranked will be more fun and serious with the changes next season 
246.0,280b87bc4c4fd935888a640fe4c23726e760362a,ash is casper the unfriendly ghost 
246.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,71be3f420f0687924d17b03c1f9bef9b8aa6fa3c mat like mha 
247.0,7ac412bc4858083eb7f9351918ab9e05bae8de30,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e mat1hey 
250.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,nonsense this teleporting you all speak of is just ash doing ash things 
254.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e mat1hey 
260.0,24b9e33a5c911386fb6cfebf35b3d0dbc20a329a,do you play on low graphics 893c72e4baa5ad264d837a60ea68db18f89b146d 
261.0,68d9add939e3688bb79ef5eec4960333c5a4442b,redcoat theringer joncarnage joncarnage kappa jkanstyle joncarnage ;p :/ <3 :z :o :z :o :z <3 :/ > :/ :( ; :( :/ <3 > :o jkanstyle redcoat optimizeprime kappa joncarnage joncarnage r joncarnage ;p kappa kappa :p ;p ;p <3 :/ :d :/ :d <3 :/ :d <3 > 
266.0,a2f24590eec6622ac554d1c117f38925faedf221,such spook 
271.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,68d9add939e3688bb79ef5eec4960333c5a4442b what do you accomplish by doing that 
272.0,c2323bfe5dece789329fd497dd720ec1548478c0,kgtvubiplz 
273.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,just ash things 
284.0,39bf64d79ae7cffcd2c53fd07b7538c06cd1fb4a,nook cav vigil and now a teleporting demon ash 
308.0,68d9add939e3688bb79ef5eec4960333c5a4442b,artel srry bro 
317.0,5434399fed8d34644797b48b1b21ba239fd4c02c,mat1champ 
319.0,cc00a82bbcc4573bb0678e809899eaeaa6234371,hi^^ 
336.0,cc00a82bbcc4573bb0678e809899eaeaa6234371,get patted chat 
340.0,42f72364e7a27c437cf3b9364bc88705b2a2e57b,lol 
344.0,cc00a82bbcc4573bb0678e809899eaeaa6234371,^^ 
356.0,7ac412bc4858083eb7f9351918ab9e05bae8de30,mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1praise mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong mat1bingbong 
378.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,d: 
383.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,lazysi4glory lazysi4glory lazysi4glory 
390.0,0b6dde421dbbb9e42cff3ea906dd6371e1e854c5,oh hi mark 
410.0,cc00a82bbcc4573bb0678e809899eaeaa6234371,that prefire 
412.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,ez clap 
414.0,cc00a82bbcc4573bb0678e809899eaeaa6234371,gj 
419.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,you guys didn't have a hard breacher good thing that wall wasn't integral 
445.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,mat1uh 
458.0,0be88764952d760caa62f34e77f4883d8605decc,glory face 
458.0,ab7783a907f29116d909b43563d9814fcc422ae9,893c72e4baa5ad264d837a60ea68db18f89b146d who would you say your mains out or at least favorite operators 
471.0,89a92adb4dc80eb1caacc9405446b2b59e1bbaf7,did you get a brownie from a stranger matt 
481.0,ee4e765fd39cd196df80c2032e79b9bd0dd92589,why don't you use discord when you play with subs 
492.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,541f8a2141a787f2f6f716fde6b225d7580a7d04 were you talking about the guy called garbage or play boy lul 
505.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,ee4e765fd39cd196df80c2032e79b9bd0dd92589 some people are extremely loud by default plus siege's voice comms are fine when it isn't borken 
556.0,541f8a2141a787f2f6f716fde6b225d7580a7d04,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c the one that isn't using letters for a name 
570.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,mat1what 
578.0,a7ffc85fcb059541d983946d5e62025e8df5fd38,what 
581.0,e49826584e5927bcc4e42781bf3239850a215336,oof 
583.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,mat1what mat1what mat1what 
584.0,84de6f89bb2dbcadccec6b50bdd8141b0ec84466,lul 
588.0,7ac412bc4858083eb7f9351918ab9e05bae8de30,mat1uh 
588.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,i only saw doorway hits there lul 
592.0,6c0fcbb91d98cf043416aafd7a514c03ba64be93,balanced gun kappa 
596.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,great replays lul 
601.0,e49826584e5927bcc4e42781bf3239850a215336,they curved the bullet kappa 
607.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,wanted 
610.0,89a92adb4dc80eb1caacc9405446b2b59e1bbaf7,wanted bullet lol 
611.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,pogchamp 
622.0,a7ffc85fcb059541d983946d5e62025e8df5fd38,damn 
625.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,watch ubi gonna nerf it 
625.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,mat1champ mat1champ mat1champ 
626.0,e49826584e5927bcc4e42781bf3239850a215336,mister_oneclick 
627.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,i remember really enjoying wanted when it came out lul 
633.0,cfa5b8f352da8d796b068fa7e74a6000cab875b7,headpop 
640.0,3cf0eda4e8d3b97bca254cb54f374f09367a7027,mat1gg 
642.0,57037af8603140a5421619f48b0e1e8764356377,what's clever about the title also hello everybody 
642.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,oneclick_sidekick 
645.0,fac98b4628915269eca36f958440f039e446591c,i saw that mat1hey mat1cool mat1gg 
649.0,89a92adb4dc80eb1caacc9405446b2b59e1bbaf7,fa1702484b916ad55eba3d5f75d7bd4a29b1748f it really was a great movie 
652.0,3bfce326db2c9d1eb86aba004d5699b7fe177cf2,893c72e4baa5ad264d837a60ea68db18f89b146d hey a new update just came out for warframe that comes with their 40th new frame ever thinking of revisting it soon 
655.0,a2f24590eec6622ac554d1c117f38925faedf221,mat1gg 
657.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,57037af8603140a5421619f48b0e1e8764356377 r/whooooosh 
659.0,280b87bc4c4fd935888a640fe4c23726e760362a,mat1gg mat1gg mat1gg mat1gg mat1gg 
660.0,e49826584e5927bcc4e42781bf3239850a215336,abbas 
663.0,e7d9c65c7e18a584b6096e4952ec3e9842d25953,is not_juan juan shot 
666.0,e61c0ec8fd976a7bfd6d37e3face4be070eee0af,so satisfaying 
677.0,a2f24590eec6622ac554d1c117f38925faedf221,isn't cherry poppin a dirty term 
678.0,e49826584e5927bcc4e42781bf3239850a215336,mat's just worried of being sucked in to that hole 
691.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,yep hes not gonna escape lul 
694.0,57037af8603140a5421619f48b0e1e8764356377,fa1702484b916ad55eba3d5f75d7bd4a29b1748f damn it 
695.0,ce7a92ef35c90ecdd508fff80f178380b7027be7,get sucked mat 
698.0,541f8a2141a787f2f6f716fde6b225d7580a7d04,they have 40 frames but the human eye can only see 30 right kappa 
698.0,ce7a92ef35c90ecdd508fff80f178380b7027be7,do it you weakling 
703.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,mat my favorite elites are ash valk iq and twitch 
706.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,warframe is one of those games where you genuinely forget it's a free to play 
707.0,7d717e42693bace48b4523fc520390ece4851ff9,ım not in danger ım the danger 
711.0,f976f9d79d0d6f0312bf34bc6e1112b86642bf4b,does anyone use nomad anymore 
725.0,a2f24590eec6622ac554d1c117f38925faedf221,b 
728.0,3cf0eda4e8d3b97bca254cb54f374f09367a7027,mat1love 
729.0,3bfce326db2c9d1eb86aba004d5699b7fe177cf2,community coordinaters 
738.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,541f8a2141a787f2f6f716fde6b225d7580a7d04 see yourself out 
739.0,3bfce326db2c9d1eb86aba004d5699b7fe177cf2,coordinator* 
741.0,916d8d0822b19d4667dbf5a15086db546a25eeba,one game away from plattttt 
744.0,916d8d0822b19d4667dbf5a15086db546a25eeba,lets go 
747.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,skies crapper residentsleeper kappa 
748.0,fa1702484b916ad55eba3d5f75d7bd4a29b1748f,we're keeping your coat as well 541f8a2141a787f2f6f716fde6b225d7580a7d04 
752.0,3bfce326db2c9d1eb86aba004d5699b7fe177cf2,what about rebecca 
762.0,7ac412bc4858083eb7f9351918ab9e05bae8de30,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42 mat1uh 
764.0,a2f24590eec6622ac554d1c117f38925faedf221,you were saying 
767.0,4c8bb05f6a556b87c45d5cdbc06d9dba423cb83c,i will never like warframe tried it once when i was 12 and just hated the game 
775.0,e49826584e5927bcc4e42781bf3239850a215336,dude they're so bad with randoms 
776.0,e49826584e5927bcc4e42781bf3239850a215336,lul 
783.0,ab7783a907f29116d909b43563d9814fcc422ae9,f976f9d79d0d6f0312bf34bc6e1112b86642bf4b in pro league she's used frequently but don't know about higher ranks 
785.0,e49826584e5927bcc4e42781bf3239850a215336,i did everything with randoms and i wanted to die 
786.0,9df0d9d13228e37aaffe44cda1f13d1136bbaf03,hey i just raided lol 
792.0,541f8a2141a787f2f6f716fde6b225d7580a7d04,fa1702484b916ad55eba3d5f75d7bd4a29b1748f mat1sad 
801.0,29625320241ed7e68f70fe51134af42be53264dc,i stopped playing after 1000+ hrs of play time 
808.0,3bfce326db2c9d1eb86aba004d5699b7fe177cf2,tried it at 12 that makes sense 
810.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,7ac412bc4858083eb7f9351918ab9e05bae8de30 ab1b3d1b791de4e440181b6dfbfc1177d84f3b42 mat1hey mat1hey mat1hey mat1hey mat1hey mat1hey sry for really late response 
822.0,e49826584e5927bcc4e42781bf3239850a215336,oh speaking of hunting stuff did you see the iceborne videos that came out today 893c72e4baa5ad264d837a60ea68db18f89b146d 
840.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42 had some mole yesterday mat1grin 
844.0,9df0d9d13228e37aaffe44cda1f13d1136bbaf03,how has your day been mat 
849.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e briexohi 
851.0,f976f9d79d0d6f0312bf34bc6e1112b86642bf4b,ab7783a907f29116d909b43563d9814fcc422ae9 i see thanks mat used her alot when she was released don't notice her at all anymore 
859.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae may1hey 
865.0,49555457010a60953b4d0a7d7cbde90c21510998,i tried dauntless today and couldn't accept the first quest mat1uh 
866.0,c57f446f06f715c49c6c411805d1f5bb39298950,fov 
866.0,ad87d68d6e99113661fd18184f1853ac9ec96552,c57f446f06f715c49c6c411805d1f5bb39298950 matimi0's field of view is 80 
867.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,mat1hey 
873.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,u know what nvm 
873.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,49555457010a60953b4d0a7d7cbde90c21510998 ajshi 
879.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,mat1hey 
898.0,49555457010a60953b4d0a7d7cbde90c21510998,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae mat1hey 
898.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,tomorrow is my last day of hs guys mat1champ 
903.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,pogchamp 
917.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,actually not pog be prepared for drowning in student debt lel 
924.0,540e4170e615b1d1c605735626a3fabcddf905f1,the graphics are so terrible on ps4 for dauntless 
926.0,e49826584e5927bcc4e42781bf3239850a215336,and the crushing reality of adulthood 
934.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,grimmyfeels 
943.0,e49826584e5927bcc4e42781bf3239850a215336,you ever get that asus tramp stamp fids 
944.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,did u just assume im smart enough to go to college lul kappa 
945.0,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e mole as in mexican mole 
948.0,2c35e22260fcf5a709e667809d32952cae249f1f,and wanting to goo back to hs 
948.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,e49826584e5927bcc4e42781bf3239850a215336 plz 
953.0,0b6dde421dbbb9e42cff3ea906dd6371e1e854c5,e49826584e5927bcc4e42781bf3239850a215336 that's too heavy 
955.0,6c960e83c7eb3f3c7b8130cb60c74dd13cd791ae,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e kappa 
960.0,aaead8e3507e92b7b48fccb812da30a50b71c24e,hi chat mahchat 
966.0,f6e6a39df7eb62d172f3afa1fa6f0a6ad9ea245e,ab1b3d1b791de4e440181b6dfbfc1177d84f3b42 no the animal that digs in the earth kappa yes that one 
