Time,User,Message
0.0,8f55d45ad08272a8b89aa2088605c0bdf9ec3dc6,e684c0053ab49703e460b4a1b28870df3fe38bed the sdeagle uses a compensator 
2.0,242f437b7375b5bd87a36042f9e095fcdd565b13,is it like cav 
3.0,89d12776a857f9ecff7a7cf31abaed278df96e58,hes a phantom 
3.0,d864a877ffbfbf3ef57e3cb67a4c73e9689756d6,watched newest video of yours it was perfect 
4.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,amazing owo 
5.0,26e4ea3fefc3ca1807a2a36f96bc8ac600220e7e,hey burger u plannin on makin some bf4 content any time soon 
7.0,83109037adf96423e3f9e9c31e3110d8033891e3,oh yeeeeeeeeeeeeaaaaaaaaaaaaaaa 
10.0,38213a6a5bdb18acd9dc105b5adcba68c4e96b9c,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i heard your going to raleigh are you having a meet and greet 
11.0,4f78649b211a4e9fd4a6ab610aa978d41e3e505d,cav sorry 
12.0,06b7b4d2829ad6e6cce88d5b3028e0390278faaf,why did the make me think of michael jackson 
13.0,5fe94a9cac9628f4f4def906a961483843e13d52,owo 
14.0,273379fd9ad92642b6762830f97e92db34246ea2,you had no right to kill vigil there 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 that was straight yoinked 
14.0,b553146806995e9fa6c541f7ea5d3012888150bf,dude wasn't there a girl ghost in that show 
14.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
15.0,8cf185e884696f085c3a28b71d98d0589ef0784f,yey 
16.0,a8d8f16dd29d049263eaf65419e601fa4327a92b,pog 
17.0,242f437b7375b5bd87a36042f9e095fcdd565b13,thanks 
18.0,a759d28f0b5be29f023b15a1cf2c0aa80953ed21,powerupl trihard powerupr 
19.0,33656aeb8f740e5a7f513d7fec0a45275b35867b,speagle 
23.0,d25d2f09075f5326560b1d49e1a911ee7f8878dc,nökk should have a secret love triangle with cav and vigil 
26.0,862eba0b43bbe3085d0105d98e8e2e809618d01b,i enjoy it 
27.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 warden be the type of person to call batman when he sees nokk 
28.0,51c6c3260ca34a1db981f4ac5f694e8ae3263c8e,all we need is some fucking smooth criminal playing while he's sneaking and we are set for life 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 
28.0,3b3257c3a5f880ece0342caf56268e4f07d21a6b,f06984fc8895eb3955a05d878ceb96ed32c7da2a there is already one about smoke 
29.0,70fbe782bab190a2d953e2b6b4b5b6451ed9b69e,white mode is a war crime in germany 
30.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,kenketsup 
33.0,83109037adf96423e3f9e9c31e3110d8033891e3,owo zoowo 
34.0,c1711328991786ab82458142bf61b37cc56c1044,f06984fc8895eb3955a05d878ceb96ed32c7da2a he already did 
35.0,8776977cc1439978fe5ec89deca800b3543d9d5e,uhm thanks but its geuce 
35.0,89d12776a857f9ecff7a7cf31abaed278df96e58,warden juice 
38.0,b553146806995e9fa6c541f7ea5d3012888150bf,aww dude it's ned flanders 
39.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,warden be the type of person to call batman when he sees nokk 
42.0,ef6efade1fd82e535c6c5311b634e6a4941d87a8,chair cam pogchamp 
43.0,7be6dfe07b87197b7a83f35cea044d03d1db64a4,somebody said juice xqcjuice 
44.0,27117170fceabac9fa4c853f99550186641589ed,b553146806995e9fa6c541f7ea5d3012888150bf think her name was dani as opposed to danny 
47.0,be94c0feb17e931f8f03d7734b8049a4c5f92a73,if i dont see a danny phantom sight - rainbow six: siege in the next month imma be hella salt 
48.0,ee5e9d773200f24c075f87a25a30cf776fb1cd91,deaaggggz 
48.0,8f55d45ad08272a8b89aa2088605c0bdf9ec3dc6,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 nook is litterally just the blanket monster 
48.0,405da82389e219a2dde525a989ed991c24f602ab,black bujr 
53.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
58.0,179fcb22b832071541e97d3617cf09490349f899,they still have light mode for mobile users 
59.0,0fc92f0d0e59f8a37be780efcbe362f652a5fee6,using lightmode is now punishable by death 
60.0,51c6c3260ca34a1db981f4ac5f694e8ae3263c8e,all we need is some fucking smooth criminal playing while he's sneaking and we are set for life 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 just saying 
60.0,6208c7af059178f83207d1c9d74da1abd9a0a642,stripwave 
63.0,8776977cc1439978fe5ec89deca800b3543d9d5e,mira is god tier fuck grouse 
67.0,242f437b7375b5bd87a36042f9e095fcdd565b13,and this stach guy 
69.0,b0a6550b6251ca7c6215c2464bc052096510686f,yeet 
73.0,59985a1d31c0d2dcb9cdf8f8697acb86c908086a,do you use footage from twitch in your videos 
73.0,242f437b7375b5bd87a36042f9e095fcdd565b13,what's his purpose 
74.0,4737eea0c1f58912e3d8353f43fb4102de9b64a4,hi badger ^^ 
74.0,e28815eeb8b551df872402525b6ed648c59de7fa,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 tbh i like ur velvet shell editing still tho 4 youtube 
75.0,b553146806995e9fa6c541f7ea5d3012888150bf,peeks a corner like hi-diddly-ho neighborino 
77.0,bcd209735dd96eff5ac065789574cd2c4b46bdc1,how´d a muppet like you pas selection 
81.0,b87f65c36ad227b091c24c47fa45031576af8f85,damn bro 
81.0,0409a7d3c2640e17b0448e27062bdf070225e11b,a-10 warthog with acog 
81.0,28e80ab58dabf471f8aaaab46cc4495127dd9259,mira got no acog 
83.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,kenketfff kenketfff kenketfff 
84.0,d25d2f09075f5326560b1d49e1a911ee7f8878dc,imagine not having an acog on a sluggie 
88.0,273379fd9ad92642b6762830f97e92db34246ea2,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i love your sub clip but have you ever even played space engineer 
93.0,53c214c2f157ef3c39de05edf91d98a71c4e61d7,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i use lightmode 
93.0,89d12776a857f9ecff7a7cf31abaed278df96e58,dumb bitch juice 
93.0,5f5fee97a8e89a4c14399c19cc42152c5f8d1e96,yo badger was up my guy 
94.0,c7852f1bab7341570699c8deca7d4e01b8085937,:sneezing_face: :sneezing_face: :sneezing_face: :sneezing_face: :sneezing_face: :sneezing_face: :sneezing_face: :sneezing_face: 
96.0,83109037adf96423e3f9e9c31e3110d8033891e3,owoof 
100.0,da289deb3f0ed2d8ac9cd033d3301ee27e9cf90e,nokk just walks into the point then activates irl incognito mode and kills tachanka 
102.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
104.0,b87f65c36ad227b091c24c47fa45031576af8f85,when's snotty boy gone be added to the operator list 
104.0,51c6c3260ca34a1db981f4ac5f694e8ae3263c8e,all we need is some fucking smooth criminal playing while he's sneaking and we are set for life 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 
111.0,28e80ab58dabf471f8aaaab46cc4495127dd9259,lion's shoots 308 not 45 
111.0,5fe94a9cac9628f4f4def906a961483843e13d52,83109037adf96423e3f9e9c31e3110d8033891e3 owoof 
112.0,79be8e3a69c4a3cededb3501387d0db3c0b3f0d8,warden really just show up to a tactical anti-terrorist force with some fuckin google glasses 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 
112.0,006ec0a2534078c0379974ba9ec13f5b0c8151ed,using light mode that's a capital punishment 
114.0,a759d28f0b5be29f023b15a1cf2c0aa80953ed21,a wild badger appeared powerupl pogchamp powerupr 
118.0,e28815eeb8b551df872402525b6ed648c59de7fa,2 5 armor zoom 
119.0,df61ceb40cfbcff9549f087d60a3189f3238ce0e,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i can imagine guece doing his jim ross impression commentating over a fat man eating at a buffet 
123.0,de2e3a44226e577efce88ec717f8850f046ed5d8,hi badger 
123.0,d418ba4e971416fd20bebda6118689a12084d63e,amazing mozzie video man 
129.0,b7ee40dff0ea1fc99c5e6291e62d696b9f39c8e8,badger can u ask if heavenly is going to stream today 
143.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
144.0,de2e3a44226e577efce88ec717f8850f046ed5d8,pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp 
146.0,ef6efade1fd82e535c6c5311b634e6a4941d87a8,490a1add907e87fa4968be404e27615e1fecc09c you just don't like gridlock cuz she can run and you can't lul 
147.0,a759d28f0b5be29f023b15a1cf2c0aa80953ed21,mozzie osborn 
147.0,8776977cc1439978fe5ec89deca800b3543d9d5e,df61ceb40cfbcff9549f087d60a3189f3238ce0e he's shoving the sweet rolls down his sweaty fat neck 
148.0,51c6c3260ca34a1db981f4ac5f694e8ae3263c8e,490a1add907e87fa4968be404e27615e1fecc09c are you streaming later 
153.0,83109037adf96423e3f9e9c31e3110d8033891e3,oh yeeeeeeeeeeeeaaaaaaaaaaaaaaa 
157.0,748186192f5f52322268610bbff7a043e972a4af,i need moar badger 
158.0,b553146806995e9fa6c541f7ea5d3012888150bf,yoooo rip lion 
158.0,740158d012ea6948022d89648690043a0ad575c2,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 try using warden and smoke together 
163.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,kenketsup 
165.0,89d12776a857f9ecff7a7cf31abaed278df96e58,warden is mr president 
168.0,ef6efade1fd82e535c6c5311b634e6a4941d87a8,a759d28f0b5be29f023b15a1cf2c0aa80953ed21 mozzie mosborn 
169.0,273379fd9ad92642b6762830f97e92db34246ea2,everyone quick make a buncha noise to distract mr concentration over here 
171.0,7d2ad315d14822dfb757a2307f82750d700660d0,whats up everyone 
176.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
178.0,06b7b4d2829ad6e6cce88d5b3028e0390278faaf,badgerrly badgerrly badgerrly 
182.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,warden be the type of person to call batman when he sees nokk 
185.0,d25d2f09075f5326560b1d49e1a911ee7f8878dc,*danny phantom theme* partial phantom 
186.0,28da770f7eff8b08c68705f226cfbcb7b4f714f7,uptime 
187.0,73a214b69b1d230f45887be9fdd9ec2b26de0a57,luda 
188.0,5fe94a9cac9628f4f4def906a961483843e13d52,7d2ad315d14822dfb757a2307f82750d700660d0 i'm chillin you 
206.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 warden be the type of person to call batman when he sees nokk 
207.0,84e3ee47cab0cfd7e454906c83dec2e9844ab631,shayne1blush 
208.0,df61ceb40cfbcff9549f087d60a3189f3238ce0e,8776977cc1439978fe5ec89deca800b3543d9d5e as gahd is mah witnass that breadstick is brokan in hahf 
210.0,5f5fee97a8e89a4c14399c19cc42152c5f8d1e96,i miss the extra thicc notifacation 
211.0,de2e3a44226e577efce88ec717f8850f046ed5d8,do you watch pri3st badger 
212.0,7bb769a41dec26cf4c28bac0f82faf69d5203683,sweet mozzie video yo doodbenny 
216.0,89d12776a857f9ecff7a7cf31abaed278df96e58,stealthy gridlock 
222.0,aa9750fa3de0fd03138f9fb376965255b9f4cf7e,owo gawe mah twitchy pwime suwb to bwager-senpaiu luv u 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 
228.0,c4a09899780d2355f50886ceb29feead4828a53e,there you go badger a twitch prime sub 
232.0,59985a1d31c0d2dcb9cdf8f8697acb86c908086a,you know what pegging isits when a girl uses a strap on and f#!@$ you 
234.0,a759d28f0b5be29f023b15a1cf2c0aa80953ed21,gridlock sneak 100 
237.0,b553146806995e9fa6c541f7ea5d3012888150bf,we got a boomer 
240.0,7d2ad315d14822dfb757a2307f82750d700660d0,5fe94a9cac9628f4f4def906a961483843e13d52 not much just join the stream 
240.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,kenket3 kenket3 kenket3 
242.0,03b69a4a81bcc501411f3a0ce6922ae9d712e85a,#refillthehonkjuice 
244.0,06b7b4d2829ad6e6cce88d5b3028e0390278faaf,he missed mine too 
246.0,d25d2f09075f5326560b1d49e1a911ee7f8878dc,take it easy 
257.0,89d12776a857f9ecff7a7cf31abaed278df96e58,dumb bitch juice= maranara suace 
259.0,3b3257c3a5f880ece0342caf56268e4f07d21a6b,he's going for the sypher1 
260.0,cbf9e8c6769a53836dac2f4a97d6db68c0ee7891,whoa bajur 
267.0,e28815eeb8b551df872402525b6ed648c59de7fa,honk juice 2 expensive 
271.0,a759d28f0b5be29f023b15a1cf2c0aa80953ed21,badger got bamboozled 
273.0,83109037adf96423e3f9e9c31e3110d8033891e3,oh yeeeeeeeeeeeeaaaaaaaaaaaaaaa 
277.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,warden be the type of person to call batman when he sees nokk 
278.0,38213a6a5bdb18acd9dc105b5adcba68c4e96b9c,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i heard your going to raleigh are you having a meet and greet 
279.0,4f43c5536c7fbe96c1c87841aebf9f64fa4dd1ad,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 what are your thoughts on shrek: the operator i think if she doesn't have something like what are you doing in my swamp in her voicelines i'm finna uninstall 
280.0,7b3e8b5dc5fac2e0377c9bdb1462b00418f8fc5b,tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab tuxbirddab 
286.0,e9f033698658d8a8ef4c3ef5d535d28f21e18996,hi 
286.0,b553146806995e9fa6c541f7ea5d3012888150bf,lion gotta make up for his useless gadget now 
292.0,7d9baeeb17f9c8d63e438ec3b5be741f5ae419ca,yo laaaaaaaaaaaag bro 
293.0,df61ceb40cfbcff9549f087d60a3189f3238ce0e,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 the way to fix lion is to literally just make him pulse on offense 
295.0,45c002d0bdd53ff81ccfb0cba76c84c223c4a591,hes a phantom 
295.0,748186192f5f52322268610bbff7a043e972a4af,cmdrshthonk cmdrshthonk cmdrshthonk cmdrshthonk cmdrshthonk 
296.0,ff57e98b8a8de95836f5566eff8ca29774a8f6f7,forrest gump 
298.0,afa87ddd9cb005a43f0f143bc047e870f526516f,do you think you'll ever go back to some battlefield 
299.0,cbf9e8c6769a53836dac2f4a97d6db68c0ee7891,pepejah 
300.0,ef6efade1fd82e535c6c5311b634e6a4941d87a8,badger: starts streaming heavenly geuce grouse eekaj mickey milk casey clu etc: my brain is so smelly now become jelly 
301.0,e9f033698658d8a8ef4c3ef5d535d28f21e18996,is nokk good 
302.0,51c6c3260ca34a1db981f4ac5f694e8ae3263c8e,all we need is some fucking smooth criminal playing while he's sneaking and we are set for life 8a14ae65968f54a1cbadd6e0ec4b4674237e9929 490a1add907e87fa4968be404e27615e1fecc09c 8776977cc1439978fe5ec89deca800b3543d9d5e 
303.0,6eaca9a4d47bfe718a337b73440312dd26419a96,tjezhorn tjezhorn tjezhorn tjezhorn tjezhorn 
304.0,f06984fc8895eb3955a05d878ceb96ed32c7da2a,giveplz squid1 squid2 squid3 squid2 squid4 takenrg 
305.0,273379fd9ad92642b6762830f97e92db34246ea2,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 i'm not blessed with knowing how to join the tts but what are warden's weapons cause i'm seeing a shotty and an smg that i'm 95% sure is a primary 
305.0,9ff8c3bb196f0a6bfdd9f0039026912e2e9c7c0c,how does it feel to die to a man named dem beans 
306.0,94dcabb35b698137b2def9ce98b39e7b1e1fbb69,nåkk 
306.0,89d12776a857f9ecff7a7cf31abaed278df96e58,a-cog on rooks armour pack 
308.0,cbf9e8c6769a53836dac2f4a97d6db68c0ee7891,pepega 
311.0,b7ee40dff0ea1fc99c5e6291e62d696b9f39c8e8,badger can u ask if heavenly is streaming today 
312.0,806814e5dccca961f0442c0c02658daf9312ed01,ah yes the smeg12 more recoil than a saturn v rocket 
313.0,5342337ea086aba787c468f862eb59b653291aaa,https://www youtube com/watch?v=bsr8hb3tpbi 
317.0,02e6cdeac7964ab4a26c8826cf9210a5fc8886eb,warden be the type of person to call batman when he sees nokk 
321.0,d25d2f09075f5326560b1d49e1a911ee7f8878dc,where's my spas-15 suppressor 
327.0,f6788d149dec8655c842a4fa1cc0dc8d12f8e736,is that a chair outside who does that or sits outside 
329.0,1aa1501bb58c1b23b7ba25accec09a99ca1a24f2,im scared to click that link 
329.0,85c96dd727020e8dd9e20af0f6926caf6a61bc39,lightmode should be an international war crime 
330.0,79be8e3a69c4a3cededb3501387d0db3c0b3f0d8,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 you can't just end that great ass video with a vr teaser and not tell us what game you're gonna be playing i need to know 
332.0,2513b9c3403678fe4e69a63c2971501cebf02991,why does nok look like he's wearing a razor helmet 
332.0,e28815eeb8b551df872402525b6ed648c59de7fa,8a14ae65968f54a1cbadd6e0ec4b4674237e9929 lion should be pulse+warden 
333.0,7b4b1eb007c19117bae9b09d04f649aaa1da2cc9,yo f in chat for the midwest 
333.0,273379fd9ad92642b6762830f97e92db34246ea2,huh cool 
