Time,User,Message
0.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,rodriquez is so slow for a cam 
25.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,but he has got nice shooting 
46.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,akanji goes for like 30k 
126.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,i bought him for 32k like when fifa released 
157.0,f092d8001d8191ada71660255f5c02c60444f7a2,change the game in ur description 
194.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,yeh it says fifa 19:face_with_tears_of_joy: 
206.0,bc6b938901367d4dcda01538e248151f17aa264c,he's doing it know 
237.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,fbtouchdown 
286.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,you should do gold upgrade sbc i got like 4 walkouts from them 
302.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,you get 2 players pack reward 
409.0,c906f1680a2798ddeb7329dc187ac249d26b80e6,easy sissoko pull:face_with_tears_of_joy: 
