Time,User,Message
0.0,819cc2e23941df560628d374d71989abb05cc34f,its 730 am in the east theres prolly a few na viewers 
29.0,a91a508fb2d330f4d71a61a3f16842d0a91bfd77,:o 
41.0,556a4c71cd061e3e3d14422a4a442072883df715,:o 
377.0,41b4742ec5a2a5cee110a26e1f64ebc854c38832,starbucks actually sucks 
377.0,0c273d3bb008b907d3c03ecf7771e6d8ac3ef172,well damn 
405.0,e79cac1097d4f53fd964cd061e2901224be4e534,its fucking small lul 
490.0,2964fca9ff34ce9eb33a58c7f8c66295911772da,it is live 
520.0,66ef09a10d91b9512fb579c41921a223978166b1,yes 
521.0,bcaff9f04f69839e451c8288d11388225e6fcadc,y 
689.0,ccb1cba7971a4cd982735dcd80957c34f1cfbcae,yes rerun is live kappa 
694.0,49b0117b625bb4e379cc8fe54829e7b29a3c5165,it is live rerun is the sponsor kappa 
717.0,5682eff8140595f27fc535ed4e7ef122178bad94,when does todays matches start 
730.0,49b0117b625bb4e379cc8fe54829e7b29a3c5165,4 hours ish 
769.0,ccb1cba7971a4cd982735dcd80957c34f1cfbcae,5682eff8140595f27fc535ed4e7ef122178bad94 you should check hltv pretty useful site 
829.0,5682eff8140595f27fc535ed4e7ef122178bad94,pretty useful indeed 
834.0,49b0117b625bb4e379cc8fe54829e7b29a3c5165,faceit have a dope ping pong table at their events 
836.0,e79cac1097d4f53fd964cd061e2901224be4e534,why check hltv if you can ask chat 
855.0,2964fca9ff34ce9eb33a58c7f8c66295911772da,i know its rerun i just want to see your toxic reaction thx 
903.0,9a8afbd3ea83660c341266c63fbf5231a5679a8c,nice tream guys :person_raising_hand: 
988.0,1436c0b474feb0e4f63aeaee196c2d4904c19452,https://www twitch tv/kirilshttps://www twitch tv/kirilskichkich 
1039.0,f0842b14f5dc22afb95abba32865ab86fad3902d,im disappointed this guy hasnt seen better shonen 
1534.0,5d19e8af63630a8d30cc8869d86b78fc5eccde44,lol 
1576.0,3a8acbbdbf4082e06767502fd4f028fb1134f9e1,bts the kpop group copyright kappa 
1644.0,0fa58ca2ddce18f92be81664cdd3621270e4a8f1,oof 
1692.0,66ef09a10d91b9512fb579c41921a223978166b1,lul 
1721.0,b3a5c533273a1c1563b0881cd01bfc5c2222c1d0,wow 
1805.0,f10b9025f1fbbfa791c11b99ad3e392e164a8280,smoooyaaa 
2102.0,c197d47607f9db38a55bde4b3fd049a8a60a9875,omg 
2600.0,0805a918a9a986fc2ba665a08dae0671e96c89d6,1 6k viewers lul major finals lul dead game lul 
2651.0,3228412bbc28d82c96cbdd8712dc8b48b465d961,it's a minor it's a rerun it's not even at quarterfinals yet 
2675.0,49b0117b625bb4e379cc8fe54829e7b29a3c5165,3228412bbc28d82c96cbdd8712dc8b48b465d961 has a big brain 
2690.0,9709d68ee1f01e7ac3edea4422bb90949944ed8a,galaxy brain even 
2714.0,49b0117b625bb4e379cc8fe54829e7b29a3c5165,not even a minor 
2728.0,603852ffaf0ba5d0a86c551a637249a4066882b8,imglitch 
3083.0,7bf0b58b0b56c76b2d94b3de7410419ef8a49732,schedule 
3217.0,b6a285466662dd73d19f6a3271c32df25ed5a5ac,damn 
3228.0,8ebd1aec55fef7b75cf7b4f04c4cd18c6f34e380,rerun pog 
3303.0,04ca0730b53249065571236e247735ffc2cd3478,god smooya 
3372.0,1d69271f3dabb7a4719940024a43199d1d4cff2a,is that live ore a record game 
3531.0,8ebd1aec55fef7b75cf7b4f04c4cd18c6f34e380,rerun: renegades vs ghost map 2 inferno - cs_summit 4: group stage 
3703.0,ad1c9959d4d96fee1c678e2b40712624912d6722,lul 
3887.0,d855fb847174c4f5dadd049982144eeb7abbf7e0,rerun is sponsor 
3995.0,f262991c3fe992c2c6c524de4d42891130aa605a,god steel 
4006.0,04ca0730b53249065571236e247735ffc2cd3478,god steel 
4054.0,0f96bd9e453a74cffe807799e81b160777778c4e,that was smexy 
4407.0,0f96bd9e453a74cffe807799e81b160777778c4e,jr 
5006.0,3e4f8fd166990509009427326b807028891d6b74,pog straight into another game 
5026.0,61da8f8ac838e9f17e407c379d21ee38937c4f39,is this live 
5062.0,0fe89078f60a792b732d907a9e0d884179490c6b,no can you read 
5100.0,6e50bb4bb4de7011e364b5de074a02401317f4bf,was tl new branding of team liquid 
5118.0,61da8f8ac838e9f17e407c379d21ee38937c4f39,i can but it doesn't say 
5134.0,61da8f8ac838e9f17e407c379d21ee38937c4f39,that's why i asked 
5134.0,0fe89078f60a792b732d907a9e0d884179490c6b,rerun: ghost vs liquid map 1 overpass - cs_summit 4: group stage 
5165.0,61da8f8ac838e9f17e407c379d21ee38937c4f39,and where exactly it says that isn't live 
5203.0,0fe89078f60a792b732d907a9e0d884179490c6b,rerun 
5338.0,e52fa94ac19d0dd6afa98f50592b09524d72d8ef,yeah 
5435.0,50758c22cad06a294b3f0e341945ebd99b3bb00b,dead chat 
5443.0,f0a17ba3d75e139e84361456279e71f9c480372f,what time does day 3 start 
5513.0,0fe89078f60a792b732d907a9e0d884179490c6b,3 5 hours 
5546.0,0fe89078f60a792b732d907a9e0d884179490c6b,wardell bot 
5569.0,f0a17ba3d75e139e84361456279e71f9c480372f,thx bb 
5658.0,d4a7bb6f976c97674e79c00ac90e764b7a62bf38,oh god not this game again 
6258.0,358bf30c71ba30134070b8d2a7174fee7b2e451a,lul 
6331.0,9cec96a10511274653f44d90bfddd5017bacd3e1,na lul 
6362.0,358bf30c71ba30134070b8d2a7174fee7b2e451a,press f to pay respects 
6392.0,358bf30c71ba30134070b8d2a7174fee7b2e451a,why exactly was lul grounds for having my message deleted 
6427.0,b8d529c07847016ba407d198aef939f97fb05e75,i love cs (: 
6435.0,f4fb8884ebd6e381c88122ce9f3004a966b01d25,laughing is toxic duh 
6528.0,5c09c964b2e1c61bd26b7b61c2192b5f19e073cb,bracket 
7282.0,02e0571c5e70404fd7958e9b474a3c624c499d4f,hello i'm new 
7332.0,e7023d785c0b2747511f4c6fd467af48e4552b36,hi sultan :p 
7484.0,81cf4661f93fc5df4ee32d5755e1f652f2f2fe2a,lul 
8577.0,8aae45cbe04e5e4881131e60970345d545a247de,dand 
8844.0,a2a4027c1319f18494cdbde6996ec251ad319caf,its fife 
9206.0,f1f1932c8033d307553140d55b274a7a5700fb7a,ass nuggets 
9481.0,3c0a044c9f161eb062f4da9041a94328bb45b9fd,and this is supposed to be the best team in na :d 
9754.0,0a232ef12a401f826b8c92ca5ecb5870c672e9a8,bracket 
9848.0,5610cc14ed1a5c672ce759bc1d3225a5110ad18b,casters 
9873.0,5610cc14ed1a5c672ce759bc1d3225a5110ad18b,caster 
10007.0,223f557db232cb31658ad4f77761446765f4682e,jason moses o tool launders henry g and fifflarren 
10026.0,5610cc14ed1a5c672ce759bc1d3225a5110ad18b,223f557db232cb31658ad4f77761446765f4682e thanks m8 
10067.0,223f557db232cb31658ad4f77761446765f4682e,youre welcome 
10209.0,482947292c9f2ec752e5808ce504e2c436321f8c,lol i love moses getting his whole name in there 
10225.0,482947292c9f2ec752e5808ce504e2c436321f8c,thats how i know youre a fellow american 
10256.0,223f557db232cb31658ad4f77761446765f4682e,im not american tho ^^ 
10402.0,72daf84a5e12946339c5af04f849bdca92f3b331,hi 
10617.0,78818cdf725de41d6694563e6afc158ef496427c,from what country is ghost 
10620.0,a275ead42b8fc0ad3b329fa5a0b15b0f32f0127b,daddy 
10818.0,964e9ff82694d68f31f720e681fb8b0c1241bd31,murica 
10821.0,ac556bf1b4dd774f8f9bed29c4a1183fbc689388,residentsleeper 
10846.0,42f265368a6d7bd1f18341ed5b5d5569be7f4401,tempun liqid 
10856.0,ac556bf1b4dd774f8f9bed29c4a1183fbc689388,lul 
11190.0,9024f933123b24fe995a2f3768729f54caad6e65,https://popflash site/scrim/ryokyc8ae 
11277.0,119f41e9834a85b32a61e26bc217bea53a028738,wtf 
11411.0,f2b0928be7e1d860aa914eb45fd847975e70ed59,casters 
11427.0,f2b0928be7e1d860aa914eb45fd847975e70ed59,cast 
