Time,User,Message
0.0,fd5fb0f83c723144da63857a345f954e083cd471,uptime 
6.0,1b6a61c0fae2f89c2b85aff39fa7999213cbd499,f36ff10637a32d3a5bba3a7c5b55932eba97810b it does fuck all especially in corrupt 
9.0,da11e10c0aa19c15addac1b91e98ce9612e6cc5d,a lot 
14.0,dc8c554c60a0098cbb0fa04a8c49cada6f6c197c,afbbfdb6ab5d6fd40747e736e7dba9005e6c3917 i dont know why i said thursday i meant saturdat 
14.0,809e01e3feba7ac2dbec03470b373f07e7867558,how's ur face 
15.0,0f9bbb03734e1dd67608b38850c41358188d7884,fd5fb0f83c723144da63857a345f954e083cd471 1 hour 10 min 
20.0,00be1aa471e44c9c872e01ad4294fae52662dac3,no no no 
23.0,0746c762d4264665bdf8f7c7b0980070144443ee,hello how is yore face 
24.0,eeebf85431d11b54260992b37df00275927ed38c,f36ff10637a32d3a5bba3a7c5b55932eba97810b the same as it's doing now unarmed just lets you steal other people's weapons 
27.0,0f9bbb03734e1dd67608b38850c41358188d7884,lul 
28.0,d061c9e0c9750a4508c865c5072cddf641625526,one crate to end the episode 
28.0,37f19b5a28fb7ba065074db7002d0b145c250550,francis pog 
28.0,ae5fdb089a9c3bd57571753b2934c2ad9e328adc,go steal those bottles of enchanting ray chocos 
30.0,00be1aa471e44c9c872e01ad4294fae52662dac3,you're gonna need very good gear in there 
33.0,efe7923b3f317cde05a5a7359c400fee97cb7c06,notice me papi culo 
39.0,5ea4fe1e78a4b2f3d74680ab9099ab32ae28a59f,well its killing me lul 
39.0,308e59416912aa8b79ebd73147a84aae2559727e,i didn't even notice his face 
43.0,fd5fb0f83c723144da63857a345f954e083cd471,0f9bbb03734e1dd67608b38850c41358188d7884 does the command not work 
49.0,809e01e3feba7ac2dbec03470b373f07e7867558,you look bad ass honestly 
52.0,efe7923b3f317cde05a5a7359c400fee97cb7c06,notice me papi culo 
54.0,ad1ca8bc9ef29702dbf134fa29201323fc5b2622,petezahsip death incoming 
56.0,558bb8073573e993c364377c300e81ef13aa1a69,open chest 
56.0,2dcaa394db583e0a7fae21c59812960727fe4e2f,look at his chin kekw 
57.0,0f9bbb03734e1dd67608b38850c41358188d7884,fd5fb0f83c723144da63857a345f954e083cd471 it does but someone did it like 10 sec before you cohhlul 
57.0,809e01e3feba7ac2dbec03470b373f07e7867558,ur the most bad ass gamer i know 
58.0,881b71ee19941a22b55d6eb34198bba82800ad89,fists used to do more dmg with levels maybe a patch somewhere down the road changed it 
59.0,1078c0a37206dd2d588d8c5886e5864f1bf8a135,tuckers twitchcon luck is out of the park 
62.0,308e59416912aa8b79ebd73147a84aae2559727e,shader 
62.0,00312650fd34ce59e64fc88e3d07f7aba37b67f6,8c834b1e305425a7a789719b17b7145e0729fb47 good day tucker how are you feeling 
63.0,dc8c554c60a0098cbb0fa04a8c49cada6f6c197c,wrathheim relax 
63.0,2272583fd916741eb0103799ef1fe17db8321330,unarmed increases dmg by 1 every 50 levels unless they changed it 
63.0,1b6a61c0fae2f89c2b85aff39fa7999213cbd499,theres people with god gear that get bent over in here its pretty hardcore 
68.0,c5e5b958df8083b6221e202873afa8e2aebad02c,shader 
73.0,fd5fb0f83c723144da63857a345f954e083cd471,0f9bbb03734e1dd67608b38850c41358188d7884 oh rip lmao 
76.0,c03a2ef7c3991f3223d1ec83eecafe96e0a5c78d,809e01e3feba7ac2dbec03470b373f07e7867558 hi <3 
78.0,00be1aa471e44c9c872e01ad4294fae52662dac3,zombs and miners do like 2-3 heart hits if you dont have all prof 5 and stuff lol 
80.0,c58c3d4b9f16750ce718befe9f5b917af8d5e445,pepehands 
86.0,809e01e3feba7ac2dbec03470b373f07e7867558,lets play cs later 
94.0,00be1aa471e44c9c872e01ad4294fae52662dac3,lul 
97.0,c03a2ef7c3991f3223d1ec83eecafe96e0a5c78d,he is 809e01e3feba7ac2dbec03470b373f07e7867558 
98.0,efe7923b3f317cde05a5a7359c400fee97cb7c06,so does wildcat still play that server 
104.0,dc8c554c60a0098cbb0fa04a8c49cada6f6c197c,c58c3d4b9f16750ce718befe9f5b917af8d5e445 hiyo 
106.0,2dcaa394db583e0a7fae21c59812960727fe4e2f,f 
106.0,da11e10c0aa19c15addac1b91e98ce9612e6cc5d,you need smite 
106.0,7ff32ec330cefc02f5732044f8e347564aa066c2,f 
108.0,6a70055c2f1b5c6845ea42d723651023aac5ceda,f 
108.0,bfe768a60b4b5d783e2e0b5098192b61c054b616,f 
108.0,bd16a61a83d43d86d3dc60c71e02e06a6db79959,lol 
109.0,da11e10c0aa19c15addac1b91e98ce9612e6cc5d,lmaoo 
109.0,0f9bbb03734e1dd67608b38850c41358188d7884,fd5fb0f83c723144da63857a345f954e083cd471 yeah i assumed you didn't see for one reason or another and it got smol cd so i help cohhez 
109.0,00312650fd34ce59e64fc88e3d07f7aba37b67f6,rip 
109.0,e564e6d1f9527e2547e00cbf5221b29b842072bb,f 
109.0,3629422a8bcfd1c581a7132d5f0d8ca4e28000e2,f 
109.0,05a412df49e5e967cb74f005f36a5dd3f2a86b2b,f 
110.0,ec47e1b77fcfc95fb36727f4d4719abba5770d16,f 
110.0,c5e5b958df8083b6221e202873afa8e2aebad02c,omegalul 
111.0,308e59416912aa8b79ebd73147a84aae2559727e,ripperoni 
111.0,1b6a61c0fae2f89c2b85aff39fa7999213cbd499,f 
111.0,2890523e4fe60b5a42d29a7dc299fd699497fb1e,f 
111.0,8447dc01c4a53ae27bc2499961fc6c3ec707e1b3,f 
112.0,ee90b6d4552d515caae76e7373eac45b555994cf,f omegalul 
112.0,c95a5cc99cf3393068401cfde6c7f3b3a8824176,d 
113.0,5ea4fe1e78a4b2f3d74680ab9099ab32ae28a59f,jerrip 
113.0,ad1ca8bc9ef29702dbf134fa29201323fc5b2622,called it 
115.0,7ff5373ca515f1b88bddc1a6b27fbd0fa595da16,f 
116.0,c58c3d4b9f16750ce718befe9f5b917af8d5e445,dc8c554c60a0098cbb0fa04a8c49cada6f6c197c hi 
116.0,da11e10c0aa19c15addac1b91e98ce9612e6cc5d,big f 
117.0,a81d3481d87f0cc45b8d237c206d4d017962826d,u had 4 hearts wot 
117.0,ad1ca8bc9ef29702dbf134fa29201323fc5b2622,callllllled it 
117.0,c95a5cc99cf3393068401cfde6c7f3b3a8824176,f 
121.0,b5dc686f93b90bcaf5adc43f4ba0b88b8e831798,ad1ca8bc9ef29702dbf134fa29201323fc5b2622 holy fuck you called it 
121.0,54a47c43dfe4a1f5f1b9741709eac9eda3acb91e,oof 
126.0,78cc0668de5dbe12ebaa33c7c6feebc6c35df75c,and we all cry together 
128.0,a81d3481d87f0cc45b8d237c206d4d017962826d,yikes 
128.0,6f7fe5bd83189c16232e2a857772d6cb49f44882,rip your ender pearls 
131.0,00be1aa471e44c9c872e01ad4294fae52662dac3,told you no no no 
131.0,ee90b6d4552d515caae76e7373eac45b555994cf,gachibass 
