Time,User,Message
0.0,fd171f9496a43d733d8919dc026e39cdb6934094,theres 2 spots 
19.0,fcc4da70f86c697c8bda4fcba7662577110d45e6,dam 760 viewers 
28.0,f5087c88f1fe64c5ab3f6b449c7053c177d35337,datmodz raided 
28.0,fcc4da70f86c697c8bda4fcba7662577110d45e6,crazy 
29.0,88fcda9409eb0ffad94c6ea24bf771c4aa530abe,yo i got a primal cpt america flail it rolled ias and area dmg roll area to lph or str to lph 
31.0,f5087c88f1fe64c5ab3f6b449c7053c177d35337,with da squad 
54.0,14857364e0ad0833a94c347e423766e39a472054,puke this density 
103.0,81f665a5de3e2e7a911403276ee73a020f02b936,solo 
105.0,547ce25d84f0929eebdfa685f4e76b5543fe4cf0,mostly ssf 
107.0,52980e878c4fba41c96454faa2008276c8489c93,mostly solo 
107.0,b459909783b3ba77ab2a6bb9b0f9b08cb3d2dbce,mainly solo 
110.0,e9c129b95928f5d1dd9e62386b44d4fcdb490ccd,like 70-80% solo 
114.0,53403e75358b65994fd1d4d2a3551ea0ce87a25b,mostly solo but not ssf 
131.0,7da2652fd351b31f8258005217813449214dc712,1250 for the 119 
142.0,547ce25d84f0929eebdfa685f4e76b5543fe4cf0,he only did groups to lvl gems bounties solo outside of that really 
180.0,53403e75358b65994fd1d4d2a3551ea0ce87a25b,you have a stupid amount of paragon for legit seasonal goddam 
196.0,ebc1b3bdc7209db7d20c165d98cc8adc1507fdf4,songs list 
211.0,f5087c88f1fe64c5ab3f6b449c7053c177d35337,i dont have any friends i call it ssf tho 
313.0,c5484cfa82e58c5d99c649b8ff0b52bf623046be,made u your new rank 1 build my dude 
319.0,3805c5e27df607e2ff6034ac2750f14ed8a1aaa7,id say in a weeks time mayb less to get on the wiz board's u would atleast hav to do 115 but only time will tell 
322.0,bd723d7456842d00bd751157a266955a1cdccdcb,eu legit guy have 2616paraon as legit player 
343.0,0bca50f829fbb243fc36a6a161fc535433925fcd,because eu been doing 150s lul 
350.0,91def5314061e7432ce6ca30b2974e4392a65f3c,i will never understand how people play the same brainless content years on end i feel sorry for any og diablo players 
356.0,f5087c88f1fe64c5ab3f6b449c7053c177d35337,whos 2600 on eu thats legit lmfao 
365.0,91def5314061e7432ce6ca30b2974e4392a65f3c,i recommend path of exiles 
392.0,bd723d7456842d00bd751157a266955a1cdccdcb,the guy 2616 have 180 hours played so he have slept 7hours per night thats easy legit 
455.0,bd723d7456842d00bd751157a266955a1cdccdcb,eu starts 9-10hours earlier than na 
510.0,16b5effc57e817d55b533ad1ef82eeecae2f892b,i recommend not giving recommendations 
515.0,16b5effc57e817d55b533ad1ef82eeecae2f892b,seemsgood 
637.0,cb0f8e0f91b219736e220c5aaf12cb2c8cd97550,you're in washington my man 
637.0,54a7b340559d74d29ff15aaae0fbc32a1a169e05,300lb fat virgin gamer playing diablo with 700 viewers pog 
688.0,9fa1e51858cef47b3d35e98f6b7cacad1feefe25,what cdr do u shoot for 
691.0,05580229fdc5cc08733b3c8c7056aa7b5a00001d,kicking dat azz with that barb you go 
760.0,db4bec5c8944af9fde68d4bb2b6c4a17ce6c29a5,how u getting life back that fast 
762.0,9fa1e51858cef47b3d35e98f6b7cacad1feefe25,how much health and ya boy it's me 
768.0,05580229fdc5cc08733b3c8c7056aa7b5a00001d,i love how is enchantress is like spent like a mayfly on a pond dead in some gutter 
803.0,c5484cfa82e58c5d99c649b8ff0b52bf623046be,https://www d3planner com/214710716 i made ur new and improved rank 1 build 
882.0,9fa1e51858cef47b3d35e98f6b7cacad1feefe25,500k wtf btw i play on switch and i'm rank 2 other bitches play leap quake gayness 
945.0,db4bec5c8944af9fde68d4bb2b6c4a17ce6c29a5,whats the idea on charing the wall 
950.0,db4bec5c8944af9fde68d4bb2b6c4a17ce6c29a5,charging* 
954.0,7da2652fd351b31f8258005217813449214dc712,rank 2 without mods 
979.0,73437a9f202a7d19c88d9664046c485980f41c43,they have mods in d3 now 
994.0,7da2652fd351b31f8258005217813449214dc712,well cheats 
1011.0,73437a9f202a7d19c88d9664046c485980f41c43,lol really 
1040.0,73437a9f202a7d19c88d9664046c485980f41c43,i'll stick to my d2 lol 
1074.0,7da2652fd351b31f8258005217813449214dc712,yea man bots are out of control 
1125.0,73437a9f202a7d19c88d9664046c485980f41c43,i kinda expected it to happen tho 
1144.0,a8993394f9c186c1c036fa3db378a2829d926613,what does he mean by proc 
1165.0,db4bec5c8944af9fde68d4bb2b6c4a17ce6c29a5,death talent proc 
1172.0,7da2652fd351b31f8258005217813449214dc712,his death passive 
