Time,User,Message
0.0,264490b4cbc4978e57277f0b1bd84049c3752985,it wasn't golden 
0.0,e6e23517ed3aa09fa75978ad7026f3afb35694b3,play big shaman instead 
3.0,df63bbaa487e4119bf77f44f2924ff1e85d789a6,sea giants seem so good in this deck on paper 
11.0,1c0c126dc3df2dec02f4b7e756f310a4415e17a9,8d6f328475596b89cd409191aefff9f70f1e1ab9 do you feel like the hero cards are okay for the game 
26.0,c2b034920c7881a04ed7fb4cc8dece574e80b6ad,1 sea giant 
30.0,5787774bbfae5d1df6c8726e95c2adf1a0e1901d,when dragon's fail you switch to murlocs kappa 
35.0,b0b92e7ddb6c3083f34bd8e35141e22ef6de93d7,honestly boom is the only hero card who needs nerfing to me 
37.0,c56b99c366f5474d9ed91b809137736ba2e0901e,having a board vs warrior lul 
38.0,5787774bbfae5d1df6c8726e95c2adf1a0e1901d,*dragons 
43.0,7ca30cc4e73ff7ee1e480fd3206288d6c7e92d54,zil or maybe scargil 
46.0,330a337ab434c3276b930e74c4bf309a2964d273,put in another underbelly angler 4head 4head 
46.0,461dc88895d37a2deca7c347ab2ec316e283fd82,what targets are you trying to hex that you couldn't earth shock or toxfin 
47.0,c0a9290421c211f423c7aefbaa70bf42a4e49ab7,omnistone next week again 
52.0,24158e27e574cc54ebee8d4784c4e3ad1370c4c5,new deck code: aaecaaoibpue/gwtcafuag3ba/kdigencpbwavdzao/7apz/aukja/aka4yua7wya8azawa= 
53.0,77f05a18390b0f89c0b0d4828f1f09ccf78445aa,wait why is there no coldlight seer 
55.0,0f9bf7be7e0ce4a74df4d403bc75e3e0aced292b,not fun when only 3 classeshave them 
63.0,77f05a18390b0f89c0b0d4828f1f09ccf78445aa,coldlight seer is like the best murloc 
67.0,c20ef2d9a35125fb279f045642fc5c494483d940,boom should cost 12 mana 
83.0,461dc88895d37a2deca7c347ab2ec316e283fd82,so almost nothing 
88.0,39e26593be4fb3f2fe83d512878cc9a9e46b134f,0f9bf7be7e0ce4a74df4d403bc75e3e0aced292b jaraxxus has been here since the launch of hs let's stop parroting bs 
109.0,b0b92e7ddb6c3083f34bd8e35141e22ef6de93d7,39e26593be4fb3f2fe83d512878cc9a9e46b134f zuljin hagatha boom boi 
115.0,c88f48f65c95cd5df96955729e0fd448f0bc84e6,deck 
115.0,df63bbaa487e4119bf77f44f2924ff1e85d789a6,iron fur grizzly pogchamp 
123.0,39e26593be4fb3f2fe83d512878cc9a9e46b134f,b0b92e7ddb6c3083f34bd8e35141e22ef6de93d7 
129.0,1c0c126dc3df2dec02f4b7e756f310a4415e17a9,39e26593be4fb3f2fe83d512878cc9a9e46b134f true but jaraxxus puts your health to 15 making you weak to burn for the rest of the game in exchange for your value 
136.0,4756d2a92e7c9044c4f96f5fd2523cb772dec976,guys do y'all think shieldslam needs to get hall of famed 
141.0,51afac08640e96009393383813c024926e2844b1,better violet teacher 
145.0,24158e27e574cc54ebee8d4784c4e3ad1370c4c5,c88f48f65c95cd5df96955729e0fd448f0bc84e6 aaecaaoibpue/gwtcafuag3ba/kdigencpbwavdzao/7apz/aukja/aka4yua7wya8azawa= 
146.0,330a337ab434c3276b930e74c4bf309a2964d273,this deck reminds me a bit of the oops all spells deck- you are waiting for certain pieces to come together in hand most of the time 
149.0,b0b92e7ddb6c3083f34bd8e35141e22ef6de93d7,39e26593be4fb3f2fe83d512878cc9a9e46b134f those are the only relevant ones kappa 
150.0,771725965aaf9b58cbf592030cd266bc5eae7400,8d6f328475596b89cd409191aefff9f70f1e1ab9 but wouldn't it be more balanced if all classes had at least one hero card just curious to hear your opinion on this 
152.0,77f05a18390b0f89c0b0d4828f1f09ccf78445aa,why would shield slam need hof 
166.0,df63bbaa487e4119bf77f44f2924ff1e85d789a6,at the rate blizzard are nerfing/hofing classic cards i'm sure shield slam will get hit sooner or later 
172.0,0e77fa8a8af2136060d906d688e7e8b3ea43de4b,77f05a18390b0f89c0b0d4828f1f09ccf78445aa 
175.0,1530df1b98773e9a16b79a1a736af905145742cc,771725965aaf9b58cbf592030cd266bc5eae7400 we literally just tried that in knights and it was pretty lame 
176.0,4756d2a92e7c9044c4f96f5fd2523cb772dec976,because it is a very stron remover 
179.0,5787774bbfae5d1df6c8726e95c2adf1a0e1901d,we can hof all we want but the real problem is the evergreen set 
