Time,User,Message
0.0,9f6062476d6e3f6279ce7c49e4e45147b8c3ff41,8f1c91c317c3737c4b780af71735f8234d57bdd8 are there any pre-requesites to marrying or can you marry anyone to anywhere i've found out there's away to make lu bu your faction leader in like the first three turns 
663.0,9f6062476d6e3f6279ce7c49e4e45147b8c3ff41,godd i want to buy this game so bad playing eu4 to quench my thirst :( 
1628.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,heyy mm 
1704.0,5fc3b89500f142a6b1a2e8af0c9cae7ac01c5498,big daddy kong died of old age truvoohands 
1720.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,friday night chill stream after work plus beer equals a good night lol 
2058.0,a66553cd9980866615cf5dacefe8e595bc3c7086,both look sleazy 
2453.0,dc5658201e5f247dab9a010b50d395ff28437063,kappa kappa 
2634.0,dc5658201e5f247dab9a010b50d395ff28437063,yeah its to much 
2642.0,dc5658201e5f247dab9a010b50d395ff28437063,too 
2695.0,a66553cd9980866615cf5dacefe8e595bc3c7086,trees block trebs 
2766.0,9f6062476d6e3f6279ce7c49e4e45147b8c3ff41,i smell trouble 
2770.0,dc5658201e5f247dab9a010b50d395ff28437063,damn this city is stacked 
2797.0,a66553cd9980866615cf5dacefe8e595bc3c7086,takin all bets on # of restarts ;p 
2821.0,7894f7dfc798f5a75bae4ec4c25aaf235d823578,hes running 100% crew and food d: 
2849.0,dc5658201e5f247dab9a010b50d395ff28437063,i smell a restart 
2903.0,911b34f42396af9670f0b97ab0dc695d0490b029,kong rong not die yet 
3030.0,a66553cd9980866615cf5dacefe8e595bc3c7086,iff u run cav in front of their treb does it waste shots trying to hit them 
3482.0,9f6062476d6e3f6279ce7c49e4e45147b8c3ff41,do crossbows still fire slower than bow and arrows eve nwit the repeater crossbow tech tree 
3490.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,welp im back tarkov is starting to become a shithole 
3512.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,holy generals monkas 
3531.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,are you getting a special place 
3986.0,7800fbbb24a5dcb50de9ba744a2e6e7b9c0f31f9,rematch 
3998.0,7800fbbb24a5dcb50de9ba744a2e6e7b9c0f31f9,your spearmen died first 
4068.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,no rematch hoped to see postbattle results of those arhcers 
4069.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,ooooooooh okay 
4162.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,cant you just scale the walls with spearmen 
4191.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,i take you cant cross water/mot 
4198.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,not let them sit infront of the archers 
4229.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,is there other seige weapons 
4259.0,911b34f42396af9670f0b97ab0dc695d0490b029,yes 
4276.0,7894f7dfc798f5a75bae4ec4c25aaf235d823578,how do the tunnels work 
4278.0,911b34f42396af9670f0b97ab0dc695d0490b029,there is a platform can be moved towards the wall 
4279.0,7800fbbb24a5dcb50de9ba744a2e6e7b9c0f31f9,how about the seige tower is it available on this game 
4293.0,911b34f42396af9670f0b97ab0dc695d0490b029,and a cart can crash the gate 
4293.0,cfb00f746c36e6cd4f3420af973ff871483a8ac9,let them out away from walls and battle them in forest 
4298.0,911b34f42396af9670f0b97ab0dc695d0490b029,with a hammer 
4310.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,treb is marked as light artilery any heavy artilery 
4326.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,yeah the t92 hmc kappa 
4326.0,911b34f42396af9670f0b97ab0dc695d0490b029,no heavy 
4384.0,911b34f42396af9670f0b97ab0dc695d0490b029,trebuchet is really not that clever 
4394.0,7946cf2a726491937d46f0bbb3936c3993dcb1c0,why don't you set the archers to loose 
4449.0,7946cf2a726491937d46f0bbb3936c3993dcb1c0,loose formation i mean 
4458.0,7946cf2a726491937d46f0bbb3936c3993dcb1c0,to null some of the ranged 
4536.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,towers did nothing last game defenders of earth are much more powerful 
4559.0,1c30fa368a3b6835d7ac92b79dfb94832876d30b,rather pew pew them 
4562.0,7946cf2a726491937d46f0bbb3936c3993dcb1c0,accuracy debuff makes flame arrows useless for the attacker in seige 
4652.0,7894f7dfc798f5a75bae4ec4c25aaf235d823578,use the arty crew as meat shields :p 
4760.0,911b34f42396af9670f0b97ab0dc695d0490b029,forest 
4763.0,911b34f42396af9670f0b97ab0dc695d0490b029,dragon 
5223.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,can you range the archers that are on the walls 
5234.0,f4b26ea7d6dd984633303ad97ea713a56e4abbff,with your archers 
5740.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,lookin good 
5749.0,c6b287ff951b1c3ba11db4a29c3a9f876ec69f17,nice replay 
5827.0,7894f7dfc798f5a75bae4ec4c25aaf235d823578,they were just giving eachother a death glare through the huge crowds 
5859.0,c6b287ff951b1c3ba11db4a29c3a9f876ec69f17,lol :index_pointing_up: 
5870.0,e9d3ec253c267220d5bce65ccc31a383fb0567d6,you can 
5870.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,you can :d 
5893.0,062566d82cb72d59c86d599c8e405c6cb4794b9a,emmgasm emmgasm emmgasm emmgasm 
5948.0,c6b287ff951b1c3ba11db4a29c3a9f876ec69f17,lol 
5961.0,7894f7dfc798f5a75bae4ec4c25aaf235d823578,half a death glare 
6098.0,c6b287ff951b1c3ba11db4a29c3a9f876ec69f17,your self proclaim to right 
6252.0,9f6062476d6e3f6279ce7c49e4e45147b8c3ff41,protectors of heaven seem like an army of guan yu's 
6736.0,8b7c4763ab6494696d83b42418c34cae051c9325,different titled generals can have different types of troops(strategist championetc at least that's what my understanding is 
6794.0,8b7c4763ab6494696d83b42418c34cae051c9325,ohhh okay 
6850.0,8b7c4763ab6494696d83b42418c34cae051c9325,spies? haven't seen that yet what faction are you playing 
6998.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,ah the wonderful city of dong keepo 
7006.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,keepo 
7076.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,over a million people there monkas 
7301.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,pogchamp 
7647.0,8b7c4763ab6494696d83b42418c34cae051c9325,destroy them:smiling_face_with_horns: :smiling_face_with_horns: :smiling_face_with_horns: :face_with_tears_of_joy: 
7707.0,8b7c4763ab6494696d83b42418c34cae051c9325,ahhh makes since 
7829.0,2bc395353b7cd78ba80080bb96bf53f0d6db36f9,seemsgood 
8690.0,367576e4166f5dfb777ef03cec5407dacf9e451b,kong rong 
8936.0,e9d3ec253c267220d5bce65ccc31a383fb0567d6,basicly 
8945.0,e9d3ec253c267220d5bce65ccc31a383fb0567d6,you become mandate of heaven 
