Time,User,Message
0.0,907e2c8a3ebb9f6e87ea43d419155e84ff9aa974,the worker count though 
2.0,b1f49f08b34af0eaaa51d33f870eb550949f9d3a,welcome back to broonnnnzee leaaaguuueeee heeerrooooooes 
2.0,d6d9c789d4c6c23ef9b71abc4522ce40ce09aa7e,gg 
5.0,80b26729159eea1ca085df7edb4882d0625e8da8,gg 
7.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,gg 
8.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,gg 
8.0,907e2c8a3ebb9f6e87ea43d419155e84ff9aa974,wntrgg 
8.0,3d60e468f28ca697d729665640f44ff70850bba2,gg 
8.0,b1f49f08b34af0eaaa51d33f870eb550949f9d3a,gg 
11.0,c34af5d0674aef1ced4080ccc382028ed72571a7,silly game 
11.0,2bbd1d58d84405d7bd14eccab5add23d7a42b1e5,wntrgg 
11.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,good games 
11.0,0ff3ed662713041702de8365b34c9d44435de679,gg 
12.0,359536120199fb70e410d150789e628eb60e0ee4,wntrgg wntrgg wntrgg wntrgg 
13.0,7f8e233911c862160ba2fd258b63fd8bd85b9156,wntrgg 
13.0,783195852fd0f990e6bd7c08674e0a03bec6110d,wntrgg 
15.0,4ed8a61f95c9d2736e2b37baf985eeb1677048f0,gg 
15.0,e8deb9a9949172c17594ec63d270aa6825d28cd2,lol this game 
19.0,4fcc03c263605cdc6bbaf1ce552d366b5999f741,finally gives in cray cray game 
20.0,37dd74ea535b92c9ee39352b54751e70a49c71d0,wntrgg wntrgg 
23.0,80b26729159eea1ca085df7edb4882d0625e8da8,dankcrdankcraft1 
24.0,359536120199fb70e410d150789e628eb60e0ee4,fucking mad lad 
24.0,2d001eb624fa6634e81f6846d34287cd3f159112,cheeky puck :d thanks god gumiho won 
25.0,30fb8014be6da5b39a02bad082acdc3a9acc9f15,special brokeback 
26.0,b9d17b59f784fa6d7a093cf885e15fcaf54a52be,gggggggggg ez 
35.0,33121e9777386dd1ac6721f06df2dfb6f34b0bd4,last game: p)puck vs t)gumiho http://sc2replaystats com/replay/11840888 
39.0,85cfb1db640bab393ef9a6e652b8726920394b7c,8f75444d17be9ad5fd724a096ff49943c17d3b2f what if he had any upgrades 
41.0,2bbd1d58d84405d7bd14eccab5add23d7a42b1e5,dodgercoffee 
41.0,3cccf7444b9151e1a4dfac92900d4d878d9da784,hi winter will you be my friend 
52.0,9c3874c0592def2d924c1193398f8ec4a1b443a6,that's called playdough 
56.0,72f0c6f2e274b2884022698fac5bb819ddd5c873,i love that lowko is still tychus 
57.0,c34af5d0674aef1ced4080ccc382028ed72571a7,3d fingerpaints lul 
59.0,4ed8a61f95c9d2736e2b37baf985eeb1677048f0,cheer1000 
60.0,507e7a226d92e20728be64904f008ed304d66352,i enjoyed that series 
60.0,ac636c93f15332a789b7fb939e771da1e6061072,bo8potato bo8potato 
61.0,dd7d93311f083e00b5f165e8f7e225f071409859,2nd game was so much cleaner for puck 
61.0,509ca672c8ae22271bab75bbd89045ff66c33446,i can see the double expand but he really made it a triple expand lol 
64.0,3d60e468f28ca697d729665640f44ff70850bba2,no gas no gateway meta 
76.0,327e03b903d09fb4af185c3d27192702084d26f3,that was so hard to watch 
78.0,80b26729159eea1ca085df7edb4882d0625e8da8,yes entertainment is op 
87.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,when does scarlett play 
88.0,febe9083d049bad3e613d8a20f18bd18074c5a26,dark shrine would have helped right there 
91.0,66e013cd50296cebace39af79b40b544f0eb96cb,is that a cdj on the table 
92.0,ac636c93f15332a789b7fb939e771da1e6061072,wntrb wntrb wntrross welcome to bhroohnze league heeeeeerroosss!@ bo8potato bo8potato bo8potato bo8potato 
102.0,66e013cd50296cebace39af79b40b544f0eb96cb,pioneer 
104.0,03f07010ec071e34ff974c34779f861f6c3aeedd,8f75444d17be9ad5fd724a096ff49943c17d3b2f 1 9k viewers good job man wntrmoney wntrwow wntrwow wntrwow 
126.0,ac636c93f15332a789b7fb939e771da1e6061072,dogercoffe 
127.0,0aa4d511b35406e4e2136d516136caaea79309b5,lets go puck 
130.0,3bbee49cb34838c8055809c55d0b85491d54c332,damnn 2k viewers nicee 
138.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,gumi hooooooooooooooooo 
139.0,0e54d4cabcb0757f391c5b449aae453b9055d1ec,this is such a poggers stream 
141.0,6a08002cba4fa708529c8327e4d83b7e6426a170,did scarlett and puck play yet 
149.0,ac636c93f15332a789b7fb939e771da1e6061072,dodgercoffe 
150.0,29b2c57f941bc217d6ae3a7808a21175e436fbb4,dodgercoffee 
157.0,d9bad0d6b332acb846b243d94755b75e4f3dec6c,wntrfp wntrfp 
158.0,3bbee49cb34838c8055809c55d0b85491d54c332,no they havent 
159.0,bb1e92a091c597f16fa8b24f0ee89ac5f5cc901f,wntrloopy wntrloopy wntrloopy wntrloopy 
159.0,ac636c93f15332a789b7fb939e771da1e6061072,thanks lol xd 
160.0,907e2c8a3ebb9f6e87ea43d419155e84ff9aa974,bracket 
171.0,3369aa8a1aa3b0a5117546ef1eeaa5769372aecc,wntrlove best sc2 commentary 
176.0,8d7bc0731dc10e1edde1f3e6fa2e2a3ddc94b852,shamrock44 
197.0,8d7bc0731dc10e1edde1f3e6fa2e2a3ddc94b852,cheer33 
198.0,745e4435bf34e86f578e16cd6eea1c15cf057d48,dodgercoffee 
206.0,72f0c6f2e274b2884022698fac5bb819ddd5c873,cheese time 
219.0,cf1d06636cabc44c850976f56c61c8d8bca1bb7f,maxpax 
226.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,match point 
228.0,855723e6e5828f8a74461c9a928dbd27bbd23330,what the puck 
228.0,3bbee49cb34838c8055809c55d0b85491d54c332,kappa 
243.0,0e54d4cabcb0757f391c5b449aae453b9055d1ec,puck u no gg 
255.0,aec109e2e51ffc7c97a1ea98a12f6234f9474a08,this is not bronze leauge heros im leaving 
259.0,ac636c93f15332a789b7fb939e771da1e6061072,wntrwhy wntrkek 
263.0,0ff3ed662713041702de8365b34c9d44435de679,rekt 
268.0,71b5448e6bfef117e1a8ce46d54f47dd7f1d484d,puck 
269.0,7e5e8c56e489c6fb5322939b40731afb2edb7e1d,it's part of the replay m8 
271.0,febe9083d049bad3e613d8a20f18bd18074c5a26,that debate has been going on now for sometime 
272.0,3bbee49cb34838c8055809c55d0b85491d54c332,lolll 
276.0,d6d9c789d4c6c23ef9b71abc4522ce40ce09aa7e,lol 
278.0,d48cfc75ed202b60247be1bf18ec6938d67b52aa,redneck scv 
280.0,ac636c93f15332a789b7fb939e771da1e6061072,lol 
281.0,d48cfc75ed202b60247be1bf18ec6938d67b52aa,lul 
281.0,d34336ce8c81285de820c7c5343dd31956a770e5,blocked list full 
282.0,eedf6463882f76bbeebf68c578caf616a7bf3817,lost to a redneck scv lul 
283.0,0ff3ed662713041702de8365b34c9d44435de679,reversed rekt 
283.0,629fd3e9b7e5bcf365edd3dc1f0273df02377673,american spies 
283.0,ddceb447490da380f6ba61628ff77ff18edcac59,xd 
285.0,3369aa8a1aa3b0a5117546ef1eeaa5769372aecc,redneck scv 
290.0,3369aa8a1aa3b0a5117546ef1eeaa5769372aecc,great name 
298.0,3bbee49cb34838c8055809c55d0b85491d54c332,smorc 
298.0,d6d9c789d4c6c23ef9b71abc4522ce40ce09aa7e,me kappa 
304.0,855723e6e5828f8a74461c9a928dbd27bbd23330,i like the music 
308.0,0ff3ed662713041702de8365b34c9d44435de679,why can you have a full blacklist 
310.0,febe9083d049bad3e613d8a20f18bd18074c5a26,i used to not gg when i get really like either mad annoyed or like screw him type of thing 
314.0,29471ffdf3f9e3b6be340ee7277561e20248c703,pro tip: if you report them then it will block them for you and go beyond max block list 
315.0,3bbee49cb34838c8055809c55d0b85491d54c332,4head 
315.0,72f0c6f2e274b2884022698fac5bb819ddd5c873,forgive us biblethump 
325.0,ac636c93f15332a789b7fb939e771da1e6061072,time to petition blizzard for a 16 gig block list wntrkek 
332.0,f552c1e7fc3538c4e35e568004902d62814c0e92,atpshh atpshh 
336.0,3bbee49cb34838c8055809c55d0b85491d54c332,bigbrother 
337.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,sooooory 
339.0,febe9083d049bad3e613d8a20f18bd18074c5a26,then it started up on hupsaiya stream a while back and the debate is going on ever since 
340.0,d48cfc75ed202b60247be1bf18ec6938d67b52aa,wntrwhy wntrwhy wntrwhy wntrwhy 
347.0,d6d9c789d4c6c23ef9b71abc4522ce40ce09aa7e,just dont talk and eveything is cool 
356.0,421465febf56157713c880369c1daa1dc5d8bcc2,dude needs to be less sorry and more shush 
357.0,f552c1e7fc3538c4e35e568004902d62814c0e92,atpshutup 
360.0,629fd3e9b7e5bcf365edd3dc1f0273df02377673,enigmadone 
363.0,febe9083d049bad3e613d8a20f18bd18074c5a26,to the flip side when i first started playing starcraft we never did that 
367.0,fdc5476bfc3d508be1d634ffa4617424c20fa77e,bruh who is this dude 
369.0,f552c1e7fc3538c4e35e568004902d62814c0e92,enigmacringe 
369.0,29471ffdf3f9e3b6be340ee7277561e20248c703,8f75444d17be9ad5fd724a096ff49943c17d3b2f if you report them it'll add to your blocklist as well and pass cap 
371.0,0e87df0a0141b0f7fe7ef648b566d4d6333ac1c6,i think you can move the text right 
372.0,fdc5476bfc3d508be1d634ffa4617424c20fa77e,hes soory 
391.0,febe9083d049bad3e613d8a20f18bd18074c5a26,no one did it wasn't until i came back years later when i noticed that so who started it when did that start 
394.0,0ff3ed662713041702de8365b34c9d44435de679,lul 
396.0,7a7f163934fd74c2fbacb2d32fb27db060fae791,lul 
397.0,d48cfc75ed202b60247be1bf18ec6938d67b52aa,lmfaoo 
399.0,2fc0907c1a9599938c5aed7eff2386a4f6c9cd50,where is scarlett 
406.0,ac636c93f15332a789b7fb939e771da1e6061072,gotteem 
406.0,3bbee49cb34838c8055809c55d0b85491d54c332,tf2john 
