Time,User,Message
0.0,13bd307bbef1063c6368cf205b2ea5583d86a970,my ping stays at 50 if i'm lucky 
1.0,064205ea85e6566c1fc16cea6b66083922ba3434,2f0a493bba361e12fb179e886d5edcd0dd333ed6 <3 
1.0,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81,2f0a493bba361e12fb179e886d5edcd0dd333ed6 i am almost 100% tatkevinh and u 
3.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragespeech couragespeech couragespeech couragespeech couragespeech 
3.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel 
6.0,ac65e8265bbd4c0692c458b04d0193a2c9f24356,couragelag couragelag couragelag couragelag couragelag couragelag couragelag 
8.0,3a59bfffd93a9a1bf5bd852209201fef65bd6800,\ couragelag couragelag couragelag couragelag couragelag couragelag couragelag 
8.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragelv 
11.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragelag couragelag couragelag couragelag couragelag couragelag 
13.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub ansoniricon welcome back to the courageous for 11 months in a row courageheart couragelogo 
13.0,54c52994f7f33b55d65283d3041a478e7315b5fc,couragelag couragelag couragelag couragelag couragelag couragelag couragelag couragelag 
14.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel 
16.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c heck yeah tonight it'll be 6 i believe 
17.0,0e77972c107967bd5cb0a78d2300c63127384483,if i hear this ice one more time 
18.0,acb916b6c66bfa7585e7c75c32f72f046e6fc7dc,couragelag couragelag 
22.0,0dc9a9818eb91e93ff6694561d5b0f9bf2ba20be,you can do it babyyyyy 
23.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragelag couragelag couragelag couragelag couragelag couragelag couragelag 
26.0,c2e0a254e06ad5de1c778b802d2b7b6a46a4102b,meggatwhatduheck meggatwhatduheck meggatwhatduheck meggatwhatduheck meggatwhatduheck meggatwhatduheck 
26.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel 
28.0,f95986b23a9e1a6dd8f085ecf80305be1fcc0bd0,22 ping and what happened to his 500 ping 
29.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 how's your day been <3 
32.0,29f325a5efed2620bc4a4d868be8022a7aee0424,welp guess it's really over now now i'm really gonna go love you chat byee courageheart courageheart courageheart courageheart courageheart 
33.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel 
33.0,c313de2c06a28124dc111cb5038903b26caf0bfe,couragefire 
41.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragelag couragelag couragelag couragelag couragelag couragelag couragelag couragelag 
43.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81 hanging in there turkozlove 
49.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel couragel] 
52.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,lol 
56.0,064205ea85e6566c1fc16cea6b66083922ba3434,29f325a5efed2620bc4a4d868be8022a7aee0424 bye courageheart 
58.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,do it 4head 
61.0,0e77972c107967bd5cb0a78d2300c63127384483,wait you actually are lagging lmao 
62.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,do it 4head 
63.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c it's been a day glad to be home 
65.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,o 
69.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,do it 5house 
69.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragel couragel couragel couragel couragel couragel couragel couragel 
70.0,0dc9a9818eb91e93ff6694561d5b0f9bf2ba20be,dont listen to that long ass neck ass u can do it baby 
72.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c how was yours 
76.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,do it 4house 
79.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragel couragelag couragel couragelag couragel couragelag couragel couragelag couragel couragelag 
88.0,e805d2818c10c11a4cf5b34b19be93d12d674cdb,courageoof courageoof courageoof 
95.0,0dc9a9818eb91e93ff6694561d5b0f9bf2ba20be,what did i tell u 
103.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 it wasn't bad nor good nothing really happened so i guess i can't complain lul 
106.0,64c1ac76beb95bed39586dae329e560195165568,later 29f325a5efed2620bc4a4d868be8022a7aee0424 courageheart 
112.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragelag couragelag couragelag couragelag couragelag 
121.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c and tomorrow is friday 
126.0,50ddbfb2fa6d0bbdfaa65dd3454fef19d67045d4,what level is he on chat 
129.0,0e77972c107967bd5cb0a78d2300c63127384483,those pipes are almost as long as cizz's neck hmmmm 
142.0,6bfec297cf936de90ccd439d54d51cb74cc9e3b5,couragel couragel couragel couragel couragel couragel couragel courageoof courageoof courageoof couragelag 
142.0,0dc9a9818eb91e93ff6694561d5b0f9bf2ba20be,damn 
149.0,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81,2f0a493bba361e12fb179e886d5edcd0dd333ed6 hmm and your day was it any good turkozlove 
154.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 oh jack played a panic song that is literally about silver linings so that made me happy electrah 
163.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,couragel couragelag couragel couragelag couragel couragelag couragel couragelag couragel couragelag 
169.0,29f325a5efed2620bc4a4d868be8022a7aee0424,064205ea85e6566c1fc16cea6b66083922ba3434 courageheart tatroad 
180.0,29f325a5efed2620bc4a4d868be8022a7aee0424,64c1ac76beb95bed39586dae329e560195165568 courageheart tatroad 
182.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81 it was a little tough but i made it through 
201.0,ac92a9390cf966480d298ee39a4cb13c520dd997,helllooo 
206.0,83b5aeaba4423c5a60eb84feea12f230ff6bf1a8,lul 
206.0,64c1ac76beb95bed39586dae329e560195165568,saved 
207.0,43a64118da6d022f9b673296d1e2eb5e7428fc8e,pog 
207.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c pog now i wanna watch silver linings playbook again 
210.0,064205ea85e6566c1fc16cea6b66083922ba3434,couragehypers 
213.0,cb69ebbd6959b6b48c9aa3336bd11ba716de6052,saved 
213.0,69bb5d076f73b52a24303a47c8983be6d4785d0f,courageoff 
213.0,50ddbfb2fa6d0bbdfaa65dd3454fef19d67045d4,fakes get exposed 
220.0,8ce7bb57378e211fea6b3f73b8cfeab28516fe8c,heyehey 
225.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you chaseferggg for gifting a $4 99 sub to andyyyy_h couragelogo draconglad couragelogo 
226.0,4a289f97ca5c266478f3d5a1accad65ff8719757,oooooooh 
233.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 what is that monkahmm 
235.0,9b76d7048a601a99936793d318c4e976e7269852,3e4b7849232e26a844ea5abe3d6d5da1ec9aa7d6 thanks for the gift sub 
235.0,92243fb5d3749d6cfaa0b6014c3ddd12c88db0f4,yarrrr 
241.0,52749cbcb27cb53b7996404f7d11757be95f969f,courageprime courageprime courageprime 
242.0,10a06ffdde9a0ce376e8be4b166026ccda3c6e08,92f0d568c5da03671d780e5c591083ca88c3695d duos with cizzorz 
243.0,0e77972c107967bd5cb0a78d2300c63127384483,tilted death zone 92f0d568c5da03671d780e5c591083ca88c3695d at pawn btw 
245.0,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81,2f0a493bba361e12fb179e886d5edcd0dd333ed6 enjoy this time to relax a little then begwan 
254.0,ac92a9390cf966480d298ee39a4cb13c520dd997,uptime 
255.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub cook1027 welcome back to the courageous for 3 months in a row courageheart couragelogo 
262.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,couragesub couragemilk couragesub couragemilk couragesub couragemilk 
263.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c i think you watched it with us in mn jennifer lawrence bradley cooper dancing/mental health awareness 
270.0,4a289f97ca5c266478f3d5a1accad65ff8719757,jack and john 
276.0,69d97da522e81a2220a8de65969e4ebe9e565800,watchamacallit jack 
281.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,94e5e948a42b2b58b2e180aadb8b4c2aad0cbe81 i will feelsamazingman 
281.0,9012977370635c76e697659e6fe0ef78474d6875,grappler 
281.0,128a46d8d15c1c605ff5b598bae2b62b88b31f28,drum gun 
284.0,a82be768072df280cb5a3f2faa9164565014a01a,heyyy jack 
284.0,13bd307bbef1063c6368cf205b2ea5583d86a970,bounce 
286.0,447cc7c29383c602342c8a9fcabba4942ef0baa9,duos 
286.0,ffaab71acb416b91bac7276cf921638955d15ee3,bring back tommy gun 
287.0,1c76bd37d6afd1be5b0c076159dfb08880506715,yes 
287.0,ac92a9390cf966480d298ee39a4cb13c520dd997,grappler 
287.0,0182268029b4e9d8ae5950e4542245808a592a40,bouncersssss 
289.0,13bd307bbef1063c6368cf205b2ea5583d86a970,bounce or grappler 
292.0,ac92a9390cf966480d298ee39a4cb13c520dd997,whoops caps 
294.0,0e77972c107967bd5cb0a78d2300c63127384483,better be bouncers for super launches again 
295.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 oh yes i enjoyed that one a lot 
295.0,83b5aeaba4423c5a60eb84feea12f230ff6bf1a8,grappler 
296.0,92243fb5d3749d6cfaa0b6014c3ddd12c88db0f4,drum gun please 
299.0,ffaab71acb416b91bac7276cf921638955d15ee3,drum gun ftw 
305.0,e275641a2f199d095191862c0bc77b034a864bc1,european technique back 
305.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww new sub courageheart my_woe with the prime ◕‿◕ welcome to the courageous couragelogo draconglad couragelogo 
305.0,db027673b9e06fe9d0ceadb8cbfab387f46524fc,drum 
305.0,0182268029b4e9d8ae5950e4542245808a592a40,need bouncers 4 trickshotss 
306.0,8df4351d061d04bc911fb583d55c5c3b8f9a50a9,tactical smg pleaseeee 
308.0,92243fb5d3749d6cfaa0b6014c3ddd12c88db0f4,bouncers were lame 
312.0,13bd307bbef1063c6368cf205b2ea5583d86a970,grappler honestly is best 
317.0,f176475a7abfed73ce0227ddd02d0ad9c4dafa94,grappler 
318.0,ffd1667a5b182e5094f6c3f8a853a61109d06db0,drum gun 
319.0,ac92a9390cf966480d298ee39a4cb13c520dd997,no point for the drum gun too much spray meta 
323.0,f8fdcc438ccae57a6b896705b87a3554e4c63a02,bouncer 
329.0,92243fb5d3749d6cfaa0b6014c3ddd12c88db0f4,ote drum gun 
333.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub natereed98 welcome back to the courageous for 3 months in a row courageheart couragelogo 
334.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c me too my favorite birb friend is hanging out on my patio rn he is so cute 
335.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
337.0,83b5aeaba4423c5a60eb84feea12f230ff6bf1a8,drum gun better not win 
337.0,b3033b9a97a9d33b42d79bc5aff22cf16a034ddb,nonono not drumgun 
338.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub burfs welcome back to the courageous for 7 months in a row courageheart couragelogo 
339.0,8df4351d061d04bc911fb583d55c5c3b8f9a50a9,tac smg 
341.0,13bd307bbef1063c6368cf205b2ea5583d86a970,grapplers were real ones 
341.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
344.0,527c9ec2086859550fbab3c7d95736eff73cd652,i want the drum gun 
345.0,50ddbfb2fa6d0bbdfaa65dd3454fef19d67045d4,bring back planes :airplane: shit no one says 
349.0,92243fb5d3749d6cfaa0b6014c3ddd12c88db0f4,drum gun support 
349.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub natereed98 welcome back to the courageous for 3 months in a row courageheart couragelogo 
352.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
353.0,f8fdcc438ccae57a6b896705b87a3554e4c63a02,bouncer were so much fun 
359.0,e275641a2f199d095191862c0bc77b034a864bc1,timmy 
360.0,0182268029b4e9d8ae5950e4542245808a592a40,as much as i loved tommy gun it was way too op 
362.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww new sub courageheart joantacos with the prime ◕‿◕ welcome to the courageous couragelogo draconglad couragelogo 
364.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 tatkevinh which one 
365.0,74a4753300fc816cb8bca1dbdd30cdc856318af9,drum gun is fun for pubs but competitive it will be horrid 
367.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart $4 99 resub gwillim_ welcome back to the courageous for 2 months in a row courageheart couragelogo 
368.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub mackomiller welcome back to the courageous for 2 months in a row courageheart couragelogo 
372.0,527c9ec2086859550fbab3c7d95736eff73cd652,who ever picks the sword should leave society 
373.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,couragesub 
375.0,62880bb566d81cd9eb64b45c0d209487ddc1fb30,wassup tim 
378.0,6921be73b67fe915e0829345b1ee5e2e83ae8c09,girthquake initiates 
378.0,f176475a7abfed73ce0227ddd02d0ad9c4dafa94,its not like cizzorz plays br anyway 
381.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c gustav my most colorful birb friend 
386.0,ac92a9390cf966480d298ee39a4cb13c520dd997,the removal of the tec smg and drum gun has helped the balance in meta imo 
387.0,c887979d722f0c1230031e0c966fb093215d44ce,couragehi couragehi couragehi couragehi 
389.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub goodguynic_ welcome back to the courageous for 2 months in a row courageheart couragelogo 
389.0,b3033b9a97a9d33b42d79bc5aff22cf16a034ddb,how about we get 2 items to unvault and you remove the heavy ar fortnite 
390.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
394.0,d1fa46191c05f37ebf35f7ab9eb4f2fd9b3cecb3,give me a shoutout jack 
402.0,ac92a9390cf966480d298ee39a4cb13c520dd997,so bouncers or grapplers couragedab 
405.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 btw i've gotten better w the whole gun thing it doesn't hurt anymore to think abt it ig 
408.0,386eede297cdd0ff25427958e611376a441e43b9,dub incoming 
422.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,2f0a493bba361e12fb179e886d5edcd0dd333ed6 i feel like it's healthy to address it now 
422.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action couragelogo courageheart prime resub firefoot67 welcome back to the courageous for 3 months in a row courageheart couragelogo 
438.0,8c71b5c784c75cc6cf484ab643891b78d1328e2c,couragesub couragemilk couragesub couragemilk couragesub couragemilk 
455.0,fdb9deb48e1bba8a2c733a47a7a63d59cb6e4c28,wait theres a basement in that house 
457.0,8f32ec9b612e2844da89004e7b348001c9dfaa21,i feel like drum gun is gonna get too many votes 
461.0,2f0a493bba361e12fb179e886d5edcd0dd333ed6,8c71b5c784c75cc6cf484ab643891b78d1328e2c that shows amazing growth tay i saw your tweet and was really proud but i didn't want to draw too much attention 
472.0,ac92a9390cf966480d298ee39a4cb13c520dd997,new vid pog 
475.0,eacb85425d16d6c8df3c6f210139bd423809562a,it wouldnt be that bad if the sword was like a extra close range shotgun without the jump and extra heath 
475.0,a618666c28a7f959d4bc452ce0e7e47c4387b490,2 houses in salty have basements 
486.0,935badd1438d8cb763b563c59e7912e12fabc2d8,i got you a little something to make up for the tough death run 
487.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to wolfslayer1121 couragelogo draconglad couragelogo 
487.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to 23laffontd couragelogo draconglad couragelogo 
487.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to rui_miguel123 couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to eob96_tv couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to dee_sanno couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to cyberfox456 couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to drift_daniel1 couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to fueliginter couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to c_mtz6 couragelogo draconglad couragelogo 
488.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to sunsh1ne123 couragelogo draconglad couragelogo 
489.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to ashleydeakin couragelogo draconglad couragelogo 
489.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to rydantv couragelogo draconglad couragelogo 
489.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to mikebevino couragelogo draconglad couragelogo 
489.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to odeh12345 couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to yaboy_jr couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to mike_theboi couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to eltigredor couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to ronyrollin couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to zyheimnolen couragelogo draconglad couragelogo 
490.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype courageheart thank you smokiej645 for gifting a $4 99 sub to wizzydc couragelogo draconglad couragelogo 
492.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
492.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
492.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
493.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
493.0,ae33dbaa77ff0241aedb2bd89d45f140d59e31f2,couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub couragemilk couragesub 
