Time,User,Message
0.0,ee3fdd30c220327d9154c7a1f930a28acc996544,you have king tog to be shuffled with wands allt he way 
33.0,a291763d83f70e63fcf28a9a976ae694e4ee0555,fan first 
36.0,008b2c11ebd8e6a58e21d5c9e6324665d9ae04b4,in before he gets a conjurers off of cyclone pepega 
41.0,639ae905fe68c4a208fa1d895ab90a28781ec9ca,why no elik jackie 
61.0,2846ba06f9e9a9fa9c34d72b3d4f7473cf716ca4,avenging wrath 
66.0,8fe696acc3dcebce783fa339199197042ffb78e6,dagger it 
67.0,7195d68747c82239e1eb8e2636ea1b311a58ed87,just avenging wrath for that sweet smorc 
142.0,7195d68747c82239e1eb8e2636ea1b311a58ed87,pog 
147.0,c0327c19c910763a5f00d689f18e5cb4e1f816fe,pog 
147.0,2eb6f427ac34bc4f38b38c376608d52f6541fd8c,conj giant 
152.0,1318a83a40dbb79b07136c3361623fab64914c4e,1 mana conjuring seems like good card lul 
154.0,e63f54124e57c92adde95b8dff0dc4ef410fe58a,scheme giant 
155.0,2eb6f427ac34bc4f38b38c376608d52f6541fd8c,scheme* 
158.0,e63f54124e57c92adde95b8dff0dc4ef410fe58a,an conjure it 
161.0,0a9f959ceebe3e55a3cf9cce71f9b729c8c67344,this deck pogchamp 
166.0,c0327c19c910763a5f00d689f18e5cb4e1f816fe,do it pog 
188.0,ed933c5b98409efdafd266d8a06f1b773bec4620,whos the mage now 
189.0,ca968250e0c1037a0d01ab6df12bab02387a6c59,pog 
190.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,pog 
192.0,e63f54124e57c92adde95b8dff0dc4ef410fe58a,loooooool 
195.0,b4cfdd83a1c14574814dbd5f354d2b8ba42954ac,2 3/3s lul 
195.0,2eb6f427ac34bc4f38b38c376608d52f6541fd8c,pogchamp 
196.0,a291763d83f70e63fcf28a9a976ae694e4ee0555,by fire be purged 
196.0,11eb65bb97ef2e2e19783f764646b7cb2213459b,two 3/3s poig 
198.0,7195d68747c82239e1eb8e2636ea1b311a58ed87,wow that was a low roll 
198.0,11eb65bb97ef2e2e19783f764646b7cb2213459b,pog 
199.0,c0327c19c910763a5f00d689f18e5cb4e1f816fe,pogchamp 
206.0,639ae905fe68c4a208fa1d895ab90a28781ec9ca,pjsalt pjsalt pjsalt 
206.0,4c4154e2c2e5aaa8a2f7ab803d7b7ef3ac151fd3,such a low roll lol 
208.0,b63752f616edf4cbe74865140ea84945884bf483,pogchamp 
222.0,ed933c5b98409efdafd266d8a06f1b773bec4620,pog 
223.0,1b2ebed6ecdda626398dc748d01f1fecbe5610bc,alright papa jack 
233.0,8ec41912072e6eaa17a59be7c64e47415c240717,what do you mean there a 6/6 6 drop its perfect kappa 
268.0,e63f54124e57c92adde95b8dff0dc4ef410fe58a,noo save conjure for giant 
272.0,008b2c11ebd8e6a58e21d5c9e6324665d9ae04b4,because 6 drops are so good kappa 
274.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,do et 
275.0,1ed7fa57c3656c561b10b8b1e928879da74c9be5,and get 2 3/3s sounds good 
277.0,1788315c18ac97c8077f631911bcf5d79d95fbdc,5 drop for leeroy 
278.0,e82bddf8e146a95a3ee74f7a8f4c946b44ee57e7,save lackey for togwaggle 
280.0,768dc8c1a30e9dbb86cfec00214bb3bec7a3c029,what 
280.0,c8f5745bc4d3a6502a1502eca10a77245f735b63,deck 
280.0,c2f9f828cd8304832cb2c8c766009ebe5ef9e349,get tempo 
280.0,a4fea103057006d6f270ebb5144d11289b63d705,not worth it 
283.0,4459d83d2564cd9be5ccc036162cf65954ab33c8,the 5head plays 
284.0,7195d68747c82239e1eb8e2636ea1b311a58ed87,leeroy for ez lethal 
284.0,63130853e43b422360ffea031019b42601a7a779,yeah and how's he gonna do it with giant 
284.0,2846ba06f9e9a9fa9c34d72b3d4f7473cf716ca4,i think ziliqx no attacks 
