Time,User,Message
0.0,95baebdaf0d05ac2070f804cd933d8d4ded7e12c,pitch notes for fifa 20 
2.0,194f71cd258116099f011222275a2f72f9e0044d,we playing clubs today pugz 
5.0,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1,permit fabeezey 
5.0,b345b5eb749d6d0c0bbd00b3285a15a18d170e72,oh ok 
17.0,be2eed16112322eb744633b4a165f30696574bb1,sr https://youtu be/cocpn1w13kw 
18.0,c7abd0e6cd4d13f54d632d50edb2d6d305bde7d8,pitch notes were well thought out we'll see about execution 
22.0,3eeb62904dabafa59383d80cfe98302b32ebbda8,b345b5eb749d6d0c0bbd00b3285a15a18d170e72 you can post the link now 
24.0,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1,3eeb62904dabafa59383d80cfe98302b32ebbda8 just didncutie 
26.0,9c3c931deb2d191e7c7c9d484de03aacc6f4a202,pugzbinos pugzbinos pugzbinos 
30.0,223bad7dc46abf6d1d1e0648b1511cf44ee9e531,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1 cutie 
38.0,194f71cd258116099f011222275a2f72f9e0044d,i play five games too and then we go smashing pro club nerds 
40.0,3eeb62904dabafa59383d80cfe98302b32ebbda8,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1 thank you bro 
57.0,223bad7dc46abf6d1d1e0648b1511cf44ee9e531,i've lost 6 straight tonight can't wait to make it 7 
58.0,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1,223bad7dc46abf6d1d1e0648b1511cf44ee9e531 cutie pogchamp <3 koncha 
62.0,c8f92911bd4d458e096852c2f7993247203aa385,i feel like im at a fancy restaurant with this music 
64.0,a0b13d7c12fa397aaaa1aaf4e56e52532c072bd1,3eeb62904dabafa59383d80cfe98302b32ebbda8 np <3 
66.0,666f7740480e0439d8eea701b57eec14723997ce,what rank did you get last wl 949fa2e45130baee7ca2a5f214ee5a55c89d33bd 
72.0,a1ed630498cb6cc3edd61939d32d2e6aa2e43e6c,i need help with offensive tactics my defense is very strong in 4231 i think i play drop back with 4 depth and like 5 or 6 width with cdm's on stay back seems to work for me 30b311e255bed769264529c735843967c6d55841 
73.0,95baebdaf0d05ac2070f804cd933d8d4ded7e12c,c8f92911bd4d458e096852c2f7993247203aa385 yes lmao 
76.0,390ea5f7633bb8653cb27f257b810145aec253cd,949fa2e45130baee7ca2a5f214ee5a55c89d33bd do you like bone thugs & harmony 
81.0,16d1de312901b3f1e4ecf6173205fb109a0c0d4f,yooo 
89.0,c7abd0e6cd4d13f54d632d50edb2d6d305bde7d8,so my first elite finish ever started bad with 3 bad red picks but my bundesliga pack was 1 6 million coins never got such an influx of cheddar 
105.0,666f7740480e0439d8eea701b57eec14723997ce,how do you stream do you use a computer or do you just go straight out your xbox 
107.0,b345b5eb749d6d0c0bbd00b3285a15a18d170e72,https://ibb co/r2hzvrz 
126.0,223bad7dc46abf6d1d1e0648b1511cf44ee9e531,b345b5eb749d6d0c0bbd00b3285a15a18d170e72 gotta do it immediately after being permitted 
130.0,28dcc28e11bc7de66879a98792626a66eff20083,sr nicky romero toulouse 
137.0,b345b5eb749d6d0c0bbd00b3285a15a18d170e72,ok 
139.0,6f5d85fbf77124a7eafc0d2eb9a6ed246e46f8de,bone is my fav rap group 
144.0,b345b5eb749d6d0c0bbd00b3285a15a18d170e72,i'm ready now 
144.0,666f7740480e0439d8eea701b57eec14723997ce,dude i got elite 3 and i got sommer trapp and campl the 60k card -_- 
145.0,30b311e255bed769264529c735843967c6d55841,a1ed630498cb6cc3edd61939d32d2e6aa2e43e6c i use the 352 when i need goals there's a video on youtube from a 30-0 guy with that formation its risky but soo good 
147.0,666f7740480e0439d8eea701b57eec14723997ce,not even a witsel 
150.0,194f71cd258116099f011222275a2f72f9e0044d,sr https://www youtube com/watch?v=9djls6phcgm&list=llrp03cegy0udsig9bxd8otw&index=4&t=0s 
158.0,16d1de312901b3f1e4ecf6173205fb109a0c0d4f,sr don't gas me 
162.0,c7abd0e6cd4d13f54d632d50edb2d6d305bde7d8,first of da month 
163.0,3eeb62904dabafa59383d80cfe98302b32ebbda8,he's trying to show his squad 
