Time,User,Message
0.0,b52a1d8a29b2842742282179b803eb92f882f7bd,9ebce6d439351f03b8621d7243a850705460c740 maybe monkas 
7.0,69c8aea70a348c9022fac642f6f6c9c2624bf067,forsen1 
18.0,af907660f06fccba67d8ed8300d597dc4c53fcb7,95c13a3c6f4161e2b0f33eb6f28a6fb8461d343d what does % mean in your stream title 
21.0,ba6344d2e5b505319aaba96584d56b1d02d07f78,sylas elegiggle 
21.0,858bd42886703baf0725bfbc3951f7d18b1ae9a5,worth it 
22.0,1f9c648963387e57029f907aa4654dba7eb11f26,b52a1d8a29b2842742282179b803eb92f882f7bd ok i'll try and focus on that won't worry so much if i lose the trades :) 
23.0,2dabddd6a150e8c8a13a5181efbe267bb042573e,worth i guess 
24.0,0e8883e6f55bbadc8764c136b6b63d5980d6bb6a,ratirlkekw1 ratirlkekw2 
25.0,7a57ba3f96b548b760879e6f87a4a39ef7c566a2,the kid poggers 
25.0,0e8883e6f55bbadc8764c136b6b63d5980d6bb6a,ratirlkekw3 ratirlkekw4 
26.0,c3b7ea446fed5c080d49fb31a1489746c3a10800,1 for 2 pogger 
40.0,3e27cdb55b5c929cd295c2bde71292f97c5fd5fe,shroud1 shroud2 
43.0,ecae20d160b98818c917e709884c3b9529c26bd2,kekw 
47.0,3e27cdb55b5c929cd295c2bde71292f97c5fd5fe,shroud3 shroud4 
63.0,b5689667ca76d4e261bbcb5a43944526e3fdf3b7,so why do you buy lost chap before tear 
65.0,b52a1d8a29b2842742282179b803eb92f882f7bd,1f9c648963387e57029f907aa4654dba7eb11f26 it'll eventaully come just takes alot of patience 
66.0,2e6d864d7bb81234288d887ccf6ffd3d7f0d8899,i thought they were nerfing sylas out of the game did the change their mind 
67.0,26ba59ed4f911273c60f2887929acb144489af40,if enemy bad i kill 
73.0,88432209111eba19a4c208a07a5af1f8dd367700,imagine subbing just to write things in chat kekw 
