Time,User,Message
0.0,974ef8b109f84350d561c9fee09088e43e0f8a32,ceneri 
0.0,c3bf71d50090996fe4683fae656615d36d0d3163,packs are a lie dansgame 
1.0,963327e20f08eca908e59b45295dbd03a5a002de,hello 
2.0,abc6f9e9c9ca7585a0f1f70efa386ad8d5d19a54,forsene 
2.0,75d26f98f15f1f94b8a8d4e026aec7e76a657492,nope he's not gonna win now after that mistake 
2.0,a9f4f9b6f5e092460a005eb36034d1deddd7c440,rase kekw 
2.0,1593e46e3764580ce4e826b8af116d32d2eb2ce2,cenerii 
4.0,401c569caade0623a1027754988481d6c4108f37,rase hold your head up 
4.0,6384164866aca487d4f133c0358bb712a6705800,abc6f9e9c9ca7585a0f1f70efa386ad8d5d19a54 make a case for zuljin too while you're at it :d 
5.0,ccd6235a90c81928be4691749beb3017d52f5d64,forsent 
5.0,39ffc757c6024bd1ae14f26b7206426c000bc147,rase win 5€ 
6.0,c2a437d8edf8be6ee31ecfed814414cfa0e16067,cenauri 
6.0,e0c02407eee18990a123a0969701f9ac47ca634a,b86aeec0065594bbd4366e5690b69e2d536c1467 cenarii 
6.0,b86c5505f7124cf9cb8fde47eeee7fe05c5e132b,57157c56c7d1daa4a40286b26def88d957f5a0bd schade kappa 
8.0,daa1c2d8719c827699fb206ecf0be8e9ebe9ef2d,cenerii 
8.0,f2252e20294631aaceb124c41766ed83ac47f30f,cenarii 
9.0,37d875735e666f1461bc1e9361f477a8553df32f,b86c5505f7124cf9cb8fde47eeee7fe05c5e132b ja 
9.0,9b890b3d73deef961ef669ca88639e8b9922b236,go r-a-s-e 
10.0,d551a7a4077848c5dea953460efa70e660f32c72,cenar eye 
12.0,e288a231e180d585dc029868cf7454d64c18ee15,war das ne fußball anspielung notlikethis 
12.0,8527752275cbe35618002bc08150353802e4bdc7,blessrng 
13.0,8f0a25898f858b1e0e6bee6ec083f2538ce1f35e,go brasiiill 
15.0,605bdff6c952fce4295c68846c1d71fccab0c7c4,lul kappapride 
15.0,622bf4d5fe659c2b260efc1ee46c410c3ba0fa2a,oh boy regelation might be a comin d: 
16.0,e30256e9d05cd639e26039a9623b95b2984d6695,third pack for today pogchamp heyguys 
17.0,ea487987fcaa5adc49c184df115239ce180ca493,ez clap 
18.0,95f7e12d9aba8dde1822a2aabe6581fbd3411634,felt like rase had it 
19.0,26d6681dbeee5676f6480e9fdad5a2b357b0163a,fight the loses 
19.0,62e2522ed3e7e52dcba2c7bb3d0367fe4401fdf2,cenarii is there's two cenariii if there's three 
