Time,User,Message
0.0,a0cf0db796b7dd8a0547411f31fbcfe6bf46c727,when arkis and pablo get some toughness and servers dont break 
3.0,a0cf0db796b7dd8a0547411f31fbcfe6bf46c727,lul 
36.0,10f182f8eff1269d41c09fb37e19439b81e4caf9,heard big boy group is trying to do it by sunday 
53.0,42f8faebd87f7db1167ba31fcf3f9467cf2ad21e,snitchnein lul 
129.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,did he fall asleep 
137.0,2197b92b56764c3186ba446e4115dae8c40e9fb6,naw just a break 
141.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,kaaay 
141.0,9849bfb081d66aa2062324bed39e3afb924ba26f,back in a moment just taking a phone call :) 
170.0,999d2f83114d72071c517a2725551a8bac66aecd,translation: just buying some coke or else i'll literally die 
172.0,999d2f83114d72071c517a2725551a8bac66aecd,kappapride 
182.0,9849bfb081d66aa2062324bed39e3afb924ba26f,empym 
210.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,seemsgood 
218.0,10f182f8eff1269d41c09fb37e19439b81e4caf9,we need to take a serious talk about your music :) 
225.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,imagine smokeing a fat blunt after 29 hours stream 
229.0,2197b92b56764c3186ba446e4115dae8c40e9fb6,its song request 
232.0,9849bfb081d66aa2062324bed39e3afb924ba26f,it's requests :) 
232.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,and just sleep for 2 days 
237.0,10f182f8eff1269d41c09fb37e19439b81e4caf9,oh really before even starting 
239.0,10f182f8eff1269d41c09fb37e19439b81e4caf9,monkas 
243.0,2197b92b56764c3186ba446e4115dae8c40e9fb6,shhh arkis take your call i got this 
256.0,64f95540bb618186e9e62358b410ae89907f77e8,what the hell is this music 
270.0,10f182f8eff1269d41c09fb37e19439b81e4caf9,ikr 
288.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,skip 
289.0,2197b92b56764c3186ba446e4115dae8c40e9fb6,songqueue 
289.0,8e4abd2144e237d6d452fa667bc86b01539b55f5,songqueue 
296.0,a0cf0db796b7dd8a0547411f31fbcfe6bf46c727,sendoakk i been up for like 30+ hours and just hit one 
299.0,a0cf0db796b7dd8a0547411f31fbcfe6bf46c727,lul 
304.0,2197b92b56764c3186ba446e4115dae8c40e9fb6,blame duckzzzy 
316.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,sr https://www youtube com/watch?v=kxwxm7ttj78 
318.0,af29200011b67c13c3c8f9c0aa9f6640ddf695ec,lol framez 
