Time,User,Message
0.0,f9b712d31cefba875bb42830dd184936a0f104eb,f3 on fire 
6.0,80458bf1f945c231b85cb971bfea4929605e187e,nt 
16.0,98e359a23bedd7ce19cd849f8ec21e8ca39812bb,baddy fragging pogchamp 
16.0,70b7e383e1841b311d8aa20edfbf220e36f8a3e6,lets go baddy 
21.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 baddyl303 baddylhype baddyllove baddylhype drichhype drichhype baddyllove baddyl303 baddyl303 
22.0,4a541816ad8aa7ba24b2a03ba122c3025f7c8729,go vic 
23.0,a9cdf48ba4b6a69dd8b79226863b6ab0ce297591,this switching around makes this a mess to watch 
24.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,gotta set ourselves up for success going into week 4 this game and next are too big right now 
25.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303 x303ap303 x303ap303 x303ap303 
34.0,21b72e245251da117368f5cc3be374ee68553a05,w lyon3kshock lyon3kshock lyon3kshock lyon3kshock 
37.0,9d3d7f00f3970fb04cc846b5133977b48c6a97e3,fudge pogchamp 
42.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303esports x303ap303esports x303ap303esports 
46.0,21b72e245251da117368f5cc3be374ee68553a05,qq lyon3kshock 
49.0,d8ed2fe6aa78e079ebf9e06801819173699d3d49,duckklove duckkhype duckklove duckkhype 
51.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,baddylhype baddylhype x303ap303 x303ap303esports x303ap303 x303ap303esports x303ap303 x303ap303esports x303ap303 x303ap303esports 
51.0,c6c92f34e6ed6593ae0fa81d8d9e5c9de0bf8675,baddy going ham 
54.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 
54.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,finish strong 
55.0,d8630105cd736ff92ad9801e6f1869cecfb46c6f,11 kill duckknoble 
56.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,snap em up 
59.0,d8ed2fe6aa78e079ebf9e06801819173699d3d49,duckkrekt duckkrekt duckkrekt 
62.0,1adc2e3222d17bac7ebd7aed4eb3a6c5f54efa5c,lets go baddy 
62.0,cc238f18ae29ce2a10b3b814d5919a876b165811,baddylnade baddylnade baddylnade baddylnade baddylnade baddylnade baddylnade 
66.0,677e5c0d5c90424d428ae008a15646ae55e75685,duckklove 
66.0,cc238f18ae29ce2a10b3b814d5919a876b165811,let's goooooo 
68.0,70b7e383e1841b311d8aa20edfbf220e36f8a3e6,lets go 
68.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,eat em up 
69.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303 x303ap303 x303ap303 x303ap303esports x303ap303esports 
71.0,f4191dcf1fd8cfae73e3c39f65482ec57cec7384,tip 
76.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,eleven 
77.0,708ae04802c36f84a678abfdd8ede74f389a00b5,drasshappy drasshappy drasshappy drasshappy 
77.0,98e359a23bedd7ce19cd849f8ec21e8ca39812bb,303 pogchamp 
78.0,94d3f4298fa2e349165ce190fb3f7d7e220bbca0,303 ez win 
78.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 baddyl303 drichhype baddylhype baddyl303 baddyllove baddyllove baddyl303 baddyl303 
79.0,9d3d7f00f3970fb04cc846b5133977b48c6a97e3,nooooooooooo biblethump 
80.0,f4191dcf1fd8cfae73e3c39f65482ec57cec7384,3 
80.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303 x303ap303 x303ap303 x303ap303 x303ap303 x303ap303 x303ap303 
81.0,c844d4e287ff8b78fc8f3230a25d8d4609c298e1,pogchamp 
83.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,make it 13 
84.0,5975a5760e4315e4102c2485ebb272a453a98d56,lets go super nova 
85.0,b4d988f8779d07b0b5f68fc66f171afd05e9bc56,lets gooooooooooo 
86.0,7c4207271eb127a4489511201a3885959a3d4a23,cigrip 
87.0,cc238f18ae29ce2a10b3b814d5919a876b165811,baddylhype baddylhype baddylhype baddyl303 baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 
88.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 baddyl303 holidaytree holidaytree holidaytree holidaytree baddyl303 baddyl303 baddyl303 
89.0,4fcfcb996fe1210960e5399a3a453ccbf1d68145,drichh drichh drichh drichh drichh 
91.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,we needed this 
92.0,0c8e56a7735690a1a06eacce4d2fe02dec7a1b5b,baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 
92.0,85f8fc5d0717a2f6bdef7203c03356b10bf32776,x303ap303esports x303ap303esports x303ap303esports x303ap303esports 
92.0,cc238f18ae29ce2a10b3b814d5919a876b165811,baddylnade baddylnade baddylnade baddylnade baddylnade baddylnade baddylnade baddylnade 
94.0,f9b712d31cefba875bb42830dd184936a0f104eb,wow 
97.0,b0a74b5a374eacc16d3e29922c0bedf6f827861a,303 303 303 
98.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports 
98.0,ae388a80e305dbc67d6bd51af997494d58d0a863,drichh drichh drichh drichh drichh drichh 
98.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 holidaytree holidaytree holidaytree drichhype drichhype drichhype baddyllove baddyllove baddylhype baddylhype baddyl303 baddyl303 holidaytree holidaytree 
99.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,put us back in this thing baby 
100.0,4e15bd41a8d50580d2ccc10ef1b308f5bb3de5a8,ohh what a game 
101.0,0c8e56a7735690a1a06eacce4d2fe02dec7a1b5b,baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 
102.0,a42c80c5b3c551476b64de17413e95f6b9600b91,the system is against fudge this is rigged 
106.0,f7f2f65b135b9e0f87cb61430ecb2a2570eea2de,lfg baddy 
106.0,492864547cb9b1f202252ae3c387fc9c85bcf5f2,303 
107.0,b4a356daa4be69246962e82ac068bc6927557b27,nooooooooo 
107.0,70b7e383e1841b311d8aa20edfbf220e36f8a3e6,lets go 303 
109.0,a256c03c35272a1ad2444ee209b1809c36b0c785,baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype baddyl303 baddylhype 
109.0,5ea9da96ae3250241c6b898f8d2e4b6780228905,frolboys 
110.0,7c4207271eb127a4489511201a3885959a3d4a23,4head 
111.0,176235184c7ac042213bdf83b9a61a7862a5bac4,drichh drichh drichh drichh 
111.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,baddylhype baddylhype baddylhype baddylhype baddylhype drichhype drichhype drichhype drichhype drichhype drichhype drichhype 
113.0,e60c680b93be200804e2d56484c01988260e219e,hahaa 
117.0,0c8e56a7735690a1a06eacce4d2fe02dec7a1b5b,baddyl303 baddyl303 baddyl303 baddyl303 
118.0,5a2c447dbd8f94cd973a096bbce745a1dc0efd1b,x303ap303 x303ap303esports x303ap303 x303ap303esports x303ap303 x303ap303esports 
118.0,da72543c70fa6a8cd2f3bd08ff9d85ff7fb8fa3e,x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports x303ap303esports 
120.0,9065716e1b297c20677d4189f4466f6e8b77ef85,baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 drichhype drichhype drichhype drichko drichbe 
121.0,f512f3fcce6aa0ef2a87b227a04f162a277fbbe9,baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 baddyl303 
