Time,User,Message
0.0,20c2f75d102455ab59e91bb480aca0f5bc1bf94f,well there goes a waste of my build from a couple of megheads 
2.0,488d2b26c22d48b27127b0d482e13d5e26d6756d,lul 
3.0,b0ac53dfa11ab74776ab0186d49004426f8078cb,lmao 
3.0,1aa074b6d5b67dd27b8361fc7d6c2db0f9293a44,called it lmfao 
3.0,0a0ab14f2f85327c0044f7809f77fd67de0f1e37,when is behavior gonna start punishing ppl for dcing 
4.0,be91b115ba2a808be3da37bd659f1445d27e0d93,lmao 
5.0,230cad2590a33b19cf9585c486817c3f9dbed8f3,ahhaha 
5.0,78297d202b2bb25630b42c1bc5155c10045f3f5a,wow 
6.0,fb6f02f9137a145b350c176000bbc09229933603,brutal 
6.0,cb2d2ee9513d179e48f94b9d68c15773b75a8f1c,good rng bad players 
6.0,036ee243e8cedc0207912e73d4902adfe1d07526,i blinked what happened 
7.0,91bc09a35ef87bde1a66bf914c3339d02cfdbdea,7d599669197edfb5d88b7da211d7d081fbcda63b are you finnish 
7.0,9a672169c5a2d954d88dec10d6a92dd21b372ed0,green ranks 
8.0,45f292ca60cd8b3bb91dbb597ffc49c93cfa1d5e,damn salty survivors 
8.0,e501c578356faa2095f25a5e182e7e69e61a9787,coolcat lul coolcat lul 
8.0,681eef318105029ed0a888a460ae5449f20c3a9d,can't spell omegalul without meg 
9.0,bfb70a5f91a8e0e7c37ee5de655c65ec49529964,i got them a lot they legit think legion is op 
9.0,4749f25b93490c4d9b5cc7f3d5c482b8e22a70a1,lol 
9.0,0c5ad033b499538a0d5b55b134f3dbb9934b8dd7,lol 
9.0,9ef5738389186ef1b0f523d122074c4e2a780f96,lmao 
9.0,b990b5c61dea9fafa8c16ea1b33e967fd5fb9b61,gg 
10.0,509e33d4cd397234751b82b6adb4c89ad0e36576,4 dcs lul 
10.0,8b1cd8ad2d07bc46946e7e57c0604d494bb29a07,4 dc good old legion 
10.0,cdb6547729273363c506de336481d75fd9387ebd,entitled survivors 
12.0,bcc98d73210d59a5bf365c3649bca81538b979da,4 dc damn 
12.0,83d05f278fa06cd7f98e6194be5606926b2fb87f,lmao 
12.0,4749f25b93490c4d9b5cc7f3d5c482b8e22a70a1,deaaaam 
12.0,ce03060d5fe91fc85bfb3451db7066578de33a8a,omg lul 
12.0,a93cea41ac6adcfc119cf1d52ce6916be166ce2e,lol 
12.0,2881561e84b912f1036f92ec1d76d63195064a36,yikes 
13.0,b0ac53dfa11ab74776ab0186d49004426f8078cb,what's these peeps 
14.0,b348067cc1b99ad08f7a89d668cd83837610f6a7,dc 2 stronk 
16.0,78297d202b2bb25630b42c1bc5155c10045f3f5a,looool 
17.0,0bbba3ed72e5be7fae57c2e03b02e055ebe2cc07,wow 
17.0,af48da6ad76db82350a02e6928f7f3a1655cb5d7,fuck em bitches 
17.0,8528ff2b7f6dc8c37a16d7be3302003f55cace61,residentsleeper these survivors 
18.0,931a462011ea79eda892db51444cd6fd7a099afa,i dont blame the last 2 for dcing 
19.0,c2e44e450e3d9d0e397c16389f2c4e2ca85c46b8,lol 
21.0,230cad2590a33b19cf9585c486817c3f9dbed8f3,his a weeb dansgame 
21.0,6d83070e20af3ebefdb83731d2c95c40036c42e3,dc=trash 
22.0,9ef5738389186ef1b0f523d122074c4e2a780f96,lol why they mad 
22.0,681eef318105029ed0a888a460ae5449f20c3a9d,calling a killer trash after a 4man dc to them lul 
23.0,a7a3e07f1c8ddd22e83f542b3b9a0367395bc6a2,cowards die in shame 
23.0,e27d9453777e9408bc66bce10f6b36301752c9bf,diathink 
24.0,98ea923812335b49f06949bb8478949062585b1b,survivors just being survivors 
24.0,bf48383fe616bf101d8914ecfe79c4922d391d4a,babyass survivors 
25.0,185a1908b38f58cd9ab5980666049d8dce929b28,why would you dc against a legion 
25.0,9fd87dd344ae17a7854e8fc1ee3940b3288aad0a,20c2f75d102455ab59e91bb480aca0f5bc1bf94f he will try again 
25.0,8e811ca2e8473082a8c5ed6f08f81b0a9d80be33,man survivors are so sweaty and rage quiters 
26.0,4be89d7ae2dd9c1bdf654acb8f0e0a596ec78baf,= 
26.0,be91b115ba2a808be3da37bd659f1445d27e0d93,oh my god 
26.0,24e919105f6d6e5584eee1065d3e4c236719f297,what a pity 
27.0,cd1d0c830ac3a7ae2f36a4e081b2e17888a9d670,how was he able to chat if he dced 
28.0,45f292ca60cd8b3bb91dbb597ffc49c93cfa1d5e,gg 
28.0,78f0103a3fcc642b8bc689810d95646d9ec8aebc,wow a bit salty there 
28.0,800f53509d2d569351f4a5052434e1988e3ce87d,lol legion trash dc trash whiny bitches 
28.0,88f59f0f3df60d65959c093bc9e12826777d7110,swf rekt pogchamp 
29.0,2b07af92962af2651b489be74fabbe505d56cde5,literally the most annoying thing in this game is the entitlement 
29.0,af48da6ad76db82350a02e6928f7f3a1655cb5d7,i knew the megs were trash 
30.0,78297d202b2bb25630b42c1bc5155c10045f3f5a,legion strong babyrage 
30.0,8d119eacb4bb83f5c6322907e188a230d0d053e0,true they blamed you for 2 of them dc ing lmaoooo 
31.0,2881561e84b912f1036f92ec1d76d63195064a36,usual survivor 
31.0,cb2d2ee9513d179e48f94b9d68c15773b75a8f1c,those survivors=trash 
33.0,015b3b2eb28f49ad1f8cfc598626113f59009f89,waste of a hand 
33.0,37c5469e85c7b462ec4a4336fc5c751c1d9b52f5,rip blood waren 
34.0,ddb65a50e13ed845c0efb96adc9090dcf403e14a,lul 
34.0,a9373f950bb0f0d66e5dab1962d368f982682ff5,20c2f75d102455ab59e91bb480aca0f5bc1bf94f he's playing it again i think 
36.0,9e716fe83c87537578bd8e19d11193bd334a882b,they blame the killer lol 
36.0,2ada53c37d70f4d124af8bfa8ae301a8615fa582,wtf is with ther brains 
36.0,8d119eacb4bb83f5c6322907e188a230d0d053e0,residentsleeper residentsleeper residentsleeper residentsleeper residentsleeper residentsleeper residentsleeper 
38.0,52dc060616a300974ec2116223ef5147ca0f4218,suomi mainittu 
38.0,1c6df844a7d1861c51c0f5cf857a62326b641a43,lol we suk so we dc your fault 
39.0,1a2531d30f703115579841b284761c53732d8e73,1 more 
39.0,573511284dcc9639cb54fd935e5cf0e8e9c2247a,jesus those survivors 
40.0,ab2b4241f4ae6ee035d0af41e1d5bad59af494b8,calling legion trash when it makes them all dc tru3lul 
40.0,97284534482897edf432b3dc9a60b2c192657a2c,dc=trash 
41.0,bd2cfdea1fa32e61239a804786da378d47ba5704,dc should not exist 
42.0,ad531c087ee4b1777242ae9252953f17ed8af2cd,i hate that you can disconnect and still sit around to talk trash 
43.0,c4a4255ed892fee9ef82ea05eaeac1d52583115d,this really be a bruh moment 
46.0,22a7ea6b7384ddd15619434b660edd86b8f40619,legion op 
46.0,75798ea23b001d523d34bed27cf79bd942bc45f5,red rank meg failfish 
47.0,b5921bfc4543b357b9edbe7ebaeec31856b7734a,wow what a game 
50.0,6a31445e3346ac34a54f5e02f94b25dca68deab8,legionistrash but they didn't even attempt to play the game pupphmm 
51.0,6d410c1be6cb98e6cf2b38be55d7d42f1b5ef998,survivors have to be the biggest babies of any game community ever 
51.0,977b98b58c6ff8b2ba8beed40b69630ae9f10263,well i guess they won by taking your addons pepega 
52.0,036ee243e8cedc0207912e73d4902adfe1d07526,those 2 downs could have happened with literally any killer didn't even use your power for them lul 
52.0,bfb70a5f91a8e0e7c37ee5de655c65ec49529964,you play legion you're trash = pepega 
53.0,a93cea41ac6adcfc119cf1d52ce6916be166ce2e,there goes her flash light 
53.0,20c2f75d102455ab59e91bb480aca0f5bc1bf94f,oh cool 
53.0,cb2d2ee9513d179e48f94b9d68c15773b75a8f1c,torilla tavataan 
53.0,5fbca1e0c257cd2ba1b919213c01dc470d463be3,killer won't let me do gens peacefully babyrage 
53.0,573511284dcc9639cb54fd935e5cf0e8e9c2247a,complaining about legion when you used his power once lmao 
54.0,bf48383fe616bf101d8914ecfe79c4922d391d4a,use a ward tru3 
