Time,User,Message
0.0,a892faf8622cb1c5a4ae7083b3433af7d0fe73a0,true 
1.0,95829c10996ce075a0b0b865b71945f637ffbaae,elise lulw 
1.0,317cb1c2d868d178a126f80424e605b3f3ad7e12,streamer mad 
1.0,41b05a18c7a18c22991af37ded145d7fdbc542b9,true lulw 
1.0,e32ae9a6173b326b60b7afca7e474ca75d4fbfd5,omegalul 
2.0,90870912a361d23af67b8b47d78e28db6bb5cdac,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 lul roasted 
2.0,5b525d8430ec8343d24fb007ccb02dd4cb40b5d3,tyler1 last airbender tyler1h1 tyler1h2 
2.0,20b937f2d48db3dc72be49786cb6979de9122503,music 
3.0,cf6a284700b03e070c5872c0ed882512b19dc285,brand op 
3.0,475688628916f1cee9f58ccf00ccd459c9cbb5b9,lulw 
3.0,d956d3904f730727023a62d2d9a3681c75e231db,who needs to be nerfed right now 
3.0,3e15eae91b54b515d8acd7110771604e9bc71e4c,brand jungle omegalul 
3.0,6ee7930b16df1415ba5e28469da4fd6e030fe909,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 hoes mad kapp 
4.0,b8028da3882a0f171b9033eff2afa21c5aa3d72e,d: 
4.0,825725fcc502a25698761ddafa1f1e32e578e86a,pepehands 
4.0,685a119cd9dec259b073bf25848edbd72218a04e,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 <3 
4.0,4af3cf9fdcd6dbf4f7de8ec9cf33b2008cfafa87,payback 10e3fd103a6ff1f64834768b4b6d0885ff3dad39 lulw 
4.0,a75c1d91fe023776cf36b5bfd8924edb2ffcb1cb,qtptilt e4 
4.0,92708210fe7eb4acb80ee03c5073d41cbed2b9eb,lulw 
4.0,dcf08a39dc2fb36c19d45b4ca90c97d17b65205f,elise lulw 
5.0,02085931174896948dec19c4ea563a2b38b0033f,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 pepehands 
5.0,d696da1228eda4a375186ea00013666294adc332,brand jungle pog 
5.0,80d60c0437f18f501535495ed37b6bd4cec893c4,lul 
5.0,28e41ecf9ad7326ad462f3f30b91e198d91a5940,lulw 
5.0,208d72e164c02cde2df0f0d1938515a1a8a6f0b9,elise lulw 
5.0,bbdd6b8dfbf8fe8da1cccdb15c0216a6604afdd0,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 tyler1hey 
6.0,4d744b90eba6d2411653e24d1771c255db2dfbf0,10e3fd103a6ff1f64834768b4b6d0885ff3dad39 is breaking up with you monkas 
7.0,8c9ef3bfce45c0353de37c336421e6e5efcbfb9a,mvted 
