Time,User,Message
0.0,ac31085f6b280d2224cfdddf03b1511aeaa5cf01,im out danny have a good rest of stream :) 
4.0,47d7c9a1ca7d667862cf3928ae69b7a335d36bfc,16da5b0e3c372c449220edbd410a56ef6c41aacf i guess i could sell the 90 and buy the 93 and work through the sbc 
12.0,087cc08372779e1c803d1ee1806a2acf39ad6ac8,you like goretzka 
17.0,28defa17673290bf5839f26aae411a26202c82d7,the guys 48 pace whys he whizzing around the pitch like speedy gonzalez 
22.0,f4e548f794811141796ececacc3d1ba6bf6ad634,lul 
23.0,31330796ab2071b9448ee69f2d513c8305764b05,shauna dirty man 
25.0,28defa17673290bf5839f26aae411a26202c82d7,tahts proof of handicap right there 
25.0,67598ea7a9a7cffc148b013ffc4c5424d180c6d4,bc25e1ce24f9966b8263571cb2ca867dac01f794 damn for real yeah i do go there a lot when im in london 
27.0,776e7ffa44987ece4f7b3cb348f1fd53ac28fc82,werk werk werk werk werk werk werk 
36.0,f4e548f794811141796ececacc3d1ba6bf6ad634,i was quoting that man 
42.0,16da5b0e3c372c449220edbd410a56ef6c41aacf,47d7c9a1ca7d667862cf3928ae69b7a335d36bfc yea just use the players we get in weekly objectives and stuff you'll do it for a good price 
42.0,f4e548f794811141796ececacc3d1ba6bf6ad634,why u cominnnn fast 
50.0,be642a8ea096dfa6f96711df256f2416256288ce,riri living in london now 
51.0,bc25e1ce24f9966b8263571cb2ca867dac01f794,67598ea7a9a7cffc148b013ffc4c5424d180c6d4 yea ahah it was my 2nd home practically from like 16-19 
64.0,776e7ffa44987ece4f7b3cb348f1fd53ac28fc82,who can cum slow that's impossible 
75.0,ebdd21d2505c26289222e580b0f701ca9461b4ae,9fd18d155e5cb2b0e6f8eef8f01eee78c5031fc6 just ideas to help the community out and find a sollution pattern anything u need i can help u out just ask it 9fd18d155e5cb2b0e6f8eef8f01eee78c5031fc6 
78.0,bc25e1ce24f9966b8263571cb2ca867dac01f794,drag back pass is amazing 
83.0,bc25e1ce24f9966b8263571cb2ca867dac01f794,so effective 
85.0,67598ea7a9a7cffc148b013ffc4c5424d180c6d4,bc25e1ce24f9966b8263571cb2ca867dac01f794 daaaamn thats mad how old r u now 
87.0,6a97f7b63a0b25c4561130f058c3e4563639f85a,hahahaha 
94.0,f214bdceeca8e5f5273dcc772497d16a216af94b,damn i miss 2016 drake 
