Time,User,Message
0.0,0aaffd33d5f6f242ad6caed58214ef794ff2a09a,its portuguese chat weirdchamp 
6.0,92ee96b6af8edff373d5a86b0add3153472bffc8,stop talking american seagull 
11.0,cb4146e32a5261b3f8bcc78af14bea2828eae7ae,no 160 ms likely 
11.0,3835a330453550fae511e4f5c68bdb302490eedc,it's french u dummies pepega kappa 
11.0,09deda20bf1aa8b796d00c0990973633ec3cc6da,:o 
11.0,ba203f2df948163104bc47e3786703e7f6d930c3,torbastion ohno 
13.0,da7858c2fbde35cde6c3a4a412f1fd7f2897ee95,wtf cmonbruh 
14.0,7ec9ab302a6b5d3baa020ec7cd20d3ad9ce2b2fb,not brazilian 
14.0,a3bcd57e23cc1230d45211579f8fed457c53d767,a08e680f5dad90fd5118d299bddf3e087af7154e it's portuguese not brazilian lol 
16.0,2128f66767b41fee3ad7496ff2cee590d0a48f1b,triplega 
18.0,c91ade6891af93f524d998da8b5387081542a382,there is no such language as brailian 
18.0,cb4146e32a5261b3f8bcc78af14bea2828eae7ae,they are my friends 
25.0,a6fd84e56705f39210bf315f84b3850a6931fd07,it's portuguese you weirdos 
26.0,c91ade6891af93f524d998da8b5387081542a382,brazilian 
28.0,1d95b999ca6e4d77d4a20eda4a3ef229083e7cc0,es português blessrng 
30.0,da7858c2fbde35cde6c3a4a412f1fd7f2897ee95,brazilian doesn't exist pepega 
33.0,c7ffa3643c65faf0e07547621e7869ecf8f3eb81,lul 
37.0,d63ed29a0bc5b31801c7051e0d8aa8b049395cb9,a08e680f5dad90fd5118d299bddf3e087af7154e did kno that thank you 
41.0,634a2b1680172ea15b726a1d8c3b28bb1cc7af0a,diving bastion monkaw 
43.0,c23f68346e47b2e288a18ee90e5b1f99b9bdecd7,wait i just got the notification no seagull waiting room 
44.0,dc0b9f956150b2aa117d4852cef6436cb17a2213,bunker 
48.0,4279da79bea9a7d5d8744ecd41f456c94f5e3c4d,get off dva 
49.0,736ce836f463625751e4e2c31431156e1fbcfb7c,but orisa is a good character pepelmao 
51.0,ad0d8b5f460aa46c2bdcd8db37c12482d8733a0c,get a sym and tp under them 
58.0,14286c4dd01e06cf8c8cddd1d43d712a76483327,so kabaji never speaks in stream anymore pepehands 
60.0,260c5f75079391343accda92e84dd8bd4cb44451,bunker feelsgoodman 
65.0,570aca15a0dc7be1e4eb6f2001a3f3a41e723a40,immortality in pvp games are bullshit :| 
70.0,b1f306f14cd29988accdde49114eb50d903c28e4,o r residentsleeper s a 
76.0,6b4e458fe2b9922a3b92e560066cf4bc5b37889f,go bunker v bunker battle of gettysburg meta 
84.0,4279da79bea9a7d5d8744ecd41f456c94f5e3c4d,thr omegalul wing 
91.0,43a628e5d2480fedbcade252e8ccdce5d6e2cd9c,nice balanced hero pog 
93.0,e3c61668428f9281595b9ac21eb567bf22e6fd90,it's a lamp 
93.0,dc0b9f956150b2aa117d4852cef6436cb17a2213,none can beat the lamp 
95.0,4e262c30b0e7b8529d38759438f67cc0d299ffd4,mei 
98.0,a189de2225a342514e29dc6e129583fe5547b4ae,14286c4dd01e06cf8c8cddd1d43d712a76483327 he was talking in stream last night 
98.0,634a2b1680172ea15b726a1d8c3b28bb1cc7af0a,your team is too busy diving bastion pepega 
99.0,00e551c7e3ee6d1c33111c6c0c7d4371ed42430f,bunker lul 
99.0,2ca69ebf84f4f82483efea9e797b22c2525d6d43,nice team comm lul 
99.0,6d301be5df6546b0df9620fa73575832910a8ff8,baptiste is a fun hero kapp 
100.0,773d7dce1c77ee7f7c83cf70ebb73c6389708e7b,b a s t i residentsleeper n 
105.0,c873a5f7e566a8d23f2692f88e85f4a63bc07888,such a well designed ability lul 
106.0,ac06807066bb05d7e7eda11c722672e881822ec9,seagbaka 
107.0,9e81792a59ffc153ac380eb734b36a5421c35ee0,that lamp is the single worst ability in the game 
110.0,da7858c2fbde35cde6c3a4a412f1fd7f2897ee95,2cp lulw 
111.0,4bb2599f8810636cf6f094c37c7ab87825f34d74,you need a lucio lmao 
113.0,4279da79bea9a7d5d8744ecd41f456c94f5e3c4d,good dive kappa 
113.0,d8803bafe3bea9f2ba9642ae41ae52c8e0d24cbc,started off down 1 
117.0,a192c37fa782f2e415628521aaedfe9d62f00944,who would win a full team of dps vs 1 lampy boi 
119.0,524c7fba3925cd88c70042e6eaeec5426943f6fd,ugh bunker 
120.0,dc0b9f956150b2aa117d4852cef6436cb17a2213,basti residentsleeoper n 
121.0,736ce836f463625751e4e2c31431156e1fbcfb7c,9e81792a59ffc153ac380eb734b36a5421c35ee0 most of the heroes are shit tbh 
129.0,a6a2498a17d7c352ca43ea98f126a8327dc875ab,lesly2noo 
130.0,d24da7538b0fb2e64742861789f16a11a50812ba,make lamp an ult :pouting_face: 
132.0,71a9f2075f296fd7b92abd9ce7b83b18ee4d0dfc,dude needs to swap off of widow 
135.0,2747139965297c7a68882719cf2dd552e35894c9,nano primal pogu 
139.0,efa89c20022ce6d7e3b790419395e557c7de9fb9,someone say lamp ƹ̵̡ӝ̵̨̄ʒ 
139.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,aegonseven no zalgo characters please [warning] 
140.0,260c5f75079391343accda92e84dd8bd4cb44451,pog 
142.0,3c92ce587f919e7ede3c4df11e96a02baa7c6bc1,looks like bunker is popular in brazil too feelsbadman seagf 
144.0,0aaffd33d5f6f242ad6caed58214ef794ff2a09a,gachibass 
145.0,260c5f75079391343accda92e84dd8bd4cb44451,gachibass 
148.0,101e1bbe84fb295b9429f71b56cb65564d78d385,gachibass 
151.0,affc77d1bb32f848a6a1c8da536e910f47eb4603,remove all heroes starting with a b :pouting_face: 
151.0,2479b67f6a458c2bd8e79edbffcd9c076cbb5122,gachibass 
154.0,ee26e8b950fdffa89af7bfbc8e01891eaeb25227,gachibass 
154.0,773d7dce1c77ee7f7c83cf70ebb73c6389708e7b,m lul s t e r s 
160.0,cdde363e101c41a694404e6b57acf032ee5d7731,^_^ 
161.0,0aaffd33d5f6f242ad6caed58214ef794ff2a09a,tsptracer 
164.0,2747139965297c7a68882719cf2dd552e35894c9,everyone pressing q ppogu 
165.0,260c5f75079391343accda92e84dd8bd4cb44451,dva pogu 
167.0,63805d6bc1400c0072f82978b636b633c77fcae7,overwatch sure looks fun elasmile glad i quit this game elasmile 
169.0,00e551c7e3ee6d1c33111c6c0c7d4371ed42430f,pog 
170.0,a192c37fa782f2e415628521aaedfe9d62f00944,d24da7538b0fb2e64742861789f16a11a50812ba it could be cool to have lamp be damage amp/protection all in one as the ult 
176.0,08c59d99c684927781b6ca58549558d114f908f6,carrying 
176.0,3690e631fd32250251d79989182e6ec15cee653b,killed turret lilpog 
178.0,12661f50c6d0e1b987ec9ced2139781aa458c904,ez 
179.0,60b0d9d5d178d44843042d14707ea790f054669f,a08e680f5dad90fd5118d299bddf3e087af7154e thoughts on the d va nerf 
185.0,38321d256bc61736d2ec8bb185ed55f02b2bd893,nice cap 
188.0,00e551c7e3ee6d1c33111c6c0c7d4371ed42430f,huehuehuehue brbrbrbrb 
