Time,User,Message
0.0,f6c8f6e99e286e92eeac4a298ec978772f5fd79f,u def need a backpack this place prob has hella shit 
16.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,it does have hella shit 
30.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,a0fa905321d8f0023fae82df33876b0d5e81bd78 the good gear is at the bottom but if u go down you will 100% die 
30.0,5080b198952118f7d63df2027fd1b005a6c95b21,make spartan iron shield 
33.0,efc02318fb866fecafa6f088e4733db96b7aedbc,a0fa905321d8f0023fae82df33876b0d5e81bd78 make spartan shield when u have the resources 
38.0,efc02318fb866fecafa6f088e4733db96b7aedbc,they are better 
41.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,your level 13 level up some stuff a0fa905321d8f0023fae82df33876b0d5e81bd78 
50.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,a0fa905321d8f0023fae82df33876b0d5e81bd78 these dungeons are hard af in normal mc so with rlcraft ur fked 
63.0,5080b198952118f7d63df2027fd1b005a6c95b21,you can disenchant them for xp 
84.0,c0ba761c5e7dee5ae37284f60a0b70bfd187a5ac,hey man a0fa905321d8f0023fae82df33876b0d5e81bd78 jasonrn jasonrn 
94.0,efc02318fb866fecafa6f088e4733db96b7aedbc,yes 
103.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,yep 
115.0,884d1d8707654096298f8ad6f9eadc4e29d648ea,can you use your skill points yet 
118.0,1b9d90edf6d59c24660854d11be5f4e639f4e533,followage 
118.0,5080b198952118f7d63df2027fd1b005a6c95b21,mining 
132.0,efc02318fb866fecafa6f088e4733db96b7aedbc,prob no 
147.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,a0fa905321d8f0023fae82df33876b0d5e81bd78 you should press l and get one of the better level up options 
151.0,f6c8f6e99e286e92eeac4a298ec978772f5fd79f,that's what is in the dungeon 
169.0,c1ab061fe5e0f105abbcafc57ed9b74c0428f4bd,take the bread 
193.0,efc02318fb866fecafa6f088e4733db96b7aedbc,shield 
201.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,attack or defense for sure 
201.0,5080b198952118f7d63df2027fd1b005a6c95b21,mining skill 
202.0,f9de055f8c21fa55a1f5264a5b09387c7cfc0931,¯\_(ツ)_/¯ 
206.0,802ce235b0d401a14ffe4e57bfd8ed6fa26520a8,combat 
208.0,c18420f1ee7eaf0da4c371b1b7673d8867b7fba4,hello 
212.0,802ce235b0d401a14ffe4e57bfd8ed6fa26520a8,melee 
219.0,c18420f1ee7eaf0da4c371b1b7673d8867b7fba4,rly playing mc 
235.0,efc02318fb866fecafa6f088e4733db96b7aedbc,the jiggle peeks lulw 
236.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,but if u wanna invest more time the more expensive skill trees you get in by pressing l have way better effects 
238.0,c18420f1ee7eaf0da4c371b1b7673d8867b7fba4,will be back after this game 
267.0,c0ba761c5e7dee5ae37284f60a0b70bfd187a5ac,kids 
285.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,safeguard is garbo u can toss it 
290.0,f6c8f6e99e286e92eeac4a298ec978772f5fd79f,this is where summon staff would be usefull 
296.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,^ 
310.0,c0ba761c5e7dee5ae37284f60a0b70bfd187a5ac,i bought minecraft got bored and sent them a email saying my lil brother bought it and i got my money back jasonrllul jasonrllul jasonrllul 
323.0,5080b198952118f7d63df2027fd1b005a6c95b21,you need to make torch arrows 
326.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,a0fa905321d8f0023fae82df33876b0d5e81bd78 and this is only the first level kekw 
331.0,efc02318fb866fecafa6f088e4733db96b7aedbc,ur stone rapier about to break 
333.0,8b6e6daeeeb4ac47d4f83593e16b90d0d8ad2470,crack zombies monkaw 
336.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,a0fa905321d8f0023fae82df33876b0d5e81bd78 it goes for like 5levels 
343.0,efc02318fb866fecafa6f088e4733db96b7aedbc,better make an iron one 
348.0,802ce235b0d401a14ffe4e57bfd8ed6fa26520a8,wait its that sword one handed or two handed 
349.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,your getting a fuck ton of xp though from them 
351.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,uhm 
351.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,no 
352.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,thats for healing 
353.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,sir 
356.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,use it when your low kekw 
362.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,okay 
364.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,lmfao 
366.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,lol 
367.0,884d1d8707654096298f8ad6f9eadc4e29d648ea,drink it and go in 
368.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,lmfao 
370.0,efc02318fb866fecafa6f088e4733db96b7aedbc,ur full health 
371.0,efc02318fb866fecafa6f088e4733db96b7aedbc,kekw 
373.0,efc02318fb866fecafa6f088e4733db96b7aedbc,god 
382.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,200iq dont question him 
414.0,c105cb3eb6d2154863104bcc62bb8aeef41079b9,those arent stairs 
416.0,5080b198952118f7d63df2027fd1b005a6c95b21,go back 
420.0,5080b198952118f7d63df2027fd1b005a6c95b21,other hall 
429.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,it was like 30 seconds 
431.0,efc02318fb866fecafa6f088e4733db96b7aedbc,it said 22 sec 
433.0,484dbb4655a5aef9d9070f9fffc90265c9c280bd,jasonrkekw 
435.0,efc02318fb866fecafa6f088e4733db96b7aedbc,on the potion 
436.0,efc02318fb866fecafa6f088e4733db96b7aedbc,kekw 
441.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,jasonrg 
442.0,c0ba761c5e7dee5ae37284f60a0b70bfd187a5ac,jasonrclown 
447.0,3b751e50081c5466d76ebfc35a72d9302823fb4c,pokpikachu pokpikachu pokpikachu 
458.0,f6c8f6e99e286e92eeac4a298ec978772f5fd79f,turns a light on 
