Time,User,Message
0.0,e2f46db1af99149366ecbbe70328c3c8fb1394fc,im tired soo imma go to sleep 
4.0,e2f46db1af99149366ecbbe70328c3c8fb1394fc,see yall 
147.0,2524202ce91e173c03772d967fa58b0242ce4a44,buy fifa 20 
158.0,2524202ce91e173c03772d967fa58b0242ce4a44,when 
193.0,2524202ce91e173c03772d967fa58b0242ce4a44,someone of your friends i saw them have sex 
214.0,2524202ce91e173c03772d967fa58b0242ce4a44,i pranjed you hahaha 
249.0,2524202ce91e173c03772d967fa58b0242ce4a44,hahahahahhahahaha 
269.0,2524202ce91e173c03772d967fa58b0242ce4a44,fuck siri 
285.0,2524202ce91e173c03772d967fa58b0242ce4a44,its siri 
299.0,2524202ce91e173c03772d967fa58b0242ce4a44,do a man 
310.0,2524202ce91e173c03772d967fa58b0242ce4a44,or you cant 
328.0,2524202ce91e173c03772d967fa58b0242ce4a44,who havea girlfriend 
341.0,2524202ce91e173c03772d967fa58b0242ce4a44,ok 
351.0,2524202ce91e173c03772d967fa58b0242ce4a44,i am going to be single 
439.0,2524202ce91e173c03772d967fa58b0242ce4a44,once a girl came up to me and i pushed her and i beat the shit out of her 
460.0,2524202ce91e173c03772d967fa58b0242ce4a44,im not fuckin lying 
466.0,2524202ce91e173c03772d967fa58b0242ce4a44,its real 
488.0,2524202ce91e173c03772d967fa58b0242ce4a44,but she spilt on my jeans 
518.0,2524202ce91e173c03772d967fa58b0242ce4a44,we are the best and fuck the rest 
549.0,2524202ce91e173c03772d967fa58b0242ce4a44,tell your friend to not ban me 
564.0,2524202ce91e173c03772d967fa58b0242ce4a44,ok thank god 
580.0,2524202ce91e173c03772d967fa58b0242ce4a44,tell your friends to stream 
596.0,2524202ce91e173c03772d967fa58b0242ce4a44,yea 
630.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,shut up 
649.0,2524202ce91e173c03772d967fa58b0242ce4a44,yestreday on fifa 20 i got mingolet team of the week 
673.0,2524202ce91e173c03772d967fa58b0242ce4a44,i almost broke my controller 
681.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,i was there dummy 
693.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,lolololololololololololololol 
730.0,2524202ce91e173c03772d967fa58b0242ce4a44,today my brother he is going to give me his iphone x 
737.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,lolololololol 
753.0,2524202ce91e173c03772d967fa58b0242ce4a44,goaaallll 
767.0,2524202ce91e173c03772d967fa58b0242ce4a44,lololololololololololololol 
781.0,2524202ce91e173c03772d967fa58b0242ce4a44,its not me 
798.0,2524202ce91e173c03772d967fa58b0242ce4a44,lololololololol 
804.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,lololololol 
810.0,2524202ce91e173c03772d967fa58b0242ce4a44,sorry 
817.0,2524202ce91e173c03772d967fa58b0242ce4a44,that wasnt me 
828.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,im delayed af 
832.0,2524202ce91e173c03772d967fa58b0242ce4a44,its cooommming hooommmee 
854.0,2524202ce91e173c03772d967fa58b0242ce4a44,nigga 
863.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,yooooo 
876.0,2524202ce91e173c03772d967fa58b0242ce4a44,i wasnt to type it 
904.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,yes lol 
925.0,2524202ce91e173c03772d967fa58b0242ce4a44,i wasnt meant to type it 
952.0,2524202ce91e173c03772d967fa58b0242ce4a44,fuck their mum 
960.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,bruh bruh bruh bruh bruh bruh bruh bruh 
969.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,fifa 20 hype 
971.0,2524202ce91e173c03772d967fa58b0242ce4a44,we will score 
980.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,wanna play fifa 19 together 
982.0,2524202ce91e173c03772d967fa58b0242ce4a44,lololololololol 
992.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i started following you on twitch great stream 
1008.0,2524202ce91e173c03772d967fa58b0242ce4a44,your stream is the best 
1023.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,here is my psn name kingaltadortv 
1032.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,send me a friend request thanks 
1059.0,2524202ce91e173c03772d967fa58b0242ce4a44,can i friend you 3bd4332bf776c2bd238885eb5e70dd2df0d01c92 
1086.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,ight ima head out 
1088.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,omgelias please send me a friend request 
1095.0,2524202ce91e173c03772d967fa58b0242ce4a44,my psn is enl_gaming 
1101.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,omgelias do you a mic 
1154.0,2524202ce91e173c03772d967fa58b0242ce4a44,i am giong to watch the stream because my ps 4 is broken 
1161.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i started following you on twitch great stream christian 
1166.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,highest watched streamer on fifa yesir 
1196.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,yeah lol 
1236.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,christian i cannot find you on psn sorry christian 
1250.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,19 viewers watching fifa 19 
1251.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,send me a friend request thanks christian 
1255.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,you had 16 lil 
1258.0,7dade44f7db87bcea2a038ce75b174a3dcff4eb4,lol* 
1268.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,lol 
1285.0,2524202ce91e173c03772d967fa58b0242ce4a44,can you follow me on twitch 3bd4332bf776c2bd238885eb5e70dd2df0d01c92 
1302.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,omgelias please feel free to send me a friend request thanks 
1329.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i stream on youtube 
1340.0,2524202ce91e173c03772d967fa58b0242ce4a44,i send you a request 
1366.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,kingaltadortv is the name of my youtube channel 
1395.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i clicked the follow button christian 
1412.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i do not what is wrong christian 
1415.0,2524202ce91e173c03772d967fa58b0242ce4a44,follow me 3bd4332bf776c2bd238885eb5e70dd2df0d01c92 
1461.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,do you have a mic omgelias 
1484.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,omgelias i accepted your friend request 
1518.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,great stream christian 
1521.0,2524202ce91e173c03772d967fa58b0242ce4a44,<3 <3 <3 <3 <3 
1546.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,wanna do a fifa 20 collab together christian 
1603.0,2524202ce91e173c03772d967fa58b0242ce4a44,christian when you buy fifa 20 can you join my pro clubs team its called senior junior 
1614.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i get fifa 20 today 
1620.0,2524202ce91e173c03772d967fa58b0242ce4a44,thanks 
1627.0,2524202ce91e173c03772d967fa58b0242ce4a44,i have fifa 20 
1655.0,2524202ce91e173c03772d967fa58b0242ce4a44,nice game boys 
1671.0,2524202ce91e173c03772d967fa58b0242ce4a44,christian is sleeping 
1679.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i do not play pro clubs or fifa ultimate team 
1684.0,2524202ce91e173c03772d967fa58b0242ce4a44,oh ok 
1701.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i get fifa 20 today 
1709.0,2524202ce91e173c03772d967fa58b0242ce4a44,play pro clubs with them 3bd4332bf776c2bd238885eb5e70dd2df0d01c92 
1732.0,2524202ce91e173c03772d967fa58b0242ce4a44,3bd4332bf776c2bd238885eb5e70dd2df0d01c92 isend you a friend request 
1761.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i am following you on twitch christian 
1775.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i do not know what is wrong 
1840.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i unfollowed you and followed you again christian 
1871.0,2524202ce91e173c03772d967fa58b0242ce4a44,3bd4332bf776c2bd238885eb5e70dd2df0d01c92 follow him or i banned you 
1873.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,omgelias i do not play pro clubs sorry 
1894.0,2524202ce91e173c03772d967fa58b0242ce4a44,follow him 
1920.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i seriously am following twitch on twitch 
1925.0,2524202ce91e173c03772d967fa58b0242ce4a44,then tell him yur ps id christian 
1961.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i am seriously following christian on twitch 
2057.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i sent you a friend request christian 
2112.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,fifa 20 hype lol 
2170.0,26a13085712979fbdfb79be943767864545b18b3,action has donated $30 
2193.0,2524202ce91e173c03772d967fa58b0242ce4a44,how to donate 
2198.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i am excited about the 3 vs 3 soccer matches in fifa 20 
2201.0,42a607a09d80685e2868e48f8bd3a9bd72c9a96a,:red_heart: :red_heart: :red_heart: :red_heart: :red_heart: 
2209.0,a19fab20fcb6521f4137a9e9e33dadf3cc28e055,:red_heart: :red_heart: :red_heart: :red_heart: :red_heart: 
2258.0,2524202ce91e173c03772d967fa58b0242ce4a44,:beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: :beating_heart: 
2274.0,ed5555abe49fbe973851bda340617aa639ada79f,action has donated $50 
2274.0,26a13085712979fbdfb79be943767864545b18b3,action has donated $25 
2346.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,are these real donations 
2372.0,2524202ce91e173c03772d967fa58b0242ce4a44,omgelias has donated $300 
2396.0,2524202ce91e173c03772d967fa58b0242ce4a44,how did they donate 
2424.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i need less than 30 subs to reach 300 subs on youtube 
2455.0,2524202ce91e173c03772d967fa58b0242ce4a44,i am on superchat 
2510.0,2524202ce91e173c03772d967fa58b0242ce4a44,omgelias has donated $100 
2512.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,christian did you add me on psn 
2518.0,26a13085712979fbdfb79be943767864545b18b3,action has donated $2000 
2576.0,ed5555abe49fbe973851bda340617aa639ada79f,action has donated $235 
2577.0,2524202ce91e173c03772d967fa58b0242ce4a44,its real if you go on popot chat you can donate with paypal 
2582.0,3bd4332bf776c2bd238885eb5e70dd2df0d01c92,i donated 1000000000 dollars lol jk 
