Time,User,Message
1.0,e7d22239fda7564fb9bf837ac0e7c10f57db0eed,richie foo sounds so cute lmao 
1.0,c6efadb7801ce79560fdbbfb76a35f0cc5e0c427,what 
3.0,ad9709b4027f4509cf2d302986af777a1ef734dc,nice elim 
4.0,2b4a9fd2cc67028ad21b65fa08ae5ae6339eb2ca,wtf epic gsmesss 
5.0,f5c435d9322377cf591491b552f35c772bd7ed74,mrfresnowthats mrfresepic ee0d4bb4a31fc8dd5ab3794548f6edf15755a697 
6.0,4bc0913ff152ab1ec28f9741d3cfb7f4947e03fb,hswp 
6.0,9fcac62d4cc94e5dc3b61281ccc48310a3fc2a4b,1v1 me you bot 
6.0,dcdb6f48c11c6249fcea8bd98cefff60dc80ac77,what leann said 
6.0,a9e4261c26132bb72910e425a5a3f2ad4e8750ad,fresh when is the bat man update 
6.0,d96aa8314bb54c3cbf19c70548ab493544a8488e,hey it's mucle k 
6.0,3893e8e25560d6f7965e2b6dd395e40156d8493b,is muselk in the chat 
7.0,acdaec93629727a900861ac689e7b19135dd5382,yay 
9.0,bd023b8582585e7f1e7ed440e9ff06cf32d421ae,wait i see other oce streamers doing trio finals right now 
11.0,f205b81c8d3e9b73abd99e52664ca43866086421,ya yeet 
11.0,a21eac829a0b673442a64f1561121ce7e4933ae1,no 4e6f7ff406e8f97d20aff603a507ca041e1b5977 
12.0,1ad3b92b6409fd5720dc7b6399f0ce0e4275f77a,fresh didn't u guys qualify for heat 2 
12.0,32de85e348f352bae169b46629cc6d1a5c6156e5,you always get my name right 
12.0,f4cbaf8c5397724b2856fd8b1b3d5c794519d7a5,wha 
13.0,adbbe76543e60275bd8f9625f1c500e768a5ffa5,any tips from switching to keyboard and mouse 
14.0,5bee355f6fc4b8b6f4b93088ce3319f635c72e8a,muselk what upppp 
15.0,f4cbaf8c5397724b2856fd8b1b3d5c794519d7a5,its not cute 
17.0,627c527a1c4af945885e8c01a5e30966d08b5ab8,twitchunity 
18.0,6ad359b8bdf7601f4d8bb11e60f216975486f8c7,mooselk 
19.0,82e1b59c3c07aa90336ceaec70fe55631b661782,did they qualify 
19.0,a7541dad4e7f351abf4b05c29f5dcbc912041efd,yes 4e6f7ff406e8f97d20aff603a507ca041e1b5977 
20.0,7332629ae48a54e226a014ac249df1490376a517,my mum just had a sad mental breakdown 
21.0,ad9709b4027f4509cf2d302986af777a1ef734dc,4e6f7ff406e8f97d20aff603a507ca041e1b5977 you're lovely bro 
22.0,75c3f6d3a7de45b6e0f93a32baf68b51cc60c75d,monitor 
22.0,63c7a5a4c84c51a8c6119b1f645172001f3023ff,omg muselk eecheer don eecheer don 
24.0,acdaec93629727a900861ac689e7b19135dd5382,kaptain im sorry i meant youre 7 
25.0,4e4597d3c9b985c428f7f7357c6dc648e340d6cd,u down 
25.0,1489be988e81e1377d0300e6b5cc77e5c5e6f6a4,bd023b8582585e7f1e7ed440e9ff06cf32d421ae there are 2 heats 
26.0,a4748ee60466b14fbc3232d08bd9626feb929a5e,richifu 
27.0,4752265d3a6773b6643d239cbed7de4e96badb18,bd023b8582585e7f1e7ed440e9ff06cf32d421ae yea they in heat 2 
