Time,User,Message
0.0,f9e96d710a3af4210a076707ad358e7becbf27aa,uptime 
15.0,e51e3acdde3fc11b85cb94b046d07b7d9583e7e2,wins 
15.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,f9e96d710a3af4210a076707ad358e7becbf27aa mavenmav mavenmav 
31.0,497eee4522d0f286945dbe134005b86482b26050,sens 
36.0,f9e96d710a3af4210a076707ad358e7becbf27aa,sens 
42.0,497eee4522d0f286945dbe134005b86482b26050,singsmic singsmic singsmic singsmic singsmic singsmic 
46.0,acdd2b0864c73bff5db15c3b86de0f1409e2c443,teepcast teepcast teepcast 
62.0,a9831fe4c7839f96a4880a82896c683b70c20e04,crowderchoke 
84.0,58c4c71b0f957ba55d9999a669dde03a2237e696,how are you maven 
84.0,497eee4522d0f286945dbe134005b86482b26050,a2ff164def9c55eea2ed540fa5f406ada65b0ed2 singsmic singsmic singsmic 
95.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,clant 
129.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,^^^ 
138.0,f9e96d710a3af4210a076707ad358e7becbf27aa,clant video best thing on youtube 
178.0,497eee4522d0f286945dbe134005b86482b26050,:) :) :) 
186.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,f9e96d710a3af4210a076707ad358e7becbf27aa like actually 
194.0,f9e96d710a3af4210a076707ad358e7becbf27aa,without a doubt 
206.0,497eee4522d0f286945dbe134005b86482b26050,8523abb8e978e3212ce9736c746b191bf0ced6ee you stream 
267.0,497eee4522d0f286945dbe134005b86482b26050,heyguys heyguys 
305.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,nah the clant vide0o is 5ae055a9f100c22c448955f309d0bb4791b94100 masterpiece 
362.0,497eee4522d0f286945dbe134005b86482b26050,8523abb8e978e3212ce9736c746b191bf0ced6ee you watch cod esports 
367.0,ad0d55fa6534eb205e351f75e5da12a50ae1b129,dougwave dougwut 
412.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,497eee4522d0f286945dbe134005b86482b26050 yes 
431.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,a bit too much tbh lmaooo 
455.0,8523abb8e978e3212ce9736c746b191bf0ced6ee,subhype 
680.0,36590fd445f13a70abf08cceb3b207b2a762ccda,a2ff164def9c55eea2ed540fa5f406ada65b0ed2 whenever you come back to london england i'll kick my girl out of the house and let you stay for however long you wanted bro free of charge as you are my favourite caster 
723.0,bdd0748b3457771d49218ff95993257cbcfa63f0,a2ff164def9c55eea2ed540fa5f406ada65b0ed2 i was that level 3 that you shit on i didnt even know i was in your game teepfail teepsad teepsad 
767.0,bdd0748b3457771d49218ff95993257cbcfa63f0,in american 
781.0,2975b9a032cfc554e10999c7750787ea4ded54f9,hi 
905.0,0182a789955f90e3d5bf68501ac13641698d6a52,gg maven 
949.0,3a51e1d0ac0c39b26449bbb0a045b1da80494b61,mavenpog 
954.0,3a51e1d0ac0c39b26449bbb0a045b1da80494b61,mavengg mavengg 
962.0,36590fd445f13a70abf08cceb3b207b2a762ccda,a2ff164def9c55eea2ed540fa5f406ada65b0ed2 whenever you come back to london england i'll kick my girl out of the house and let you stay for however long you wanted bro free of charge as you are my favourite caster 
983.0,bdd0748b3457771d49218ff95993257cbcfa63f0,i was trying to switch my attachment from the mx9 to the kn and i heard the glass break and i panicked 
990.0,c409d708caa5f159396f1d73c3104baaac0cab00,yo maven how's your day 
1000.0,6439b9f8197f5979a47d94d1c7207987d65fa05d,it's tough to see a champion go out like that 
1020.0,c409d708caa5f159396f1d73c3104baaac0cab00,sens 
1085.0,f47c36fb7b96db2af6275e62b84af9cc7b7dc51f,hey all 
1211.0,6439b9f8197f5979a47d94d1c7207987d65fa05d,a2ff164def9c55eea2ed540fa5f406ada65b0ed2 hows the ssd for your frames 
1238.0,cecc3e8d5b68c64e8cabe7ed41d0e825a3db9c7b,wsup maven 
1619.0,f712a02333ab70ecebf23cbfb043f6da5d71f803,you look cute with that pink headset 
1720.0,14206e7e3763021eec04bbedfaf65776ff6f3c36,octanes laugh gets me every time lol i love it 
1985.0,96bff0de1084ad89722baada72cda566ed1adda7,are u playing on ps4 
1996.0,333a028a87a8748b1068edb5250bf7f69b467f72,yes 
2057.0,333a028a87a8748b1068edb5250bf7f69b467f72,good shit brotha 
2069.0,e5de4d03d4bfd5842ecca3ee72c1f73e4de8d553,teepvibes teepvibes teepvibes 
2069.0,d8faa0bd6a55df5821ec8c8dddb804518d644881,less like dog shit 
2069.0,a880077e45e6ce47d47298e47cb40ca8fc4e3365,hi bb i am thanks gennagg gennagg 
2074.0,518cf15631248ac2d3de12c38d287b064d203ec3,hello chat 
2088.0,5295219fbf6171b34146cecd6d5805221a89c00a,omfg 
2148.0,51b0c4e285ed4c681bfc293fd5c60239ab562435,yo yo yo yooooooo 
2168.0,d2e935feddfc87e4eeacebb2f45805e7eb018601,maveniq maveniq maveniq maveniq maveniq mavendashy mavendashy mavendashy mavendashy 
2173.0,0ad52f50eff2351d423d8e556d4f0fc04ae36762,gunnned 
2182.0,998f856e210a4ee6bb19edac90f71eacfe8e344d,kapow kapow kapow 
2198.0,51b0c4e285ed4c681bfc293fd5c60239ab562435,good i miss you though 
2204.0,0ad52f50eff2351d423d8e556d4f0fc04ae36762,mavenbald mavenbald mavenbald mavenbald 
2220.0,d2e935feddfc87e4eeacebb2f45805e7eb018601,awww 51b0c4e285ed4c681bfc293fd5c60239ab562435 
2232.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,you got this mavenbb 
2236.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,gogogo 
2236.0,a59d3ca38e26eba65a2826191c4d3ee1fb98232e,mrkbeams mrkbeams mrkbeams 
2256.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,goooo 
2257.0,228c41681b6aa477fa756e1e6a1c47f6300fae74,lmao 
2329.0,a1db3f13960889b5821129e6daf7e68863208dce,nice shots 
2336.0,a1db3f13960889b5821129e6daf7e68863208dce,gg 
2337.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,those bots 
2343.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,not loving while being snipe 
2345.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,ahahah 
2345.0,74a5a1986333c45d817d39614d9bb0ac0741fce2,maven was frying 
2350.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,moving 
2352.0,f67fe9666a739e7ded21db585bd13c0a8a4503d4,clint is nastyyyy 
2352.0,30aa40b1da8ca4ae47f276f858739af579ff1edd,ggg 
2354.0,e56f8157a92c3bfe183eb8916c1649198f251864,maven you filthy man kreygasm kreygasm mavenlove mavenlove 
2356.0,96bff0de1084ad89722baada72cda566ed1adda7,do u play with viewers 
2361.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,seems to be a lot more bots in na 
2370.0,a2ff164def9c55eea2ed540fa5f406ada65b0ed2,wins 
2370.0,dd3ce3b5ebe9eb9fd4204311de6999ea8052e5e7,i think its jo playin 
2377.0,8e57ff8e0460bcea9d895e13bfdcc45280544277,performance anxiety a2ff164def9c55eea2ed540fa5f406ada65b0ed2 
2379.0,a2ff164def9c55eea2ed540fa5f406ada65b0ed2,setwins 61366317 
2390.0,4700d03edff08228036c391e0a555d29c89f1a90,on point with the koyshka well done 
2405.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,true 
2417.0,74a5a1986333c45d817d39614d9bb0ac0741fce2,maven always kills it with koshka 
2418.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,the guys that have been hiding all game 
2432.0,333a028a87a8748b1068edb5250bf7f69b467f72,lmaoo 4700d03edff08228036c391e0a555d29c89f1a90 it's not a jew gun 
2441.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,yeah i feel the same if you get last 20 you win 
2480.0,5206f00148d493adfb016b9eb57574d5b1a18d94,is this octane 
2493.0,b0687f19a88b3c84866b96add9850f4108171dc0,whats your most kills 
2495.0,96bff0de1084ad89722baada72cda566ed1adda7,join 
2511.0,333a028a87a8748b1068edb5250bf7f69b467f72,wins 
2522.0,96bff0de1084ad89722baada72cda566ed1adda7,wins 
2558.0,333a028a87a8748b1068edb5250bf7f69b467f72,you on a streak 
2617.0,cefaee8f97f86cab012a10326e1b8c375b516d58,quit trying to act like christian bale 
2618.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,swordfish is god tier these days 
2648.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,that was an accident lol my bad 
2653.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,but hey everyone 
2656.0,d2e935feddfc87e4eeacebb2f45805e7eb018601,lul 
2673.0,d2e935feddfc87e4eeacebb2f45805e7eb018601,hi as well 
2706.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,mavenlove 
2717.0,7a198a0a9a646f9a2350b3de49e2598e679bce27,i lul'd at the corn joke well played sir 
2747.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,i got my final exam tomorrow yay luv2cit 
2787.0,ae8294e2fa85cf3a50ffd59576969d5d4c2652b3,fail it 
2802.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,mavenrage 
2878.0,ca1fcee57c37c9cfd60ebeead8de690d20fa0aa3,but yeah i gotta sleep so byeee mavenlove mavenlove 
3031.0,b31169a3b7c94b722b1a41aefaf5fd885cabc409,oooohhhh 
3044.0,0cdee5ecad4d1af05174c2c3bc700ff5ec0da60b,nasty 
