Time,User,Message
0.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,we stan gays 
19.0,6ee500b69434a913ca626a812e1c1520c4409bce,okaychamp 
27.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,gays gotta suppoert gays u know 
32.0,80c49f07dc7041b55d1ecb8bc3ac61830aa1d094,sillychamp 
33.0,a4bc19beab1aafe74193016bbf7dc2015bd2f9c1,sillychamp 
36.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,this is where i've just been majorly jebaited 
50.0,2f5869d9b8a1f9f8ea5d4086cba117944d988296,i literally can't express how amazing this alert is 
52.0,3c4f80fb3434ec7caef06647276037813e4820b4,love this song 
66.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,okay im literally fucking singing this shit now 
69.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,holy fuck 
74.0,2f5869d9b8a1f9f8ea5d4086cba117944d988296,^^^^ 
74.0,4437556e318c249a8895434539e8a000f987a20f,alright im back 
99.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,meatwee 
99.0,80c49f07dc7041b55d1ecb8bc3ac61830aa1d094,damnpog 
103.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,what 
105.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,did i just 
107.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,watch 
108.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,i am the bringer of the sub alert 
112.0,760242245d92f05d32596997ecabdfae45f521e9,pog 
116.0,2f5869d9b8a1f9f8ea5d4086cba117944d988296,oh my god that's actually everything 
128.0,4437556e318c249a8895434539e8a000f987a20f,thx chreeeeeeeeeeees 
130.0,db33a4842a2bf61f86124c3fcd3d587ff56a655d,holla 
135.0,3c4f80fb3434ec7caef06647276037813e4820b4,is that cross fire playing in the background 
137.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,be97be83f56a51f13b56cf01b05d558d4e1ccce5 what do you meeeeeeeeeeeean 
138.0,6ee500b69434a913ca626a812e1c1520c4409bce,handsup 
139.0,4437556e318c249a8895434539e8a000f987a20f,lul 
142.0,1a607689e457a0ee891fcf3c647e91c8022603a4,:skull: :skull: :skull: :skull: :skull: :skull: 
153.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c i i 
176.0,760242245d92f05d32596997ecabdfae45f521e9,bring back the follower sound i cant live without it anymore biblethump 
196.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,its the only thing that brings us joy anymore zubhams 
207.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,yeah be97be83f56a51f13b56cf01b05d558d4e1ccce5 
214.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,i literally just fucking 
217.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,see my name on screen 
220.0,2f5869d9b8a1f9f8ea5d4086cba117944d988296,holla 
223.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,this is 
225.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,so sad 
232.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,we love lunges that make no sense 
235.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,damnlove damnlove damnlove damnlove 
246.0,52680126f2645f2f13ce74713e7c6bbe7947a94d,hahahaha love the alert 
263.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,idk if im uncomfortable or not aaklhlkjgasfdasgfdl;knj 
273.0,34716b1ce9c6024eac45b4a1f3f03045bfe34f8c,lul 
274.0,db33a4842a2bf61f86124c3fcd3d587ff56a655d,i need naked dudes in my pool zubmilk 
280.0,a213591d695a8e65bbb171dff11ff47085d56acf,tallerthink 
283.0,2f5869d9b8a1f9f8ea5d4086cba117944d988296,we need a refund on that hit 
284.0,3d392a244914282c9ee56bb0832109fb17a414e9,what was that xd 
286.0,be97be83f56a51f13b56cf01b05d558d4e1ccce5,okay im uncomfortable with these hits 
