Time,User,Message
0.0,0ad0212f1079fd2b5160252aaa3385c022cfc1e8,a548e00ccce0e1d6bf36bb8708e9cf50a80c2c07 say again 
2.0,3993ca1e25133d78723a08fe7efdd40dc7e34977,action snake real qt 
2.0,3f06824bf6f4d1fffb6310b7e593c3b2f493a6eb,a548e00ccce0e1d6bf36bb8708e9cf50a80c2c07 can't sleep on the buck mibr skin especially the gun skin 
2.0,213b46b43006f9a558a2bc028c7ed933c958aacd,are the ember rise skins worth buying for the advantage 
5.0,c2f3427f8e31d236a38325cf45bd8d67fa435504,a548e00ccce0e1d6bf36bb8708e9cf50a80c2c07 check the subs tab in your discord and see what i was talking about lol 
7.0,f24e93a08d5d9eb4dc237c1c53acabfb342baba7,95e3d781e2557ed9270adf4bd18fbfa4008ece66 chill 
8.0,ad26e024628963faced1773f999eb803d95af2a6,what are ur pc specs 
9.0,fb49e5df83f0fa4566c0af7f3563a61a858019f1,two gen ders 
9.0,385a9f8958b10e0632464c1f4be52d198382d5a0,how many subs do you have in total 
13.0,9f6886c3454b2dc0dae322dcc72d11d872088ef3,hi 
14.0,9d1767ece1a8255eb0bded5fdcb8f312dae79b70,sub goal 
22.0,9d1767ece1a8255eb0bded5fdcb8f312dae79b70,i can make a command but i cant do an overlay 
25.0,78f239dac190de982bfc5f854f4c14c2b610d2a5,houston i i used to live in katy 
28.0,d066e7184776c460026b58dad313738f4add111b,i'm moving in for a month a548e00ccce0e1d6bf36bb8708e9cf50a80c2c07 i just paid rent for a month :) 
29.0,3d259c510ffdbe1cc79d5569d8bb3502a9852e02,texas is the greatest place on earth bro no comp 
31.0,839a7af4b54a1831d71a301e6915f25257a55ef7,kappa kappa kappa kappa 
38.0,aeaf129bde6691dc88a08ca67cd80c6125ae2bb2,163 
46.0,01c697414df11d4c09914cca6e9234520e423eac,a548e00ccce0e1d6bf36bb8708e9cf50a80c2c07 kill spoitit 
47.0,aeaf129bde6691dc88a08ca67cd80c6125ae2bb2,subs till new emote 
47.0,3993ca1e25133d78723a08fe7efdd40dc7e34977,d066e7184776c460026b58dad313738f4add111b can i sleep under your bed 
49.0,9d1767ece1a8255eb0bded5fdcb8f312dae79b70,addcom subgoal 163 to go until new emote 
50.0,dee4b01b25cc8c78f445730f4146028601e361a9,163 
63.0,385a9f8958b10e0632464c1f4be52d198382d5a0,idk iowa is pretty great too 
64.0,41d74ed4af9e4741120bd030b2e65d42ffbf9a09,do you use default mult 
65.0,78f239dac190de982bfc5f854f4c14c2b610d2a5,houston 
66.0,47c1f1a171de3a952df6efd5564663b0006e45b3,subgoal 
67.0,3993ca1e25133d78723a08fe7efdd40dc7e34977,subgoal 
71.0,d066e7184776c460026b58dad313738f4add111b,you read that all wrong lul 
73.0,9f6886c3454b2dc0dae322dcc72d11d872088ef3,curselit 
74.0,5bc8d4bc6788aa1c42a7796d55448ba376f64efe,texas is fucking huge tho lol 
78.0,1e8921c7a436c4f0e0e473cf723bb43a69e83467,philly bro 
87.0,d066e7184776c460026b58dad313738f4add111b,steve blind confirmed 
90.0,053b86387f337a412a961281785da1d7228b4edf,south padre island for beachs and north texas for some good lakes 
91.0,aeaf129bde6691dc88a08ca67cd80c6125ae2bb2,thets a big mood 
91.0,4d61cba897d1c060c24bc0fbda97bec982d83e65,subgoal 
