Time,User,Message
0.0,58ffdccc1cb51940db702957ccba88fdefe88f15,#perfectionist :-) 
10.0,bbb7a17d55a0805e9f8310ea18ce9e2cc29d19d8,i need to see that squish formation when it collapses 
210.0,2240735c8d6790ee4e8516096e1ec4a866174c71,good luck 
224.0,58ffdccc1cb51940db702957ccba88fdefe88f15,du you have a wall breach 
409.0,a91bcb7cbbd5715f6cc7764b156edab93c2957bc,one thing i learned make a non aggression pack with anything you make give tribute if they break it they declare war and break their treaty 
538.0,85d00babd3ffefc0e32759d5ed35cc37c8864e88,hello 
547.0,85d00babd3ffefc0e32759d5ed35cc37c8864e88,whoa this is a part of the game i've never seen 
583.0,85d00babd3ffefc0e32759d5ed35cc37c8864e88,i have a 50% off coupon for total war warhammer 2 
598.0,85d00babd3ffefc0e32759d5ed35cc37c8864e88,too bad i'm not a fan of the lore or the battles 
643.0,00d0b20fa503ee79577216e0a881a6658b519b45,whats the furthest you can zoom out during this battle kappa 
