Time,User,Message
0.0,584736207dec015e185ad29483dbc8915f09f1d6,3c0880749dce2a7b038a0b13acf2b465b36eb1a5 i also have a 600k bits badge ; 
6.0,9c79c8aba8396fedf56240d2758012ad74cb5b70,krinxmehturtle 
19.0,8152aed764b9ad925aa98324154ce69dd8307f5a,the old ones always are more comfortable until you break the new ones in 
44.0,3c0880749dce2a7b038a0b13acf2b465b36eb1a5,584736207dec015e185ad29483dbc8915f09f1d6 auch 
60.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,outside wutface 
61.0,870cff4d09fbe12d519ecfc4b9b99c0e5cb29b40,outside what is that 
62.0,15851e5a6f71514d205c97d0d693f7fc6972123c,cheers brother idk of my last one went through my chat isn't updating 
67.0,66190e3798cb64101e6ca99a0cd2ca5ae1c00518,outside what is that 
77.0,af72c1eecdb5cc2572ca520ca194126f52c1f32b,i went outside today not worth it trust me 
78.0,8152aed764b9ad925aa98324154ce69dd8307f5a,is there actually some sun out in the uk atm 
93.0,69f96096e9ae1303680c2f4da12ae4584748288a,so the raging is cause you're hangry pogchamp lul 
105.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,584736207dec015e185ad29483dbc8915f09f1d6 i get nostalgic every now and then over our bits wars good times <3 
109.0,7b8593d94e7f621d59e39e0ed0b85741a7fbb3cd,action - bdd76bdd76rage [̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅] [̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅] donation of £10 1 received from ditchboy with message jump scare time [̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅] [̲̅$̲̅(̲̅ ͡° ͜ʖ ͡°̲̅)̲̅$̲̅] bdd76bdd76rage 
118.0,7b50906129c7c6c5489b06e8c549a16b5118524c,tony i preffer the second option stay inside and play video games :p 
130.0,135ec7d2b563f5871d9fc7471aa1de7d4cebac13,it's like tony's belly button you can't stare directly at it 
133.0,8152aed764b9ad925aa98324154ce69dd8307f5a,wow i mean dont get burnt :p 
135.0,584736207dec015e185ad29483dbc8915f09f1d6,24a784a1ab075686a666a42ab25b2c5efc886bd4 you'll be pleased to hear i've calmed down now on bits anyway ; 
147.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,584736207dec015e185ad29483dbc8915f09f1d6 sure sure ; 
151.0,c3424877883e3d9299b9cccdfd3f373074c0c3bc,karen 
152.0,7b8593d94e7f621d59e39e0ed0b85741a7fbb3cd,oh my god karen is here <3 <3 <3 
159.0,ccc7f58b66f59923970da6392a4a056bb7d17a9c,what time a66e30c642c8f81a91ab109a35f7cdbf83fe059e 
181.0,584736207dec015e185ad29483dbc8915f09f1d6,karen do you think it would distract tony if you blew a raspberry in his belly button 
189.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,karen can you get me a sausage roll pls <3 :d 
196.0,37e3998ce50deb89ae993a23c69d9a7c91ead475,i heard about this game called outside… great graphics shitty gameplay :) 
207.0,c3424877883e3d9299b9cccdfd3f373074c0c3bc,still sleepy lul 
224.0,7b8593d94e7f621d59e39e0ed0b85741a7fbb3cd,enjoying the stream consider subscribing win games gift cards earn x2 to x3 stream currencyclan invites uber boosting and more http://www twitch tv/bigdaddyden76/subscribe?ref=below_video_subscribe_button thank you for supporting the stream x 
243.0,7b50906129c7c6c5489b06e8c549a16b5118524c,tony a friend of mine has a stepdad that dosnt get red from sunburn instead he go's black 
243.0,584736207dec015e185ad29483dbc8915f09f1d6,gold sub perk tony eh good to know ; 
255.0,e7f46efdcc635a6acc767ce286efdc7f389f695c,boring story line also ^^ 
259.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,yes come to aus :d 
265.0,1689fe5bf3afbcaef9b70f967622a9a8b9361ffe,wdmeta 
266.0,7b8593d94e7f621d59e39e0ed0b85741a7fbb3cd,apprime29 lon carnevil solo meta = https://youtu be/zq3lmz22p0a 
291.0,054ef0a61fac798994df5abb3c760af6a65bc0fb,tony got primal blinds fate late last night rolled perfect 
298.0,8152aed764b9ad925aa98324154ce69dd8307f5a,aus isnt that bad xd 
303.0,24a784a1ab075686a666a42ab25b2c5efc886bd4,^ 
