Time,User,Message
0.0,a01e2ddce366c1c01c3278c0cb6f2cbe5e8bc149,nazghoul the spookiest player in au tbh 
38.0,89ed5ef868440a752471ffe12b5abf5ecc4fa9e6,064dbe41470429889105cee0ef9a3f83e2513d16 you're popping off my guy 
69.0,c46c634236031977b98b7a82332b25211a173b16,anglo goat 
69.0,165f7afe17bd462dd4d8f5b4568da8e57f8dbf4f,lets fucking go 
71.0,11a09245442d650feee9bca5672a418cffffe3f1,gh 
72.0,c46c634236031977b98b7a82332b25211a173b16,yee haw 
72.0,90ae46f604c5f663f34977ef19946ed88528b5d7,yes anglo 
72.0,8f0ddc62b47c1fcbc7b19ee2fdb27dbaa2867ef8,what the fuck 
72.0,eac0e02bdc61209edcca400eaf04c71cc43a252c,lets go anglo 
75.0,18074461a18e139aa7f6f5cbb96f3511a2d3e2ba,katjahype 
76.0,90ae46f604c5f663f34977ef19946ed88528b5d7,dont give acme proleague 
78.0,6bd53a0311ebd3e96828a2b607b88ef8101a1d98,pogchamp pogchamp 
79.0,dcaf9d798ba2e58ed5992b6f99de3eebece0ebc4,nice anglo 
79.0,d54a971ed900c4fdabb13c4b8dec58ea34399793,anglo 
80.0,a335958ea1a029233ce8648b9366fa235d890ec7,ooo 
82.0,dcaf9d798ba2e58ed5992b6f99de3eebece0ebc4,nuteeeee 
85.0,b49b4f266fb63080f8e387139c625cd0900176a2,anglo with the impact frags 
86.0,36427e960ffd6a21c2d71ba48e6050a1c278c0ca,lessssssssssssss goooooooooooooooooooooo 
88.0,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e,49e6de0561c763c6bb81a07920cee9bb52260382 your nuts 
88.0,3e691c1afb2508cb0ad874951403ead2d96110b8,booom 
90.0,b49b4f266fb63080f8e387139c625cd0900176a2,pogchamp 
92.0,3e691c1afb2508cb0ad874951403ead2d96110b8,stigsr6top stigsr6phant stigsr6ae stigsr69 
94.0,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e,you're fuk 
95.0,36427e960ffd6a21c2d71ba48e6050a1c278c0ca,2v4 e z 
95.0,bee922f8cc6b75f4abb171fd39704d11e020ce75,anglo the clutch king 
108.0,06436a01b1fea64245869380c3ce8c23dd9740fe,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e 6bd53a0311ebd3e96828a2b607b88ef8101a1d98 hey guys love ur work 
109.0,18074461a18e139aa7f6f5cbb96f3511a2d3e2ba,go off nazgoo 
109.0,87e012d49e7178d8c515123f69bdc1f7d9141af0,even if equinox win both maps they wont beat acme in pro league placing 
112.0,8f0ddc62b47c1fcbc7b19ee2fdb27dbaa2867ef8,best cl round for the season 
114.0,5e7d126fa1c85a2993ab06d47f8daa146e3fe7c4,lets gooo anglo 
118.0,bee922f8cc6b75f4abb171fd39704d11e020ce75,who picked coast 
119.0,b49b4f266fb63080f8e387139c625cd0900176a2,naz with 16 frags pog 
121.0,6bd53a0311ebd3e96828a2b607b88ef8101a1d98,i love you 06436a01b1fea64245869380c3ce8c23dd9740fe 
124.0,b49b4f266fb63080f8e387139c625cd0900176a2,06436a01b1fea64245869380c3ce8c23dd9740fe hi dad 
130.0,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e,06436a01b1fea64245869380c3ce8c23dd9740fe sup bro love your work as well <3 
132.0,639ebff83f35d27a3ece4bc7422a644377639f61,curselit spam curselit this curselit fire curselit to curselit make curselit stigs curselit retire 
133.0,87e012d49e7178d8c515123f69bdc1f7d9141af0,casters got it wrong 
137.0,06436a01b1fea64245869380c3ce8c23dd9740fe,i love that you love me 6bd53a0311ebd3e96828a2b607b88ef8101a1d98 
138.0,77ae4ac1c9e77faa6e68f9cd4cf3d8b52c4f5814,wait do acme have to win at least 1 map to qualify 
139.0,b3f68d1095f17839ab938a5f9aee415c50a86a18,hi 6bd53a0311ebd3e96828a2b607b88ef8101a1d98 big fan 
140.0,a01e2ddce366c1c01c3278c0cb6f2cbe5e8bc149,wtf was that kill lul 
141.0,3e691c1afb2508cb0ad874951403ead2d96110b8,06436a01b1fea64245869380c3ce8c23dd9740fe where the steam 
145.0,a335958ea1a029233ce8648b9366fa235d890ec7,nuts\ 
150.0,bee922f8cc6b75f4abb171fd39704d11e020ce75,who is va5t 
152.0,06436a01b1fea64245869380c3ce8c23dd9740fe,retired 
152.0,06436a01b1fea64245869380c3ce8c23dd9740fe,3e691c1afb2508cb0ad874951403ead2d96110b8 
152.0,6bd53a0311ebd3e96828a2b607b88ef8101a1d98,b3f68d1095f17839ab938a5f9aee415c50a86a18 morning 
154.0,c75814e3959cacb74f88fd4364fb7c8275229746,06436a01b1fea64245869380c3ce8c23dd9740fe im a big fan vohiyo 
156.0,1f3d9add3207c6d938838957dc993fbea2951044,coastline 
162.0,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e,6bd53a0311ebd3e96828a2b607b88ef8101a1d98 omg i love you 
164.0,87e012d49e7178d8c515123f69bdc1f7d9141af0,no they only have to win 4 games which they already have 
167.0,17a6e2f3a8158512e0712bc4ca0cd710530759dc,06436a01b1fea64245869380c3ce8c23dd9740fe hey bro big fan just wanted to know if you are still alive 
167.0,06436a01b1fea64245869380c3ce8c23dd9740fe,c75814e3959cacb74f88fd4364fb7c8275229746 miss ur voice 
169.0,56893f008f618ee48607b7c94614c60303a048a8,if acme wins/ties the next map they still make pl 
171.0,b49b4f266fb63080f8e387139c625cd0900176a2,06436a01b1fea64245869380c3ce8c23dd9740fe when we vibbing next 
174.0,06436a01b1fea64245869380c3ce8c23dd9740fe,why am i cryin right now 
189.0,06436a01b1fea64245869380c3ce8c23dd9740fe,b49b4f266fb63080f8e387139c625cd0900176a2 soon bro cant wait to kick it 
189.0,56893f008f618ee48607b7c94614c60303a048a8,if acme lose the next map they dont make it 
192.0,77ae4ac1c9e77faa6e68f9cd4cf3d8b52c4f5814,so they have qualified 
194.0,6bd53a0311ebd3e96828a2b607b88ef8101a1d98,13fb6814baedc70bb2d199ea0a9c6b7b22eaa76e heyguys 
195.0,17a6e2f3a8158512e0712bc4ca0cd710530759dc,06436a01b1fea64245869380c3ce8c23dd9740fe hey bro 
196.0,87e012d49e7178d8c515123f69bdc1f7d9141af0,of they lose next map they come 2nd 
