Time,User,Message
0.0,d6dda7a664c2b204689715d54472e639f5a32f42,hyperomegazoinks 
0.0,c872fadf9a2440c28f721ad95689aa96e7925fd1,noto okayo 
1.0,6df3b6103479723b6a5bae75dbba77c649c2f2cf,feelsayayaman 
1.0,085eee87ad9ff34ffe50078e1d1bfba21974b279,lul 
1.0,263bea997f1dd1044dad323d2acd5ceb2082333c,lul 
2.0,29e2fa296d22ce5244a8854c88968016c7ae4fd2,ayaya 
2.0,f7f51e80e97c37b5d9c9286f68e1a9a1280c02f4,ayaya 
2.0,218e2d5ed3bb5d6fce3e78e51763f168a31f5aba,ayaya 
2.0,042a8750707179c5f2c0e81b9c930d7bbaf9c680,ayaya 
2.0,ab198a715552f68ffa6b5f716d8f62093ecc746f,jesus christ i love this 
3.0,d3e64aa5756283a83090715e47324c004c059763,moon2h 
3.0,d3b8ee0715dd5002a4b732d61fd10f2c8f501fa8,moon2h 
4.0,714ccc1fc83698fb80dcbb658fa14684b97d1747,moon2h 
4.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,cirayaya 
4.0,9e87ffbf390955d9a16784273963cbf54e25da59,ayaya 
5.0,42d5b8e6d66024c4880f94f5f45f520d192b1073,ayaya 
5.0,c041b967127b5a14ffedd2b9ef99c215d20f8fa1,feelsayayaman 
5.0,f91193cf03e8dcbb6857648942e8fc7f410eb198,clap 
5.0,cf90acda50eacac39537c923b797dc6b9fca549a,ayaya 
6.0,ca613b9830099e29f8d5b045926883b7e25b75e9,lul 
6.0,ea5a1b72923dd4c714533845f1b5a41f6b8f2bec,notto okayooo 
6.0,759d28a87ef7c029cd3ee8d83b9e7a799ad21063,raven poggop 
7.0,14832de4a210869c411625284ee3772bfba41a7b,poggop 
7.0,cf3bd6d09c56bcc4980d08d4f0defda2c9eccd56,d: 
7.0,2a1710316ce1eb9a7bc962ef5a391d4b8dba2592,black btw 
7.0,7669b397a16a55fd6f56285e07d59fb58683b825,ayaya 
8.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,cirayaya cirayaya cirayaya 
8.0,d8674babfc92a126bb06ffdf1d8545e5c15fd02e,holy fuck this is hilarious 
8.0,a8ad388c601a98ff6a41fe6bef3d04c33b018af2,atpshh atpshh atpshh 
8.0,6e0278fe470dfc48208cb14a255ab5412e54e0e8,poggop 
8.0,cd880c9bdac5921beb989619bce612d6870b695a,lmao 
8.0,a7cdcb35362d222ef83d7d92ed0ec7192a019059,moon2h 
9.0,d0ff9dc8fa7e6a9b780abbacab67b0afebe2e61b,amaterasu ayaya 
9.0,c6049550b2c491f9f666cbb22e1f131923f76d32,poggop 
9.0,9ac9f8b44440a540127231cd3c7e610dd74904c1,poggop 
9.0,8c69bd4348c080c1cefaf8edb20569266a785c09,d: 
9.0,5cffb95ede4da7d35549ef5f77029d20db3c50e4,moon2ez thanks noskillzson for subbing for 24 months moon2ez that's pretty cool moon2ez 
10.0,cc914e603fa04536f4ef44b51a3853bf848f0d0f,poggop 
11.0,9dafcd6aa5e0d2eb36f180766b293b2f311761cc,hyperomegazoinks 
11.0,8c753f83e8370f7cc32aa860d694925ecfc6696f,poggop 
12.0,d3e64aa5756283a83090715e47324c004c059763,monkagiga 
