Time,User,Message
0.0,4d27b84af2532bcd80fd1d2b10f965dcb103a641,i got the biggest smile on my face 
82.0,fbd9e2ae8399d6853ae7ac9a812c6dbe69f7e3a0,can anyone believe its already snowing up here in canada 30 inches of snow just tonight :( 
97.0,4d27b84af2532bcd80fd1d2b10f965dcb103a641,yo 6174c01456c030f02b5c0c035626acbf12bbab9d 
106.0,6174c01456c030f02b5c0c035626acbf12bbab9d,4d27b84af2532bcd80fd1d2b10f965dcb103a641 yo 
108.0,5af7f28a5953ff8a61969db84c40780de84c618d,it was 94 degrees here today fbd9e2ae8399d6853ae7ac9a812c6dbe69f7e3a0 
121.0,1618a1aba084ad96cf2f3852f145c54a9af4cd44,af36b8db03853330df6f317a80fc67c684e1b1d4 stay on 48 hr stream 
126.0,4d27b84af2532bcd80fd1d2b10f965dcb103a641,if i did do it you wouldve matched right 6174c01456c030f02b5c0c035626acbf12bbab9d 
146.0,6174c01456c030f02b5c0c035626acbf12bbab9d,4d27b84af2532bcd80fd1d2b10f965dcb103a641 lol 500 
160.0,fbd9e2ae8399d6853ae7ac9a812c6dbe69f7e3a0,5af7f28a5953ff8a61969db84c40780de84c618d thats crazy smh lol we already getting snowed in 
162.0,4d27b84af2532bcd80fd1d2b10f965dcb103a641,yea like if i randomly dropped that much would you have matched 
177.0,6174c01456c030f02b5c0c035626acbf12bbab9d,4d27b84af2532bcd80fd1d2b10f965dcb103a641 i would need prior notice 
182.0,5af7f28a5953ff8a61969db84c40780de84c618d,shit on bad 
201.0,42fef01275737c23bbb13c2f4ab15e2e5791d0da,ralliedscopez 
203.0,4d27b84af2532bcd80fd1d2b10f965dcb103a641,wait what you mean like you had to call bank or like prepare yourself 6174c01456c030f02b5c0c035626acbf12bbab9d 
213.0,f86f5e1cf72ec50907e408a2fedc2e0efc5ef1c0,ralliedgas ralliedgas ralliedgas ralliedgas ralliedgas 
242.0,1f111c291f94930b5d2c24af697607c53c4089b3,af36b8db03853330df6f317a80fc67c684e1b1d4 im on the last 30 of my 12 hour shift thanks for making it another great night this is my favorite stream much love ralliedbanana ralliedbanana ralliedbanana ralliedbanana ralliedbanana ralliedbanana ralliedbanana ralliedlove ralliedlove ralliedlove ralliedlove ralliedlove ralliedlove ralliedlove ralliedvibes ralliedvibes ralliedvibes ralliedvibes ralliedvibes ralliedvibes ralliedvibes ralliedvibes ralliedvibes 
242.0,d7837814e608d6be0e763d6101e6e890e09231a2,play one more 
243.0,6174c01456c030f02b5c0c035626acbf12bbab9d,4d27b84af2532bcd80fd1d2b10f965dcb103a641 to get it transferred to paypal 
245.0,f708beb60f8a356697bc1453599ec5526a5e1ca6,that was crazy beautiful 
