Time,User,Message
0.0,9b07e0ae5992a08827fd6c4431f1f774c1a4cef9,brian* 
13.0,a49e7f06dd00e9105434f6909e67ff5b2d3d76a2,buy nat some geranimals lol who remembers those 
15.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,i fly in on thursday fml 
32.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 they said all the xbox one stuff will carrie over if people want just have to sync it 
79.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee its a v6 but its also a twin turbo 
95.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,af9751c2a377eadcdff44ecc1f45df4a7742d052 im at hard rock hotel and i land at 330pm 
99.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,where is twitchcon this year 
101.0,52fe073547150c7531f119ee938bce88e471baee,where is twitch con 
126.0,a49e7f06dd00e9105434f6909e67ff5b2d3d76a2,af9751c2a377eadcdff44ecc1f45df4a7742d052 i used to work for that marriott 
130.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,i dont get them invites af9751c2a377eadcdff44ecc1f45df4a7742d052 im a pleb remember 
160.0,5aa818190f0ac35614d20b534a2f324fa06960d1,im going haha 
162.0,a49e7f06dd00e9105434f6909e67ff5b2d3d76a2,no live in tenn now 
176.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,oh lanai i didnt send you a pic of my new truck that i am getting when i get back 
187.0,5aa818190f0ac35614d20b534a2f324fa06960d1,im studying rip 
192.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,how come they never have it in nyc 
203.0,a49e7f06dd00e9105434f6909e67ff5b2d3d76a2,fo sho 
208.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,not 
216.0,52fe073547150c7531f119ee938bce88e471baee,agreed 
217.0,5aa818190f0ac35614d20b534a2f324fa06960d1,i'll be flying in at like 8 am thursday 
228.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,not 
237.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,lanai this is the truck im getting when i get back 
239.0,52fe073547150c7531f119ee938bce88e471baee,auto win 
242.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,https://www saratford net/new/ford/2019-ford-f-150-agawam-ma-005de2a00a0e0ae7451db2d1a5403bd4 htm 
260.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,bbut we dont have earthquakes lol 
273.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,east coast dammit 
279.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,boston for lyfe 
289.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 for double the money you can get the hennessey raptor with the v8 it sounds better but like i said double the money 
292.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,weed is legal in ma 
295.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,if yellowstone bblows up then we'll see 
309.0,52fe073547150c7531f119ee938bce88e471baee,af9751c2a377eadcdff44ecc1f45df4a7742d052 lucky no traffic i live in la county 
313.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,lol 
315.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,yeah but we win every sport 
321.0,5aa818190f0ac35614d20b534a2f324fa06960d1,if yellowstone blows america is fucked lol 
339.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,if it wasn't ffor the east coast you wouldn't have hip hop 
347.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,5aa818190f0ac35614d20b534a2f324fa06960d1 you finish bl3 yet 
359.0,5aa818190f0ac35614d20b534a2f324fa06960d1,yah i did the other day 0d32cf3bba43a61567937da83bb6d4df6fe86149 
384.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,5aa818190f0ac35614d20b534a2f324fa06960d1 i started another character after i finsihed what did you think of the ending 
398.0,52fe073547150c7531f119ee938bce88e471baee,af9751c2a377eadcdff44ecc1f45df4a7742d052 raptor is better 
402.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,jeeps are really trash they breakdown to much 
414.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,lanai the truck im getting is op 
416.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,yes i had one 
428.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 its true 
454.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee you should hear the exhaust its loud as shit 
461.0,155623068769a28c2f81fa1e7a9087cd0b06f3d5,lanai wants a jeep and thats it 
469.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,2 
474.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 are u american 
485.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,af9751c2a377eadcdff44ecc1f45df4a7742d052 wranglers hold their value out here saharas or rubicons even more so 
490.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 they are decent but nothing purrs like a v8 
492.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 i love usss< 3333 
500.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 which state if it's not secret 
505.0,155623068769a28c2f81fa1e7a9087cd0b06f3d5,haha thats the same as my gf af9751c2a377eadcdff44ecc1f45df4a7742d052 all she wants is a jeep to go off-roading and drive along beaches 
530.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee i have a hellcat so i have my loud hemi that is enough 
534.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 i love obama more than trump come on 
541.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 look up the hennessey v8 raptor then you'll know what im talking about 
541.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,i have a ford raptor and i love it 
570.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee yeah i know one of my co-workers has a cts-v that he sent there 
571.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,they hate trump in iireland 
593.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 how can i get visa to live there 
622.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 if i had the money i wouof get the mustang shelby gt500 
630.0,9b07e0ae5992a08827fd6c4431f1f774c1a4cef9,we just made fun of him because he became a meme in the netherlands se made the video : american first but netherlands second 
635.0,a49e7f06dd00e9105434f6909e67ff5b2d3d76a2,bush was funny 
641.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,in 1993 i saw trump stuck on the side of the geaorge wasshington bbridge with a flat tire and did not stop to help him 
654.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee yeah i like my dodge it was a car i always wanted growing up 
657.0,52fe073547150c7531f119ee938bce88e471baee,i bet bush has a friend name johnson 
681.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 like i can't go there without visa 
684.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,murica fuck yeah 
707.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 i always wanted a 1969 mach 1 mustang but there so dam expensive 
722.0,155623068769a28c2f81fa1e7a9087cd0b06f3d5,iff you are off im bout to do dinner so have a good one was awesome to see you and lexi play games was so much fun to watch af9751c2a377eadcdff44ecc1f45df4a7742d052 
724.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 what do u think about ohio 
731.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,52fe073547150c7531f119ee938bce88e471baee ive had my fair share of cars that go fast and luxury vehicles 
749.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,bbuy a condo in trumps properties and you can get a visa lol 
764.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 u live in cali 
772.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,i mean nothing is worse than that state of washington 
776.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 oregon 
781.0,52fe073547150c7531f119ee938bce88e471baee,0d32cf3bba43a61567937da83bb6d4df6fe86149 lol 
784.0,5c5ba3cacbdefe223d4e05fedff607f8475d1869,what state you live in 
800.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,a rift or bong rip kappa 
805.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 yeah tell us where u live which state 
810.0,52fe073547150c7531f119ee938bce88e471baee,5c5ba3cacbdefe223d4e05fedff607f8475d1869 she is in washington i believe 
820.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,af9751c2a377eadcdff44ecc1f45df4a7742d052 dc 
829.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,no the state b830f4a64794ae7adf3882b6a3372fb3a14274df 
835.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,0d32cf3bba43a61567937da83bb6d4df6fe86149 true 
837.0,52fe073547150c7531f119ee938bce88e471baee,no west coast 
847.0,b830f4a64794ae7adf3882b6a3372fb3a14274df,0d32cf3bba43a61567937da83bb6d4df6fe86149 gotcha 
888.0,0d32cf3bba43a61567937da83bb6d4df6fe86149,washington d c is a district right now but they are voting soon to possibly obtain statehood even though they are a small city 
