Time,User,Message
0.0,94d8e4a323e96250b89bb9e2dd0c632284c9b517,guilt lol 
3.0,980114be42d5d586ceb3a1736110ca9bc0420c5c,just got in what's goung on did he figure out the tuner case for eddie 
3.0,67bdb27712e0b777a6979627783d230290f5b1dd,kebuncg kebunbwain 
4.0,482f956b9f710bf66de7f3af7173140298d86f95,busted 
5.0,ccb7aa137e9f208918c4a11114df24d2c7abd9c2,that's your house chang : 
6.0,1879628aa60afa82c26740647503c66e997689a9,too late 
7.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,kebunbwain kebunbwain kebunbwain kebunbwain 
7.0,a21a0b1e4c1c633218ed514e03fad35f51ebd85e,youre too late 
8.0,2ed4e265a974153548969ac0bda751572d58b28e,to late 
8.0,cf35bdaa74d3832d2da072700f03e1229543dd28,21f8e3bac2cad085891b5da21a893c30da468c03 can't access if you don't have keys 
8.0,a66fc3b2b3e5cc26a0e27c16c45899af32990593,rip 
8.0,4c12e79a9c6221735e0abf62c6c76435aaa3d182,to late 
12.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,lmaooooo 
12.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,brenda don't wanna believe it so sad 
13.0,55b5aa7225e840856ebbae96a843d7734590d2e3,dude she might call in about your plants just sayin g 
13.0,ba26e31a6d4cc00d9841edd4a920390530d20cc4,bwenda is probably robbing the mansion 
15.0,50a8a68851734b294dd084e22e6141db5d9b4847,too late 
16.0,134d43eaf3eed8da2210fd4863dce00cf05bc27a,i'm yelling out loud with sheer kebunhuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu joy 
16.0,95a19f4cfb2a04103ed552754d292fef1f42cf4e,too late 
18.0,21f8e3bac2cad085891b5da21a893c30da468c03,cf35bdaa74d3832d2da072700f03e1229543dd28 alright for sure 
18.0,c8e79cc8a0cc99f26e2c469d420022c5d5791e20,kebunfail 
19.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,inb4 bwenda raid 
20.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,yoink 
25.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,poor bwenda 
27.0,a7b3a8bf7766076383612428c6b6c0d538119526,2 late 
28.0,8925e145724e0950c05cff9b15aa262e142b2760,give the pictures to budda 
28.0,4787bb4bf1b124a1e27b83ed448fb30f75908575,kebunhuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu 
29.0,94078102c8c8c12ba4d5887a05690b22c97b592e,trihard 
29.0,826dfef47b8b86b39126b5039397c7a58abb2edd,980114be42d5d586ceb3a1736110ca9bc0420c5c not yet too busy framing brenda lol 
32.0,8b403826756620ceb9d6f29618b870c18cb295a0,kebuncg 
33.0,21f8e3bac2cad085891b5da21a893c30da468c03,cf35bdaa74d3832d2da072700f03e1229543dd28 just making sure brotha kebunhype 
34.0,5eef38a66e785a97c77fbe1593616125ce1d3a64,shes raiding youre plants probably lol 
35.0,2c6026a4a706a6281d3b3f65c55137cb3b7ba875,on dat phone 
35.0,134d43eaf3eed8da2210fd4863dce00cf05bc27a,probably already on phone 
37.0,61f2bc73162325e46c03b3dd2560a60a85151be9,if only he knew lul 
37.0,8925e145724e0950c05cff9b15aa262e142b2760,that's the case 
40.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,time to roll out bwenda 
41.0,945e641ea5ef252e622f0e3157904e20a484d123,lock her in lol 
42.0,25083126d5e9f19749bc4d9e38eca31145546f1a,valar morhuglis 
43.0,7dd4ba2c6efad692e15cb390151cbf872be5b484,kebuns robbing the house 
47.0,cf35bdaa74d3832d2da072700f03e1229543dd28,21f8e3bac2cad085891b5da21a893c30da468c03 fo sho :) 
51.0,826dfef47b8b86b39126b5039397c7a58abb2edd,saab gonna go to war over her rip 
55.0,0139a9238e4f0e762bfef9941ca7ab029a0f886b,she's gonna wob da pwace 
56.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,shoot out the tires dad 
56.0,1942476dccd84816e5ee4ad24d14bd27772dbdfe,lmfaoooo she made that call quick yikes 
59.0,50a8a68851734b294dd084e22e6141db5d9b4847,pull a gun on her 
59.0,6df7a8794a5686dbda5de565935edae9e633b711,handcuff her check pockets 
61.0,738b91106ad026df19f0514d3f257a07e02b159e,kick her out 
62.0,213bb939a144b037646cdc3858cbcb270d485cbb,well can give those photos later still 
63.0,980114be42d5d586ceb3a1736110ca9bc0420c5c,826dfef47b8b86b39126b5039397c7a58abb2edd thanks love the username btw kebun10 
67.0,d2701bb17997036b5b03860f5d1b78331d7381a0,saab literally fucked over buddha vinny and chang lol 
67.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,agent chang 
67.0,55b5aa7225e840856ebbae96a843d7734590d2e3,this could backfire big time 
67.0,3d92417cee29d4d9399d14e072050a3fd22d7fb7,rip saab not chang you mean 
70.0,1e9fb3d1ac2a2275856e16b92fa8c5da01b14440,kebungw kebungw kebungw kebungw 
71.0,826dfef47b8b86b39126b5039397c7a58abb2edd,ste her car and paint it chrome 
86.0,1d3d7484a2ae5a38e1adc9929bcd9d8f16b4e9b4,kebunbbw 
87.0,c33911721920745cffe092b88da1373c1e1faca1,kebungw kebungw kebungw kebungw 
89.0,8d671f9787f3e7ff121b82a955ee2774568c25d9,monkas 
99.0,004dfe87e84586ba25470202b468b5a25fb90ad9,omg 
103.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,poor bwenda getting taking control of 
103.0,7dd4ba2c6efad692e15cb390151cbf872be5b484,pog 
103.0,738b91106ad026df19f0514d3f257a07e02b159e,why could you hear her outside but not inside wtf lol 
104.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,trees 
105.0,0528d9575c350a5e7557aa323bbfedcef74d8ecc,she walked out as you went in 
111.0,062cc2f11f4a22d5f7dac51b30b900c72031dd67,your room 
111.0,6a7157bfc6e6a098bb426f79dedc92638e927154,826dfef47b8b86b39126b5039397c7a58abb2edd saab only kills women tho 
112.0,5915d95c03e1f4a5c85e02ffaa411c9b7790d8f2,the closet 
115.0,58fecf57e283302d0c5d6d2ad4c32ed08ad20e85,kidnap her 
116.0,6007833e8ff6c6cfd90fea94223bb21ea1899074,shut up chat 
119.0,aaa68684096ac670604a82a2de1a4b53ce344299,subs 
119.0,5915d95c03e1f4a5c85e02ffaa411c9b7790d8f2,second floor closet 
124.0,5915d95c03e1f4a5c85e02ffaa411c9b7790d8f2,where the safe is 
127.0,9d851e9388dabde84b7403dfe54152954ba3bf8b,where the fuck lol 
127.0,738b91106ad026df19f0514d3f257a07e02b159e,subcount 
129.0,c8e79cc8a0cc99f26e2c469d420022c5d5791e20,kebungw kebungw kebungw 
130.0,e1b8984c60b9eab81037e5d189f580b57214999b,shes up stairs 
131.0,450aa35f5581f29d76122b26dbb2e491d1cc8b39,inside 
132.0,c2c56d5e97accbd89d1ccf3a0dbdb4d8e97fa2ae,closet 
132.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,shut up 6007833e8ff6c6cfd90fea94223bb21ea1899074 
134.0,67a148a84ac14ce117d16a13d8cacf9126bd75f7,lolur room clearing needs work brotha 
135.0,a70e1c2299d9e274d6d8e713a01a56508866a1a0,who li 
136.0,2ed4e265a974153548969ac0bda751572d58b28e,blindd 
139.0,1e38e64e93dac03d61374e3c2ad9456d85e7bf97,5915d95c03e1f4a5c85e02ffaa411c9b7790d8f2 nice meta kid 
139.0,35c5f525513f3516db3c37e381d20ffde16bc4ca,shoes are so loud in this game 
141.0,21f8e3bac2cad085891b5da21a893c30da468c03,guys chill 
141.0,9da88a5930e4aed26b898e68b531e440fece6e9e,inside 
142.0,e9aeda6a9d82b42f2ed268022c0685a6222056c8,brenda for hide and go seek champion 
143.0,729916b4d6270a2db18055df35a577b75b8a21ef,still inside 
145.0,a0fd461278e7802ec100505ab947c5dbf1db5c7b,why does chang have such a huge big kebunbwain kebunbwain 
145.0,a70e1c2299d9e274d6d8e713a01a56508866a1a0,who owns that house 
145.0,20b28e5c5b72365332b29addc0f5d84614a9dcc2,where is shee? 
148.0,5915d95c03e1f4a5c85e02ffaa411c9b7790d8f2,second floor 
149.0,b8859ff01768c9c21b372dc83cf0c595b56c3201,up stairs 
150.0,d0aa13013fd79c5dfec9c8d0be3bbc1b4ed585ca,metaaaaa 
150.0,33c90214d7ad1944694216a8428d68b43e5e5c6d,come one chat you guys are subs kebunfail 
153.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,upstairs g 
156.0,b0aab280fb3dc87acd3daa5e3ec8beef38800586,subs meta smh 
156.0,b8859ff01768c9c21b372dc83cf0c595b56c3201,safe 
158.0,3f02f848a3b0dbde4ed40631d54aeb5c4e789d24,kebunlul kebunlul 
158.0,e58f5cc5d6510cfa88b09a2ae5024e6bbb33b333,no meta 
158.0,af5abd7dd0cd13d0ab606a1fc840e00596519570,ran right by her lol 
160.0,21f8e3bac2cad085891b5da21a893c30da468c03,what's with the meta guys 
161.0,dbd0882b3f1facc5c37a8c88c06be752c8636857,brenda's chat is so toxic 
164.0,729916b4d6270a2db18055df35a577b75b8a21ef,cyrblood cyrmeta cyrmeta cyrmeta 
164.0,1716bec063d9d76b691c9f2e8fabb888879fece3,33c90214d7ad1944694216a8428d68b43e5e5c6d ridiculous ain't it 
166.0,e58f5cc5d6510cfa88b09a2ae5024e6bbb33b333,meta2 
166.0,1ca41f11fc7d8712218dbcf76742e1124f9f3c10,smite mode prolly 
167.0,d0aa13013fd79c5dfec9c8d0be3bbc1b4ed585ca,no better than the plebs 
167.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,no meta 
167.0,f692b94549b214aeb47a69bff5f3ae0af9cb4e74,subs just as worse as non subs 
167.0,d037d78d8e63d2ff9e5aa3999cb05185c9abe648,subs stfu 
167.0,7dd4ba2c6efad692e15cb390151cbf872be5b484,monkas 
168.0,ccb7aa137e9f208918c4a11114df24d2c7abd9c2,33c90214d7ad1944694216a8428d68b43e5e5c6d forgive us mother kebunfeels 
169.0,738b91106ad026df19f0514d3f257a07e02b159e,33c90214d7ad1944694216a8428d68b43e5e5c6d you should know even subs are dumb 
169.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,meta2 
170.0,c8e79cc8a0cc99f26e2c469d420022c5d5791e20,sub mode not safe kebunfeels 
171.0,6007833e8ff6c6cfd90fea94223bb21ea1899074,i guess people dont even know what meta means 
172.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,kill this hoe 
172.0,9ed6e4b97ce87783530879e58d93081030b280bc,she's probably has her arms at her sides and you walked right past her 
172.0,c97831730672a30807c49067e6ccff8bfa34117f,lul lul lul 
173.0,38a57cd02f24f8f8598eb5d268d147a13c961ff0,the meta is real holy shit 
174.0,c33911721920745cffe092b88da1373c1e1faca1,busted 
174.0,2b4c237750ad8e2e0f2add3e0aa9297d7a29ec5b,lul awkward 
175.0,8d671f9787f3e7ff121b82a955ee2774568c25d9,lul 
175.0,1e9fb3d1ac2a2275856e16b92fa8c5da01b14440,monkas 
176.0,06a5fcd730f755b3c8c3ce6286d9aefe2a03e374,hahaha 
178.0,2201d26bca116720e0322bce3e2065edcb6c78d4,yikes the meta 
178.0,adffd5137e7da3a1d9440b22b429b15d0d884659,shes stealing 
180.0,2f1f5590c6b80f7f8a1506544efaff68cb71f16a,lul 
182.0,55b5aa7225e840856ebbae96a843d7734590d2e3,now she knows too much 
182.0,945e641ea5ef252e622f0e3157904e20a484d123,lul lul lul lul lul lul lul lul 
183.0,fc79159cbeedf7a8fd78a66cc89545cb010e4c6e,check her 
183.0,ec6a4f9466111c55a8a02fb1b7ffa36e0c7e9fca,lul 
183.0,21f8e3bac2cad085891b5da21a893c30da468c03,bruhh chill chat with meta 
183.0,d343ee7ebbe173643bc9a686b46ec92bad672c3d,lul 
183.0,912888201427b7709f6ca255dd3a2b78fc52c6c3,weird 
184.0,d2701bb17997036b5b03860f5d1b78331d7381a0,chang she saw the plants 
184.0,826dfef47b8b86b39126b5039397c7a58abb2edd,6a7157bfc6e6a098bb426f79dedc92638e927154 you will see the wrath of a man blinded by the pussa 
185.0,20b28e5c5b72365332b29addc0f5d84614a9dcc2,bwendaa teleport himself to hospital 
185.0,bdcbb2a43f3f28304d1983c6a658b8ae933508f8,subs metaing lul kebunfail kebunbd 
185.0,c33911721920745cffe092b88da1373c1e1faca1,check her pockets 
185.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,bro fucking kill her 
185.0,ea89645965630ed0aed638f9a3229859737c4963,handcuff her 
186.0,a61f7fc5b5953b5aa31e79d16587a0cec3c6b5bc,stop the meta chat 
186.0,79135f952ebf83d0810b0e876b3ef9f63e881a10,she's a strange onw 
187.0,729916b4d6270a2db18055df35a577b75b8a21ef,its obvious 
187.0,613b413ae8791d243ee5b1cc3403cd5ef52bba03,check her 
187.0,38a57cd02f24f8f8598eb5d268d147a13c961ff0,lul lul lul 
188.0,527376f32766db83a860e7255b9fa26e714fd1fc,busted 
189.0,0139a9238e4f0e762bfef9941ca7ab029a0f886b,cuff cuff cuff cuff 
189.0,21f8e3bac2cad085891b5da21a893c30da468c03,let it all play out 
189.0,1942476dccd84816e5ee4ad24d14bd27772dbdfe,lmcaooo 
189.0,4787bb4bf1b124a1e27b83ed448fb30f75908575,dont meta chat for fuck sakes 
190.0,126a573f042a5848d9b601a680d63796165c3d51,lul lul lul lul lul lul lul lul 
190.0,35c5f525513f3516db3c37e381d20ffde16bc4ca,lol 
190.0,8e396163d8ac4d169f26d323d1c7f092c041efab,sniffing underwear 
190.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,kebunbwain kebunbwain kebunbwain 
191.0,8537bee11693f4cafb80259287ff41f7e0192cba,lol 
192.0,adffd5137e7da3a1d9440b22b429b15d0d884659,search her 
194.0,527376f32766db83a860e7255b9fa26e714fd1fc,woooooooooow 
195.0,6a7157bfc6e6a098bb426f79dedc92638e927154,wow a cheater and a thief 
195.0,c33911721920745cffe092b88da1373c1e1faca1,search her 
198.0,a65259727deccbb85fd736044ead805a121a8c89,search her 
198.0,6f4a7cb5aded8e54b321e7b474ab8fab29669b0e,hahahahahahahaha 
199.0,a7b3a8bf7766076383612428c6b6c0d538119526,take her 
200.0,f9a23f3a22c20facfeb45202369f4bee43b7fddb,bruh 
200.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,she playing games 
200.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,kebungw kebungw kebungw kebungw 
200.0,94efab986b2e80260b1539f4a47cc30c1bd44b2b,lul 
201.0,f9a23f3a22c20facfeb45202369f4bee43b7fddb,hahahah 
201.0,1942476dccd84816e5ee4ad24d14bd27772dbdfe,kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul kebunlul 
201.0,ab10b35a9252dc72ad66a602f0a721554bed0d5d,he didn't read chat you dummies 
201.0,42319f558f975183fe6f9cd84d30a380d0dfc1d6,run those pockets 
202.0,c97831730672a30807c49067e6ccff8bfa34117f,lul lul lul lul lul lul lul 
202.0,5758d7e4b431f3777821fdfd3614c9b20e56ddcd,looooooool 
202.0,a0fd461278e7802ec100505ab947c5dbf1db5c7b,kebunhi kebunhi 
202.0,20b28e5c5b72365332b29addc0f5d84614a9dcc2,damnn hide n seek lol 
203.0,1e9fb3d1ac2a2275856e16b92fa8c5da01b14440,lul hahahah 
203.0,ec6a4f9466111c55a8a02fb1b7ffa36e0c7e9fca,take out the machete 
203.0,cb73c504e238e50754951e73f4b7f5c1fbbb7fcf,lul 
204.0,04c3f859342640b5ded2998da1b5d7da24fd6ac1,lul 
205.0,a65259727deccbb85fd736044ead805a121a8c89,under arrest 
205.0,dc4b132eed97c6c8b50ab8bebc228ce51a16cd1c,busted 
205.0,cc2bde99594302f33a3ec7ac600b5b734ef9d0ab,search her 
206.0,639b31d2a10c0af1f4d88a880ceb53eb631b8793,get her on the bed lol 
207.0,a0fd461278e7802ec100505ab947c5dbf1db5c7b,kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw 
208.0,d2701bb17997036b5b03860f5d1b78331d7381a0,make sure she aint fucking with the weed 
208.0,ac1b1dc9263ee908bd095f06a400cf807efaed98,she steal stuff 
208.0,213bb939a144b037646cdc3858cbcb270d485cbb,search her 
208.0,b6dbed06a66d209373ffe34956dbbaed813af52b,search her 
210.0,e1b8984c60b9eab81037e5d189f580b57214999b,lul lul lul lul lul lul lul lul lul 
210.0,1e38e64e93dac03d61374e3c2ad9456d85e7bf97,this chat is so dumb failfish 
210.0,1942476dccd84816e5ee4ad24d14bd27772dbdfe,kebunevil kebunevil kebunevil kebunevil kebunevil 
211.0,729916b4d6270a2db18055df35a577b75b8a21ef,not meta just common sense 
211.0,527376f32766db83a860e7255b9fa26e714fd1fc,buusted 
212.0,55b5aa7225e840856ebbae96a843d7734590d2e3,the whole operation is compromised 
212.0,e97206a360cdf03622b1a790a82ef00260e6bff5,kill her 
212.0,126a573f042a5848d9b601a680d63796165c3d51,the dwamah >:o 
213.0,35c5f525513f3516db3c37e381d20ffde16bc4ca,search 
214.0,61c3435bf689cd0240982d16dc918bc04a3dbb5c,hoe this aint your house leave 
214.0,0139a9238e4f0e762bfef9941ca7ab029a0f886b,y'all some creepy fux 
216.0,8b6f9030d7465f286cb77bf9a0e2a9e893a39e8e,search her 
216.0,7040b74a328aae642da197ba534610a9add36f8a,she cant take anything if she doesn't have the keys chat relax 
217.0,9b1fa2b1cfdabd18fa5df83a213c58857bc8da14,zzzzzz bwenda kinda boring 
218.0,4fd7c954daa64e80f34b81cac7811eb418aebae8,search her kebunhype 
218.0,a6c0e24b9fbd8c5ca82ad31d893634544663a9ad,emote only plz 
219.0,738b91106ad026df19f0514d3f257a07e02b159e,chat shut up god damn 
219.0,134d43eaf3eed8da2210fd4863dce00cf05bc27a,kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw 
220.0,a0fd461278e7802ec100505ab947c5dbf1db5c7b,she going to snitch 
220.0,8b6f9030d7465f286cb77bf9a0e2a9e893a39e8e,search her please 
221.0,06a5fcd730f755b3c8c3ce6286d9aefe2a03e374,she was getting vinnys underwear 
221.0,253de4e5e616c69d8312974fa96f0677e7e84c0f,p 
221.0,5ff86dac178d7077cf6f196c66823a18c94f04f9,subcount 
222.0,e1b8984c60b9eab81037e5d189f580b57214999b,awww christmas trees hahahahha 
222.0,7b38b9fb8c952c4f3b25b0e4bf73ac803844f63e,she cant steal anything ppl 
223.0,adffd5137e7da3a1d9440b22b429b15d0d884659,taze her 
223.0,8558991d16c23046c579c18c45c5766d042a3ef8,search 
224.0,35c5f525513f3516db3c37e381d20ffde16bc4ca,those trees were full grown last nite 
224.0,4787bb4bf1b124a1e27b83ed448fb30f75908575,kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw kebunbbw 
225.0,a2480324c7b72155d3786789df1a943c3569523e,she wanted to be punished 
225.0,1942476dccd84816e5ee4ad24d14bd27772dbdfe,she called too quick smh 
226.0,fc491d410d72a08196e44c2dc959976057b571e0,search her 
226.0,27df47197df7dba8a4cd27fcbbf11c0b46b879c8,kebunhype 
227.0,527376f32766db83a860e7255b9fa26e714fd1fc,now she is nice looook 
228.0,1ca41f11fc7d8712218dbcf76742e1124f9f3c10,subs are pepega 
230.0,c97831730672a30807c49067e6ccff8bfa34117f,lul lul lul lul lul 
231.0,bfec5558bb7b25ace3fc5078e3c5772183fb03da,lul 
231.0,3d92417cee29d4d9399d14e072050a3fd22d7fb7,kreygasm kreygasm kreygasm kreygasm kreygasm 
231.0,0af40c725d5ec97846d873070ca63cd99d9e416b,cuff her and search her 
232.0,d87a7366c4631c8d0a876dbe7e9d631adeb3ac84,omegalul 
232.0,134d43eaf3eed8da2210fd4863dce00cf05bc27a,busted 
233.0,94078102c8c8c12ba4d5887a05690b22c97b592e,lul 
233.0,e267ce23d011a49cbe3f6d8a12bdd3534c4ae970,it's just a job 
235.0,79135f952ebf83d0810b0e876b3ef9f63e881a10,lul lul lul lul lul 
235.0,ba01f9fb0b0726c079fac7c1472cfde63f83e12c,lul 
236.0,c823e2edc077cd7e58377fb9cb5c6b7bc3bd56d1,lul 
236.0,e881adf938ea85593d50edb7b9d5d0aa02e03f88,lul lul 
