Time,User,Message
0.0,ddd2cdce8d4a36dffb74e72be06f51c0fb195560,pog 
0.0,8950ba25703a498683fff07a87f417a30120061c,pogu 
0.0,e070e016cc9a699c368e95451fb74f7a57c85b50,holy shit 
0.0,7a0d9b5f745ea719dd0e7e42b8c4d65ff5412c75,pogu 
1.0,bfc72afee28cec831f2affca88e102954cd02161,kekw 
1.0,0976f8d36d832448bd895054fc12081139dac099,pogu 
2.0,4d56033b6743dc0a5dfc6dade0c7ca8a5a825185,pog 
2.0,462f901c6758f83896c350156a041a016f3cb452,pvman god pog 
2.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,pog 
2.0,50f766c696d77da668166350531165da40b810ee,pog 
2.0,c7d1f0c2d475d2f2431ff43dcae87ac080818a0a,lul 
3.0,a2fa1212ac4ba1d5f74a113a3bce55bd8a98080e,pog 
3.0,9e8c13a384638bf1eb4e953c0cbdb5cb2fd3d012,pogu 
3.0,6b729055ee9ac57cde52dbaf3f6604e3b74f5a76,lulw 
3.0,fe4a6c2f0e4da8b08a0df2571f77e6efa8fbcb36,pogu 
4.0,51eca294820bf17009955d1ba306b534a0dcd75b,lucky 
4.0,ba8901817574c59c43f681df6389afbd5f76d0db,pog 
4.0,d1e510ebe1b8c0b17b6c90a29468745ad242e74c,kekw 
5.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,pog pog pog 
5.0,ffb5b34876ee9ed23a1a4119288a18133d298d4c,dont yell 
6.0,53be64ac0fd716c4e1faeeebf0ee8d4854654ee4,my ears wutface 
6.0,1bb18a23c3952d311a64e81d3795fc0897f1f2c5,pog 
6.0,23db7b714c93efcff7c98ac0b486fcde019cbc4a,ez 
7.0,ec6e01c37b08e5504788743ba41c4f71e48106ce,kekw 
8.0,769959eda1a5481db4eced78f873fb474308deb0,pogu 
9.0,af978ef6d824adf96d194d815904d648ef6760fd,kekw 
9.0,b3bff1dcf7f11604bda14e9fb30731275b2d76f4,what 
10.0,cc6f00d0d706e8dc4aca79315ae6f26bc392b5fa,kekw 
10.0,31d92a5920c96dd89a9b89b4e97316dcb883b3a6,kekw 
10.0,b86d1a5bb28a4bc01b7b6b42efcf4d7b79d5d569,kekw 
12.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,kekw 
13.0,3d5cd992ee63a9cc1a939846180026eba7e7e971,kekw 
14.0,2785e0003dfed0b650bdf90c0043617a9b2dd886,pogchamp 
14.0,231c3265e4224d7b86e13ca315689938b7aba0f2,kekw 
15.0,5ea95e5175a9872e02beefa91aa9b8efc34b820a,kekw kekw kekw 
15.0,bd3235c7f8554df037387c9515641fdf4fca7000,kekw 
