Time,User,Message
0.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,they must have made billy's hitbox even bigger 
38.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,even bigger for collision* 
238.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,gg 
307.0,21153163d2a46aa4f23c2a05245d292b4674f9f7,i could listen to this all day 
319.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,pogchamp 
327.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,best melody ever 
328.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,pessigasm 
394.0,007c4f8fb887649ed9e7cbda57c69b47857fb7bd,pessicookie 
420.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,kill those survivors for good man 
422.0,dddf95651a697fd269cf9abe23ce4bbd96f247d8,i made en translation for re: survivor pc somehow peoples playing it :d is such a buggy mess 
459.0,dddf95651a697fd269cf9abe23ce4bbd96f247d8,it was korean only release 
483.0,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4,hello chat and b0cc2a8041c5fb47dcf40898d2d0535b6edc489e :) 
497.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,now its payback time 
566.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4 hello 
594.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,did you actually hit with a stick haha 
671.0,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4,do the survivors die at any point like a 3 times down and you're out kind of thing or are they only incapacitated 
739.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,they die with three hooks hanging 
745.0,4c16885ac932c4e317d7090a1967b6327f962f99,:clown_face: ass steve 
769.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,bbq too op 
777.0,21153163d2a46aa4f23c2a05245d292b4674f9f7,gg 
778.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,that was precious man hahaha 
799.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,why u booli them survivors 
815.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,gg 
821.0,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4,alrighty ta b0cc2a8041c5fb47dcf40898d2d0535b6edc489e and c6eeffefaf61e199142b375369d06ba14a65fe6f :) 
829.0,007c4f8fb887649ed9e7cbda57c69b47857fb7bd,gg 
835.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,gg 
843.0,4c16885ac932c4e317d7090a1967b6327f962f99,pessilul 
925.0,3825132064d66dfc09314d96b8ad214b92204447,wow k that hammer is super shiny on my screen 
940.0,3825132064d66dfc09314d96b8ad214b92204447,it looks nice as :d 
958.0,4c16885ac932c4e317d7090a1967b6327f962f99,no :) 
959.0,3825132064d66dfc09314d96b8ad214b92204447,hatch 
962.0,3825132064d66dfc09314d96b8ad214b92204447,idk 
964.0,007c4f8fb887649ed9e7cbda57c69b47857fb7bd,votenay 
964.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,hatch 
964.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,give her hatch 
969.0,30f3f56495ab9fa4ae3458577c9d8c4d6aa4cff5,flip a coin lol 
975.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,hatch 
976.0,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4,hatch 
980.0,39748ee3313d9aa1ccbe42991dcddc08bb7c8047,no 
984.0,6e4dff857c94ea392bc44032a87c191909870de3,hatch 
985.0,752d5a79e40ed1c16beef1bc1d029a7b215c21aa,hatch her she hopped off the hook she earned it 
988.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,woof 
989.0,4c16885ac932c4e317d7090a1967b6327f962f99,pessilul 
989.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,lul 
990.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,omg u boolie 
991.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,wow 
991.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,hatch 
991.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,lol 
994.0,007c4f8fb887649ed9e7cbda57c69b47857fb7bd,lul 
996.0,b9eae1422614e47ff3df6b6664c25347e9ef4603,t o x i c 
1023.0,6e4dff857c94ea392bc44032a87c191909870de3,cheer50 gotta respect the kobe 
1061.0,3825132064d66dfc09314d96b8ad214b92204447,i wish i could play killer 
1065.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,eeeewww red ranks 
1065.0,3825132064d66dfc09314d96b8ad214b92204447,im so bad lol 
1068.0,4c16885ac932c4e317d7090a1967b6327f962f99,the boring killer plague pessichamp 
1088.0,990a7c1e16560ad8be323a5a9aea8d89d5da5927,lol 
1094.0,3825132064d66dfc09314d96b8ad214b92204447,ha aussie servers arent fun for killers at all its pretty toxic lol 
1096.0,39748ee3313d9aa1ccbe42991dcddc08bb7c8047,play survivor pess 
1097.0,e56200a090357a591f8d6a0fbcebbf2ac8dce87d,plague=l4d boomer 
1098.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,better than a green rank surv main ; 
1112.0,4ff38f18dd8e60186bc6b4280ccfec8dc028ffe1,is there a dead by daylight bundle with all the dlc i could buy or will i need to buy it all separate 
1113.0,4c16885ac932c4e317d7090a1967b6327f962f99,the diablo 2 moosic 
1118.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,best music ever man 
1143.0,e56200a090357a591f8d6a0fbcebbf2ac8dce87d,remember when diablo games where good damn son 
1153.0,3825132064d66dfc09314d96b8ad214b92204447,is double bp on yet 
1157.0,4c16885ac932c4e317d7090a1967b6327f962f99,d2 the goat 
1160.0,3825132064d66dfc09314d96b8ad214b92204447,or is that later on in the week 
1163.0,e56200a090357a591f8d6a0fbcebbf2ac8dce87d,it is 
1176.0,3825132064d66dfc09314d96b8ad214b92204447,ah so im early lol 
1196.0,4c16885ac932c4e317d7090a1967b6327f962f99,4ff38f18dd8e60186bc6b4280ccfec8dc028ffe1 they have a bundle with the stranger things right now but not all the dlc 
1227.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,everything is on sale but stranger things tho so fill in the blanks 
1248.0,4ff38f18dd8e60186bc6b4280ccfec8dc028ffe1,i just wanted ghostface an the nurse tbh 
1250.0,4c16885ac932c4e317d7090a1967b6327f962f99,the heavily killer sided map pogchamp 
1277.0,f70ab82c5cdbbf79b66d28ec94d9ffb7ab5c24b3,thatll run like 6-8 bucks total i think 
1281.0,c6eeffefaf61e199142b375369d06ba14a65fe6f,worst map made damn 
1334.0,53e23ac720772c13bba5c50e7e3dcd02dbd0f5c4,this map looks somewhat confusing at first glance 
1358.0,4c16885ac932c4e317d7090a1967b6327f962f99,instaheal gamer 
1494.0,ef691a431aee53b3153deb3a99dd438a6ffa5f29,morning pessi demetehey 
