Time,User,Message
0.0,9d9cca9947d5b4d8755660644c844c86872ee7ce,stop sucking e84476b2185771c9b46bba92a4baf25e740e82a4 
0.0,af36b8db03853330df6f317a80fc67c684e1b1d4,thank you sir 
8.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,yes sir 
9.0,e84476b2185771c9b46bba92a4baf25e740e82a4,let me live my life 
16.0,cb4899050b02828c8e40ed23c71cfed8ef443b4a,af36b8db03853330df6f317a80fc67c684e1b1d4 whats your opinion on snd scene back in aw compared to now 
20.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,u joined to hustle us mine blown 
28.0,af36b8db03853330df6f317a80fc67c684e1b1d4,joking but hope bo4 has been treating you right 
29.0,8373ae93eca38562c055039c72a7dda1e7563e45,i remember when we would play in bo3 when u were on the come up 
29.0,0eb77e9cd8eaa85065883d60b47b3c8739b4862d,let's goo g 
36.0,ee50436f09bc69377ea199bdae4723debf485614,volants told me he was gifting 100 subs 
37.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,most definitley has 
48.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,nah thats all you bro ee50436f09bc69377ea199bdae4723debf485614 
51.0,fd385b721f53d48c70645f6f4de07bfd107e8076,did ral raid i missed it 
58.0,e84476b2185771c9b46bba92a4baf25e740e82a4,yes 
58.0,af36b8db03853330df6f317a80fc67c684e1b1d4,cb4899050b02828c8e40ed23c71cfed8ef443b4a it's weird now 
61.0,af36b8db03853330df6f317a80fc67c684e1b1d4,used to be bigger prizes 
75.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,af36b8db03853330df6f317a80fc67c684e1b1d4 got a battlebeaver cod 
79.0,e84476b2185771c9b46bba92a4baf25e740e82a4,i'm out tho b391a5ee206fc45d872d22ae4e9832b1367055d0 beat this cheater for the boys 
95.0,cb4899050b02828c8e40ed23c71cfed8ef443b4a,af36b8db03853330df6f317a80fc67c684e1b1d4 shame that there's no way of going back to the big prize claims 
98.0,92422c7eb8c86ac97c90a218279e03c20ca1d37e,fuckin gyeezy 
103.0,4015fb426252b05d4673e1eb7554759ae0667fa1,af36b8db03853330df6f317a80fc67c684e1b1d4 what we gotta do to bring snd back to what it was in bo3 
107.0,cb4899050b02828c8e40ed23c71cfed8ef443b4a,used to actually mean something getting a gold back then 
108.0,af36b8db03853330df6f317a80fc67c684e1b1d4,3641251b8f49e4b2008c13c1c4623034fe2ee506 i'm scuf gang 
112.0,d3991b8ae2a594eb2479bbe288d347a86e4a1700,92422c7eb8c86ac97c90a218279e03c20ca1d37e damn that was a big one i once caught a 16 inch catfish it was about 19pounds 
115.0,0eb77e9cd8eaa85065883d60b47b3c8739b4862d,close it out g 
117.0,2333ed0f9df34c6f7ed88a54b3b0266a3a688ca1,if one site ran all the tourneys instead of 20 
124.0,2333ed0f9df34c6f7ed88a54b3b0266a3a688ca1,it would be revived 
129.0,3641251b8f49e4b2008c13c1c4623034fe2ee506,ah hell nah with that ima lose to vvg_chicken 
132.0,f71680f3859f73483d6bd50e6d25dafc27eea3d4,ralliedvibes 
134.0,7b8f4565a196837c172fb70a21995b3e223d8a78,af36b8db03853330df6f317a80fc67c684e1b1d4 scruffy gang 
135.0,9c29fc6964433bf2e73778f517472841ef22a7e7,it's tryhardet you are still ass :face_with_tears_of_joy: 
150.0,92422c7eb8c86ac97c90a218279e03c20ca1d37e,af36b8db03853330df6f317a80fc67c684e1b1d4 you realize that's yeezy that you wagered right lol 
153.0,d3991b8ae2a594eb2479bbe288d347a86e4a1700,92422c7eb8c86ac97c90a218279e03c20ca1d37e i used it as bait caught a shark and let him go 
