Time,User,Message
0.0,7226fd889876de45bb58305aa046f132fa3a235f,botlor 
3.0,8eaa65b635c0fb0ba5dd055937ca379eefd6fc4a,pls moto moto 
5.0,cca7c35b93f19d6b699c247fd9e9407372d25bdf,oghudichee oghudieers potquestbologna 
5.0,fb3b6a114dab3c7555f9d5f3941de561ef2d1939,delly is 420 friendly 
6.0,b6f620da3025db2dc9f6e176ee87faf7a8790cd6,swiftrage swiftrage swiftrage 
6.0,41c5722979a66de88ad10a1c1b41c15077011fa1,packing the bowl 
7.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,just scammed someone for euros for tickets to a party xdddddd loool 
8.0,513900cb26098ba7bb1c63dd62862ea13e480859,marky mark 
8.0,8df8b6f622f108f65744f4b8d492a71cea4c422e,moto moto in madagascar :beaming_face_with_smiling_eyes: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: 
8.0,e670801b44e4c1025db2ef868ef59905d5630856,let's go sex apex and rock and rolo:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
11.0,1daeeb556989ff7125b642f29f892d8a0de16cc9,wiggle dellor 
13.0,8eaa65b635c0fb0ba5dd055937ca379eefd6fc4a,dello moto 
13.0,113eae94b239e9b73b68f558cfe44b1bcc70932c,numa numa song 
13.0,7226fd889876de45bb58305aa046f132fa3a235f,botlor 
14.0,05d4f39fee33dcaaeeec6c3e61a736ee2ce3c2aa,bong rips 
15.0,e7ef9c0d7dec4007355d4266245eccb048d74001,pepegapls pepepls pepegapls pepepls pepegapls pepepls pepegapls pepepls pepegapls pepepls pepegapls pepepls pepegapls pepepls pepegapls pepepls 
16.0,883ca17a574cc4a8b407c91a89e81caadc37f92c,uptime 
16.0,afdc5865f19f5a197f00c0d0d15f959a5d296400,wow dellors soooo mad 
16.0,47b422481e6796f4e1394d084ac6fa908446e64b,yo dellor where u from is the us 
24.0,1daeeb556989ff7125b642f29f892d8a0de16cc9,wiggle wigle dellor 
25.0,61c477156d98d96756757c5708cbd3cf41e94aef,megalovnia 
28.0,9053468a7636ccbf2df5261dae3b498a56d337ac,ggod song 
28.0,85584ea1ea33e6259bec1d1f5a9a933e0824a56e,lul 
30.0,84349443563e1e632febfcd39dc01b1d40874a79,lmao 
32.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,dellor do u smoke weed dude 
33.0,9dd1f9664950a6c91063d38afeb31d8836dd6da3,plug 
33.0,a8e9b5245f06574ce79f23b0005de4e060dedb8e,drop a move b3e9684ac4e6a433a2697ce630302e00dd1d0dbc pogu 
35.0,57a4fa5660c580561a44f0284485e5ae56873d87,dellor my girl approved a threesome letss gooooo dominating 
36.0,91fed131413648d74ebd188f6b4c7fd4d99fedb4,ayayay 
36.0,62c1539ccc764b8280193ef55e479e49238f50e5,b3e9684ac4e6a433a2697ce630302e00dd1d0dbc play some csgo dudee 
37.0,e0b7f3b9e0f94134579aa2adf058cde2ddfbd9ab,*** this song 
38.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,or u ever have 
38.0,219cffdbc96e63fbc995f1bb9d98255193d82ff9,:man_dancing: :man_dancing: :man_dancing: 
39.0,61bd50021a4aca1d68955ff69de19264fd29cd21,datsheffy datsheffy datsheffy datsheffy datsheffy datsheffy 
40.0,61c477156d98d96756757c5708cbd3cf41e94aef,play megalovania 
40.0,8b55437b7200f4c9e916f21a2ad4cce1cc0720ac,lol 
41.0,05d4f39fee33dcaaeeec6c3e61a736ee2ce3c2aa,sid 
42.0,e0b7f3b9e0f94134579aa2adf058cde2ddfbd9ab,*** moto moto 
42.0,f4c7fd8611ba6023cd1aeb6f3c3efd9623187167,boomer techno lul 
43.0,e379fb68fdb9838c3d74d6cdbda8632023666b9f,lulw 
44.0,61bd50021a4aca1d68955ff69de19264fd29cd21,seemsgood seemsgood seemsgood seemsgood 
44.0,a7ff7973333c6cc4cde020a34aa5d1e313ac4f8d,dellor let's hit the crack pipe together 
46.0,fb3b6a114dab3c7555f9d5f3941de561ef2d1939,dellor from the comcast idoah i think or iowah 
51.0,c09d5995ed0c6deb1eb6ad7198c3999975a6143e,senpaiwhoop 
53.0,c3c20cfd7de91e7d0c7e388c01dad9c13c62f49b,wins 
53.0,eb9385bd28675418774f32066fe5c12a4514d2f9,shut up sid 
53.0,5cd118bf865fb469f5aa187681c113f8a2527eb1,play biggie smalls juicy 
54.0,b6f620da3025db2dc9f6e176ee87faf7a8790cd6,i love dellor skannelove skannelove skannelove skannelove 
56.0,47385178181c09e019f693747f306198f23da4e7,on the fucking backup 
57.0,02d9e3844390465e568fac4985b313729ab03104,radical 
58.0,0bc469f13d0572a493ab7c5db74ef034fee1c9cb,donnie was so good in band of brothers 
61.0,9e26a6aa8dc0dc457925c5cf0e948000e9af4b21,trikool 
62.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,haahahaha 
62.0,85584ea1ea33e6259bec1d1f5a9a933e0824a56e,lul 
64.0,46b77db23bf3531ecd2c4180101cef996ea9a4ea,boomerlivesmatter lmao 
64.0,e0b7f3b9e0f94134579aa2adf058cde2ddfbd9ab,*** this is the moto moto song please dellor <3 
66.0,84349443563e1e632febfcd39dc01b1d40874a79,stfu the 90's ruled 
66.0,e22409996081a2e59186c6b64c49a55ceb42137f,senpaiwhoop 
66.0,bf063dd25253c711871ee80056dd4858ad7aa9f5,let's get some gak 
67.0,61bd50021a4aca1d68955ff69de19264fd29cd21,lul lul lul lul lul 
67.0,834a5ad5f7ac1dc39fca1c5156513e2e3b494552,lulw 
68.0,05d4f39fee33dcaaeeec6c3e61a736ee2ce3c2aa,bong rip 
69.0,91fed131413648d74ebd188f6b4c7fd4d99fedb4,lulw 
69.0,da7b90963e8ec28980b9b969cca5a17bafdb9fff,this is why we love autistic people 
69.0,024ee2d255ddbf395cc6c23f290c5db6aa3c4df0,fucking gangshit 
70.0,409a6567f2385ca5792aa8af93f66b251a0c4701,dellor freestyle 
71.0,029abe694b288ebe243b031b4faf71dd06ed9c84,lul 
71.0,e670801b44e4c1025db2ef868ef59905d5630856,lul 
72.0,8df8b6f622f108f65744f4b8d492a71cea4c422e,show us what u really can do b3e9684ac4e6a433a2697ce630302e00dd1d0dbc 
73.0,06866ac48d8cbf558c4eda3a6eb5f326900afbbb,jordyxralph jordyxlisa jordyxdoh jordyxbort 
74.0,a54b49ec9c58472648737178232e4a66c47726d2,old 
74.0,59a3860b8c0f10254820c109d0601f43f23c3c12,mark wahlburg lol 
78.0,d652f9ee6046661147423ed6b45db4924bddc7bd,blessrng perfect sound 
81.0,a54b49ec9c58472648737178232e4a66c47726d2,age 
81.0,eb9385bd28675418774f32066fe5c12a4514d2f9,cringe 
81.0,67b4c2a2b08311725d6369f466bee99d50e6df12,cant wait to watch you die again 
81.0,a8e9b5245f06574ce79f23b0005de4e060dedb8e,drop a move b3e9684ac4e6a433a2697ce630302e00dd1d0dbc pogu 
82.0,8b55437b7200f4c9e916f21a2ad4cce1cc0720ac,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
83.0,d885b6fd7f5a880a20be42cc9472a56a7e3fd7da,bahahahahaha 
83.0,97c39c6a07bcf9b196172ef1276c33fe648ec111,please dont take too long this time when you smoke your stuff b3e9684ac4e6a433a2697ce630302e00dd1d0dbc 
84.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,please answaer do u smoke them grassss 
85.0,1dd8e4261214343bcd5db57babc1ad12f28ca9b7,when did u last play pubg 
88.0,804159a7b4618e65a8bc153ef629907298e446dc,b3e9684ac4e6a433a2697ce630302e00dd1d0dbc what do you think about rogue company 
88.0,8eaa65b635c0fb0ba5dd055937ca379eefd6fc4a,what does his second badge mean 
94.0,89e085d8b8ce2f319bf5766db9aa9fcbf92d9a76,lmao dellor actually thinks his voice is better than this 
96.0,739d6e5eb1547d6083ef1ab18e1303e72fb5d9ea,i must know 
97.0,7d065b800bf3bba61dfadec5c2ca53b1b126b9f6,marky mark would break you 
100.0,37ef94c58644cd65dd97eefcae55bc39be3d2043,bl;ack people 90s music was great 
102.0,2027b342823669682cafd37c19ec63f8f4787548,8eaa65b635c0fb0ba5dd055937ca379eefd6fc4a long snipe 
103.0,8df8b6f622f108f65744f4b8d492a71cea4c422e,1dd8e4261214343bcd5db57babc1ad12f28ca9b7 right now 
109.0,bcdf14a89df86a32aff90b63a16aa206f91210bc,lul 
110.0,b4da0cfb0a3ffaf29391efee857ec353993799ca,gachihyper good vibration 
112.0,54aaac574ccb891abaa0c9d4a10354d2949d322c,wutface 
115.0,d3ec731c394dab1daa95e332a59d0ea5ff67cd6a,i listen to this song in the shower 
115.0,d885b6fd7f5a880a20be42cc9472a56a7e3fd7da,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
117.0,c3c20cfd7de91e7d0c7e388c01dad9c13c62f49b,:oncoming_fist: 
119.0,c7f372c158dd56304d8aec41cd2452b25a82e5ac,8eaa65b635c0fb0ba5dd055937ca379eefd6fc4a he has a dig bick 
127.0,3fa959da3983910d22657375e7e17578869d860f,gibs poooound 
131.0,05d4f39fee33dcaaeeec6c3e61a736ee2ce3c2aa,his butthole 
134.0,5cd118bf865fb469f5aa187681c113f8a2527eb1,b3e9684ac4e6a433a2697ce630302e00dd1d0dbc put biggie smalls juicy 
142.0,91fed131413648d74ebd188f6b4c7fd4d99fedb4,prowler smacks 
146.0,c3c20cfd7de91e7d0c7e388c01dad9c13c62f49b,wutface 
147.0,e22409996081a2e59186c6b64c49a55ceb42137f,gachibass clap 
150.0,e5fd1856666fd05c25689fe65c4a3e7e8ccbd354,dellor's in a good mood 
150.0,1ac10b959b501330238087081c8d80ceb3f31b5b,dominated 
150.0,02d9e3844390465e568fac4985b313729ab03104,lul 
150.0,8d9af3be1043d685ab471f75fd371ba754ff4fd3,lmaooo same gibraltar for the past 30 games i swear 
152.0,0ec57f805b85fb67923b38683b8c107ffeb4401d,delli spittin straight fire 
156.0,b6f620da3025db2dc9f6e176ee87faf7a8790cd6,lul 
160.0,b4da0cfb0a3ffaf29391efee857ec353993799ca,gachihyper good vibration 
165.0,8b55437b7200f4c9e916f21a2ad4cce1cc0720ac,lol 
175.0,cca7c35b93f19d6b699c247fd9e9407372d25bdf,rolled 
176.0,f4c7fd8611ba6023cd1aeb6f3c3efd9623187167,dirty 
185.0,d3ec731c394dab1daa95e332a59d0ea5ff67cd6a,pump my butt and twist my stem xqcp rise brothers 
192.0,a7ff7973333c6cc4cde020a34aa5d1e313ac4f8d,dellor is happy never thought i would see that 
195.0,1ac10b959b501330238087081c8d80ceb3f31b5b,dominating 
205.0,4e2819c8972da47cdf72df80cc502fa97f788e7a,love seeing this man happy :d 
206.0,8b55437b7200f4c9e916f21a2ad4cce1cc0720ac,fucking slaying the whole lobby dellor:fire: :fire: :fire: 
207.0,37ef94c58644cd65dd97eefcae55bc39be3d2043,beef 
