Time,User,Message
0.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,cmon bruh 
3.0,c035d4b362f0d85ba020da71cebdd54ad505866b,damn bobby 
4.0,60f74a22e343f22df775b50f44479abed51d849f,get freaking crocked bobby let's see it happen poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas 
9.0,43ac2f07dfad5b4844e0eed208d5758c8d651828,damn bobby kkona 
10.0,2a1073263b89930cd444bbe2c6c71460be4cdf85,love the alcatraz content 
10.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,crocd 
12.0,79f3a235fde676dc29f85ef5ffa21e6cbcd1d560,60f74a22e343f22df775b50f44479abed51d849f thanks for the gift sub 
14.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,get em bobby 
14.0,4d79c46fedee0719294944783ec9806da9e05960,gameplay so good i cant even focus on the chat 
17.0,60f74a22e343f22df775b50f44479abed51d849f,poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas 
19.0,c035d4b362f0d85ba020da71cebdd54ad505866b,damn g7 you rock 
21.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,headphones 
26.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,headset 
30.0,60f74a22e343f22df775b50f44479abed51d849f,79f3a235fde676dc29f85ef5ffa21e6cbcd1d560 enjoy brother poffhype poffhype 
33.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,bobby lookin fine tonight 
34.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,ahhhhh doctorthink 
37.0,7e256ec8db4ded50f5ca62536e445b2c7bd6362a,leader of the smurfs was unhappy with you 
39.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,pink scarf n all 
48.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,stache 
50.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,b4321f00344cdff2ab715d3e11f63cc906490184 are you still going to play blackout when mw comes out 
54.0,93a5b2766b465f7ef63836206b02efd5aecc1699,hope you been good bob 
57.0,60f74a22e343f22df775b50f44479abed51d849f,that guy is straight booty with the sparrow 
57.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,prop lul 
67.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,i sure hope so 
68.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,trash can 
79.0,b228360f5e29a7d0e32c27112dead0178c45ec05,props and bots 
80.0,2ad114fde0fd680297f8ec50f6a915f364d4b60a,what outfit is that looks like he's catwoman or something with those claws 
81.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,:wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :wastebasket: :card_index: :wastebasket: :wastebasket: 
83.0,2f68b2de7577f3354042e23d4f11becfb82e7ff6,paid actors 
83.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,absolute garbage disposal 
85.0,e18bc69a19a4aa2ab87c4b509c5ae4c495954128,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
90.0,60f74a22e343f22df775b50f44479abed51d849f,:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :clapping_hands_medium-light_skin_tone: 
97.0,3f5dbb018c1da3538474a34280ac299293c697d9,da dun da duh 
100.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,people's elbow 
102.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,lul 
103.0,c035d4b362f0d85ba020da71cebdd54ad505866b,bobby getting his shit back 
106.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,back to the lobby 
111.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,buh bye 
111.0,e18bc69a19a4aa2ab87c4b509c5ae4c495954128,god bless america 
111.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,back in action bb 
118.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,“in the corner” 
124.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,worst callout of all time 
128.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,lul lul poffpicard poffpicard 
130.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,they arent even good at the game poffbobby 
136.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww $4 99 resub bingomg rucc88 welcome back for 4 months in a row qtsbits qtshug qtsbits 
141.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,love 
145.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,200iq plays 
162.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,that kid got shrekt 
163.0,2a1073263b89930cd444bbe2c6c71460be4cdf85,6 health monkas 
164.0,60f74a22e343f22df775b50f44479abed51d849f,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype 
172.0,adeeecd64bb28fdbe2c12695066dbaee714e9988,sixwiped sixwiped sixwiped sixwiped sixwiped sixwiped 
180.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,hahahahaha 
180.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,close 
187.0,a70121afd29768ad241ce835fa714b6c13b942dd,lolllllllllllll 
189.0,c035d4b362f0d85ba020da71cebdd54ad505866b,his mouth lol 
193.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,lmao 
194.0,5925e279d780a10145a1c8c25cf03a7e8131b38f,let's go poffmyman pofflobby pofflobby pofflobby pofflobby 
196.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,couldn't handle the dancing 
197.0,53f1ee1aefad9ff319992359f5ff347a7395648a,salty 
199.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,the no scope notlikethis 
201.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,e1775f7b1b939f3d1437aaff085825ce1a09fca7 koncha 
201.0,43ac2f07dfad5b4844e0eed208d5758c8d651828,where were all the ragers when you had that 5 ragers for 5 gifted lol 
203.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,salt 
218.0,ecd1f81e912c59cc868565b614da9b2ea6191d8d,lmaoooo 
219.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy poffedgy 
222.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,heyyyy love c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29 
227.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas 
230.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,<3 
235.0,60f74a22e343f22df775b50f44479abed51d849f,poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffgas poffsend poffover 
244.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,dp'd 
244.0,558516a19536a6e4dc4e936fb071c3686f957788,wtf 
248.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,good shit 60f74a22e343f22df775b50f44479abed51d849f 
253.0,5925e279d780a10145a1c8c25cf03a7e8131b38f,whatttt 
253.0,c035d4b362f0d85ba020da71cebdd54ad505866b,dp d lol 
253.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,poffcool poffcool poffcool poffcool poffcool poffcool poffcool poffcool poffcool 
255.0,60f74a22e343f22df775b50f44479abed51d849f,wow 
256.0,061c63740438b8ab318d4fdbeef7677f27b0c77e,wtf 
256.0,430a8ba679da336e2f1bf93bcf0c3d398a9a133b,poffgg poffgg poffgg poffgg 
257.0,c035d4b362f0d85ba020da71cebdd54ad505866b,gg 
258.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,f 
259.0,60f74a22e343f22df775b50f44479abed51d849f,poffgg poffgg poffgg 
260.0,cc9ec57e06aef1af0841bb54cdf4f096ff78db3d,poffgg 
266.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,gg 
271.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,poffgg poffgg poffgg poffgg poffgg poffgg 
276.0,5925e279d780a10145a1c8c25cf03a7e8131b38f,it looked like a great game though poffgg poffgg poffgg 
280.0,2f68b2de7577f3354042e23d4f11becfb82e7ff6,daltoogg poffgg poffgg poffgg 
282.0,d3f8f3d9759b2cc8b6b2a708faddd27c20591dcb,wow my tampon fell out from shock 
284.0,84c4082684fc32dcb5d247e5da42374ea8d1662d,yee 
285.0,60f74a22e343f22df775b50f44479abed51d849f,no problem poffmyman poffmyman 
286.0,adeeecd64bb28fdbe2c12695066dbaee714e9988,sixgg sixgg sixgg 
287.0,9bc709260d6a7525d6a42447670ce11227ce045c,how is it going bobby 
288.0,e1775f7b1b939f3d1437aaff085825ce1a09fca7,you dominated 
289.0,de00da560c447814479d8bcc9f7f705e9d5cf611,sub 
292.0,e3f6c5b2a2738f7050635e222613b0ed0ef5d708,you playing alcatraz is the best to watch 
292.0,d3f8f3d9759b2cc8b6b2a708faddd27c20591dcb,lasered 
294.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,somehow 14 kills is a bad game for bobbt 
297.0,84c4082684fc32dcb5d247e5da42374ea8d1662d,formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p formalt2p 
297.0,e3f6c5b2a2738f7050635e222613b0ed0ef5d708,love ya bob 
298.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,bobby* 
300.0,84c4082684fc32dcb5d247e5da42374ea8d1662d,formallostfull formallostfull formallostfull formallostfull formallostfull formallostfull formallostfull formallostfull formallostfull 
301.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,lul lul 
311.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype 
313.0,61d150f23332058f4ea28b3b2e31d0d00c7fa7f7,push it to the limit 
315.0,84c4082684fc32dcb5d247e5da42374ea8d1662d,formalv20t2p 
316.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,lmao 
326.0,c035d4b362f0d85ba020da71cebdd54ad505866b,calm water still night disney halloween party and bobby poff it is epic 
327.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you pegros for gifting a $4 99 sub to flakodrillinit qtsbits qtshug qtsbits 
327.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you pegros for gifting a $4 99 sub to yusufsheikh15 qtsbits qtshug qtsbits 
327.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you pegros for gifting a $4 99 sub to thatboid503 qtsbits qtshug qtsbits 
327.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you pegros for gifting a $4 99 sub to iwillpwnu69420 qtsbits qtshug qtsbits 
328.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you pegros for gifting a $4 99 sub to xasapmob qtsbits qtshug qtsbits 
329.0,1383dc9643ab0a07f045447a59e7fc5a5d6cdf65,poffhype poffhype poffhype poffhype 
329.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,love 
331.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,bob 
332.0,60f74a22e343f22df775b50f44479abed51d849f,e39522e3ab9b917cc74dc08fbad055a11b9925aa right i'm dropping 14 kills and i'm poffhype poffhype 
333.0,15437ea5c201b39f478d9d9aca7425b11093f23e,thanks for the good times bro full send 
336.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,hype 
338.0,60f74a22e343f22df775b50f44479abed51d849f,poffhype poffhype poffhype 
341.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,gifts 
343.0,60f74a22e343f22df775b50f44479abed51d849f,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype 
347.0,80f79051ed9a49ccb15c0f9a46c0d3f90d15cba1,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffeyes poffeyes poffeyes 
351.0,cba345ebfe4a58de4382d704b9598fe5bddd0f64,b4321f00344cdff2ab715d3e11f63cc906490184 that character is tight 
356.0,1383dc9643ab0a07f045447a59e7fc5a5d6cdf65,poffgift poffgift poffgift poffgift poffgift poffgift poffgift 
356.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,haha fo real 60f74a22e343f22df775b50f44479abed51d849f 
356.0,cba345ebfe4a58de4382d704b9598fe5bddd0f64,is that a new one 
357.0,37d817a8df14a38e7107d1d985df45a44b72079b,go heavy metal bro 
364.0,566b4b434f7e4a48c6c0ea689aa9e932b6ccc742,sup bobby 
370.0,60f74a22e343f22df775b50f44479abed51d849f,075aa53f5550e413434fbea5ff947dd88828563f with that juicy 5 bomb 
375.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,good shit 075aa53f5550e413434fbea5ff947dd88828563f 
377.0,bbad118f450f259c04994de1e6ecdc623ff056b0,i love this song 
384.0,0877711a5a237b62dd92cd5c399101169dba4a95,hello from poland bro 
387.0,075aa53f5550e413434fbea5ff947dd88828563f,either its first initial last name 
407.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,my man pegros needs a sub 
413.0,c9e591b3bddbc2ec1d1116b97eb4b41cf4eb4f29,i 
413.0,e39522e3ab9b917cc74dc08fbad055a11b9925aa,mobilegift 
419.0,9bc709260d6a7525d6a42447670ce11227ce045c,how was your day bobby poffbaited poffbaited poffbaited 
424.0,9f9338ebb740baae13b326fd9d2290ee4a890503,hype 
