Time,User,Message
0.0,675a4fe9f46cbcc20b33279ab1293b41cc0ac61f,oops 
0.0,ed2c80e224fd233a4a88c6d560a718f8f4b3d786,pepelaugh 
1.0,42f72364e7a27c437cf3b9364bc88705b2a2e57b,run 
5.0,96f15e81bb478b120fd1588cfd23c226675bdf23,prepare to run 
7.0,499e8b594020a56c699cde132e2ca3487a112ab4,kappa 
7.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,ok but where's the premeditation 
7.0,8f4c13738c653a326bbbf9d4bf4bcddfbe1cbe03,mehdilaugh mehdipoint oh no no no 
9.0,f1460b84019e755775a64fbf7a5a5522bc1929b6,get gomer to get the car ready 
11.0,b68db13bb39e2e8ba5dcf12078b7c489b62383c0,not an arguement 
12.0,cc6b27c2f954fc83d96ec51e3ae6892816b942d8,lol 
14.0,b77f89bc259cdc1b53f578a16567af8333ae854d,pepelaugh we so fucked 
15.0,ee64c34cf11ed9d8b72b9c30ed74ca17101f4cf0,not what you are arguing tho lul 
15.0,07f861e773ebff839da5dd619fbec8f310ad57b5,not a bad try 
16.0,9a88378672d67f77fe551839ebbc65f8c1058c46,still not first degree 
16.0,22bbe1d08105ecbb4b2dddad994c5ea5ac132281,murder 4head 
22.0,924d39490b7981e0fcc0724d7112f892ff39146c,those are completely fine just the 1st degree going 2nd degree is enough 
22.0,3658b6e9f4181fdf7a7fac3892c13aa0134c81cd,kappa 
25.0,02a4fc9e90e6e44294290005c89df4bc8ee6e3e4,is buddha out yet maybe they can make a quick getaway 
27.0,16b78c5983bd5d89c632e65b9767e48ed77f8c76,run kapppa 
30.0,07f861e773ebff839da5dd619fbec8f310ad57b5,too weak though 
31.0,3a5acd15819b93570e9c8e1f740caf81b0ea500d,not proof of first degree pepelaugh 
31.0,58f10a6d8488b9940a229bc1f18267297f360688,good closing 
33.0,8f4c13738c653a326bbbf9d4bf4bcddfbe1cbe03,mehdilaugh life in jail 
36.0,c8f52068b7782e2478f3345f888b02439c67296e,mehdiweird its all true 
36.0,835444750bacfd24053a917b5254f38c87ed7f91,still not premeditated murder kappa 
39.0,a1b21ffbf116816a3d996d98306c39d64de3d891,bad 
40.0,9722fd8eb2cc10e809930775ce8713da9076b450,ripley is pog 
41.0,b68db13bb39e2e8ba5dcf12078b7c489b62383c0,still ki ndle fucked 
42.0,7c857e449f3117bc14b1feb0fe3bc1d49ae915e7,get ready to run that was good 
42.0,179a0e4af48b9cb7953365e1560bfba4463b91da,rip kindle pepehands 
43.0,3753e0731a42881463e64511152f87e5e51fa03e,roommates with dab forever mehdilaugh 
43.0,b8795d000d4dbed3eea24b98ef0c5bdc1fbd4bec,clap 
43.0,6eb4b50332767264c916bd51c5a32eb21a6d1ea9,oh you done with that 
44.0,665bc6b98f52f0551ed73982e3c1a49cc896e63b,ripley has done so well for someone who's not used to this 
45.0,b502167fbf6f37db8f5ff31091bc1d1081601b64,vades 
46.0,2291fbbaefd437ce2098e91b13ea54a3504deabb,not too bad 
46.0,7a338daf79f773f234a689a74ff3cdbd750cebd8,truly though he did delay in putting his hands up 
48.0,07f861e773ebff839da5dd619fbec8f310ad57b5,decent 
48.0,951dcef8abaa3494357f78fd0b743ba1b8308498,mehdihmm 
48.0,03bd5876733b0e7d97ade6a082c7a5fe10276581,good closing from ripley 
49.0,0410a0c7c3d192486d76cf9ed64db2a9ce7b759f,tell gomer to get the car ready lul 
50.0,a1b21ffbf116816a3d996d98306c39d64de3d891,not premeditated murder 
50.0,65dee77fb289bcc985cad1074b8132f3391b781a,that was really good 
55.0,00bea4e94c4bd81a203de043c096c2da16cee455,clap 
59.0,00bea4e94c4bd81a203de043c096c2da16cee455,ripley is awesome 
60.0,13dfd5160583c3b0f57d48ca300d360fa6d0f0b2,gg w/e happens lulw so run lulw 
61.0,3a5acd15819b93570e9c8e1f740caf81b0ea500d,screwed for everything else but not first degree pepelaugh 
61.0,1c5e309a8ec3bd70d60dfdd061c92dacaa154345,champ 
63.0,bdd02c116d483a8634c5f181d3b7dd0a83cdc3e4,fuck is ripley good 
63.0,16b78c5983bd5d89c632e65b9767e48ed77f8c76,dab on these fools mehdidab mehdidab mehdidab 
66.0,89dd11d6c1f6d8d20fae46a1ae6feafd3038a768,golf clap 
69.0,b68db13bb39e2e8ba5dcf12078b7c489b62383c0,good drama legal basis none 
69.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,he said she said let's go 2nd degree 
69.0,42f72364e7a27c437cf3b9364bc88705b2a2e57b,lol 
74.0,b415817585f2816ed351d226ac389c9f2272feb6,blessrng 2nd degree 
78.0,16b78c5983bd5d89c632e65b9767e48ed77f8c76,dab if u win lol b488c55fe2b799c61dd4658b2ae97a583cad3e38 
89.0,8f4c13738c653a326bbbf9d4bf4bcddfbe1cbe03,mehdilaugh cop mehdilaugh killa mehdilaugh records mehdilaugh we mehdilaugh out mehdilaugh here 
95.0,02a4fc9e90e6e44294290005c89df4bc8ee6e3e4,hahaha 
96.0,cdaf866bb93301b9db9e569af7e8fabc9eae5973,time served - walk free 
103.0,16cbea3da4435400cc44aced1ee9616bcc9775b3,katiesmug 
109.0,835444750bacfd24053a917b5254f38c87ed7f91,mehdihands kindle 
114.0,e3b34e58db3445430f0abb5f3d297f117e3664b7,p residentsleeper lice 
114.0,7fd8d6e024af3117d9650b6456261da190eecb7a,pog 
117.0,8c86f739a9bb6898a013ccadf9b9ac4bfe995ebc,pog 
118.0,28f8491819769c5b851ffe8f3b7fb283283bec85,mehdipoggers mehdipoggers mehdipoggers 
119.0,2da041460c12964f125facd9b137b07f42c790d5,curselit curselit curselit burn 
119.0,3753e0731a42881463e64511152f87e5e51fa03e,get your dabs or cries ready bois 
120.0,54af88aeedf5a6faeec8f84eb2aa66e0fa496ea9,lul 
121.0,86d7d6a92d8e04c56c3a570f5d8658bcf1ed1f46,lul 
125.0,d768cedc38ce3fa5297975867739fdabc0c66357,lmfap 
128.0,d36c080925a54fd83f2516e97bf257212f0f7ad0,mehdilappa kappa mehdilappa 
129.0,00bea4e94c4bd81a203de043c096c2da16cee455,pog 
131.0,d3ebb2e53c8c072f4b543adb19375d9f8accfe4b,follow me :) 
135.0,e1a3778becda8a1d3a357f6f54b8424c50c02d24,lulw 
135.0,28f8491819769c5b851ffe8f3b7fb283283bec85,mehdipoggers 
136.0,951dcef8abaa3494357f78fd0b743ba1b8308498,mehdia 
137.0,02a4fc9e90e6e44294290005c89df4bc8ee6e3e4,pog 
138.0,36a7243a19de5274bc32d2d63cedf8edf1fa25ad,curselit curselit curselit curselit curselit love court rp 
142.0,35bc4dc7b26de5c2e261beaeb8b45b6b3ed75a78,no d3ebb2e53c8c072f4b543adb19375d9f8accfe4b 
143.0,8f4c13738c653a326bbbf9d4bf4bcddfbe1cbe03,monkas :waxing_gibbous_moon: 
145.0,f1460b84019e755775a64fbf7a5a5522bc1929b6,pog 
146.0,d3df8be494227d3048bab734bd394fb3b2e4903e,i mean its true there was no planning to kill ripley 
146.0,e8db5f9819a4fa187251d59b40f4b5a87d6e12be,pepesmoke 
147.0,3822bcf2709ed1003b059b5e0091c4f19bb92999,kappa 
148.0,cf101a8e494e401094ddc16a6fb1567797228ad2,shaw <3 
148.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,rip ripley curselit curselit curselit curselit curselit 
149.0,54b52e8ffb7b4ce9b852a5b986e5f6d736f90bab,kangaroo court kappa 
149.0,9e92b4f75519208068cbb2369e4ed75b8a94ce0c,tru 
149.0,f1460b84019e755775a64fbf7a5a5522bc1929b6,pogggggggersssss 
149.0,f3507dfa3f6b77a58fabd8f0324b551155190cd0,ppbeer 
152.0,d3ebb2e53c8c072f4b543adb19375d9f8accfe4b,yes 
154.0,b68db13bb39e2e8ba5dcf12078b7c489b62383c0,and falsely accused 
157.0,c504c1a2122ba0d449bb0e7a50f3718107b2d28e,ez 
158.0,0dcff49470fffb6e84f67438d77c72b4c7b9675e,pog 
159.0,8f4c13738c653a326bbbf9d4bf4bcddfbe1cbe03,pepesmoke 
159.0,3658b6e9f4181fdf7a7fac3892c13aa0134c81cd,kappa 
163.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,shaw roasting these pigs on a spit fire grill baby 
164.0,835444750bacfd24053a917b5254f38c87ed7f91,no balls 
164.0,8c86f739a9bb6898a013ccadf9b9ac4bfe995ebc,ez 
165.0,179a0e4af48b9cb7953365e1560bfba4463b91da,damn shaw well played 
167.0,28f8491819769c5b851ffe8f3b7fb283283bec85,mehdih 
167.0,16cbea3da4435400cc44aced1ee9616bcc9775b3,d3ebb2e53c8c072f4b543adb19375d9f8accfe4b mehdiweird :backhand_index_pointing_right: :door: 
169.0,99b451802eff7179df2b4de02ccf9b76b61172c4,winner pov 
170.0,cc06a871960b40d112028a070351a194cb169a5d,shaws too much on game mechnics 
171.0,a1b21ffbf116816a3d996d98306c39d64de3d891,pog 
173.0,e90f058ae64a28d3cb56b11e79cda71bb3e89139,clap 
173.0,28f8491819769c5b851ffe8f3b7fb283283bec85,mehdipoggers mehdipoggers mehdipoggers 
173.0,951dcef8abaa3494357f78fd0b743ba1b8308498,mehdiw3 mehdiw4 
174.0,d33f08e6462397f0cb4866a5c9956e239599e036,kebunhuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu kebunuu 
174.0,d3df8be494227d3048bab734bd394fb3b2e4903e,ez clap 
176.0,1c5e309a8ec3bd70d60dfdd061c92dacaa154345,champ 
177.0,835444750bacfd24053a917b5254f38c87ed7f91,mehdia 
177.0,07f861e773ebff839da5dd619fbec8f310ad57b5,mehdilaugh mehdipoint 
180.0,b8795d000d4dbed3eea24b98ef0c5bdc1fbd4bec,timmachs timmachs timmachs 
181.0,3753e0731a42881463e64511152f87e5e51fa03e,ez clap 
181.0,bec1265d6dbe641239bf18e2423da4ccc33e2cec,pogchamp 
181.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,pig roast baby 
183.0,35d7254d05896e3a3ca96052f71c264157a20b8e,mask 
183.0,b68db13bb39e2e8ba5dcf12078b7c489b62383c0,i call the slide 
183.0,86d7d6a92d8e04c56c3a570f5d8658bcf1ed1f46,blessrng 
184.0,e8db5f9819a4fa187251d59b40f4b5a87d6e12be,hypers hypers hypers 
185.0,07f861e773ebff839da5dd619fbec8f310ad57b5,pound it chat 
185.0,b8795d000d4dbed3eea24b98ef0c5bdc1fbd4bec,ez 
185.0,ed7af375ed67056858762198a26ea7819650e77c,another 2 hours wait lets go 
188.0,2929f67726f22c9f31442e3fe69a5c6072aa1b06,and now we wait again mehdilul 
189.0,16b78c5983bd5d89c632e65b9767e48ed77f8c76,kappahd 
190.0,1c73a1e47365a5f8e5fc53341b2f50e629a976ee,kindle is gonna win for the 2nd time 
191.0,951dcef8abaa3494357f78fd0b743ba1b8308498,mehdihmm 
193.0,a2b86f3d54f65ed845e144358a40d2860dc87a12,jasonrhu jasonruu jasonruu jasonruu jasonruu jasonruu jasonruu jasonruu jasonruu jasonruu 
193.0,e8b60b43ecad94884768d74ae1a74cb46bd4b14f,not guilty tbh 
194.0,15d5a1f368cd71f93f978be0f40c7af76811d549,no balls 
194.0,2da041460c12964f125facd9b137b07f42c790d5,pepehands 
194.0,96f15e81bb478b120fd1588cfd23c226675bdf23,run 
196.0,d35aea88073db4ba6aa3e9525903dfc6fe7aac56,koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 koil10 
197.0,4a15be71b9d2487afa44eba41d7c97e45342f2a9,do a gomer check 
197.0,e3b34e58db3445430f0abb5f3d297f117e3664b7,recess clap 
197.0,5b60b5b48d48b90385ae39bcf332718a6738e6f7,aw man if kindle goes to prison he won't be virgin all over again 
198.0,665bc6b98f52f0551ed73982e3c1a49cc896e63b,lul 
199.0,00bea4e94c4bd81a203de043c096c2da16cee455,i have no idea the outcome 
199.0,e8b60b43ecad94884768d74ae1a74cb46bd4b14f,in the bag 
200.0,b1980c3dd1b7208f6b697f6623196fd5d2d11018,lul 
200.0,b77f89bc259cdc1b53f578a16567af8333ae854d,lulw 
201.0,7792be2a0409c274e28af3f95e48dc4a0a6dffe4,lul 
201.0,8c86f739a9bb6898a013ccadf9b9ac4bfe995ebc,lulw 
202.0,28f8491819769c5b851ffe8f3b7fb283283bec85,he forgot to say no balls 
202.0,b8795d000d4dbed3eea24b98ef0c5bdc1fbd4bec,shaw and kindle undefeated 
203.0,cc6b27c2f954fc83d96ec51e3ae6892816b942d8,ceezgeeg kyleismonkagun kyleisblapblap 
206.0,d6042f0cf9ade411903b8595491b3438f59a2a13,lul 
206.0,f3507dfa3f6b77a58fabd8f0324b551155190cd0,lulw 
207.0,172383d3cc5e2cf4adf3fbb208f04fea5e6832bc,you are such a troll lul 
