Time,User,Message
0.0,75c3c64b64c89c902e6522d716fc92019a9c610d,cheat day 
4.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,that stuff is blasphemy 8d4b63dc98cc7b17b064ed10c2d458d20ca4df0a 
7.0,e7c3eb89eff169fb4828560b483e947f9e76f0e2,love the emotes cringeheart 
7.0,fd09d3d2652680a4cb2848431e34fee09bc48974,fluffy 
16.0,e7db1fcca9c20125487178e7ae6533f40fe15723,im with you brother 
24.0,e7db1fcca9c20125487178e7ae6533f40fe15723,summer coming 
26.0,8d4b63dc98cc7b17b064ed10c2d458d20ca4df0a,efb86e57688070b5db9683319b3cbe76d95cc1b5 is it lmao 
28.0,86a6d94f5d13c4d193d270312ff6615c8d9c415b,congrats on the 10 pounds cringer 
38.0,8d4b63dc98cc7b17b064ed10c2d458d20ca4df0a,efb86e57688070b5db9683319b3cbe76d95cc1b5 i mean it is 
41.0,482cfb67122501c55db4835c4429bb14d10d52e0,10 lbs good for you cringeh 
41.0,dbbd0345fefa2ac96323f9f65ca6931105138acc,adictions 
43.0,a68a6eb960a5007bb875d934f735755265909cc7,keep at it cringhype 
44.0,e7c3eb89eff169fb4828560b483e947f9e76f0e2,good job brother 10 lbs 
69.0,e7db1fcca9c20125487178e7ae6533f40fe15723,im gonna lose ten too 
72.0,6415efa7672c8253984bbe529b906c668e113977,no sgar what's the point of living feelsbadman 
73.0,e7db1fcca9c20125487178e7ae6533f40fe15723,action nods 
84.0,75c3c64b64c89c902e6522d716fc92019a9c610d,cringer instead of syruo yiou can make a peanut butter sauce 
92.0,fedbf92528817c4e09775c00559f7c9af88878b0,are there reforms that increase intimidation or give buildings for that 
93.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,what cringer won a game to unlock donger pogchamp 
112.0,75c3c64b64c89c902e6522d716fc92019a9c610d,wellllllllllll 
117.0,ad53c98e89bad9ba1e44581a9ba250963983081c,b50bd0f66cc6c3b8360284240f6d4597ab2f45c6 so i took your advice from a while ago about trying the high elves and they're really fun especially cause i love using archers currently 2nd best power in game dansmile 
129.0,86a6d94f5d13c4d193d270312ff6615c8d9c415b,pancakes with nothing 
133.0,e7db1fcca9c20125487178e7ae6533f40fe15723,pancakes with fruit man 
142.0,e7db1fcca9c20125487178e7ae6533f40fe15723,natural sugar 
148.0,75c3c64b64c89c902e6522d716fc92019a9c610d,high elves is just ez mode 
156.0,a68a6eb960a5007bb875d934f735755265909cc7,begone pancake devil darkmode 
162.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,natural sugar still does the same things that artificial sugar does e7db1fcca9c20125487178e7ae6533f40fe15723 
162.0,248cc4f2bb184e995dfc1411eb77f4210256a348,smart move on no pancakes b50bd0f66cc6c3b8360284240f6d4597ab2f45c6 just eat crepes 
165.0,18bb8040ce97b6b0d0c7c6e4b1dc304795309142,no :( 
179.0,e7db1fcca9c20125487178e7ae6533f40fe15723,yeah but less calories in fruit then syrup 
182.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,as far as weight is concerned e7db1fcca9c20125487178e7ae6533f40fe15723 
190.0,156d6e4c272c21fbbb956f67ee62598dbe52987b,karo syrup butter and brown sugar :^o 
191.0,75c3c64b64c89c902e6522d716fc92019a9c610d,high elf marines and dragons and you cant lose 
236.0,e7db1fcca9c20125487178e7ae6533f40fe15723,i like peanut butter and syrup :) 
250.0,e7db1fcca9c20125487178e7ae6533f40fe15723,which makes it even worse heh 
257.0,33b4de807360df1fceb09cfe45b96592bbd8a1ab,isnt there a bug when playing dong 
262.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,i've never heard of peanut butter and syrup on pancakes but i kind of want to try it 
265.0,fd09d3d2652680a4cb2848431e34fee09bc48974,i love dong sixxcreep 
269.0,e7db1fcca9c20125487178e7ae6533f40fe15723,hahah 
277.0,18bb8040ce97b6b0d0c7c6e4b1dc304795309142,it's pretty gud efb86e57688070b5db9683319b3cbe76d95cc1b5 
280.0,e7db1fcca9c20125487178e7ae6533f40fe15723,i played dong earlier this morning 
292.0,e7db1fcca9c20125487178e7ae6533f40fe15723,it was pretty hard 
309.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,next playthrough bandito dude or dudette 
310.0,e7db1fcca9c20125487178e7ae6533f40fe15723,action blows himself out the airlock 
335.0,7a6279dd32bde707429ec9ebf6855f5cb03e42c3,you could force march yourself through that pass 
344.0,d27c0e1254fb587c83518fbdc3bb46e123714a10,what difficulty do you play on 
359.0,a68a6eb960a5007bb875d934f735755265909cc7,expand dong 
374.0,09bee35bdf18c0a9045691e5752c9dfdcd4fea1b,hard/very hard 
396.0,f0a68eb64c360508241a012f92899c432c6bd3a1,i'm loving the bandit queeen 
396.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,this is on hard difficulty 
411.0,f0a68eb64c360508241a012f92899c432c6bd3a1,my income consists of 15k tributaries xd 
432.0,9fed8bf8493cae0f24edeb131601ef509385211b,good mornig cringer cringehey cringet 
449.0,f0a68eb64c360508241a012f92899c432c6bd3a1,coalition 
462.0,7a6279dd32bde707429ec9ebf6855f5cb03e42c3,i quite enjoy zhang yan myself bandits are interesting 
470.0,f0a68eb64c360508241a012f92899c432c6bd3a1,zheng jian has a really hard start 
482.0,e7db1fcca9c20125487178e7ae6533f40fe15723,have a good stream off to do some hunt showdown 
503.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,bandit queen says very difficult starting point but when you have nothing there's only one way to go kappa 
506.0,e7db1fcca9c20125487178e7ae6533f40fe15723,may the dong be with you wang 
538.0,72c3e08e7e35147c3ef0710f35cc321893bdeaeb,cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh cringeheart cringeh 
582.0,f0a68eb64c360508241a012f92899c432c6bd3a1,you snowball hard once you start getting tributerrs 
602.0,f0a68eb64c360508241a012f92899c432c6bd3a1,her point system is infamy 
630.0,7a6279dd32bde707429ec9ebf6855f5cb03e42c3,i played ma teng and commited treason by giving up the han pretty early :p not a good thing to do everyone hated my ass 
632.0,b4b34ca4d0b8eea3dfa9d5e880fe2e69f56e181d,b50bd0f66cc6c3b8360284240f6d4597ab2f45c6 your mr beardo tweet seriously took me by surprise scary man :( 
669.0,efb86e57688070b5db9683319b3cbe76d95cc1b5,friends are just enemies you haven't backstabbed yet 7a6279dd32bde707429ec9ebf6855f5cb03e42c3 
670.0,77ef35f78898262a6f29d9f9239a1bdb62f02062,b50bd0f66cc6c3b8360284240f6d4597ab2f45c6 any idea what is the purpose of the reserve capacity for the grain store building :thinking_face: no idea if i should build it or just go temples :thinking_face: 
684.0,77ef35f78898262a6f29d9f9239a1bdb62f02062,lul 
701.0,7a6279dd32bde707429ec9ebf6855f5cb03e42c3,true :p 
