Time,User,Message
0.0,b83cd812dcfc44ba64a6ddc566221d6844da0978,bob 
1.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype huzky_dean the #bobhype 
25.0,18493ead1927cce834887ebd3edb38843c813230,kan ons vriend asseblief 
25.0,ca3bd010696311643a50cb7a0ec1fae14e9c6f19,bobdied kappa 
28.0,4b8a071867752b3f0ec04b983eb9ac82a145eee6,rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype 
32.0,20bb6d0c956603436978987ec99246c2c406ce0a,denied 
32.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,denied baby 
33.0,6ae1b5e1f14d2e11fdf29dc02deceaa7988b93f5,wow 
39.0,2e8b310620e39ff63e0586ffaad4d4636ab927f9,bob 
39.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype wollyza the #bobhype 
43.0,20bb6d0c956603436978987ec99246c2c406ce0a,bob 
43.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype moombas the #bobhype 
45.0,ada717a470e94b2b09e7ff3456b437c072e7db9f,guess i'll watch this dude play because my server is down xd 
52.0,6ae1b5e1f14d2e11fdf29dc02deceaa7988b93f5,hello 
60.0,bf3bf202c2a265293a055025c7935f20ed8e87dc,bob 
61.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype hey_its_cronus the #bobhype 
63.0,b83cd812dcfc44ba64a6ddc566221d6844da0978,anyway goodnight all congrats b5b10fe684ca325f9ea0314024b85f4c682ebbb9 really proud of u happy gaming all 
64.0,2e8b310620e39ff63e0586ffaad4d4636ab927f9,8520044d3fd5002a00495e19bb4ec673c95ad900 i think 1k followers = boudoir widowmaker kappa 
71.0,2e8b310620e39ff63e0586ffaad4d4636ab927f9,kappa 
74.0,d3ff8cbc831579c576b6f5f784bfefec2e54ed82,havent played ow in 4months i might come back for this event 
79.0,fcde73dfe7b342a8c0c62c30b8f2250f29215650,why is the follow sound so sexual kreygasm 
91.0,a44279fbec9d5a572b37eab13252dfaf6d95b428,bob 
91.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype hughmcc the #bobhype 
94.0,fcde73dfe7b342a8c0c62c30b8f2250f29215650,bob 
94.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype itsjustjex the #bobhype 
95.0,2e8b310620e39ff63e0586ffaad4d4636ab927f9,bob 
96.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype wollyza the #bobhype 
97.0,20bb6d0c956603436978987ec99246c2c406ce0a,bob 
98.0,fdaf79fb2d09b36836a39c32f12653b136754b04,#bobhype 
98.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype moombas the #bobhype 
99.0,bf3bf202c2a265293a055025c7935f20ed8e87dc,bob 
100.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype hey_its_cronus the #bobhype 
101.0,6ae1b5e1f14d2e11fdf29dc02deceaa7988b93f5,bob bob bob bob bob bob bob 
101.0,ada717a470e94b2b09e7ff3456b437c072e7db9f,#bobhype 
103.0,3cde0e7ab766b6fd4b226b19dd75f1b5367af72a,bob 
104.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype harasxsarah the #bobhype 
109.0,20bb6d0c956603436978987ec99246c2c406ce0a,poop 
110.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,praise be the might vault of poop we accept your praise oh moombas may the blessing of the turnip be with you 
110.0,42ffe6832402aad4dd69453735599fae786190dc,bob 
112.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype theed3 the #bobhype 
119.0,20bb6d0c956603436978987ec99246c2c406ce0a,bob 
120.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype moombas the #bobhype 
126.0,20bb6d0c956603436978987ec99246c2c406ce0a,denied 
132.0,5de2a5099d949813ada5b627e871c9e4be1180cf,bob 
132.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype murrayfrost the #bobhype 
143.0,25fd9f9f91e856246942f31081d9fb824118514e,pogchamp another sa player 
145.0,31c2b48cb57919a11214a4ad366202127d25966a,do i see alot of ppl in chat today rusty 
154.0,6ae1b5e1f14d2e11fdf29dc02deceaa7988b93f5,more bob hipe 
158.0,20bb6d0c956603436978987ec99246c2c406ce0a,bob 
158.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype moombas the #bobhype 
163.0,20bb6d0c956603436978987ec99246c2c406ce0a,31c2b48cb57919a11214a4ad366202127d25966a hey hey xd 
170.0,25fd9f9f91e856246942f31081d9fb824118514e,duuuuude you apart of the local server :d? 
172.0,6ae1b5e1f14d2e11fdf29dc02deceaa7988b93f5,ok then 
174.0,31c2b48cb57919a11214a4ad366202127d25966a,moombas icewall hype him 
175.0,ada717a470e94b2b09e7ff3456b437c072e7db9f,grats on getting blizz featured dude 
179.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following murrayfrost 
179.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thank you for following overateddd 
187.0,18493ead1927cce834887ebd3edb38843c813230,waar kan ek jou byvoeg 
191.0,20bb6d0c956603436978987ec99246c2c406ce0a,rustyp6ice rustyp6ice rustyp6ice rustyp6ice rustyp6ice rustyp6ice rustyp6bobhype rustyp6ice rustyp6ice rustyp6ice rustyp6ice rustyp6ice rustyp6ice 
196.0,20bb6d0c956603436978987ec99246c2c406ce0a,31c2b48cb57919a11214a4ad366202127d25966a done xd 
200.0,31c2b48cb57919a11214a4ad366202127d25966a,icewall hype 
200.0,77f0d96da546139c043e48c5a29cc456d22d8ab6,bob 
200.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,i see you feel the hype lambiplays the #bobhype 
205.0,42ffe6832402aad4dd69453735599fae786190dc,rustyp6ice rustyp6ice rustyp6ice rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype rustyp6bobhype 
218.0,4b8a071867752b3f0ec04b983eb9ac82a145eee6,so 8520044d3fd5002a00495e19bb4ec673c95ad900 
219.0,b5b10fe684ca325f9ea0314024b85f4c682ebbb9,check out granthinds at https://www twitch tv/granthinds - they were jamming overwatch give them the praise of the ginger 
223.0,20bb6d0c956603436978987ec99246c2c406ce0a,7824 viewers 
