Time,User,Message
0.0,50fc84b3fea09620d48641b05e4a64ed561f6d3a,jay93jaylove 
5.0,1c272911278311da668058c38167fe66ab40a4d9,<3 f948a6f85857ec0a4ed279010a8451d6b05169aa 
11.0,fe2ce63bf00ac289c6009eef5aab76c6ea569791,wutface 
11.0,aef63d8d4239885219c23a196ba4695bd5373889,c7ec26702e0ce74b54978ae936f1d2e8055578b9 that's not how it works but whatever frivelmo 
12.0,715b53fbb43756e926d1c32c73cf1da919a18287,ok 
14.0,aa4840b93b5c7afa14f84aa7351ab69072ab8b6b,cringeeeeeee that joke lmfao 
15.0,2223f1dda2f259751384820e808e9b6096721366,you have no idea what have happened the game prior completely different game bro jesus 
17.0,abc1d306d677fa7e0a27be00e162eb4c832f53d4,olijolsdfj lol whaat 
17.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,how long did it take you to think of that one lmao 
17.0,f4c44b8530a0aa2fd42a2b5ed52682fe636332b9,lul 
18.0,9f0c6892f103cbe8a4f259acc89ebd10a2abb6c3,lul 
20.0,b97626bb744bd9fe25130a586ef2f364e11b0060,putting the raw in rocket league oh my god 
20.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,wtf is the raw in rocket league 
21.0,5cd9d0bb4c3dfe4719eca0a26ee4f491a24cffb0,lol 
21.0,b97626bb744bd9fe25130a586ef2f364e11b0060,lul 
22.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,lmfaooo 
22.0,50fc84b3fea09620d48641b05e4a64ed561f6d3a,pridelionchomp 
26.0,3e7447e14069f884d2f64ff4978bda9678af667a,the what 
27.0,c3d4deb7d6f05c26a78bbed3f65e51ab53ea056a,lmfaooooooo 
28.0,6ff13b2240f43e6e424feca2f672bbbb72269ced,torgod 
28.0,ea17f4b0fbee5a889c7c8ee847c3debf5515b44f,this man said what 
29.0,30cce3e9b670f8c87804063ca094e895a451fffa,ra 
29.0,9d0cd4790e411e04a45b2003ccd861e4d79f332a,pause 
29.0,9980ef92331e23709750ea7aac54cec2b124f320,this is the worst casting i have ever heard 
30.0,ea6b929b52af6b229f71e492bd86f70a98904cb3,tbf 
30.0,e735052c5601137a2fddc903eb519544f0d52541,pogchamp pogchamp pogchamp pogchamp pogchamp 
30.0,0c65861894db4180116a7680cf27ad06ba34ebba,aths 
31.0,f948a6f85857ec0a4ed279010a8451d6b05169aa,its always raw 
33.0,5c6efa822a7dd4148434a6fa093a418733398317,yessss 
34.0,c03c9e1a3c758f3afe38f8f86b7edc081ef9407d,raw in rocket lol 
34.0,d2034fb51cd305e87aefa3780f06e41da4ab432b,c7ec26702e0ce74b54978ae936f1d2e8055578b9 they may have played differently knowing there was less time no telling how it would have happened 
34.0,0c65861894db4180116a7680cf27ad06ba34ebba,what 
35.0,6ff13b2240f43e6e424feca2f672bbbb72269ced,turbo slow af 
35.0,f948a6f85857ec0a4ed279010a8451d6b05169aa,b 
36.0,07ffd78c67d5a22be09dddf4c64d3ee3150ad781,the rawness 
37.0,a5a62b8f83b0ab68a889b44f4c40206a7ac0e0a9,this whole stream is straight cringe but gotta watch my boyz c9 
37.0,ea6b929b52af6b229f71e492bd86f70a98904cb3,its nearly 1am for the casters 
37.0,6b19f1b54af12c49b6a662b935102feb01963ed3,this man cappin 
38.0,08a6b336db78b54d67203eac939465cbc3b296bc,cmon c9 
38.0,3e7447e14069f884d2f64ff4978bda9678af667a,the raaaa 
38.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,this commentator is a retard 
38.0,aef63d8d4239885219c23a196ba4695bd5373889,torment frivwee frivwee frivwee 
38.0,07ffd78c67d5a22be09dddf4c64d3ee3150ad781,so raw 
39.0,b97626bb744bd9fe25130a586ef2f364e11b0060,casting so bad its good 
39.0,ea17f4b0fbee5a889c7c8ee847c3debf5515b44f,the raw in rocket league 
40.0,40804de39916c0eb20c973f87ae5b46c90836a22,such cheezy casting 
41.0,aa4840b93b5c7afa14f84aa7351ab69072ab8b6b,raw in rocket league wtf 
41.0,b97626bb744bd9fe25130a586ef2f364e11b0060,brilliant 
41.0,b6c757f166fc5989d073d69160a93918c75c368f,this is rawcket league 4head 
42.0,d03782cae7c86945fb83e0c829327957660d22a5,pogchamp 
42.0,a5a9f4802d47927bf5bb801d78dae02d1e715e9c,oh hey b4adddaafc46d3394e3e7c1c9e25ba32f920cac6 h 
42.0,bf589e1db5e84eebc295ca48287217c1d046c60b,that was raw 
43.0,17fc593c616c863c5f22009e490d92e3e3a2bdf7,rawket leagyue 
43.0,aa4840b93b5c7afa14f84aa7351ab69072ab8b6b,lmfao 
44.0,4aa75b2e30b5727b794d54fded175d87196cd120,hearts on sleeves hahaa 
44.0,42f88d2fdf6cf57c9e52034739d815c6f8b91ea3,lmfao 
44.0,5c6efa822a7dd4148434a6fa093a418733398317,torment with the goal 
45.0,ea6b929b52af6b229f71e492bd86f70a98904cb3,give thema break too 
46.0,e735052c5601137a2fddc903eb519544f0d52541,rawket league 
46.0,373e6c28209338f4283f32a22b8cb5f28253f406,this dude being too dramatic 
47.0,f948a6f85857ec0a4ed279010a8451d6b05169aa,use protection kids 
47.0,dfe9bd1c4b04c4aa42dd03dbe3f86cd47956b197,pure gameplay right now 
48.0,a4744625907e57a7211b5d6461333a49c2f29f96,raw gachigasm 
49.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,what is the raw in rocket league 
51.0,a176dc473d04c4c27bf1b1a8627d9d4ae8e7ccd8,do we get fan reward drops for watching this 
54.0,5246eb51c456b52a8e487e3f97b2e74b0e452a7e,6ff13b2240f43e6e424feca2f672bbbb72269ced he's having a heavy car bug kappa 
54.0,7e15390ac86aa1390f0bbd891f55375434d009d6,these announcers are terrrrrrible 
55.0,541c76a84cc259cc15f85c9585b1df5fb6e0556f,lmfaooo this mf has me crying 
55.0,5c6efa822a7dd4148434a6fa093a418733398317,hearts on sleaves lmao 
56.0,a0ebe319b5d938e391501b89444b461515f974c9,rawket leegg 
57.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,f948a6f85857ec0a4ed279010a8451d6b05169aa no animal skin ever 
57.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,the casting sucked at first but maybe bc it's real gamer hours i'm starting to like it 
59.0,c375d6eec0ac852551b242f6fe56b2701e12b795,dont talk shit about the casters like cmon casting isnt easy it takes talent 
59.0,07ffd78c67d5a22be09dddf4c64d3ee3150ad781,monday night r a w 
60.0,d0417597658f28fea4b8bbda9f49096607f0a765,raw in rocket league 
60.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,caster rly wants espy to see this 
62.0,71cefa4b5f1e30b984be877f856ea34b22e487a4,no its the ro in rocketleague 
63.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,that was really funny imo 
64.0,59091729115c6196993ef2799ef25bde19f3606b,this id rawket reague 
66.0,3c7b2475f6d700cb9fe8fb466e6d8a0fb321cda2,if only my rl servers were as good as their 
67.0,62d41617ba334e6bd66ec63b6386ac0f987df2b7,oober bad commentators 
69.0,b9a480d974f83f56b2db15b8b3f389ec4c71c10a,astro 
73.0,4aa75b2e30b5727b794d54fded175d87196cd120,it's a small invitational these players don't even care yet you're talking about the will to win 
77.0,71cefa4b5f1e30b984be877f856ea34b22e487a4,dude these commentators are so sick 
77.0,c03c9e1a3c758f3afe38f8f86b7edc081ef9407d,raw raw rawket league 
77.0,ea17f4b0fbee5a889c7c8ee847c3debf5515b44f,it's fookin raw - gordon ramsey 
78.0,6b19f1b54af12c49b6a662b935102feb01963ed3,this casting is fried and perfect yall just no fun 
79.0,71cefa4b5f1e30b984be877f856ea34b22e487a4,im lovin it 
80.0,3c7b2475f6d700cb9fe8fb466e6d8a0fb321cda2,theirs 
81.0,ca6ea7bb5b1c49df5aca8859aea34fc0a5a92d4a,oh shot oo 
82.0,5e8b816eed2fd33ec92a11dcf1efa1c0d7dea08f,torment puttin the raw in rawket weeg 
83.0,9e89ff07d418d95e7096463c133365f9f651a7df,imma say it at first i wasn't sure about the casters but they grew on me good job 
83.0,27a684bf6f115b94bd077ec848d857fa99ffa598,why do we have no sound lul 
86.0,b35fe69627f2ec5f9880c3e965bbe3f8f5d4bc44,lol 
90.0,27a684bf6f115b94bd077ec848d857fa99ffa598,the casters are funny tho 
91.0,b97626bb744bd9fe25130a586ef2f364e11b0060,we have sound 
91.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,how are any of u liking this shit commentating 
92.0,b97626bb744bd9fe25130a586ef2f364e11b0060,lol 
92.0,fc77d374bfadc6254a3f70a361554532430d6030,sign the post 
97.0,27a684bf6f115b94bd077ec848d857fa99ffa598,i mean game sound 
101.0,6b19f1b54af12c49b6a662b935102feb01963ed3,torment putting the raw in me 
101.0,bc83bf8415f25a97e9bc41a427515a358f08b4a1,casting is fine-you guys just hate everything :face_with_tears_of_joy: 
102.0,b97626bb744bd9fe25130a586ef2f364e11b0060,we do 
103.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,it grows on you 
103.0,1536f5bb24506df973d03909ae0448ff33cb189c,astro 
104.0,42f88d2fdf6cf57c9e52034739d815c6f8b91ea3,lmfao 
108.0,b35fe69627f2ec5f9880c3e965bbe3f8f5d4bc44,nrgs 4th 0c486751bea19144608e572a70f44af58edac032 the post 
109.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,casting is lowkey tuff 
110.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,the casting is really pure i like it 
114.0,737539a92b42264a791297d3c072cda1ecc4c886,honestly big rip to turbo he's in sweden and it's about 4:00 where he's at 
116.0,d260a90dbcd68d01ee7f1cdd233727c70d9b556f,gg's 
117.0,9cd3834b2316639ec36d3a5aa3a6ef211ee6edef,goal post mvp 
117.0,bf589e1db5e84eebc295ca48287217c1d046c60b,they commentate like its rlcs grand finals game 7 ot 
118.0,42f88d2fdf6cf57c9e52034739d815c6f8b91ea3,cringeeeeeeeeeee 
121.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,johnnyboi for the win 
121.0,d260a90dbcd68d01ee7f1cdd233727c70d9b556f,rip nrg 
121.0,7f58fcbf2a4d190c15fccc2e39cd4ff4192d488f,lets go 
123.0,27a684bf6f115b94bd077ec848d857fa99ffa598,casting is super funny i like but whyyyy no rl sounds 
123.0,a5a62b8f83b0ab68a889b44f4c40206a7ac0e0a9,have these casters ever played rl 
127.0,b97626bb744bd9fe25130a586ef2f364e11b0060,nrg putting the law in loss 
129.0,4fa0a805815e08212cad5f86586e3285ee59b7b6,captainwolf45 he's in atl now 
131.0,d2034fb51cd305e87aefa3780f06e41da4ab432b,737539a92b42264a791297d3c072cda1ecc4c886 no he isn't he moved already 
132.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,there is rl sounds it's just quiet 27a684bf6f115b94bd077ec848d857fa99ffa598 
133.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,turbo moved in to his apartment in na 
134.0,aef63d8d4239885219c23a196ba4695bd5373889,737539a92b42264a791297d3c072cda1ecc4c886 hes living in the us 
134.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,27a684bf6f115b94bd077ec848d857fa99ffa598 are you high or smth 
136.0,737539a92b42264a791297d3c072cda1ecc4c886,ah 
137.0,abc1d306d677fa7e0a27be00e162eb4c832f53d4,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f i was thinking the same thing 
142.0,a176dc473d04c4c27bf1b1a8627d9d4ae8e7ccd8,are there fan reward drops for watching this can someone whisper and answer me thx 
151.0,6ff13b2240f43e6e424feca2f672bbbb72269ced,these games really can go anyway the only thing i dislike about rl 
152.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,obv not a176dc473d04c4c27bf1b1a8627d9d4ae8e7ccd8 smh 
154.0,d260a90dbcd68d01ee7f1cdd233727c70d9b556f,nrg def would've had a chance last game if they didn't totally reset the time 
155.0,27a684bf6f115b94bd077ec848d857fa99ffa598,3cce9a7e78bd2804c5ac7ac3581d465cead7233a yeah but like i still rlly dont hear it a lot lul 
160.0,ea17f4b0fbee5a889c7c8ee847c3debf5515b44f,turbo finna fall asleep at the wheel bruh 
162.0,b70e924415061f02a2158ab7f405e79b011dfb9a,a176dc473d04c4c27bf1b1a8627d9d4ae8e7ccd8 the reward is the casting 
163.0,737539a92b42264a791297d3c072cda1ecc4c886,still it's about 12:00-1:00 i would rather be sleeping than playing in a rl tournament 
166.0,27a684bf6f115b94bd077ec848d857fa99ffa598,ok i turned it up a little 
168.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,lul 
168.0,5c6efa822a7dd4148434a6fa093a418733398317,omg justin with the finish and we are in overtime 
170.0,b97626bb744bd9fe25130a586ef2f364e11b0060,you dislike that games can be lost or won 
170.0,a176dc473d04c4c27bf1b1a8627d9d4ae8e7ccd8,lol 
172.0,541c76a84cc259cc15f85c9585b1df5fb6e0556f,ggs 
176.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,aww 
176.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,this is rawket league 
180.0,27a684bf6f115b94bd077ec848d857fa99ffa598,ggz 
181.0,bf589e1db5e84eebc295ca48287217c1d046c60b,raw game from c0 
183.0,bf589e1db5e84eebc295ca48287217c1d046c60b,c9 
185.0,aef63d8d4239885219c23a196ba4695bd5373889,gg frivwee frivwee 
186.0,6b19f1b54af12c49b6a662b935102feb01963ed3,lmaooooooo 
187.0,5c6efa822a7dd4148434a6fa093a418733398317,gg 
188.0,373e6c28209338f4283f32a22b8cb5f28253f406,how does justin not pass that 
191.0,56b97822bd5dc0a070f713cd3b33f1a238363a94,b70e924415061f02a2158ab7f405e79b011dfb9a raw 
192.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,wtf 
192.0,9e89ff07d418d95e7096463c133365f9f651a7df,this is not rocket league 
192.0,7e9aeba344814756648c582dd2a16fdd54a9a3fe,rawww 
192.0,81035abc77301ea1d8d43fc3fb941c3453bd7123,hessssss 
194.0,b97626bb744bd9fe25130a586ef2f364e11b0060,rawket league baby 
196.0,1c272911278311da668058c38167fe66ab40a4d9,press 1 if u believe in reverse sweep 
196.0,a66d22674e215103d0e84882da9c557c12ffd8d6,is it finals 
197.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,thanking their lucky stars lmfaoo 
197.0,04d76d1f257e1ce86561517b850f6641ce52d594,oh baby i like it raw 
198.0,71cefa4b5f1e30b984be877f856ea34b22e487a4,this is what should have happened in the first series 
198.0,84c6b4e8487e2dfaf21a331e79d71b62a5b05398,sweep is coming called it 
200.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,do these guys know what rocket league is 
200.0,d03782cae7c86945fb83e0c829327957660d22a5,sabaping spam sabaping this sabaping fishy sabaping to sabaping help sabaping out sabaping squishy sabaping 
201.0,e5fefbe8d5b9e266fecb492e9e0dbee99da090a3,it's raw 
204.0,3e7447e14069f884d2f64ff4978bda9678af667a,took the rawk out of rawket league 
205.0,f111c3fdaa5b7d94ffdd4db56cca87bcf40f4f9a,thats the raw in rawcket league 
206.0,a705a7cbd1abdea2047b776046aa644ce0d3c9e3,residentsleeper clap 
206.0,5c6efa822a7dd4148434a6fa093a418733398317,game 10 
206.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,i guess you could say they really put the raw it rocket league am i right 
207.0,3c7b2475f6d700cb9fe8fb466e6d8a0fb321cda2,kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands kgtvhands 
207.0,4577bdc954600e7ac624511b9c8e760f9ab981ad,e19b90b6951fe4ffc3fc263151c4ee28d7228328 the sleep got me hard i will leave and leav3 my trust for nrg here bye bro 
207.0,9e89ff07d418d95e7096463c133365f9f651a7df,reverse 
207.0,ca6ea7bb5b1c49df5aca8859aea34fc0a5a92d4a,lucky stars 
207.0,b35fe69627f2ec5f9880c3e965bbe3f8f5d4bc44,they shouldve played with 0-0 and at 1:31 nrg should get 1 goal 
208.0,84a814273b7601a64f343373b91f226b9481910a,i swear if c9 loses it again 
209.0,b70e924415061f02a2158ab7f405e79b011dfb9a,press 1 for raw 
209.0,ea17f4b0fbee5a889c7c8ee847c3debf5515b44f,let's go beautiful and raw gameplay from c9 
209.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,raw 
211.0,3cce9a7e78bd2804c5ac7ac3581d465cead7233a,1 
212.0,a6faa80d0555de6d5c3bb6fbda35fb9b97d4fc5f,raw 
212.0,cb7485235f8352ccfe5c44de49bf104443dff6c3,1\ 
212.0,e6cd6be4456daa1f86c9e7bf5a8c4ae465dba43e,1 
212.0,9e89ff07d418d95e7096463c133365f9f651a7df,1 
214.0,14ba0ea2a5c9a98fe7416dba9466dcc29ee6aead,6ff13b2240f43e6e424feca2f672bbbb72269ced you always want the higher seed to win that doesn't happen in any game 
214.0,04484bfcb15a6ab5e48089f327e2e632951d10f8,1 
214.0,a705a7cbd1abdea2047b776046aa644ce0d3c9e3,kappa 
214.0,cd27a347d35d2ec8ab2e71be9f30b49a5eee5003,1 
214.0,9f0c6892f103cbe8a4f259acc89ebd10a2abb6c3,1 
215.0,a169c5baf3e5d87261d67ce29fbfbe8ce78a20bf,1 
215.0,abc1d306d677fa7e0a27be00e162eb4c832f53d4,1 
215.0,844a7d42552a809f0c4ea328f1ef2b3ed9743925,1 
215.0,2223f1dda2f259751384820e808e9b6096721366,1 
215.0,f111c3fdaa5b7d94ffdd4db56cca87bcf40f4f9a,1 
216.0,e6cd6be4456daa1f86c9e7bf5a8c4ae465dba43e,f 
216.0,b8d0a39b5bd190506801d46671cb97fefad4e818,1 
216.0,5c23daf4b6aad1b3f46aba436651cc3a77766ac2,i think a reverse sweep is unlikely everyone is tired asf 
217.0,1c272911278311da668058c38167fe66ab40a4d9,1 
217.0,b97626bb744bd9fe25130a586ef2f364e11b0060,1 
217.0,27a684bf6f115b94bd077ec848d857fa99ffa598,this isnt scrupted lul 
