Time,User,Message
0.0,195048e330f038cb3926d74c26a3dbf4d99b544d,if she wins she gets the vid 
0.0,890289fc567bba4618da05e013454d928cd549d3,goodnight skills 
0.0,b6370c3f7dc3ca9a78353df008a594204aacfa21,bro who do u think is better at rb walker 88 or trent 89 need help b987d9adbf4633e4025d7c5f12f15e5408c63be7 
0.0,2bf51da76034b9c0660a7f070d1062f84efec5e0,yes 
2.0,e705b0c823185a87c5cf3fce75ae702dbddaba44,me please 
2.0,a0012176f133d60050c540bc303eae389fcc5c1b,genderfluidpride genderfluidpride genderfluidpride genderfluidpride genderfluidpride genderfluidpride 
5.0,bbd116d1565c659e64bb8a8aaded7569b4dd6e17,yess 
5.0,6e07fca865d187797ac81afd63d9ab4181a224c8,gotetzka is your dad 
6.0,b7d03768cab6d652dc6ed4a648092c921a683d5b,if you let her play it 
6.0,6e558d8aa083a005229760a44853b2a543a689ba,lonewolf8776 aa9love 
7.0,f87fd1fb3139935345644e324438c9e0e7b2d234,he covering the hickie lol 
13.0,7cfe3930eb3a2133d34e408538f20a00765e9c58,love u from morocco bro:red_heart: :red_heart: :morocco: 
21.0,4d1f2878c1cacd0db63eff51eaffe287fca794d0,lonewolf doing lonewolf type thangz 
21.0,dddac90dd9f9f7d8d1f076e6fe3894b486b7b961,truee aa9love how you doing dude 
22.0,4772b8acf36b5fa975f4ee29af575b326e8e71f8,yeah and the title is skillz farting while i got 193:face_with_tears_of_joy: :face_with_tears_of_joy: 
24.0,b2ca8cbe150aef4e1f0368ec33635385c68e0167,shes veeery better than u in draft 
25.0,780414eb353eaf6520ff72d437ea1ef832f10c19,ray lowkey beastly 
28.0,022210416dff5a0796fe4f0d9bf3a2d78b340fca,unfollowing 
30.0,521c0d13ff9893e0ae38c59bdf83433970ac8202,aye hope everything is going well with you brother dddac90dd9f9f7d8d1f076e6fe3894b486b7b961 aa9love 
31.0,0e8204aab5ae910f2d12e945500234ed0a8cbb42,dddac90dd9f9f7d8d1f076e6fe3894b486b7b961 yuhhh 
39.0,34bc7ef7beabc00f69d3897d3c250993735a3153,bet she can get top 100 
39.0,d857670f3e927e660bcf25e2b5eb6adcb7e731bf,she's better than me that's for sure lmao 
42.0,42cbfa209f6ec1e775d66c7491a8c34658adb318,damn she better than you at fifa 
46.0,890289fc567bba4618da05e013454d928cd549d3,goodnight skills and ray 
47.0,23186d41076bd64fbe276762f6f7a76b74fde4b5,aye skills i remember i saw her eats once while i was fasting i only asked her to not eat in facecam while its ramadan is that a reason to bann 
49.0,6e558d8aa083a005229760a44853b2a543a689ba,lonewolf8776 alright good busy how you been 
49.0,7cfe3930eb3a2133d34e408538f20a00765e9c58,i wanna fuck ur gf 
51.0,34331a00ba802859f1d048709637bf0db4b4e493,7cfe3930eb3a2133d34e408538f20a00765e9c58 love cuss cuss 
52.0,bbd116d1565c659e64bb8a8aaded7569b4dd6e17,gift everyone in chat a sub plez 
61.0,b41febf407e56162d01c39ed90e284d6c4216422,just quit it 
63.0,0e8204aab5ae910f2d12e945500234ed0a8cbb42,6e558d8aa083a005229760a44853b2a543a689ba lul 
65.0,780414eb353eaf6520ff72d437ea1ef832f10c19,1 
67.0,a44f02e1b2787669357d6c7c48422499c3da0ed0,she talked the talk and walked the walk 
68.0,195048e330f038cb3926d74c26a3dbf4d99b544d,1 
68.0,1477399612ad3ab9f96e09d6b5bd7db49ed21337,11 
68.0,110800a54a46dfb8471fff3f917145014882796e,1 
69.0,d287399c6c55bccd1c31e012c8782e61fa8c3d9a,1 
69.0,47e978211d9ef0db82ca640aa3bf45837c473ab3,1 
70.0,f0aba2d1eeb1d198fba24e7646f49317791075b6,1 
70.0,d94a3d1bce5948af6c39abdeefad802ae1b549b2,1111111 
70.0,90b13123d0aa495a7e4e842877a74952d2571b93,1 
70.0,000de642f2e745eba9770052a968b591b1cd9c70,lobprime lul 
71.0,b41febf407e56162d01c39ed90e284d6c4216422,69 
71.0,110800a54a46dfb8471fff3f917145014882796e,11111111 
71.0,bdb81e44fe50758aaea7146be172a8a097a4d10a,11 
71.0,1770b47968d11eba72245ace4bdef70c1f8bc39d,1 
71.0,3ddb19e29354dd3ca38f22edae3ba31a524580cd,1 
72.0,6e558d8aa083a005229760a44853b2a543a689ba,bryan_plonk cloaksmile 
72.0,110800a54a46dfb8471fff3f917145014882796e,111 
72.0,6b3ce873c5b522707036ec357dc060e830f5110b,8 
72.0,1b5564ac0d6cb054e84ff3d54f4efe89a6da62bf,1 
73.0,110800a54a46dfb8471fff3f917145014882796e,11 
