Time,User,Message
0.0,90e7cd5f49d851a2fcd9169a060086ee7ec7f447,oof gg 
2.0,9d1185f6ac2a6af91c89c4f87bc321f7e47c40a1,it was up to 1300 when she came in 
30.0,9d1185f6ac2a6af91c89c4f87bc321f7e47c40a1,what kind of recommendation is that? 
53.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,is it not like shin godzilla 
72.0,9d1185f6ac2a6af91c89c4f87bc321f7e47c40a1,i'm a skeptic lol 
111.0,413fec0527d87162c45f44a2d4e7bb0e4ad6630b,what perks do u recomend for surviviors 
146.0,413fec0527d87162c45f44a2d4e7bb0e4ad6630b,18 
150.0,413fec0527d87162c45f44a2d4e7bb0e4ad6630b,18 hours 
151.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,8 hours jensmile 
204.0,413fec0527d87162c45f44a2d4e7bb0e4ad6630b,thx for the advise 
216.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,played wraith 8 hours time for nurse jensmile 
242.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,rancor 
242.0,323c2b99fce2d476890a7b7f36869604ffc9c9cc,dark sense :d 
248.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,oh 
282.0,c570456e5fa8ef170ed07de083713e8fe603a93e,spirit is also pretty hard 
312.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,you need good tracking with spirit 
320.0,ba5b47ac4492df217155f19088f0c5c03737dca5,myersdance 
321.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,fe8c01ea02883c1cc273acc28040ca45aae1ff0e thank you so much for the raid kittyzhug 
330.0,ba5b47ac4492df217155f19088f0c5c03737dca5,bubbadance 
343.0,ba5b47ac4492df217155f19088f0c5c03737dca5,bubbaxmas 
356.0,6f2d065a1848a0a2c8bc8be191665adfd857c6c4,death of threat is the best clip :) 
381.0,6f2d065a1848a0a2c8bc8be191665adfd857c6c4,it better be its my favorite clip damnit 
388.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,prayer beads yeah lul 
389.0,bce405d8b8a19f4edccd18cafd393688620a46ad,damm just watched the timelapse of the art of jendenis 
391.0,4544e0badf1cc8d3eb0cb996a78668d2519fdf6d,brb dinner may or may not be ready so the lurk may be extended but just ducking off quickly to take care of business 
395.0,bce405d8b8a19f4edccd18cafd393688620a46ad,and it looks amazing 
401.0,bce405d8b8a19f4edccd18cafd393688620a46ad,dammm 
434.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,oh your west coast i live in wa 
446.0,ba5b47ac4492df217155f19088f0c5c03737dca5,swampthing 
452.0,ba5b47ac4492df217155f19088f0c5c03737dca5,nemesis 
468.0,ba5b47ac4492df217155f19088f0c5c03737dca5,stanlee 
473.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,jenpaiyaya 
492.0,bce405d8b8a19f4edccd18cafd393688620a46ad,yeah i would love to check them out 
497.0,ba5b47ac4492df217155f19088f0c5c03737dca5,social 
540.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,threat do you plan on doing something for your subversary kittyzcute 
566.0,1679c8aad156787cdd1ad35927e70eff97eade84,hi 
568.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,yeah most people celebrate with a sub-a-thon and stuff 
573.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,lol 
584.0,4544e0badf1cc8d3eb0cb996a78668d2519fdf6d,i'm back dunno how long for xd i will lurk when i leave though 
586.0,c051f0c78d18b6464bc5d163a4ddb20d5c3d6eba,and a 2k milestone too rooayaya 
597.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,is it hard to do the voice 
598.0,1679c8aad156787cdd1ad35927e70eff97eade84,:z stonelightning stonelightning stonelightning 
599.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,mrs db best fam 
610.0,ba5b47ac4492df217155f19088f0c5c03737dca5,vo 
630.0,4544e0badf1cc8d3eb0cb996a78668d2519fdf6d,do you have a lurk command 
650.0,4544e0badf1cc8d3eb0cb996a78668d2519fdf6d,ok sweet i'll use it when i go xd 
713.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,wow these wait times no wonder i only have 8 hours geisheh 
721.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,any tips for piggy killer pog 
758.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,yus 
765.0,9a2290cf21b157af7e58aceafdf266d132d63cec,ghostface hype :))))) 
774.0,1c5607123e24eeec5afbcc0dd8e8c0d86d92e8ec,kill anybody that boops the snoot geism1lly 
778.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,true 
806.0,81985cc9665215195fc92062be1feb48b8ae7e5e,june 18 
829.0,4544e0badf1cc8d3eb0cb996a78668d2519fdf6d,stream buffering hello no updates or downloads going tf is this shit 
837.0,f1ddc50eff7d921136a8e8b5a1eb08523875ca19,no body boopsmasnoot tho orothump orothump 
