Time,User,Message
0.0,fe591219c39b8c676994c26d70f5834b86e776c0,jendenise tokkihi tokkilove 
2.0,8ceda587122a532897f30ad3b6abbd19e13a0e5f,pepelaugh 
2.0,6a55e86fbe555a085969247464be86fb82a24d28,wtf whose is this cool guy 
3.0,b4fa0e29604eee33fa66c5a1274d0a7f30550216,pog 
3.0,ee9b538eefcc4fec45ab92fe3c57b8676cb9a97b,pog 
6.0,b851a4815a7ba2b920a7673466b45f28aef7ca41,you did 
9.0,de0d984ac8e1eb74921ddb0bb1066343de6fe106,i found what scott found 
12.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,he searched feng minge jundweird 
17.0,f062040a10c6695b8fa32bbca363e1ad6ecb399f,i got an image that said myers mains are the hanzo mains of dbd when i google smug feng min so there's that 
18.0,660f300004ad6fe0f5d709d6d75b461b4d9414c0,steam's back 
20.0,0b636e0c6d19e9a3fa0143209a6946aa2acc31fb,its the first time im herehavent seen you play yet but u won my followage by the background music 
21.0,a86ee36611458c55b473152e093d8a1fe19a69b2,steam is back pog 
21.0,6900895205ce8f7e068b2ec0d07b96c8c1af04bb,steam is back 
23.0,5a33b393f8cc25781edd266df49422f6ad2773b3,we racing cahlabrumbrum boyobrumbrum 
28.0,56a6cf3e26103856a806d07229ed31243d5f7437,i aint getting any tiddy when i search it whats up with your search history bud zubmad ba96228cbc1be73ebf0d66e3c373171b67f02242 
29.0,2881561e84b912f1036f92ec1d76d63195064a36,kekw 
29.0,e0dcf042be78402268de33d01e23abe98fda83c8,not back for me 
33.0,0f1069747adb65d70c53a4bff0423be4fe37a809,no steam only marbles zubw 
35.0,e44ffae2a617f0b2ddf7bcc8ab86967e6330cabc,scott how did you get so much tiddy what browser you using lmao 
36.0,1b48572d28c790ac561f9fc57d1406c643870caf,its black 
37.0,e0dcf042be78402268de33d01e23abe98fda83c8,jebaited 
38.0,a5372509e423f43251e820a603e28afb95715966,jundbobble booble brothers 
39.0,998dfdf7d20af1d6563b342c50b106a2ae741095,steam is back lol 
39.0,6e237304f2cb3324ee19ea7dbb8a9a9e47e70dd3,it just connected for me 
39.0,74df3cc469fa8577e4a046abfdc429d6da2dfdbf,eyy we connecting bois 
40.0,a86ee36611458c55b473152e093d8a1fe19a69b2,oh it actually is back for me pepehands 
41.0,43de46f623079d14d0821998199cf9a689575865,its back up for me 
41.0,d3b704a01d45d9c78b55049347b6427ff562c688,how is your smug feng searches coming up so weird 
41.0,0b228042a6c89c987189553f1289b4cde3e1e60a,jebaited 
46.0,de0d984ac8e1eb74921ddb0bb1066343de6fe106,leaked 
46.0,a0b757b4e03949e8f80eff6c7249f264a417b5d0,monkas 
48.0,b3010c06fa2d7254af13ee8b2f02ab44aa25f5a9,kekw 
