Time,User,Message
0.0,2d4786ec4ab21b44d6d3eab258a7b3e953fa5720,run ads make money 
1.0,c94a71304a1a513daefe4d3f1827a22fb8091090,d95f879410c0f0c7a680266b9389fff5f38af17b with the fat sub 
1.0,981f1bc35ed03640a637d3768c6c31572b26bfaf,bff8e945e8e23695592d65951cac3e34e3ae9389 you stfu niggger 
2.0,d3f112c67c8463c7b7200fd8ca23edd71edd9cef,run ads or im leaving 
2.0,011b1990bc6c6c13775c48fbd7d511ecf716b33f,we be vibin in the ritz car 
3.0,fca1dc8fa82fca63e6c1139a28f6a6a14d7f06f4,just a meat stick 
5.0,0a40a7bbbc71ab77e0bf19b4200ef53feab85891,of course u r 
5.0,47ff8850e7626aa7cbf0e50a24f8210578fa9c2c,bbdb116f4e1031d5cceb2b9fc850ec1147f3aa07 ayden said he wanted you to bench him 
6.0,7ea8532a7b15df4c6ac0d9a6ab3a3fcabfd7ed53,run ads 
6.0,626b2136153c4c55c8fc304c8e189f63c17aa85c,this man built like arnold schwarzenegger 
7.0,000e2616115d9eb8f5b954c3ac71263ac0a22347,yo 
7.0,e2a73501317f2d0e0b3762c7b555766512db57e7,lol no worries bro do ur thang 
8.0,871b65bb032f33c814e1e72ab61cef9eafd99207,please make me a mod 
9.0,72476ef105367f41c2b0b47acfe9763012bc6ffe,secure the bag kaiarage run ads 
9.0,30c29d673f7484687847e84f2aa3771aa135de28,oh snap 
11.0,f62798e9305a6f03e66b45e5e024a153c059abdd,salinas tv 
11.0,3dbf52536f63b25925ea99c6ce747ecb2a2d35ca,flex 
11.0,000e2616115d9eb8f5b954c3ac71263ac0a22347,you need a mod 
11.0,1e206769e5fa7c556119895ab8c4feaafa6fd813,27 inches no way those are 21 
12.0,1dac32a3d9e747b574c1e4977d6622b3dd434093,skip the gym today 
13.0,a16350c919345ccd061a7ae37e1ccfbe38bf22be,lomloo 
14.0,b79425bc54c6f38bced43faf62b72152e7fada1a,some 21 inch pythons brother 
14.0,c045add663cd0abc67efe8b5e825d935c533aed9,what are your keybinds lul 
15.0,29b6d7a01a7f668bbb6ce8c9b1e681571fe7cc05,run adddsssss 
15.0,3da51b0e9bb5745bb40d1a0441d7fc830fd9d46e,most people are respectful on twitch damn are we on the same website or 
17.0,01ae3cc8271136fffc102e4fe499b2a7decdbf3e,ad or bust 
17.0,057cb06111841b13f905f2cece5b294dfda4e9cc,how much do you bench 
18.0,7bca92680d0ddf88f88cba297110941b1002cf66,facts 
18.0,adae95e9e8433fb3cb36b785b39cc34536dcad40,run a add g 
18.0,d95f879410c0f0c7a680266b9389fff5f38af17b,c94a71304a1a513daefe4d3f1827a22fb8091090 for my mans aydan lol 
20.0,e90100083c153325279cfef93c6c415b001f7f3c,adsss 
21.0,6e68d73e01ffb1f6839eb99ab3c317dd4dc0e1c9,run ads 
24.0,057cb06111841b13f905f2cece5b294dfda4e9cc,how much do you bench 
25.0,3ca7267de3fa5bbfadbd2ab14a5245817b47e94e,ceezbrush ceezbrush ceezbrush ceezbrush ceezbrush ceezbrush ceezbrush 
26.0,b779e3b08cff57fe5f9ebd4bef02748d926a147d,flex for the camera 
27.0,29b6d7a01a7f668bbb6ce8c9b1e681571fe7cc05,addds 
27.0,bf2943a4e5bc70dbaeb7bc4c12287c80e76c01c8,atrain could bench everyone in this chat at once 
27.0,2c5735f195d215997844599cb5cd58466fdff0a1,bench press me 
28.0,72476ef105367f41c2b0b47acfe9763012bc6ffe,3da51b0e9bb5745bb40d1a0441d7fc830fd9d46e i wish that were true tho 
29.0,cc386687620c0477d24c6ec6f5c806abc28ed5bb,fuark 21 inches daddy >< 
29.0,057cb06111841b13f905f2cece5b294dfda4e9cc,how much do you bench 
29.0,7ea8532a7b15df4c6ac0d9a6ab3a3fcabfd7ed53,run ads 
32.0,55a7842b729718bdd12f111a5fd0a7d1539fa30c,are you on test e or tren a bro 
32.0,29b6d7a01a7f668bbb6ce8c9b1e681571fe7cc05,4unnn add 
33.0,5ab0981d4f5e22305bc9ad24300f2b92ee18de44,doesn't try gets twitch partner 
34.0,2c5735f195d215997844599cb5cd58466fdff0a1,flex for the camera 
35.0,1e206769e5fa7c556119895ab8c4feaafa6fd813,you are shook 
35.0,e90100083c153325279cfef93c6c415b001f7f3c,run ads rookie 
35.0,06ab882c7f0888940af13b1407938f087afd76f9,flex 
36.0,5c218a078f77799081202e2633d20d6edf306b65,lol 
36.0,2e6330d1710f78ee1632178d5884ea2e4ac020f5,aydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpog aydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpogaydanpog aydan is jacked aydanpog 
36.0,f62798e9305a6f03e66b45e5e024a153c059abdd,smorc no mods smorc we spam smorc 
38.0,fca1dc8fa82fca63e6c1139a28f6a6a14d7f06f4,let's see if you meat stick 
40.0,87e88948636b8e3173fc6842b5023abcacdc9a30,definitely skip gym today 
42.0,2e6330d1710f78ee1632178d5884ea2e4ac020f5,shit 
42.0,312887603ffb60b9683b2bd466a77131d8cd3eb2,orosbu evladi okul var okul kurt 
44.0,2e6330d1710f78ee1632178d5884ea2e4ac020f5,i messed that up 
45.0,9f93bc53f6bfd92bcaa9de2126421db8c71f7a34,jeeeeeeeeeeeeeez 
48.0,55a7842b729718bdd12f111a5fd0a7d1539fa30c,tell me the sauce combo for those triceps 
48.0,011b1990bc6c6c13775c48fbd7d511ecf716b33f,we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car we be vibin in the ritz car 
50.0,0f6eff4566117426cc0c6b7890843f42cac7615b,2e6330d1710f78ee1632178d5884ea2e4ac020f5 almost lmfao 
51.0,e90100083c153325279cfef93c6c415b001f7f3c,where you from 
52.0,6e68d73e01ffb1f6839eb99ab3c317dd4dc0e1c9,ad ad ad ad ad ad ad ad ad ad ad ad ad 
53.0,939bceb515970cdd90e8dfcb13eaf05ba5656c2d,party1 party1 party1 party1 party1 party1 party1 party1 party1 party1 
53.0,e2a73501317f2d0e0b3762c7b555766512db57e7,seemsgood100 no worries bro just do ur thang 
