Time,User,Message
0.0,52d010f86e4b06cda204351b503d13eb98f1881d,u need artifact removal in siderboard 
7.0,52d010f86e4b06cda204351b503d13eb98f1881d,best if there is a creature who does it 
21.0,3f7ff4542cd5251331869be0ff84149999e2078e,pepelaugh :backhand_index_pointing_right: coolcat 
22.0,64fdcbfacc03681bc2dc150f4cd32b96b0c46432,like summon a 8 cost that casts random targets spells to random target that may take dmg while you draw x cards x is the ammount of food you ate 
35.0,c9238bfa020f75080fac65e69635c09870d04009,just exile it 
35.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,cindervines in sideboard maybe 
40.0,225df0d555320892f9777b4b4459b2784afd8db9,now you can on your turn 
40.0,f2f97d5d2b58595634dd9e6244744b7f34796251,coil now 
42.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,follow me on youtube for daily stream highlights: youtube com/c/thijshearthstone 
43.0,f2f97d5d2b58595634dd9e6244744b7f34796251,its all tapped 
50.0,f2f97d5d2b58595634dd9e6244744b7f34796251,no he can witch 
52.0,64fdcbfacc03681bc2dc150f4cd32b96b0c46432,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 or remove permants 
52.0,6ac853dfeaa911ab55d7c9c95d08a7b629d076ef,that's not random 
52.0,02051aecb12bbc113281acc02f95a8d41dbe3540,yes 
54.0,f2f97d5d2b58595634dd9e6244744b7f34796251,nooooo 
55.0,12229075863a346750e11b8641d0239101b34ebb,no 
58.0,12229075863a346750e11b8641d0239101b34ebb,priest can sac it 
58.0,02051aecb12bbc113281acc02f95a8d41dbe3540,pepelaugh 
59.0,6742264e9c416b8669e67316f4c7290ac834e210,no priest can sacrifice 
59.0,f2f97d5d2b58595634dd9e6244744b7f34796251,priest can sack 
72.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,join the thijs discord at https://discord gg/thijs if you're a sub remember to connect your twitch account to your discord to get sub perks 
73.0,225df0d555320892f9777b4b4459b2784afd8db9,nooo the priest 
74.0,1d52dbafc5bffe33f6cbfb0fe2b376a4be3f1faf,fight the priest first 
75.0,d3b92ef98b3110041611357e51a3d29f666dcc42,azaihug 
78.0,225df0d555320892f9777b4b4459b2784afd8db9,the priestttt 
87.0,f84dd9c9bd857f63d73d0b07fc34bc2debb31615,deal with priest too 
104.0,1d52dbafc5bffe33f6cbfb0fe2b376a4be3f1faf,that's fine though right have to sac 2 creatures to activate priest 
110.0,600c372795c617163c4b2418819897ad8ab8ed12,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 hello form lithuania do you watch sports 
110.0,764808ce566d7139ec62215cdb684021206ec2bd,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 you need thrashing brontodon in sideboard 
115.0,f2f97d5d2b58595634dd9e6244744b7f34796251,now you can coil 
121.0,f2f97d5d2b58595634dd9e6244744b7f34796251,gg 
124.0,225df0d555320892f9777b4b4459b2784afd8db9,he could of saced it 
128.0,3f7ff4542cd5251331869be0ff84149999e2078e,:crying_cat_face: 
133.0,225df0d555320892f9777b4b4459b2784afd8db9,why didn't he 
136.0,f2f97d5d2b58595634dd9e6244744b7f34796251,but then no trade 
139.0,764808ce566d7139ec62215cdb684021206ec2bd,3 more cats left 
149.0,438eb550d2dda64fa748fe36a43f7739e1df8d62,d: 
150.0,02051aecb12bbc113281acc02f95a8d41dbe3540,kekw 
153.0,52d010f86e4b06cda204351b503d13eb98f1881d,kondomi rade 
164.0,764808ce566d7139ec62215cdb684021206ec2bd,lul 
201.0,438eb550d2dda64fa748fe36a43f7739e1df8d62,kekw 
202.0,7e3c0593571e4d5378c2bd6318e2e9d183fe7095,hey thijs did you quit hearthstone 
207.0,02051aecb12bbc113281acc02f95a8d41dbe3540,kekw 
222.0,47148b61a8b74025595d4d5dbe040fbeba7d1829,what are your favorite mtg colors 
225.0,3f7ff4542cd5251331869be0ff84149999e2078e,pepelaugh :backhand_index_pointing_right: coolcat 
254.0,aa41b397da726b915c70903252a47f7a8b1c1f3f,deck 
254.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thijs saviours of uldum decks updated 21 sept): https://imgur com/a/nfrbbye 
255.0,882dd7eafa61963ca44c9d889dd91f0c2c131bc1,landlord 
259.0,8ad7353b42b3f19ca6eab6ee6fd9297d2e7638e9,pepelaugh 
259.0,ba2b9c38c960873f4fdcaabf734f2b548ce5e795,landlord 
268.0,8ad7353b42b3f19ca6eab6ee6fd9297d2e7638e9,voxyflood 
270.0,aa41b397da726b915c70903252a47f7a8b1c1f3f,is there a decklist 
289.0,764808ce566d7139ec62215cdb684021206ec2bd,gg 
300.0,639513ce12f3752217bff14b7f8f339f850ef8bc,well at least our opponent tool the worst posible line 
306.0,639513ce12f3752217bff14b7f8f339f850ef8bc,took* 
309.0,3ebad0337f8ef9b9e70f7621ba80f8fa57ad9b51,gg 
313.0,9807627542a50acf9cd9f959a8a1602b5596b281,gg 
313.0,3f7ff4542cd5251331869be0ff84149999e2078e,gg 
315.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,you die now 
321.0,639513ce12f3752217bff14b7f8f339f850ef8bc,aaaand we are dead 
328.0,438eb550d2dda64fa748fe36a43f7739e1df8d62,ayaya 
342.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,follow me on twitter: twitter com/g2thijs 
363.0,5a66b543add71c214cbd7c5505fb40b33f817231,mtg 
363.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,check out mtga at https://bit ly/2gj3gm4 
367.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,oko ramp has food 
372.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thijs just made an instagram follow swiftrage instagram com/thijs_hs 
381.0,fe09d3e0c80645365be44c84937abde4e067a9a0,simic ramp with oko has loads of foods 
391.0,764808ce566d7139ec62215cdb684021206ec2bd,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 you need thrashing brontodon in sideboard or grafdigger's cage 
406.0,45b906197b3ba4f3d98ec87877d674b30e947f76,yoko ramp 
476.0,764808ce566d7139ec62215cdb684021206ec2bd,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 it was rakdos sacrifice deck food decks usually simic blue green and use oko 
477.0,189f2e385ea4bc5e39fc8bdde7ab92f584eba386,omegalul 
483.0,189f2e385ea4bc5e39fc8bdde7ab92f584eba386,omegalul 
524.0,1e3ec14d435f7f14c345d4251eda83d867d095fb,beast will remove it anyway 
524.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,face both 
527.0,689271fe14f1d598a86993921ae07c317a2e08f1,questing beast 
529.0,f44932bb747d1dee428bb89822722ad755e19238,nope 
529.0,764808ce566d7139ec62215cdb684021206ec2bd,beast face kills vraska 
531.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,it kills it anyways 
532.0,764808ce566d7139ec62215cdb684021206ec2bd,read beast 
534.0,2945f5231fa05e54ada8bc306ef45237a90cb1e2,lol 
536.0,79b85bf15c80061081238f9ff8c8bb654d700723,you can point both at face 
537.0,8763774c6fa02ecc6b58263cf6d23ed06562ed82,it kills it 
540.0,1f7a4f90110d2db8d7ab6960d87db450c98c4720,read beast's text 
540.0,b04d30e1678d3f16ab6a2c4d7ab1eef51b435933,any codes here 
542.0,aa41b397da726b915c70903252a47f7a8b1c1f3f,read green card 
545.0,79b85bf15c80061081238f9ff8c8bb654d700723,and questing beast will damage vraska with its ability 
546.0,8763774c6fa02ecc6b58263cf6d23ed06562ed82,pepega 
548.0,088265d78e55878d23c36844adfcfd575be77f35,beast kills it face 
548.0,aa41b397da726b915c70903252a47f7a8b1c1f3f,lul 
548.0,100002665f53b64aadc63fb2029530b381fefa2e,why not go full face questing beast kills pw 
554.0,100002665f53b64aadc63fb2029530b381fefa2e,last ability 
556.0,225df0d555320892f9777b4b4459b2784afd8db9,shoot 
567.0,225df0d555320892f9777b4b4459b2784afd8db9,meh good time to learn 
576.0,64fdcbfacc03681bc2dc150f4cd32b96b0c46432,face with hydra also kill plane walker 
585.0,088265d78e55878d23c36844adfcfd575be77f35,it has a lot of text 
591.0,764808ce566d7139ec62215cdb684021206ec2bd,chat tells you that all day 
592.0,1fd1d54a4df78bad1dd541c6092aa5fd09cdf7bc,na 
592.0,64fdcbfacc03681bc2dc150f4cd32b96b0c46432,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 read the text of questing 
645.0,aa41b397da726b915c70903252a47f7a8b1c1f3f,questing beast cardtext is like the old testament lul 
671.0,5fc20637a9099553a2ab31a7084c81732b58a582,ez clap 
676.0,983da6790ac7941d271a08ac1761e9dce7c2787e,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 do you enjoy wow cinematics 
715.0,64fdcbfacc03681bc2dc150f4cd32b96b0c46432,he plays greenblueblack 
724.0,983da6790ac7941d271a08ac1761e9dce7c2787e,then look the last one with the sylvanas vs saurfang battle 
740.0,983da6790ac7941d271a08ac1761e9dce7c2787e,watch* 
748.0,362eb2d88941e6ebe7fadf80d70b0b64742052f4,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 grengully is amazing with tokens 
768.0,d3b92ef98b3110041611357e51a3d29f666dcc42,azaipat 
784.0,55a28ad0e6a07ab4a50e27e73e7a07c0538bc6f3,keeygasm 
831.0,7adadff33703427181453b7c284b391784c19fb7,3ef2fdc69bd307740678bf1002f8321d1340259b every night i lie awake i can feel my heart break 
838.0,846fe09c56e7fc09ba84f3f6b8cb8b130262db73,ayayabass 
839.0,c0dad6d1ce306d830ca0f9686e77f8e65cfb3d8c,smorc 
854.0,7adadff33703427181453b7c284b391784c19fb7,3ef2fdc69bd307740678bf1002f8321d1340259b why are you playing mtg 
886.0,4089b00d464b87a399deb61ed3f62bc4d79bc2f0,deck 
886.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thijs saviours of uldum decks updated 21 sept): https://imgur com/a/nfrbbye 
923.0,225df0d555320892f9777b4b4459b2784afd8db9,gg 
940.0,5fc20637a9099553a2ab31a7084c81732b58a582,his deck sucks lol 
940.0,7adadff33703427181453b7c284b391784c19fb7,every night i lie awake i can feel my heart break 
943.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,follow me on youtube for daily stream highlights: youtube com/c/thijshearthstone 
972.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,join the thijs discord at https://discord gg/thijs if you're a sub remember to connect your twitch account to your discord to get sub perks 
976.0,be8697b55716e6f73e336f1b6145e44edefce7cc,bca34c1736174a0fe9645fc41c09495a1dbfb5a6 good to see you converted to the light side of the force 
1000.0,7adadff33703427181453b7c284b391784c19fb7,every night i lie awake i can feel my heart break 
1002.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thijs just made an instagram follow swiftrage instagram com/thijs_hs 
1146.0,76f0354b41ff6f170a0a1b8579e1378827f47d63,lulw 
1177.0,2f45c6dda27236c9f09a26845cb9e6a53c025fca,trample too stronk 
1181.0,db21d14d8086cb223bfddabed2e29954c2dc81d3,uptime 
1183.0,7adadff33703427181453b7c284b391784c19fb7,every night i lie awake i can feel my heart break 
1188.0,229b1be0569a879da84484bd7f2da39cbcd4d7b6,lost to fucking goats kekw 
1193.0,e2ac747355b296766fe2508ebee06c73883aca80,decks 
1194.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,thijs saviours of uldum decks updated 21 sept): https://imgur com/a/nfrbbye 
1206.0,1d52dbafc5bffe33f6cbfb0fe2b376a4be3f1faf,3 mana 7/7 vigilance trample brokeback 
1206.0,3f7ff4542cd5251331869be0ff84149999e2078e,pepelaugh :backhand_index_pointing_right: :goat: 
1213.0,2b12d9c9c2eb72b295904cceb1850fa7f17b6b81,got goated pepelaugh 
