Time,User,Message
0.0,62bb5ae31dc7704ccfdd357b48464bf8e1dafd6f,xd 
0.0,58d67e76ead11b637236f9c547edcd7cf32f597d,age 
1.0,cc0be8f9736b7958eed4360a939138312a40222f,happy birthday to you happy birthday to youhappy birrrttthhhdayyy dear myyyyythhappy birthday to you 
3.0,eeb91521ab253fd9089741b9e840e6a565a9ce6b,happy birthday 
4.0,909ca4598c4c0d8c79f2d66dc41066987ffad52c,"mano só quero ver qual vai ser os argumentos desses pobres coitados quando chegar o ps5 os argumentos deles já se esgotaram tanto que estão usando a resolução pelo jeito esse cara nem joga de verdade só deve ficar hihi eu tô jogando em 4k por isso xbox é melhor q ps :boy:hihi"" "
4.0,ebd786ebdbbf1b3c66105ee654e8b5ee1ea1e048,tell him look at my viewers ; 
4.0,db80f36ad28935966243c47072b5a07a56467308,cc 
4.0,7eb7e952c89b5822f409ae86946fc0ff0bc6f2d4,happy birthday 
5.0,78a697ff9bcfdc64317cab6f70ad64c61e389797,fucking hosted by ninja 
5.0,72cae977bfce03f7590cbb1fc79e58f2a13a9cf3,scuffed hair myth lol 
5.0,6cf406045481104b92d23533e9611ddd2ad138b2,inb4 die off spawn trihard 
5.0,62bb5ae31dc7704ccfdd357b48464bf8e1dafd6f,woooooooooooo 
7.0,1f1b3b3876266a1d34dcbe5c33cab47672e82004,mthyup 
8.0,74f5476572caf0701b62f0da483531f3cb3b8803,just believe kapp 
9.0,aca543daa04cf444534660447dbf3abb95a228b8,happy bdayyyyyyyyyy 
9.0,131553fa346c0ccd7409c9ccd11bdc067b791ac3,trymacsweird trymacsweird trymacsweird trymacsweird 
9.0,0bf963143228446c91778a6cf75cd9668b4239d9,lul lul lul lul 
9.0,05f16c936c227c09afdbb81a9ebefb16503db3c2,happy birthday 
9.0,06a31347eaef07838aae1673eb48699c1e7f0953,lul lul lul 
10.0,fbd968b3917e7e62b0689b8c0df32b13319c3b8b,happy birthday myth <3 
10.0,2d5ff49b2cb9847a932ad55f710090b9cf085fe1,bd51ee94166979e8ab729b6bb540e8ed90be7743 host ninja 
10.0,382d19b68154237577101889ea90510c60bc9dce,content myth in chat 
11.0,3e4e55f96d4ad4b5adb2f4998912fcaed3026e4c,lulwe 
12.0,23d71a8711bde51412c74e00278c8a2aa70539eb,:eggplant: :sweat_droplets: :sweat_droplets: :sweat_droplets: :sweat_droplets: onichan 
12.0,b06d3cc4cc34c65f5df5b60bbe4b9ac118928f79,age 
13.0,0862fbdf1ce93c99083424f419f93f2af054d4d5,happy bday ly man 
13.0,41331c37b1f545cf05890e581e304eab8a8a2430,lul 
14.0,91417142b1ba80ddf322072468ec8069ca5ad1bb,how cuuutteee 
14.0,7e522103dd438b99a18697aa762f70aa2cb4ee05,host 
15.0,be42b83c02e289a054b2e0b339c7f670f34b34ce,what the fuck did i come into 
15.0,bf0bf3b2d919ffb290318829f6ab6e400e3fcf52,tthump is toxic af lmao 
