Time,User,Message
0.0,6d4142f3e6cf1f96024a5dee5e13eed535b10839,medals 
0.0,17ab02c1842af978048fbbfc2a670e2410737087,feelsweirdman 
1.0,eb8c884dc8c58ad577855ea6e7b2b8b691f7c6c9,bet loss all 
3.0,464897df7aa1c0cbcb0d08e2277664393647c0f0,this is the first time chat going so fast lul 
3.0,8b84225580dd59d33d766a97dcc7ea46e646905e,cmonbruh 
3.0,c5fc2b75e64af702f51cd6c7daad6d34813fccac,ayayajam 
6.0,4f003eadeba1155b77c92ff24291be9975f545ef,bambothink 
7.0,5cf227913aa5b470f784bcb5de8ac89769b95b35,enviayaya ayayajam enviayaya ayayajam 
12.0,9d415bba0a8bfea938de67d4773fcd424301273a,micro pogyou 
12.0,eb8c884dc8c58ad577855ea6e7b2b8b691f7c6c9,bet lose all 
16.0,01974ed65aac56c177e8b956494f1c8b11a5594e,8b84225580dd59d33d766a97dcc7ea46e646905e bruh 
16.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,pepejammer 
17.0,5ce1b59b565e6ea907d02bc67c44f19398105390,duel 8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb 100 
17.0,7556d34caed498063ddff2c6c5bec7642c464ca3,bfc05bc65a228d4e09382c146d49719afb4292ff i demand increase in salary bambohands bambohands 
24.0,8b84225580dd59d33d766a97dcc7ea46e646905e,01974ed65aac56c177e8b956494f1c8b11a5594e bruh 
28.0,4f003eadeba1155b77c92ff24291be9975f545ef,duel edwarditsme 1000 
30.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,5ce1b59b565e6ea907d02bc67c44f19398105390 sobayed 
33.0,8b84225580dd59d33d766a97dcc7ea46e646905e,points 
35.0,acf6edfd8ee336239f94b603245b67292c27bf8f,action the betting for the current game has been closed winners can expect a 1 52 win betters or 1 79 loss betters return ratio 
35.0,5ce1b59b565e6ea907d02bc67c44f19398105390,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb bambohmm bambohmm 
36.0,7556d34caed498063ddff2c6c5bec7642c464ca3,accept 
36.0,acf6edfd8ee336239f94b603245b67292c27bf8f,edwarditsme won the duel vs punching for 1000 points pog 
37.0,25dec4489910f40130b05822c8516d046d040742,lulw 
39.0,3c0fb52e8a9ba4c0eea28c99497f0cd7187ef798,gg 
39.0,3524a433207475c75056615a365c9346378f5bed,lul 
39.0,9f018329dbfcc9d532e9e62219325b00c31585cb,bet lose all 
40.0,e080c2884adae46142461fb72b94eb646f65e943,0 runes lulw 
44.0,4f003eadeba1155b77c92ff24291be9975f545ef,7556d34caed498063ddff2c6c5bec7642c464ca3 2k points happy 
44.0,43228ed96555d4f5ebcb04194c8d1cc928c89e59,lulw 
45.0,b45c5929a22fe5b8d302f10229666996f3628213,actually lost 
45.0,e7144a303069dedcf52e26dff86b2ff7fc459367,bambobald 
45.0,e080c2884adae46142461fb72b94eb646f65e943,nvm 
46.0,92f87d4fdb07982a703660a9528433d8b9bf427a,danlul its over 
46.0,4f003eadeba1155b77c92ff24291be9975f545ef,toppoints 
47.0,acf6edfd8ee336239f94b603245b67292c27bf8f,top 5 banks: merieltee 183493 terencesiega 147677 killuwuaa_28 138050 vengefulogroman 58731 punching 53454 
47.0,464897df7aa1c0cbcb0d08e2277664393647c0f0,np 
48.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,duel abbac6c923285c3e91d989b44a8752d72bd5a8cd 100 
49.0,77414cac2ce571b3fb1bbe626c377e7c4a7d0532,-50 incoming lulw 
51.0,3c0fb52e8a9ba4c0eea28c99497f0cd7187ef798,imagine betting win lulw 
54.0,426875fa112c272729e5dcd7ffc2f04829a3c04c,bet win all 
54.0,cf22fe2eb885bc2896258589d8ba866d6fefdd1b,muh points biblethump 
55.0,02f15896638a4af7b9ec0cfd7cef7f0a85152d19,what are the best heroes this meta 
56.0,b45c5929a22fe5b8d302f10229666996f3628213,call it bfc05bc65a228d4e09382c146d49719afb4292ff 
56.0,64f279f2d964e19c86fd4e2636ddce8015f1d170,bet lose all 
56.0,9fd179202b14bba6dca979d135ee57dd8fd6a08f,-50 lulw -50 lulw -50 lulw -50 lulw -50 lulw -50 lulw 
56.0,7556d34caed498063ddff2c6c5bec7642c464ca3,4f003eadeba1155b77c92ff24291be9975f545ef 30k became 2k points swiftrage swiftrage swiftrage 
57.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,5ce1b59b565e6ea907d02bc67c44f19398105390 i bet lose all 4head 
60.0,ffcbeab329773df7e377d38605b119c70d4d00c5,running from chen lul 
61.0,a30b361413dd886e159600e309c64a3040b99669,gm 
61.0,80e7812024ad614c4007dbbc0fa7fccb892ecd67,win bettors sobayed 
61.0,30bf8611ad88ae5a8fed943a8735d73bb6212bd0,lul 
62.0,8e4f41b530c0c9e0f0537b847e22fa305a6da8c2,points 
63.0,43228ed96555d4f5ebcb04194c8d1cc928c89e59,i bet lose lulw 
64.0,abbac6c923285c3e91d989b44a8752d72bd5a8cd,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b what is that 
64.0,bb0138c4126b6899b6047f6135dd6681ef66039c,np 
66.0,4f003eadeba1155b77c92ff24291be9975f545ef,7556d34caed498063ddff2c6c5bec7642c464ca3 i doubled your points 
69.0,92f87d4fdb07982a703660a9528433d8b9bf427a,bambostop my points 
69.0,9d415bba0a8bfea938de67d4773fcd424301273a,roulette all 
71.0,30bf8611ad88ae5a8fed943a8735d73bb6212bd0,wat sith 
75.0,87055f45b5bfc437ef91561cd2ab4e8cd91fd2c2,roulette 40 
76.0,a30b361413dd886e159600e309c64a3040b99669,wtf his smurf is rank 71 alr 
78.0,4f003eadeba1155b77c92ff24291be9975f545ef,7556d34caed498063ddff2c6c5bec7642c464ca3 so really i doubled your mmr with my coaching too 
79.0,476eaa7c4e53bc44859d5efdceb968f587e20a58,win brothers sobayed sobayed 
80.0,4f003eadeba1155b77c92ff24291be9975f545ef,bambolaugh 
80.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,abbac6c923285c3e91d989b44a8752d72bd5a8cd a duel type accept 
81.0,5ce1b59b565e6ea907d02bc67c44f19398105390,givepoints 8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb 100 
83.0,efb77a44bc5b6c1de056f7216ba47fd63e162bc4,np 
86.0,7556d34caed498063ddff2c6c5bec7642c464ca3,4f003eadeba1155b77c92ff24291be9975f545ef i pretty sure i x400 ur points bambolaugh bambolaugh 
86.0,062fba1ed836ddabe688837c184575ec70983641,uptime 
88.0,10487dade474c1eb48d10a64c5ec7a4f17f09210,bambobald 
88.0,2511549bcaa28766e139cdc2af999c25296dc36c,bambow bambo1 bambo2 bambo3 bambo4 
92.0,abbac6c923285c3e91d989b44a8752d72bd5a8cd,accept 
92.0,5ce1b59b565e6ea907d02bc67c44f19398105390,duel 8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb 100 
94.0,a477947e4570a7a0b70abdc622086be66707a431,my bets > < 
100.0,4f003eadeba1155b77c92ff24291be9975f545ef,7556d34caed498063ddff2c6c5bec7642c464ca3 you mean i doubled my own points bambolaugh 
101.0,3eb5579ec95964d858cde4769f474a48309ab5a5,:) 
105.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,accept 
105.0,30bf8611ad88ae5a8fed943a8735d73bb6212bd0,duel 2511549bcaa28766e139cdc2af999c25296dc36c 200 
106.0,acf6edfd8ee336239f94b603245b67292c27bf8f,naturo666 won the duel vs itsstella_ for 100 points pog 
106.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,abbac6c923285c3e91d989b44a8752d72bd5a8cd nothing happened :( 
106.0,7556d34caed498063ddff2c6c5bec7642c464ca3,bambohands bambohands 
107.0,abbac6c923285c3e91d989b44a8752d72bd5a8cd,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b you are not being challenged to a duel by anyone 
109.0,4f003eadeba1155b77c92ff24291be9975f545ef,400x* 
110.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,lul 
112.0,062fba1ed836ddabe688837c184575ec70983641,how to know what is bamboes rank 
114.0,4f003eadeba1155b77c92ff24291be9975f545ef,blame 
116.0,30bf8611ad88ae5a8fed943a8735d73bb6212bd0,points 2511549bcaa28766e139cdc2af999c25296dc36c 
116.0,27af852cf5678e83ebd5d58bba2e9b088520c550,osfrog 
119.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,duel abbac6c923285c3e91d989b44a8752d72bd5a8cd 100 
120.0,5ce1b59b565e6ea907d02bc67c44f19398105390,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb bambolaugh bambolaugh 
120.0,43228ed96555d4f5ebcb04194c8d1cc928c89e59,lulw 
121.0,10b0c4ac7bffb3df92ee32e524ad0feed1796e54,points 
122.0,42870be5ddfe0922f8ef933eddae84193991e8c0,bambo1 bambo2 
124.0,10487dade474c1eb48d10a64c5ec7a4f17f09210,bamboomega 
130.0,2511549bcaa28766e139cdc2af999c25296dc36c,duel 30bf8611ad88ae5a8fed943a8735d73bb6212bd0 500 
131.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,5ce1b59b565e6ea907d02bc67c44f19398105390 bambolaugh bambolaugh 
131.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,:( 
136.0,4f003eadeba1155b77c92ff24291be9975f545ef,wow real crnw in chat 
137.0,7556d34caed498063ddff2c6c5bec7642c464ca3,can i timeout punching for stealing bambohands 
138.0,4f003eadeba1155b77c92ff24291be9975f545ef,hi crnw 
142.0,abbac6c923285c3e91d989b44a8752d72bd5a8cd,duel 9ea42a23b599c99528ede8a70f7cfe0a7a196d5b 50 
148.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,accept 
148.0,4f003eadeba1155b77c92ff24291be9975f545ef,7556d34caed498063ddff2c6c5bec7642c464ca3 its not stealing if it was already mine 
152.0,e2602a85507dcca8f380208115aa99bbbfc5c86d,bambobald 
155.0,9d415bba0a8bfea938de67d4773fcd424301273a,duel 4f003eadeba1155b77c92ff24291be9975f545ef 200 bamboa 
155.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,dansgame 
155.0,867279f33c88491d1e483b890bf5394f32bd9a19,point 
159.0,4f003eadeba1155b77c92ff24291be9975f545ef,accept 
163.0,3c0fb52e8a9ba4c0eea28c99497f0cd7187ef798,maledict lul 
166.0,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b,abbac6c923285c3e91d989b44a8752d72bd5a8cd i thing i have low points for duel 
166.0,01d851f9e71407c0ff472b90bd6d4fa1db01da6b,5k viewers pog 
168.0,8bfe4be6d233280e0495c9c706f11a8af874f127,imagine if wd waited for the bm to walk back 
170.0,867279f33c88491d1e483b890bf5394f32bd9a19,points 
176.0,9d415bba0a8bfea938de67d4773fcd424301273a,duel punching 200 bamboa 
178.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,8ball is this game a win 
180.0,4f003eadeba1155b77c92ff24291be9975f545ef,bambobald duel me poosi 
184.0,8e8a4407cad7ccb368a95b6d91764ffe35b8e3fb,wutface 
185.0,abbac6c923285c3e91d989b44a8752d72bd5a8cd,9ea42a23b599c99528ede8a70f7cfe0a7a196d5b bamboomega bamboomega bamboomega 
186.0,4f003eadeba1155b77c92ff24291be9975f545ef,accept 
186.0,acf6edfd8ee336239f94b603245b67292c27bf8f,punching won the duel vs payday123_ for 200 points pog 
188.0,867279f33c88491d1e483b890bf5394f32bd9a19,who wants to duel for 300 points 
188.0,27af852cf5678e83ebd5d58bba2e9b088520c550,osfrog seemsgood brokeback 
195.0,e2602a85507dcca8f380208115aa99bbbfc5c86d,roullette all 
