Time,User,Message
0.0,906445993ec82b878645b874cafcd062aa9fc3bb,that's my point they make operators that at first glance appear to be 3 speed 2 speed instead for balancing which is fine until you get certain operators that are hindered by their speed 
31.0,ead1e6f4d7c5ac37bdf6c4dc5b34502aa2e41204,warden lul 
70.0,ead1e6f4d7c5ac37bdf6c4dc5b34502aa2e41204,but he counters cancer tho feelsgoodman 
132.0,8743e69540cae2eba5e34f3fe8122214c615dad3,how was that not a headshot 
149.0,bc86f77f4b00abf47a636b1e30f82453cc5404bb,tell him tunnel lol 
152.0,3b9b98b1634a072a8bf684e610741db157bf2060,when they dont know callouts 
171.0,7810ec9c6a0d44c6ac355eec58b5b6cb08d7ad8b,damn the map knowledge minik 
175.0,906445993ec82b878645b874cafcd062aa9fc3bb,this is sad to watch 
183.0,c720d9460bee2e7a7c9bae46122273ce0e367693,zap him 
196.0,bc86f77f4b00abf47a636b1e30f82453cc5404bb,dirt what just9nkp 
205.0,8743e69540cae2eba5e34f3fe8122214c615dad3,the ranking system is broken u have these people in ranked smh 
213.0,8743e69540cae2eba5e34f3fe8122214c615dad3,high in ranked 
227.0,c720d9460bee2e7a7c9bae46122273ce0e367693,kaid just eats 
237.0,8743e69540cae2eba5e34f3fe8122214c615dad3,ate lead bro 
264.0,8743e69540cae2eba5e34f3fe8122214c615dad3,yeah prob ping 
279.0,30f60ddb699b729ceb4cc4250a52e89ef0407f2d,it is 
282.0,8743e69540cae2eba5e34f3fe8122214c615dad3,it is 
286.0,3b9b98b1634a072a8bf684e610741db157bf2060,dirt is a callout in eu 
294.0,7810ec9c6a0d44c6ac355eec58b5b6cb08d7ad8b,i call it the cave lol 
300.0,3b9b98b1634a072a8bf684e610741db157bf2060,though i dont know if it is below plat elo 
322.0,8743e69540cae2eba5e34f3fe8122214c615dad3,i call it dirt or tunnel 
347.0,b068b7a2b5f07b0dbe67145f2eee39079588330b,bfc7a23b135ea49a798ca8d1107ae6ce65fa2f99 how's it going 
376.0,b068b7a2b5f07b0dbe67145f2eee39079588330b,mouse 
380.0,c8bf046491608a01db60a744bfa4ede030c0ace8,bullet hole gameplay 
