Time,User,Message
0.0,ba8c999d50371f64718a072e2c5bf5e42abbec4b,dance 
2.0,5fc001e285a334eb4f156f8f0210c9bbf35259e3,wow widebruh 
4.0,4b166a76fff1ca7e2e980665b1743d4fc0946c88,sätt på z e 
5.0,579676e8bef50589b495f32fdbdccd5078528112,hello 
5.0,23d635e9e46c53ecb190321d1738b82c0f78764d,hardbass gone:crab: :crab: :crab: 
6.0,bf1175c6474977e227b919dc28052f48655781d8,trikool clap 
14.0,2d9f682320e540ee239fa83fb4d8071b836b4c24,forsencd 
15.0,9f1792ed46ec188a936783dcf6156acd2e04d215,widebruh 
18.0,b78b0ff3d2d8eb9494d91dfac533956eb478780f,trikool clap 
18.0,4d55baaf0f2bf2f52aa5beee67736ad72125a98a,trikool clap 
18.0,eb3757bae67c275e4760ec5ab0b3f0cebfd1f332,7th element by vitas 
20.0,cecd748fd001c997128415358b1eaf6d86b76a67,ban the clip 
22.0,9e1452c584783c661bce55510d0ed180a602703a,pepega 
25.0,cdb2d753a2b6d1b27f8a3e6f8d7a041bc379d91b,lul 
25.0,46246b9df04cedf6f75a0395de7d948facd31c38,what is he doing 
25.0,4f426f40f2b84003aa9dd10b630abe3c7a1995d5,widebruh 
30.0,6d4d1a1396e8bbb7fe6c3a2ae359e22444e19d02,what he do 
31.0,f7702f2d5820a3363916fd4860a25a842cd3086b,c01c245cd615cbc1209814edd99f5dd2faf3b714 maria monde - maailma 
33.0,728839fb6129818f1d6877b61902bca7812a64b7,trikool 
33.0,e73b978a258b9f1db4ad976874b3c7bb27e22234,trikool clap 
34.0,aa1048374ba4782682dfc8ee2692e5a4bf5af0e7,go to bedrock level make a little space and make a tunnel and bow him 
35.0,b78b0ff3d2d8eb9494d91dfac533956eb478780f,d: 
35.0,321c5a5bdcda360fedcc314d870d8c3344cc39ef,this shit fire bois 
36.0,d332f4b43491d379c78e1434d37aa34feacca39b,what 
36.0,df793733374d737cb6ba78a3cad7b75dce28b4c1,is this feed the beast 
37.0,80b824798e597f44b028643987de4774ebc3a35f,dansgame 
37.0,5e6854f61def317f5aafe9da821318d04406cf0a,wdym dont like 
37.0,ddde58b2b26fc640d17ad79dee937cc004e89add,handsup 
38.0,793ad5ee487b83404ba979636194841b19105666,steve 
39.0,44872aa3f6e708adc5aaf77d4b04ce31311f73cb,wait what song is that 
49.0,67a02f9da9c0cc61797101f2b0c987ba584aae2b,this mf trains on a creative world to fight black pixels omegalul widehard c01c245cd615cbc1209814edd99f5dd2faf3b714 
53.0,bfcbaeb4c8275217991491cd96c7c79648c7e1c2,pog 
54.0,dd02d19b8e4c20c1117cec40c6481cc148c337ca,well this is real rap lyrical rap 
56.0,43034961d7a9e891111775d64b0740711a2ebfd7,ı think he try kill wither 
58.0,5fc001e285a334eb4f156f8f0210c9bbf35259e3,trikool 
59.0,a3a95e323b3cd6d60cedcf9f549ca9a77f7a6ead,baba ganoush 
63.0,44872aa3f6e708adc5aaf77d4b04ce31311f73cb,dd02d19b8e4c20c1117cec40c6481cc148c337ca what is it 
63.0,a650a2a98c340cb343c3c36b5d59ea8f0e57ef64,clip when he got banned 
63.0,85324501cf2fc679f6b96c0e7a414595b4cb5ebc,anermly get a god apple for wither 
66.0,eb3a30c138644d702f898eac3d2d0553d0a4fc48,44872aa3f6e708adc5aaf77d4b04ce31311f73cb isis 
68.0,bb3128496f04393272b83d633badb849597ab2fc,logic's verses are better in this song 
69.0,d8b5950354b52d6b1e6dbf6c67f174deadba0e11,whats up with the hardcore 
70.0,aa1048374ba4782682dfc8ee2692e5a4bf5af0e7,go to bedrock level make a little space and make a tunnel and bow him 
72.0,92db091d428a418cf591c6fa31ea1bb51ee3f504,real rasp lmao 
73.0,a49803e492ab13a70b3cf83955193fe09722ac3e,how long have u beenplayng this world 
75.0,b78b0ff3d2d8eb9494d91dfac533956eb478780f,listen to lil trash - boneless pogu 
75.0,dfd73fd8242c0b5a4a7b72bdd8de880b6c9e7f74,just use wither egg 
78.0,ac59538eafbb34975fa055aa651b513dcd6a20ee,same 
79.0,f7702f2d5820a3363916fd4860a25a842cd3086b,c01c245cd615cbc1209814edd99f5dd2faf3b714 maria monde - maailma 
80.0,44872aa3f6e708adc5aaf77d4b04ce31311f73cb,eb3a30c138644d702f898eac3d2d0553d0a4fc48 wait its literally called isis lol 
83.0,321c5a5bdcda360fedcc314d870d8c3344cc39ef,lul at least you honest 
84.0,755ea8ae2068b55e8335475919be83d048c1f879,c01c245cd615cbc1209814edd99f5dd2faf3b714 have you heard iceland's eurovision entry 
84.0,80b824798e597f44b028643987de4774ebc3a35f,dansgame 
88.0,ac59538eafbb34975fa055aa651b513dcd6a20ee,this type is pretty boring 
89.0,7cddb06fe1dc10e5f37b9541d3d6d96d6b70f2cf,monkaw 
89.0,8316d2ac99a56edafc02439695d66d5673ad16b6,what r u doing gamemode 1 forsencd 
89.0,37c07135be85fe15d837f40690a3bb6833a712a7,im back anomcheeky 
90.0,46f000f91d6c24168d69b4663978538ca94a143d,can u believe this a pro csgo player s1mple is playing fortnite 
91.0,80b824798e597f44b028643987de4774ebc3a35f,dansgame dansgame dansgame 
91.0,10e0e5bf9f91bd7e95d77bddd884326dafc108dd,c01c245cd615cbc1209814edd99f5dd2faf3b714 do you like xxxtentacion 
92.0,a3a95e323b3cd6d60cedcf9f549ca9a77f7a6ead,anomaly you like $uicideboy$ 
92.0,67a02f9da9c0cc61797101f2b0c987ba584aae2b,its trash hyperdansgame 
93.0,eb3a30c138644d702f898eac3d2d0553d0a4fc48,44872aa3f6e708adc5aaf77d4b04ce31311f73cb yup 
94.0,bfcbaeb4c8275217991491cd96c7c79648c7e1c2,go to bedrock dude c01c245cd615cbc1209814edd99f5dd2faf3b714 go to bedrock dude c01c245cd615cbc1209814edd99f5dd2faf3b714 go to bedrock dude c01c245cd615cbc1209814edd99f5dd2faf3b714 go to bedrock dude c01c245cd615cbc1209814edd99f5dd2faf3b714 
97.0,0b8295d998d6cdf7b6f96bfc9544102c63f9b2a4,enchant 
99.0,bbc93a1b5f55b332dd9dabfd436b485edf813bfa,gamemode survival 
100.0,613db73b82aa9e8f58b555422f8017ba84a2573e,anermly big gei 
101.0,e9a48528287042d1874c96ece9aec8618c33c248,c01c245cd615cbc1209814edd99f5dd2faf3b714 you should listen to pablo - sfera ebbasta its epic italian rap 
104.0,7c806c72c7ba92036dca2aeb050c603f9cc7c4df,its just been made so many times before 
106.0,44872aa3f6e708adc5aaf77d4b04ce31311f73cb,eb3a30c138644d702f898eac3d2d0553d0a4fc48 ty 
107.0,63310551f7111fd2faf6dce91e6f02aa824ef504,gamemode 0 
109.0,aa1048374ba4782682dfc8ee2692e5a4bf5af0e7,go to bedrock level make a little space and make a tunnel and bow him 
109.0,b78b0ff3d2d8eb9494d91dfac533956eb478780f,37c07135be85fe15d837f40690a3bb6833a712a7 anomhypers 
114.0,8316d2ac99a56edafc02439695d66d5673ad16b6,the head is in the middle 
115.0,cc2767fa932dc36e21855e1bc76e54a1f2f55c58,he in danger 
117.0,b7a310890e489bc183b3ffb50bde09aa6222c682,pussy pussy pusyy 
118.0,f3bdc56b3fc61dec3affc94f7b36315475907a14,gamemode 0 
120.0,560f00287094f0955530c14f1ed2f825b3660df7,i actually dont know how people like this song i like joyner and logic but this song is trash 
120.0,46246b9df04cedf6f75a0395de7d948facd31c38,remeber you have no enchantments 
122.0,b0b589502c58a6bbbec6af10c871e04e125e154c,c01c245cd615cbc1209814edd99f5dd2faf3b714 when you go to kill the wither go under the ground so it cant fly around 
126.0,89a3a130087cdd5b7ab27d3feafcb1ac5faa123a,what playlist did you listen to beforew 
128.0,ca7971f1d940b483d65ca957120a68a48ac1d518,c01c245cd615cbc1209814edd99f5dd2faf3b714 hello from russia blyat anomaly how are u mmmmmmmmmmmmmmm 
128.0,f7702f2d5820a3363916fd4860a25a842cd3086b,c01c245cd615cbc1209814edd99f5dd2faf3b714 maria monde - maailma 
130.0,0613469e9cb30a69f13185aeef6ddf71a89764ef,food 
131.0,915b341209d7bb456274d8c94351a5757aa7e609,its enough 
134.0,f1bb31764a525b3647a0170e4dec2813ffd51c6c,food 
136.0,bf1175c6474977e227b919dc28052f48655781d8,isis anele 
137.0,73dda8a32dd47846acd47b14c1ed157f072c017c,c01c245cd615cbc1209814edd99f5dd2faf3b714 wtf u build in the wither in nether wtf 
137.0,aa66d2b1506e50c6cfeeae5beab305b1dfc269f0,food pogu 
