Time,User,Message
0.0,50612abf3f0b42cdb7805f1f0c0ae5f79a531ba6,events 
4.0,bfff5905dd25d821e77087ebf7e5241038aabb04,currency 
7.0,dc6cc556831d16131b1b61f27c0cf62fb8a970fa,huntress throwing pizza pies 
10.0,eab5db62d76cc7944b6cd479d1babfe5a44ac3fd,what kind of pancakes chocolate chip 
30.0,e6c33fb604a360fa905f40f84fab414f628b9a0c,leak 
30.0,5ee87f0927a3a73bbbb2416a2edcfb90526f5396,why can't i find a game with anyone when i search for killer 
35.0,fbac505dcb5024e8bdcad3d67d75801a54e14a7b,725d8394ebdaeed8a16425086f6dfb95b7d878c4 welcome to the stream puppers is playing no sound killee at the moment 
44.0,ffaf846cd410d6283c929536659d6436d1ed2b58,madspin 
45.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,this command is on cooldown for another 84 minutes 
45.0,725d8394ebdaeed8a16425086f6dfb95b7d878c4,nice 
47.0,61384057ed5877bd32a201261406c616abacfafe,lookat 
50.0,f05ce2f7d473e66b45d545247352ee12810abe7a,pancake type depends on used addons 
56.0,bfff5905dd25d821e77087ebf7e5241038aabb04,5ee87f0927a3a73bbbb2416a2edcfb90526f5396 puppshrug puppshrug puppshrug puppshrug 
57.0,fbac505dcb5024e8bdcad3d67d75801a54e14a7b,killer 
58.0,70e7103b2c46e09a7666d9a83743faccb4cd17ec,leak 
63.0,725d8394ebdaeed8a16425086f6dfb95b7d878c4,sadly my pc cant handle this game atm i need to really upgrade it 
63.0,08dcc28ef28e32e2c03ff28c87893c219f7d554d,pancake emote when 
65.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,thank you lucario512atx for subscribing welcome to the puppers army join us in discord to https://discord gg/bsmdazf puppl puppparty 
68.0,5726b4388877438406a6f0b8d13bf7adc94eb4ad,i just realized it was no sound lol 
80.0,ee2e7e2c0ef2fdf19c4bd0ccfdb527df787433b5,xd 
90.0,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f,puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl puppparty puppl 
93.0,ee2e7e2c0ef2fdf19c4bd0ccfdb527df787433b5,doing gens you 
95.0,eab5db62d76cc7944b6cd479d1babfe5a44ac3fd,puppparty puppparty puppparty puppparty 
96.0,61384057ed5877bd32a201261406c616abacfafe,puppfire puppfire puppfire puppfire puppfire 
97.0,fbac505dcb5024e8bdcad3d67d75801a54e14a7b,725d8394ebdaeed8a16425086f6dfb95b7d878c4 best thing is it doewnt take alot to run so an upgrade shouldnt be to bad 
101.0,bfff5905dd25d821e77087ebf7e5241038aabb04,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f sweetc18hug sweetc18hug sweetc18hug sweetc18hug sweetc18hug sweetc18hug sweetc18hug 
118.0,fbac505dcb5024e8bdcad3d67d75801a54e14a7b,typo 
119.0,bdd813b312bfc1a4d39b2e399dca40856060b99a,not too shabby with no sound 
124.0,d5deca0592ab0fdb1f109a6575e30172631b3658,pups 
124.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,pups : xxrexex [pupper army] [1 hrs] - 1000042 
131.0,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f,bfff5905dd25d821e77087ebf7e5241038aabb04 pupphug roohug icetrohug meemshug 
131.0,725d8394ebdaeed8a16425086f6dfb95b7d878c4,fbac505dcb5024e8bdcad3d67d75801a54e14a7b true but i really should jsut upgrade it anyways its a few years old 
132.0,55e6ffc6b1ac04ded949a1c117d1b52fdd686319,puppparty puppparty puppparty puppparty puppparty puppparty puppl puppl puppl puppl puppl puppparty puppparty puppparty puppparty puppparty 
133.0,49c2c6a597d2ffe872124d3452159ae2f1ded4b0,what happened 
135.0,89f6e7541cea706fbd455f7dfee9dc4cfdab5724,gamble 5000 
136.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,chelsey98 has started to roll the dice 
139.0,49c2c6a597d2ffe872124d3452159ae2f1ded4b0,hello 
142.0,49c2c6a597d2ffe872124d3452159ae2f1ded4b0,uh 
144.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,thank you bratack156 for subscribing welcome to the puppers army join us in discord to https://discord gg/bsmdazf puppl puppparty 
146.0,1f9fe34397a9e21a63fec480811a1bb290dd14a1,rolled 31 chelsey98 lost 5000 pups and now has 454769 pups 
147.0,e81baa43cdee1ca8255e1ca39e0e889a4d839baf,lul 
148.0,ee2e7e2c0ef2fdf19c4bd0ccfdb527df787433b5,tombraid 
149.0,f05ce2f7d473e66b45d545247352ee12810abe7a,xd 
149.0,61384057ed5877bd32a201261406c616abacfafe,nice 
150.0,dc6cc556831d16131b1b61f27c0cf62fb8a970fa,lol 
152.0,88f9f267cb00aa040e17b7fe0a647231a7557623,lul 
158.0,dc6cc556831d16131b1b61f27c0cf62fb8a970fa,feels bad 
162.0,d5deca0592ab0fdb1f109a6575e30172631b3658,i wish i knew where he got his dope shirt 
163.0,55e6ffc6b1ac04ded949a1c117d1b52fdd686319,puppparty puppparty puppparty puppparty puppparty puppparty puppparty puppl puppl puppl puppl puppparty puppparty puppparty puppparty 
163.0,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f,rip jake 
163.0,5222c7ad3ac74db3836ff63ba721e5a8ab91e168,amount 
163.0,eab5db62d76cc7944b6cd479d1babfe5a44ac3fd,nice shot 
170.0,ee2e7e2c0ef2fdf19c4bd0ccfdb527df787433b5,feels bad man 
171.0,2425c38240284b6d0ea4e1d2b59e3f63e5a52ba5,lulw 
174.0,e5e69d964d56fb5f445655882814cc177e2aca1b,hahaha 
175.0,e256381fd6a5b2e692861e6a437f264badbc6be7,f 
175.0,55e6ffc6b1ac04ded949a1c117d1b52fdd686319,yaa 
175.0,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f,2k puppparty 
178.0,55e6ffc6b1ac04ded949a1c117d1b52fdd686319,lul 
179.0,eab5db62d76cc7944b6cd479d1babfe5a44ac3fd,puppparty puppparty puppparty 
180.0,9c0e1788bacd81c6a91d8ce161eefb998cc441b6,<3 
181.0,bfff5905dd25d821e77087ebf7e5241038aabb04,5e835285da5ed5bafcc6323b0b29ac8c93c7d70f how are you today aerolove aerolove aerolove aerolove aerolove aerolove 
183.0,275aae41479305e7a3c88f14b5ff122f080e8d58,puppcop puppcop puppcop 
189.0,54e0ac32dd9270235e26da29abba3036b7e92171,what is the song that plays for 6 months sub 
201.0,fbac505dcb5024e8bdcad3d67d75801a54e14a7b,subsonglist 
204.0,e5e69d964d56fb5f445655882814cc177e2aca1b,c0adb7efa63da01f95f509faa3fc4776f117add2 360 noscope 
204.0,eab5db62d76cc7944b6cd479d1babfe5a44ac3fd,summon the nea i mean the enitity 
