Time,User,Message
0.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,now 
2.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,c12de705639591175da4d879e51a7e69641c1c08 
6.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,ahaha yes 
14.0,4e36ca1361b0bb29807644ed859979478d47cc07,no 
14.0,95e3f96a832073cdbdfd9120be84f1396f2898f6,no 
15.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,no ur good 
15.0,d329b70ffa9225b6060c0f949a6ade35fec434ee,n omegalul 
16.0,4a2eeb1e591a02d469a0d05e47f3aa47884e1213,no 
18.0,4fe553b695587680ba36daa4e5c2700ed3228ecc,yes 
20.0,c6a2ec023e3f0ace772cda9c4dc2d1f2a96a1abc,yes pepelaugh 
20.0,b302035560c0f4b2842fd1c22b25f5d12bbc7118,just for like the last 45 seconds 
21.0,4b1f223ad39c8ede78291c4a6dea0bfc18e88604,yes pepega 
24.0,d329b70ffa9225b6060c0f949a6ade35fec434ee,yes pepelmao 
24.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,lmao 
35.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,lmao 
37.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,ok go dps 
40.0,cab51b745126da1751d26d29d039cd8196b243da,wtf they trolling 
42.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,dont let them throw 
43.0,4b1f223ad39c8ede78291c4a6dea0bfc18e88604,lucio = dps 
44.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,zzz gr gr gr 
46.0,71693b8066c8a7367809ec213c0b38ec975b5166,1man spam 089fd8e70fe7ec18631c44bca5680a407e1e28aa 
46.0,f3fe39e920ef6443dca17cdb499e73dcd815aa66,wtf d: 
51.0,71693b8066c8a7367809ec213c0b38ec975b5166,man 
52.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,spam time brothe 
53.0,089fd8e70fe7ec18631c44bca5680a407e1e28aa,r 
