Time,User,Message
0.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
1.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
2.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
2.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
18.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
19.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
20.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
20.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
34.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
34.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
35.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
50.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
51.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
51.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
53.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
73.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
74.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
74.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
98.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
99.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
100.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
109.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
110.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
111.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
127.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
128.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
138.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
139.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
152.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
152.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
154.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
178.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
179.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
180.0,c2e502b5af24aca8ccab4b4c4de243f735913f23,hd quality live stream <<>> https://t co/cwykfmudio 
