Time,User,Message
0.0,1cf129d70ed6958d01c4009df5185ebeb472bd1c,ninjafuemythmerc 
1.0,548d2108c9af5f12b564b8c40e143344540178e1,nickmercsneck 
1.0,a63bb643235175edf68906fc9d860e9a1987cc10,some mafia guy named nerc is sweating rn 
1.0,d6db39829414ab18e092760b3efd8e0a42cef7c5,this guy a legend 
3.0,8f8039765da7cc607a69f7bd64df9cdc59cfaaf6,myth always trying to be included and sounds cringe as hell 
4.0,56a4b6eeafb06a15d41541306f4bbd99bc95c138,olito is clutch 
5.0,ee4bf7b2e3da8e73344f51c06814cfbf83c98aa6,so how'd they nerf the drum gun slower fire rate 
7.0,4ad771362c9e43119e13cf6d860b9197721fc9b4,magine being named gary lmaooooooo 
9.0,96f4c3fef57c8e9e2304184ca0c98d2c0974b919,the coach of the raptors name is nick nurse 
10.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,lmao 
11.0,53d4820668f19be424ec9a07d9d596d3dc91efae,god 
12.0,04c27abf2d09e0d2cfee7ea924620bb618f1a119,lmao i'm confused 
12.0,2fd6f54557abc29366f3deaf78b8ff08dcd2dd1e,lmaooo 
16.0,027df775439c448e2d6b8d9cbb9616d155c7a839,olito god 
17.0,9c6914de26935c795ce64fc7022d6aabf4f7be19,you forgot me :/ 8fe2b1fa42f71b107639277d03f1621ba729c328 
18.0,4240657878e61ba3a9242f25a7928c0e5e21c3e7,clem your name is clementine 
19.0,f18e7e6f39b87bdb298716d920b6313c0d056eed,clem your forehead looks like a hotpocket 
19.0,c8b27cdeea78d52bb35255ddea3b09c3a15e826d,lul lul lul 
21.0,56682afb91ca53c4f391d277a33708f383acfdb4,lmfao 
21.0,9e64c0af016a3f8c3ce4165369fe6837dca8c32c,omegalul 
22.0,2c38bd2f6e90352fe9a21848fae5c02863bc1f87,lmao 
22.0,4240657878e61ba3a9242f25a7928c0e5e21c3e7,yes gary 
23.0,944505d2fa6fcb5270fe4643f9628787e7617306,god 
24.0,d6db39829414ab18e092760b3efd8e0a42cef7c5,lul 
24.0,330c4a7070097e3f8be1545349a79a90c56cf460,looooooooool 
24.0,c1f0222405a6c15610bac4a155f0998b48411683,ahahahahahahahahaha 
24.0,0c98e6cd9bdc2292956ad720cedd30ecad5162d4,lmao 
24.0,af36df94d54142ab882e3c8e5c03242a773de694,lmao 
25.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,lmfaoooooooooooooooo 
25.0,4ab0749d3741ed04e1c24d16d7cadc1ddb75c728,hahahaha 
25.0,5a79a4b86e8a8be7aa81b6837dd35289f16f555e,lmaooooooooooooooooo 
25.0,5a3674b3f50aa45bc00acc941b349c6ac08914d9,lul lul lul 
25.0,0584fa495289ec274c64d178f13a965391bbd509,lul 
25.0,a243c16d7376ea4ec5ed8d505e753c4095adcdcb,lmaoooo)ooooooo 
25.0,9c6914de26935c795ce64fc7022d6aabf4f7be19,lmao 
26.0,9e64c0af016a3f8c3ce4165369fe6837dca8c32c,lmaooooooooooooooooo 
26.0,719dcd399b12b1d63bee53e487730401965d8438,lmfaooooooooo 
26.0,53d4820668f19be424ec9a07d9d596d3dc91efae,hahahaha 
29.0,2fef0684b03387642344e6c4874d2b8a4435698d,hahahahahhaa 
29.0,4ab0749d3741ed04e1c24d16d7cadc1ddb75c728,wtf 
29.0,da91fe5ea08699bf7c6657a95c09423d1374ec14,lmfaooooooooooo 
29.0,687997a471c262507fc6085ea09c187e2f235541,nah 
30.0,ea1af6e55e5ae34d697e9b35ef01a16b366e440e,d: 
30.0,1b880c1c4eb63f58ac1af3a4eb656e40e1851482,lmfao 
30.0,1b0b3603d6b4ee6ab98f626092fdb28a546688d2,hahahahahahahahahaaaahahahhha 
30.0,5a79a4b86e8a8be7aa81b6837dd35289f16f555e,hahahhahahhahah 
30.0,9bcdd458b1e1f559b8976e4b22799a231ebaf3f2,bruhhhhhhh lmaooooo 
30.0,5617e87ca105ebf45135da9103202ed226d02cba,lmao 
31.0,c646a8e4c6ce31fc40fb834d6c9f57732904a19e,lmaoooooooo 
31.0,e73b09c1fdffaf9ba8f448303f271b4e4f0a2189,hahahahahahaha 
31.0,56a4b6eeafb06a15d41541306f4bbd99bc95c138,olitos shield for nothing 
31.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
31.0,9a7ac818386fdeef49709f08f3a0f3d644c32ef4,lmfaoooooo 
31.0,adf2e8053facb34bf71466ece02c59c517c38871,if u were on ur alt u wouldnt get the heals 
31.0,2b74fa0672e21de9c8ef2cdc605a646fddbf1125,nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh 
31.0,f561a2948302fb2f2ac324c3545973665ff4ab43,lol 
31.0,50748ee561ebf5947d852ae05db00fa4c32d2f4b,nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh nickmercsbh 
31.0,56682afb91ca53c4f391d277a33708f383acfdb4,rofl 
32.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
32.0,7e4108717088b40d33f12f3f4eee621d0b6aa4b2,hahahaahhah 
32.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
32.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
32.0,783f62af93bfb27bfca534000c7f174c85d8b06a,lmaooooooooooo 
32.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
33.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
33.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
33.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
33.0,b189a22511ce93475024868d2ef592d4eb979d8e,lul 
33.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
33.0,9f22a89497be0308828f8a45d82cbbdca6fc8037,nickmercsbh 
34.0,22efcca44468448c9eaefa0efe8d5018faf7e7d3,omegalul omegalul 
34.0,ba2118938d0f4b1a82819ade3401e0b17b8f3dd9,lul lul lul lul freakinstinkin freakinstinkin freakinstinkin freakinstinkin freakinstinkin freakinstinkin freakinstinkin 
34.0,e73b09c1fdffaf9ba8f448303f271b4e4f0a2189,haahahahhahaahahha 
34.0,0feab4d86e105bdcf349464dfcc5ed68a764b180,oh my gosh :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
34.0,b9749b14e84b62c104f8166ae7ee6fa689e7ecac,clip it 
35.0,56682afb91ca53c4f391d277a33708f383acfdb4,lmfao 
35.0,6ad7cfb80c2355add9def39e41204f8af92eb92e,lu l lul 
35.0,bc915acdf2f70a336a4888fda5ffc23bbe65433c,lmfaooooo 
35.0,dc22292cae81202a1ca077ca00a655cad14b6216,lmaoooooooo 
35.0,743bd9e87a24f3aa8c35d51f6f1e164269c32f04,nickmercsrip 
35.0,56a4b6eeafb06a15d41541306f4bbd99bc95c138,bro 
36.0,15261d06e16c9bc85fea238b09c89c32d3f86055,lol 
37.0,0584fa495289ec274c64d178f13a965391bbd509,lmaoooooooo 
37.0,ea1af6e55e5ae34d697e9b35ef01a16b366e440e,omegalul 
37.0,eddb54a359ffcff6b5082828f5bae7f81e23bcf6,lmao 
38.0,783f62af93bfb27bfca534000c7f174c85d8b06a,nooooooooooooooo ahahhaahhhahhhahahahh 
38.0,f65f25ee226a950d233566a631f02c2bdf11afdc,nickmercsbh nickmercsbh nickmercsbh nickmercsbh 
38.0,c044d379498538642f08f525b4744f347911e2dc,lol 
38.0,dc22292cae81202a1ca077ca00a655cad14b6216,nickmercsbh 
38.0,21a4815360c17c92cd7f132e9f681a11c4c086f3,oh my lord 
38.0,41b4320deb6021a0f06bc333f26b293686efe356,nickmercsbh nickmercsbh nickmercsbh nickmercsbh 
39.0,b3f00c9565d9036c108f3f3ba5c19261b338e6fd,lmaooooooo 
39.0,b7e196f433c7460f8327c08b11d0edf644780d5e,lmfaooooooooooo 
39.0,08e5b020a3b12a0129c1002639935a2e910d2373,lulululululul 
39.0,719dcd399b12b1d63bee53e487730401965d8438,nickmercsbh 
39.0,da83f040586595f5dec714c09f9187ba9bd32fde,nickmercsneck nickmercsneck nickmercsneck nickmercsneck 
39.0,a76fb2a8030e715e917ae7edd96654293da6abba,nickmercsya nickmercsya nickmercsya nickmercsya 
40.0,dc22292cae81202a1ca077ca00a655cad14b6216,nickmercsbh nickmercsbh 
