Time,User,Message
0.0,8c7a2a05e130afc99f937cdabe024de6800be4c8,how does his mouse look like that 
21.0,7f599cff1606fb6a1595e4ddbdf41ce4d042e1ba,hacks 
23.0,ba0f8b39bec3e0ddeddbb1d841628a0d846fef0e,it's an option to enlarge it in game 
43.0,0c9fa7b59415f1b90682442b39cbd345dc11ec85,the shield with quin kappa 
47.0,0c9fa7b59415f1b90682442b39cbd345dc11ec85,both rats died :o 
61.0,134795cbb944a76260c57045a77993998096efad,its a partner only thing i thought the group streaming 
70.0,8c7a2a05e130afc99f937cdabe024de6800be4c8,mouse 
71.0,134795cbb944a76260c57045a77993998096efad,i know your a partner but can non partners be added 
132.0,8c7a2a05e130afc99f937cdabe024de6800be4c8,cursor 
471.0,8c7a2a05e130afc99f937cdabe024de6800be4c8,click 
543.0,5b1698c442c748122e902e4471a89fa222b5a165,failfish100 failfish100 failfish100 failfish100 failfish100 
563.0,5b1698c442c748122e902e4471a89fa222b5a165,sorry about that 
579.0,5b1698c442c748122e902e4471a89fa222b5a165,i don't know how to donate on here 
630.0,5b1698c442c748122e902e4471a89fa222b5a165,yesterday you said it's worth 30$ 
731.0,a340d726cbaf671714a29a8bccdc3ed4816c5cbb,primal inc 
1012.0,d5fa76421d7cd8b05f417f08057adf6d7eb5bd30,oh no he died 
1408.0,c48c2aeba946c21d8ad898f7f6f684b6ff190c8d,ggs all see ya next time 
1408.0,a3578aa1f4e54d03335d8885f3707fd7c9ccf7e2,what happened 
1410.0,a3578aa1f4e54d03335d8885f3707fd7c9ccf7e2,i just got here 
1411.0,f2480b1843c36a5daf4249c2ecc2f12c4839e1b0,cya 
1412.0,c48c2aeba946c21d8ad898f7f6f684b6ff190c8d,game crashed 
1417.0,c48c2aeba946c21d8ad898f7f6f684b6ff190c8d,lost both rats in aftermath 
1425.0,a3578aa1f4e54d03335d8885f3707fd7c9ccf7e2,oh shit 
1432.0,d5fa76421d7cd8b05f417f08057adf6d7eb5bd30,feels bad man 
