Time,User,Message
0.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,your farts gonna blow bubbles 
4.0,6959d74c0ef4818119723235efc4ba8f4b4a704f,chocotrip 
5.0,9610296aee862d1a089b69f63131998954a03d5b,c549242faa2adf9e79e9228b1445cf016132826b topecuthigh5 <3 
7.0,ad7981bde903a3a5b1a0b28f8eec625f1e8a5349,213557db40c971eee50f446458d4d26121f48eca better than mouth cancer lul 
26.0,3506e1f2887281802eba810d7bac85585e004e1e,what you packin cope here 
57.0,213557db40c971eee50f446458d4d26121f48eca,nothin anymore dawg i stopped lol but its been nothin but skoal mint for like the last 10 yrs 
73.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,he'd just have to set up a mute button for twitch 
78.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,i mean discord 
84.0,d4a10a541ab76a36409fad509ec9e5166535d096,get rekt 
90.0,d47a2af26212de729108c7474b279beb8648c96a,or toggle mute 
117.0,845f02ee6e2aeb28c3efa3cb15124cd28a7ad1ad,suuup team 
121.0,d47a2af26212de729108c7474b279beb8648c96a,lol not coordinated plays pubg kappa 
125.0,b1f6032c061f3185a6a73415e81b474826528804,i forget to push 
156.0,6d378feea623a77551b3eb335d51790f2ea15322,what a troll 
207.0,33c8adbf34d86b562a74b6ca2e67bce766c3d00f,lmismile 
221.0,6d378feea623a77551b3eb335d51790f2ea15322,swagghi 33c8adbf34d86b562a74b6ca2e67bce766c3d00f 
248.0,0b1debd216a6e4043846029e3bda8e5614129150,33c8adbf34d86b562a74b6ca2e67bce766c3d00f fancy seeing you here 
250.0,33c8adbf34d86b562a74b6ca2e67bce766c3d00f,sup bud 
267.0,062756e3b96bc1e637720b30a0d5009e3239bc67,go cement factory 
268.0,33c8adbf34d86b562a74b6ca2e67bce766c3d00f,im just waiting for my desk to arrive at new place before i can move my pcs 
270.0,c61d205b9e90b65d287b5e95598785eae5fec27f,swag's socials: https://facebook com/swaggertwitch swaggnation https://instagram com/swagger tv/ swaggnation https://twitter com/swagger swaggnation https://www youtube com/swaggertube swaggnation 
270.0,062756e3b96bc1e637720b30a0d5009e3239bc67,doo ittt 
287.0,062756e3b96bc1e637720b30a0d5009e3239bc67,thats the tilted towers of pubg lol 
288.0,7a787f86a9426cc4a0bd92c3f3837f7652e0568e,wassup c549242faa2adf9e79e9228b1445cf016132826b how are you doing tight 
295.0,6d378feea623a77551b3eb335d51790f2ea15322,33c8adbf34d86b562a74b6ca2e67bce766c3d00f you and choco need to have a headshot only battle he did a custom for sniper headshots only the other day and watching him and you would be insane 
312.0,e99e7c7d1fb3a794d6a8f9f0e415648b33169aa5,c549242faa2adf9e79e9228b1445cf016132826b u always thirst players and u always getting salty when thirsted 
317.0,b793a9482fb3c53d3cd808f11a22df6889acecb6,33c8adbf34d86b562a74b6ca2e67bce766c3d00f wackyjheart 
331.0,501bcacc399f7bb78a073211c375e1963373622e,c549242faa2adf9e79e9228b1445cf016132826b sup my dude 
337.0,f7eec78e3ef0029e24e2ecf4211818abee1faa9e,your awesome 33c8adbf34d86b562a74b6ca2e67bce766c3d00f 
433.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,multi 
433.0,c61d205b9e90b65d287b5e95598785eae5fec27f,http://multistre am/swagger/thelumineers 
444.0,b1f6032c061f3185a6a73415e81b474826528804,cod had it right with random loot boxes on the map and they are not always in the same spot 
447.0,8e3cb3b8b963ca52a5d0498e8f6268771db22b30,lul 
460.0,b1f6032c061f3185a6a73415e81b474826528804,crate boxes* 
463.0,6959d74c0ef4818119723235efc4ba8f4b4a704f,faxcheer 
471.0,6d378feea623a77551b3eb335d51790f2ea15322,joey d 
476.0,062756e3b96bc1e637720b30a0d5009e3239bc67,lmfao faccts stfu he never thirsts bro watch him 
481.0,8001d4130bf5eee326c7a5815aea1b96d020f8d3,chocotpog 
495.0,6d378feea623a77551b3eb335d51790f2ea15322,never 062756e3b96bc1e637720b30a0d5009e3239bc67 
508.0,5d26c2907ecf747c15bb3ff2c910ca562ce25e9d,doesnt always 
509.0,5d26c2907ecf747c15bb3ff2c910ca562ce25e9d,haha 
510.0,062756e3b96bc1e637720b30a0d5009e3239bc67,hahahahaha :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :thumbs_up: :thumbs_up: 
519.0,ff3b741edbe46e6fa9f129fd149682f3dcc507d8,brokeback 
519.0,ffa77f88f4b1715e0c8fd9f0ce998c6cf07d26d3,its about thirsting the right person 
570.0,c61d205b9e90b65d287b5e95598785eae5fec27f,respect all mods ~ no politics hate speech religion racial slurs self promotion promoting others streams or sexual harassment no begging for subs be respectful to other members of the chat bashing other streamers is not permitted do not spam caps and messages english only in chat please do not post links without them being approved by a mod first 
583.0,ffa77f88f4b1715e0c8fd9f0ce998c6cf07d26d3,ceep this guy alive you can do better:) 
644.0,0a5ef20fb48872f35b31c543322ca318061d9d10,i played with jeremiah the other day super cool dude :) 
660.0,2ec6e1891cd35057d5f2b39613db62f82ca2ef94,i feel out of the loop who's the duo 
683.0,ce791ddda35793a01bd9d7788b64c775fed84963,ruined your gaming experience lol sorry 
685.0,87144b568fb6c4114a5392bfe39261ed68a8af24,headset 
686.0,983af3a8c024efb4b21dc4f991b7b66983d831ad,lol 
686.0,c61d205b9e90b65d287b5e95598785eae5fec27f,sennheiser hd598cs 
710.0,ac98a203dd9d1626698993cd8c6ee738d878e3fa,wildcard 
710.0,c61d205b9e90b65d287b5e95598785eae5fec27f,i have recently signed with wildcard gaming wildcard is a professional esports organization and a world leader in the battle royale genre check them out at https://wildcard gg/ and follow them for the latest esports coverage https://twitter com/wildcard_gg 
714.0,d105b45691c79e44de45372afff466cebad13e6a,bloodtrail 
722.0,65318bd6eceb3807db77d9e3c1662eaa74904959,its not even thursday and everyone is thirsty 
724.0,cc502b83473218e27cd6c722212c748d9ce40c7e,gpu 
741.0,a2956a0407f273ebd48777e6a647e9e00e98b15a,what do you think about the movement in pubg :) 
780.0,5d26c2907ecf747c15bb3ff2c910ca562ce25e9d,cc502b83473218e27cd6c722212c748d9ce40c7e rtx 2080ti 
780.0,062756e3b96bc1e637720b30a0d5009e3239bc67,cement 
782.0,1e40e789ce8ebccee39655759d6f7af507da4099,dietz nuts great commercial lul 
784.0,6d378feea623a77551b3eb335d51790f2ea15322,hype 
785.0,c61d205b9e90b65d287b5e95598785eae5fec27f,swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation swaggnation 
813.0,0e3a1b09f815fbdfd521e66813658ca6861af445,smacemyman smacemyman 
850.0,0a14935924d11ac17c2c9926f948f6964031ea13,settings 
850.0,c61d205b9e90b65d287b5e95598785eae5fec27f,swagger's in-game settings look like this https://m imgur com/nsxxb1e with 50% digital vibrance 
870.0,c61d205b9e90b65d287b5e95598785eae5fec27f,swag's socials: https://facebook com/swaggertwitch swaggnation https://instagram com/swagger tv/ swaggnation https://twitter com/swagger swaggnation https://www youtube com/swaggertube swaggnation 
907.0,6d378feea623a77551b3eb335d51790f2ea15322,c549242faa2adf9e79e9228b1445cf016132826b you gotta recommend him a camera tho bro 
928.0,062756e3b96bc1e637720b30a0d5009e3239bc67,wahts his stream 6d378feea623a77551b3eb335d51790f2ea15322 
932.0,1ced449f89dd35a5d3c1759810ee3a03c18e4637,dice em up 
936.0,6d378feea623a77551b3eb335d51790f2ea15322,https://www twitch tv/thelumineers 
937.0,062756e3b96bc1e637720b30a0d5009e3239bc67,ill go drop him a follow 
939.0,94c92e65618c652d9973ac5e6d63ec8f9b6089e4,hello everyone swagglove 
940.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,hello staff swagghi 
957.0,062756e3b96bc1e637720b30a0d5009e3239bc67,ty brb 
964.0,ffa77f88f4b1715e0c8fd9f0ce998c6cf07d26d3,maybe there is keyboards with mute button who toggles light like the caplock 
984.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,i use tilde beside 1 
988.0,d3d4435d82ddc8c2ce51852b9918a464d72fe654,for my mute 
990.0,94c92e65618c652d9973ac5e6d63ec8f9b6089e4,uptime 
991.0,c61d205b9e90b65d287b5e95598785eae5fec27f,swagger has been online for 4h40m 
997.0,f73645287f6bf61d902dd10e4b5863564e60cd01,where is swagger from 
997.0,6d378feea623a77551b3eb335d51790f2ea15322,im not a fan of people who drive by to tell you what you didn't pick up 
1015.0,993e69309085897c6dff8d820785754807e5f2a7,chocotchat chocotchat chocotchat chocotchat 
1030.0,d1242567c4502a063e9df1b49bd42b35b968d02b,they're cool or whatever 
1068.0,bbeb233e18a6ce019912b5e27ec93bccc95738d7,you missed a 15x scope 
1074.0,b1f6032c061f3185a6a73415e81b474826528804,tell him about the 3 vest 
1079.0,81c6e2b2d04552fbb091f762bd2c8d28c97e287a,missed an awm kappa 
1086.0,6d378feea623a77551b3eb335d51790f2ea15322,thanks guys 
1090.0,ca2ed98d3ca7b56b130e84b2cb58e34d76f760d0,everyone plays games so its cool to see people from different walks of life come together 
1091.0,8f7708a20f49cb47b4153a6e964373a3371e25ce,maybe you try what choco does none pubg games on the weekend 
1116.0,062756e3b96bc1e637720b30a0d5009e3239bc67,ight dropped him a follow 
1118.0,6d378feea623a77551b3eb335d51790f2ea15322,ca2ed98d3ca7b56b130e84b2cb58e34d76f760d0 ben simmons threw me for a loop 
1150.0,21bfe318fbfa1b9b2bffe14a5da59d92c0d1ed6e,yooooo 
1159.0,062756e3b96bc1e637720b30a0d5009e3239bc67,i feel like a dick bro but no lie i only listwn to rap and hip hop my whole life what band my man in dont hate me chat lol 
1164.0,19b0774e4b0e668d9c0797b4cc8a6ba8871a64cb,sup dude you feelin any better 
1170.0,c61d205b9e90b65d287b5e95598785eae5fec27f,respect all mods ~ no politics hate speech religion racial slurs self promotion promoting others streams or sexual harassment no begging for subs be respectful to other members of the chat bashing other streamers is not permitted do not spam caps and messages english only in chat please do not post links without them being approved by a mod first 
1172.0,21bfe318fbfa1b9b2bffe14a5da59d92c0d1ed6e,did you lose weight 
1177.0,21bfe318fbfa1b9b2bffe14a5da59d92c0d1ed6e,you look great bro 
1187.0,58abea9053f4d8094724a82981ee36ab7a7b8f8d,062756e3b96bc1e637720b30a0d5009e3239bc67 hes in the lumineers 
1189.0,6d378feea623a77551b3eb335d51790f2ea15322,062756e3b96bc1e637720b30a0d5009e3239bc67 ive honestly never heard their music either 
1189.0,90e507e79bfe153263f0eb6de7062da6058837fa,062756e3b96bc1e637720b30a0d5009e3239bc67 the lumineers haha 
