Time,User,Message
0.0,17afdb7c98c53357f5f956355f703a00b4fd4ad5,lol 
38.0,c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb,https://www nikolarn com/giveaway 
38.0,c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb,https://www nikolarn com/giveaway 
38.0,c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb,https://www nikolarn com/giveaway 
41.0,e0c8f29f064a756f6ef753a8f2dc4b930f3ba34b,i love the idea of the triggered ads 
74.0,92b289ea4627d67e4c9e0f4ca065b9eac00cb006,kelsdab 
77.0,ac96a3f1c2b5fba4b06d092ca1632cc04234f3e2,hi john nick 
79.0,068823dec70dd27a8f3b4d5acf93aa1477e09d41,poz sa tajlanda 4 ujutro prolup 
80.0,919eb3486ddf6b8016246437eb405ca82ea07521,uuuuuuuuuuuuh who is the hot guy in the cam c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb 
83.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,i am pretty sure we don't see ads at all here in serbia 
88.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,never seen them on any channel 
91.0,ee22b29c55320a7f184c09a3e91aa00347354a33,i am kotyvgod 
108.0,eb068b372e446034ef6d76bb50a41850cbb80101,i seriously want to know the name of the girl yawning 
180.0,efdf0b4d11789a3531df1452a5b5b2d3a52bd46a,how can i trigger ad 
210.0,395ecb864e8f222940c25d7cc3648d25b675acb4,hi 
221.0,c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb,loots 
254.0,b8861b1bf2cb9fa5a8e5c7f31e388a1ca04f027e,just guys being dude 
255.0,8c51e7116ff60e1376ae281f39930b5761b01eae,hi 
255.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,https://loots com/nikolarn 
268.0,76f7e0cd13db894f5a3464b78df63836158e6c41,https://loots com/en/tip-jars/nikolarn this one 
295.0,f463e2c765bc9005c50d382fa798d376762efd76,great games up to 75% off + £10 off any game £13 99 & up https://loots com/t/dugsmtuo0 
306.0,8c51e7116ff60e1376ae281f39930b5761b01eae,check out my twitch plz 
356.0,eb068b372e446034ef6d76bb50a41850cbb80101,coins 
367.0,c6d3d0d0ef93ff9a47f2c87278f6ca4973e701cb,loots 
375.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,did my loots thingy pop up not sure if i've done it right 
377.0,d55d8c8858f75487adfa434e98335d30040007f3,loots 
383.0,6051467ab462163de685c084a4b89c9a9e18d864,time 
400.0,eb068b372e446034ef6d76bb50a41850cbb80101,ayyyyy sofia thanks for being my first perm ban in may <3 
400.0,81c47bb00f596affc0a1c773b4aee8cdeca07fdc,loot 
400.0,5595d870e71f02d32050b8f9027f5ca8787d202f,gimme the loot 
420.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,nikomirage eb068b372e446034ef6d76bb50a41850cbb80101 
453.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,i know niko 
454.0,b8861b1bf2cb9fa5a8e5c7f31e388a1ca04f027e,preach my dude 
465.0,3bfa21e810d7fc7a6fcf9c641f0e42953d451a78,legendary mozambique 
478.0,5595d870e71f02d32050b8f9027f5ca8787d202f,mozambique here 
479.0,5666ffea2eb4f4f68ca46495c7c109fb56fa83a0,loot spawns are ass 
535.0,59d36d7db456dc14c5e66c84470ead3a2ec66cfc,yo 
549.0,eb068b372e446034ef6d76bb50a41850cbb80101,watman 
553.0,eb068b372e446034ef6d76bb50a41850cbb80101,wattman 
