Time,User,Message
0.0,0b6405f26ea39ae91e1fcb2b77d9e6db8380bf57,imagine being a 1 month sub and being that toxic probably gifted too 
3.0,58f8e2b1dd029d68a587ebf70056c1f896c554f4,c88df1a18a5d33a2b972db69964cbb9d67e93d40 ever tried nofap 
6.0,b69ca4a994b3bdc00834c7f806511c802958c518,last five stack all had bad shoulders from throwing 
10.0,615a1c55cda63afe833f85fc87bbd755d9804b9f,hey 
10.0,84e5319b2e2c90e8b148707ab8cf54ec69b46ba4,c5d06088f9588104c20651baeffb8390e3784c7d what the fuck is wrong with u 
12.0,21ec6f6e44f4c881e2bddd5065a5660744e12aa2,a2a835f8368bee0606da13f82ef9e1913a1c0498 i also think that they should cheer eachother up 
12.0,acfb5d7aa11395b2f37446fc466386df5fd30004,arm muscles 
12.0,adadf37979c279f931cce5f72242f1069fbd278e,is the w/l correct 
13.0,cb247b24f6f75ae6a8e773a858632a57456826b6,speaking of i just finished installing my bidet yesterday lol 
15.0,1be67d6c9d7cf6b817373148f209fcd3715a3052,41fb2b4faffc370e1ea1fa43190ca6b677a25ca3 that was a known issue they are fixing 
16.0,c54eb4711c96dfec28dd8e01bc7c35d846ccc40c,c5d06088f9588104c20651baeffb8390e3784c7d ikr:flushed_face: :pile_of_poo: 
18.0,6293b38f7cce9a9f144eabfafc3a6d0762caf9a9,c88df1a18a5d33a2b972db69964cbb9d67e93d40 mans gotta deal for u let man beat on ps4 man :face_with_tears_of_joy: :face_with_tears_of_joy: 
22.0,5265627d4386bc79398ff09d538535014a9b29b2,kinglife 
25.0,168e8662e83a7a2faa9525a49e11b910deca17cb,:rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: 
29.0,2ba6d1e37449ea0a3dc7404e345091919e4fdfd7,settings 
33.0,27c239f35993837dd9850bef8393959c5af03531,i'm bo9ooooooored 
33.0,c2dcccc9f69a1cdbf16557e6d6bd51741a92af42,lmao this nightbot is hilarious 
36.0,c5d06088f9588104c20651baeffb8390e3784c7d,84e5319b2e2c90e8b148707ab8cf54ec69b46ba4 woah where did that come from 
36.0,acfb5d7aa11395b2f37446fc466386df5fd30004,huge biceps 
36.0,cfd4ad52d90d1626a3b9ec924c6b1097963a60d2,1be67d6c9d7cf6b817373148f209fcd3715a3052 i don't play on pc so rip but even on console i was having fun for the first time in awhile with cod 
39.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,pepepls 
48.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,4sheug 
48.0,618ae5e8397f64c11d77cab285638b889ebcf16a,george bnansflex bnansflex bnansflex bnansflex 
49.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,chat needs backup inches for this short man 
50.0,41fb2b4faffc370e1ea1fa43190ca6b677a25ca3,ok did any of you have issues of people going underneath the map 
53.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,4shrug 
55.0,a821ab0265e3e8629e8352fe29e0d7e6b212035f,doesn't even read the highlighted messages :( :( :( :( 
56.0,0b6405f26ea39ae91e1fcb2b77d9e6db8380bf57,7-14 
60.0,0b6405f26ea39ae91e1fcb2b77d9e6db8380bf57,pepelaugh 
63.0,5265627d4386bc79398ff09d538535014a9b29b2,balls 
65.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,pepelaugh 
73.0,0372fafc86cf1719dbcbe8b5bbc1748bbd0a6139,are you going too twitch con 
75.0,96857d37402c1d823e5ca88f21e27036d16bfe4c,7-85 
76.0,4e498c190d522b954f87b86c88f2930f003f597f,sup dawg 
76.0,862420ba176273fdbad6d3cb6f824774a002ebd1,how do you highlight message 
77.0,ce801b8d0106ba056fffe9a4c67d978da6da8365,: 
78.0,16095eb514808d9b5873e994e5806ed05375a13c,specs 
83.0,2392e0bfd5eccbdb3a86c23cd30915003c580d82,got an interview in the morning wish me luck george 
84.0,6a80a76f0864e454c7d02eb940230557a6f3ed3e,7-14 delusional old man 
86.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,like this 
91.0,c54eb4711c96dfec28dd8e01bc7c35d846ccc40c,just look at that arm:smiling_face_with_heart-eyes: elegiggle 
95.0,862420ba176273fdbad6d3cb6f824774a002ebd1,04656d6dc37ca93eafc1e24b5deb3adecb842a82 explain 
98.0,1be67d6c9d7cf6b817373148f209fcd3715a3052,cfd4ad52d90d1626a3b9ec924c6b1097963a60d2 i play pc and ps4 but if the weapons in supply drop leak is true i wont buy it even if it is the best cod in 10 years 
102.0,96857d37402c1d823e5ca88f21e27036d16bfe4c,7-10000000 
104.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,pepehands 
107.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,pepehands wtf 
108.0,d119c61b24c484e39b8f7ac510da9903763316fe,5 days d: 
112.0,c2dcccc9f69a1cdbf16557e6d6bd51741a92af42,2392e0bfd5eccbdb3a86c23cd30915003c580d82 good luck 
113.0,b5dfd4166e3dd19848dab1715d9e166d9179dcc3,but what am i going to do 
113.0,d7fbbc70bc67c6d5c7f5341192a8ce6c13d1d6bd,5 days 
114.0,c5d06088f9588104c20651baeffb8390e3784c7d,the gains fuck you george you clearly don't care about us 
115.0,5b9edd5d81b5c0cacdadbc5c5bce6d77f5b7d605,i love ur charm 
115.0,2acafba73f8aa4dd9494fc524c6707d486eef5d4,oh 
116.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,kapp 
116.0,b1839ab9e5cf6f7549eabd4d471043536b38afa2,nooo what am i gonna fall asleep to 
117.0,a821ab0265e3e8629e8352fe29e0d7e6b212035f,wow 
117.0,1b5c4d61f4c2669dc453caa42aae3852d3b64003,tearglove tearglove 
117.0,3ec0befde590d737751e455fe327cb570724a4c9,charm 
120.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,kapp thats what you said last time 
120.0,6a80a76f0864e454c7d02eb940230557a6f3ed3e,nooooooo daddy george 
121.0,0b6405f26ea39ae91e1fcb2b77d9e6db8380bf57,c88df1a18a5d33a2b972db69964cbb9d67e93d40 what am i going to do after work peeposad 
122.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,you use your channel points tap the little gray bar thingy 
122.0,331185e9bfba46bbc5ec5ef79c0365e6c9d24767,5 day hollyday pogchamp 
124.0,b0494ed01aeb6679fc6ba2c9b0fd1cab0d6aa408,scre 
125.0,618ae5e8397f64c11d77cab285638b889ebcf16a,:( :( :( :( :( :( 
126.0,a2a835f8368bee0606da13f82ef9e1913a1c0498,21ec6f6e44f4c881e2bddd5065a5660744e12aa2 honestly think that's all it takes a team with good vibes and positive energy & a lil bit of smack talking to one another 
127.0,2392e0bfd5eccbdb3a86c23cd30915003c580d82,thx c2dcccc9f69a1cdbf16557e6d6bd51741a92af42 <3 
127.0,d7fbbc70bc67c6d5c7f5341192a8ce6c13d1d6bd,good lord i'll have to watch smelly man adam 
127.0,8149dc15d52e88e71ee2d575e1ae3cc7f2275c89,where is twitchcon held at 
128.0,2acafba73f8aa4dd9494fc524c6707d486eef5d4,irl stream 
133.0,618ae5e8397f64c11d77cab285638b889ebcf16a,love you george dechartheart 
133.0,4db322c2b62909f29b511c9c35ad3ae15802b5ea,short streamer short streams 
134.0,96857d37402c1d823e5ca88f21e27036d16bfe4c,:crying_face: :crying_face: :crying_face: 
135.0,2a55a5efba0a0644e2abf876317830f0ccdb8b1a,kgtvcurious kgtvcurious kgtvcurious kgtvcurious kgtvcurious kgtvcurious kgtvcurious kgtvcurious kgtvcurious 
137.0,7ca7d48efef839dd53ebc9c7d51c0fcdaacbd563,wtf am i gonna watch at 3 am in the morning 
139.0,862420ba176273fdbad6d3cb6f824774a002ebd1,04656d6dc37ca93eafc1e24b5deb3adecb842a82 i am on phone :crying_face: 
141.0,cfd4ad52d90d1626a3b9ec924c6b1097963a60d2,1be67d6c9d7cf6b817373148f209fcd3715a3052 i play on ps4 also so hmu with a friend request 
142.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,irl streams 
145.0,1be67d6c9d7cf6b817373148f209fcd3715a3052,7ca7d48efef839dd53ebc9c7d51c0fcdaacbd563 ad9m 
146.0,749b032a4d3094e4096ea0fddc899725df6a93f0,my dad said the same thing still waiting on him 
154.0,c5d06088f9588104c20651baeffb8390e3784c7d,everyone should just join the chat at stream times to talk 
154.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,862420ba176273fdbad6d3cb6f824774a002ebd1 so am i 
155.0,1be67d6c9d7cf6b817373148f209fcd3715a3052,cfd4ad52d90d1626a3b9ec924c6b1097963a60d2 psn name 
155.0,324d0f0896449dde22a8827facccdcf3dae72040,i wonder how long this gam e will be relevant 
159.0,b0494ed01aeb6679fc6ba2c9b0fd1cab0d6aa408,streaming in the hotel room adam youre a shitter 
166.0,2acafba73f8aa4dd9494fc524c6707d486eef5d4,fortnite lmao 
167.0,e2e420bf2221f6822746c933838d7cfda0f41e14,apex rivals though pogu 
172.0,05ef6e52f9884de0f05abcab207a44b297745b27,f omegalul r n i t e 
174.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,poggers 
176.0,cfd4ad52d90d1626a3b9ec924c6b1097963a60d2,1be67d6c9d7cf6b817373148f209fcd3715a3052 blink_wiggy 
176.0,04656d6dc37ca93eafc1e24b5deb3adecb842a82,the little gray oval circle thingy 862420ba176273fdbad6d3cb6f824774a002ebd1 
176.0,cc175a6fc53ff69e1778abc96e4cbb3d86f16713,poggers omg 
179.0,3949acbcfa053aa40774276adc5f8f5c07835394,do you know what time you will stream at the corsair booth c88df1a18a5d33a2b972db69964cbb9d67e93d40 
181.0,d7fbbc70bc67c6d5c7f5341192a8ce6c13d1d6bd,is adam going to twitch con 
184.0,98ca728c3083e5ad41b4c7446655ddf1e463737b,do the fortnite one just got the heck of it it's a decent game 
184.0,c26d41dfd60a7f997f1befc11c096284feda90b5,stream rb6 on plane 
185.0,c5d06088f9588104c20651baeffb8390e3784c7d,wait how am i gonna get my daily channel point bonus 
189.0,05ef6e52f9884de0f05abcab207a44b297745b27,f omegalul r t n i t e * 
190.0,5b9edd5d81b5c0cacdadbc5c5bce6d77f5b7d605,using ur charm my kd increased dramatically 
