Time,User,Message
0.0,99b5046e1a3dc32a0d2291a3c4096b6c2c2c21a9,impstolul impstolul impstolul 
1.0,ad342fb0ba959fc9bd541003e701e63dbf0b7ecf,lul 
2.0,095b6164d86ce52d9d48e4cc6d4cf2174c448a68,hes bronzzzzzz 
2.0,e91670efbd0669de79a9ccbca591d79f5987a562,bamis cinder pogchamp 
2.0,ea67c382d22eca497085421a016e302ce46c54e0,lulw 
3.0,636da745c4675f602c453bae2c702a1a7acb2ce7,lul 
3.0,2fcd1deb123c2405e3f556990ba3763bfd4263e5,hahaha 
3.0,436f674e1b8bbc456119468a87a9d32ecfc4104b,lol 
3.0,e37bf037b28c4c533ba7c40f6b36b13a9be6e0c0,kekw 
4.0,3450d806986aab36dd7fbb59139a6e477e0e906a,lul lul lul he died to bami cinder lul lul 
4.0,54abb9b8e60ceb6a2652206aa60fa4870a6cd8d6,kekw feelsweirdman 
5.0,96275d2e6a0291828bf297e5724017aca9f04dbd,you deserve for bullying that fluffy teemo :pouting_face: 
6.0,436f674e1b8bbc456119468a87a9d32ecfc4104b,qt the best < 
7.0,a143e2b2ec317b5461db5747136d6b967ecda204,lulw 
8.0,706ddb5c5aabacc0cc45b5f674a7d907059f98aa,support main losing mid pog 
8.0,8998322a0d41f45b39e9353031f446ccbe5b1960,qtplul qtplul qtplul qtplul qtplul 
10.0,e8bac2bf0a13d523df15363a139b77c07a2bf1d2,qtpsmug 
11.0,45122e49d03b65bdeac860976b6c5eaf2189adae,who killed kayle 
11.0,03cef684d7baf548073bd9ed95a558f20e9a065a,teemo players are special 
12.0,ef34adbbeb9dc812814d17867755e87e7f1c87e5,wait what did he die to 
13.0,e958774b35f2f5120a8e48d01f70fcb9ed6a713d,lul 
14.0,92a7496550ebeea8d269a8419e8669d0636e64ed,lul 
14.0,54abb9b8e60ceb6a2652206aa60fa4870a6cd8d6,pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: pepehands :rabbit_face: 
15.0,0b01d9d69a89cebb864d686b744333194f4e6d27,no1ayaya no1ayaya no1ayaya 
15.0,a37eac8fdd3c99aabbcbb74740927a03e9472c80,jellybeanuts furry weirdchamp 
16.0,7de639933fff50837c88745bd8f90f02e17b92ca,you wanted to tank but kayle got aggro xd 
20.0,ce15061cc18600cedec64e6ea7b525e028806ee9,the side step pog 
22.0,dd42ccc79525e3eff49a30bc1d0584199265f1ec,he died to cinder fire 
24.0,cd865d83e3e9f5b7a59ae1d75a2582686982a892,monkahmm 
25.0,ce15061cc18600cedec64e6ea7b525e028806ee9,zilean smurfing 
26.0,e892e487ff7f8db6094bad99f5606d64d4f0cc4b,ef34adbbeb9dc812814d17867755e87e7f1c87e5 bami cinder 
27.0,a25281741f0bd016073e6ad0d5719846eca0ac80,feelsweirdman :backhand_index_pointing_right: brainslug 
27.0,b04e24b523297e33adf8a223b2fe637ea212489b,sunfire 
27.0,e91670efbd0669de79a9ccbca591d79f5987a562,ef34adbbeb9dc812814d17867755e87e7f1c87e5 i think being around qt because he has bamis cinder 
27.0,a37eac8fdd3c99aabbcbb74740927a03e9472c80,fiddlulsticks furry weirdchamp 
29.0,b56ab642d0589e8d0736686956359b8637d62507,ef34adbbeb9dc812814d17867755e87e7f1c87e5 red buff 
30.0,282f7027af64d1a7b64fb4b97b147cd0ec3d4366,feelsbadman feelsweirdman feelsokayman feelsgoodman pepega 
31.0,63e18a192dc7ef3e1703878667e2a4e855836295,96275d2e6a0291828bf297e5724017aca9f04dbd dont you want to bully teemo gachibass 
